entity_id,f1,f2,f3,f4,f5
E0000,2.317772,6.74234,5.51194,2.711749,16.047034
E0001,2.776459,3.32448,3.448069,18.309897,3.515338
E0002,1.925357,9.539712,15.729018,4.670135,4.599321
E0003,1.6866,26.165934,6.40096,15.316214,2.836292
E0004,2.474433,3.419437,4.071633,10.67566,7.067423
E0005,1.396615,4.611907,8.02865,6.524704,22.553247
E0006,1.448701,16.005518,8.236804,16.159413,13.064499
E0007,2.183504,13.793079,6.968077,4.422001,7.833138
E0008,2.452911,20.949472,1.961064,13.90341,5.699026
E0009,1.410899,2.685772,25.832521,11.983825,11.562227
E0010,2.741991,10.716526,2.332435,3.530047,8.808436
E0011,2.894146,5.590292,6.155384,6.092646,6.516978
E0012,2.452112,30.719538,8.682494,2.322309,4.929023
E0013,2.712421,8.054446,16.825591,14.756798,46.63467
E0014,2.281531,3.125515,8.614801,1.834817,3.607176
E0015,2.303586,22.215866,10.859411,9.985407,3.896335
E0016,2.280062,8.701144,24.261277,4.029525,4.588106
E0017,2.55811,6.564237,7.022028,5.880957,8.166928
E0018,2.649876,15.259843,4.380282,8.093695,19.550041
E0019,3.041165,7.185359,7.233344,14.092751,8.351565
E0020,1.596642,36.320732,21.458675,4.049534,5.89454
E0021,2.237037,14.427833,4.389689,13.571053,3.65787
E0022,1.683671,6.016108,9.013814,1.573409,7.221763
E0023,3.060799,67.379683,6.770041,5.564554,19.338849
E0024,3.802816,0.466953,5.26048,4.133192,9.129361
E0025,1.748868,5.642995,2.230646,4.136322,2.445879
E0026,1.6688,2.637799,6.628158,16.342102,2.220622
E0027,2.582145,6.436443,27.819206,18.083467,4.685821
E0028,2.88238,22.895351,52.585883,8.02871,7.404288
E0029,1.284374,6.622429,36.802523,8.035379,36.788466
E0030,1.886196,9.69037,1.667532,8.570879,3.16764
E0031,2.193955,12.895364,5.500128,2.147827,5.272144
E0032,2.890464,39.107556,3.567904,9.975217,16.422562
E0033,2.269491,2.632663,1.488347,2.222971,3.349058
E0034,2.259218,7.123242,10.360244,1.924528,19.265111
E0035,2.161284,15.733888,3.956248,16.073888,2.314307
E0036,1.963046,11.141175,2.819272,4.092381,3.287451
E0037,1.991913,1.515952,7.571055,8.269606,7.829613
E0038,2.131523,2.637398,1.144854,21.483806,4.906518
E0039,2.923965,21.881293,2.331484,6.696196,2.761125
E0040,1.16831,17.449847,3.585571,6.33046,5.385972
E0041,2.141459,1.932763,6.987835,7.293425,6.954717
E0042,2.686827,12.25266,5.746652,15.463924,8.636661
E0043,2.37991,19.012214,2.388505,4.0702,6.467895
E0044,2.229095,8.926133,5.444449,6.4033,10.326768
E0045,1.677221,7.642267,1.793066,7.704208,13.9157
E0046,1.525636,2.772798,8.412268,4.581626,8.58703
E0047,1.781489,6.279846,13.640204,25.329142,17.159478
E0048,1.746758,1.276399,6.528593,10.358705,1.851236
E0049,2.316395,2.49749,8.040598,3.995425,7.364107
E0050,1.627069,6.940135,6.992043,6.002409,11.125116
E0051,3.17514,5.771596,7.182036,5.012901,1.055065
E0052,3.077804,6.776829,9.22734,1.37823,2.929832
E0053,0.878579,1.360683,14.334773,14.49761,12.810801
E0054,1.650653,17.19187,6.829104,6.752613,7.618745
E0055,1.314614,22.290029,27.251867,22.113527,7.793432
E0056,2.303129,11.254601,4.591078,10.103062,2.810687
E0057,3.22373,7.436684,3.464063,5.424058,12.524554
E0058,1.529483,4.351837,6.911409,2.140051,15.107501
E0059,2.043232,17.873052,7.671872,3.223841,7.673317
E0060,3.373737,11.448829,7.85308,0.478836,4.786402
E0061,1.240063,3.747436,3.392104,4.419422,3.222199
E0062,2.707189,5.683649,5.665873,4.249727,3.454879
E0063,2.306914,1.047113,13.004337,3.822129,45.621619
E0064,2.365036,14.279793,21.205605,6.468148,3.181986
E0065,2.091804,8.52839,3.839925,6.048962,3.303661
E0066,2.213433,3.871253,6.609543,16.830013,5.091603
E0067,1.231926,2.929526,3.943214,4.30758,13.74002
E0068,2.286874,4.326562,6.361255,1.151073,12.193696
E0069,2.425725,5.680908,10.231749,5.949489,2.469078
E0070,3.64314,23.00486,2.299451,17.265746,21.246787
E0071,2.211212,7.569006,15.277295,6.121856,19.258905
E0072,1.418023,9.293971,4.742159,7.632218,28.001463
E0073,1.908973,8.38285,2.945387,3.929108,4.353323
E0074,2.29556,15.986015,7.114037,7.616461,3.963104
E0075,1.697211,5.999908,6.11319,13.407474,7.791622
E0076,1.908517,8.508755,6.526025,11.026247,3.815897
E0077,2.011626,3.337314,4.377115,26.532752,4.098197
E0078,2.369953,15.152697,10.695276,9.101706,7.516195
E0079,1.267035,3.903806,6.141157,4.13142,40.158031
E0080,2.527721,3.401873,8.476789,8.218832,6.01625
E0081,2.134098,25.276873,13.355818,6.324306,12.357388
E0082,2.015269,0.888662,5.887875,5.20036,3.851328
E0083,3.313999,2.469914,4.065392,13.317359,12.13261
E0084,1.108999,2.97523,17.760336,17.813402,15.893389
E0085,1.840056,8.527959,28.644644,14.219285,4.947913
E0086,1.652857,27.280575,13.198235,4.698933,2.122853
E0087,1.568185,8.873857,10.793607,8.579481,5.635083
E0088,1.462782,4.239625,2.405693,3.763284,3.385492
E0089,1.123176,7.049796,13.945986,2.233598,4.202428
E0090,2.208723,4.855821,4.614452,24.026527,12.671003
E0091,1.411929,4.210219,12.579656,5.891687,2.373715
E0092,3.24137,2.257741,9.456039,1.978928,10.610775
E0093,2.478486,16.724151,8.813261,15.940712,5.970443
E0094,1.623867,6.259644,9.036454,7.751682,4.964036
E0095,0.902392,1.996866,10.700829,6.739221,4.849339
E0096,3.047107,3.268631,1.842327,0.968515,8.36269
E0097,1.793485,10.084511,2.325776,10.3505,3.105851
E0098,1.91101,3.747742,22.390859,4.469615,4.565242
E0099,1.211939,6.411675,3.763224,1.580621,21.699012
E0100,2.671147,15.134129,3.099314,2.349866,5.493565
E0101,2.853574,8.210536,4.055966,5.767198,7.779366
E0102,1.88671,4.274652,7.129673,22.611502,1.214669
E0103,1.621283,6.679624,5.648488,16.337007,6.996369
E0104,1.478454,20.7057,18.722287,6.723041,20.45609
E0105,2.072252,3.092611,1.750069,9.9974,2.038117
E0106,2.916111,3.457566,4.240063,2.549906,3.614972
E0107,3.198531,6.34938,16.175077,3.77832,7.649793
E0108,2.861275,3.200821,3.129889,4.410821,24.294584
E0109,3.107451,17.194193,10.515935,24.787618,4.410239
E0110,3.315997,2.270237,10.613601,6.750147,8.366301
E0111,1.221769,1.046716,1.596986,9.06925,18.932164
E0112,1.097217,12.522452,9.146121,4.678904,3.694675
E0113,2.071149,10.263292,4.30385,14.339561,8.215461
E0114,2.904748,14.81442,6.374234,3.549698,19.230472
E0115,2.016438,2.795064,8.572711,6.660739,3.00776
E0116,2.247762,9.233148,8.787028,3.374583,12.475722
E0117,2.237386,4.912874,4.916696,5.601887,4.496381
E0118,2.322365,25.713086,6.224804,37.898316,9.101694
E0119,1.868696,7.325053,2.777696,3.448277,6.976467
E0120,2.151751,4.243053,1.439408,8.875918,6.312933
E0121,2.258688,6.493873,2.808597,77.969501,10.300947
E0122,2.394628,18.014148,15.112798,1.829113,23.378348
E0123,2.204698,7.811691,35.670247,63.268905,6.162104
E0124,2.613013,1.473903,3.493655,4.454308,10.134227
E0125,1.559692,6.151129,24.226369,13.395096,1.864764
E0126,2.172144,3.923646,30.748202,5.257252,3.210362
E0127,2.049367,14.702571,5.533454,10.540746,26.81352
E0128,1.518075,6.140662,4.617068,5.742213,11.610241
E0129,1.720887,12.021838,21.012951,8.556544,7.963925
E0130,1.623712,13.088165,6.41521,12.57638,6.475606
E0131,2.554094,19.030076,13.732336,3.382771,8.552021
E0132,2.694541,3.14218,9.019981,11.167333,50.319204
E0133,2.289396,5.9183,4.83939,5.32566,5.937694
E0134,2.263132,3.527109,7.342844,6.714351,7.389969
E0135,1.544815,5.263437,6.22014,9.546678,10.666892
E0136,2.288659,9.842268,10.689806,12.478076,4.287179
E0137,2.160356,7.044885,4.33462,3.587688,3.633567
E0138,1.962847,16.080239,4.615453,5.201696,4.030115
E0139,1.180459,8.230558,3.508964,22.448876,9.778271
E0140,1.830664,9.407543,13.242145,1.97098,2.425325
E0141,1.18878,38.229257,2.662243,10.402147,8.882435
E0142,2.240427,9.821931,12.689393,13.73101,10.31692
E0143,2.274552,19.505468,4.079283,16.379025,7.974232
E0144,2.495991,4.782639,5.415571,8.61956,11.299793
E0145,1.795211,11.505725,15.552853,17.621538,6.446876
E0146,1.141714,36.577306,13.115464,2.407302,4.136258
E0147,2.006839,5.158648,5.087538,9.776094,9.987091
E0148,2.62286,30.03451,8.093857,3.917901,32.672999
E0149,3.705403,20.114285,40.316061,14.972145,18.359741
E0150,2.622256,4.941449,7.147901,4.094936,21.922236
E0151,1.095798,4.896725,4.209683,4.177284,12.5098
E0152,1.305592,11.473026,1.783388,37.845158,3.670241
E0153,1.987985,5.388515,17.329498,10.267153,2.184571
E0154,1.868256,3.432664,4.645645,3.077281,2.50682
E0155,2.161067,11.16577,1.516818,18.048997,12.354442
E0156,0.69873,2.217451,12.532991,17.782783,5.328109
E0157,1.636549,12.619038,6.364645,5.470997,4.759042
E0158,2.311908,3.743648,4.371222,26.52679,4.264271
E0159,1.754445,6.063784,11.401767,6.271527,0.899827
E0160,1.243206,4.387724,14.962852,4.705389,8.427694
E0161,0.759207,14.609145,5.253162,5.631276,21.927609
E0162,1.377194,2.596152,8.238353,6.658757,10.011834
E0163,1.439655,2.931632,7.34856,2.506192,1.311074
E0164,2.44488,8.967123,2.408947,8.595399,12.844837
E0165,2.623473,2.300248,4.66521,5.215612,5.629268
E0166,1.478834,2.161009,6.055187,7.690237,3.344735
E0167,2.438449,9.911336,6.306352,1.811717,8.496302
E0168,2.845096,14.200303,4.235468,1.353951,4.801957
E0169,2.148767,8.449699,7.214272,7.437625,3.496218
E0170,1.407534,2.648153,23.93754,5.047986,10.914894
E0171,3.481492,8.703663,11.771594,4.716498,5.993463
E0172,2.323267,7.216926,5.614788,6.546268,10.453786
E0173,2.264752,5.968366,23.23338,34.316122,5.26237
E0174,3.523129,2.94174,5.187364,14.986103,12.027505
E0175,1.234203,11.872604,16.894396,27.042505,9.847731
E0176,2.00226,4.182838,5.975403,8.067721,4.941214
E0177,2.2342,4.952687,9.749233,66.639456,16.679749
E0178,2.04466,6.766069,8.984209,7.594021,6.453591
E0179,2.569818,21.457712,7.09878,3.960097,13.064023
E0180,2.078069,8.967792,10.154512,5.243375,11.749421
E0181,2.29507,7.387225,5.25419,28.91806,3.188661
E0182,2.929708,5.973799,19.754601,4.313028,2.957183
E0183,1.438704,4.523855,4.731469,0.817569,10.666105
E0184,2.509749,11.378677,7.356098,1.404017,14.231506
E0185,2.119479,6.056438,7.887355,7.403002,4.551701
