entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-02-01T00:00:00Z,3.5363,2.4915,1.6053,-0.9383,5.4772,8.0274
E0001,2026-02-01T00:00:00Z,2.7152,2.6649,5.437,-0.7473,5.3152,9.2496
E0002,2026-02-01T00:00:00Z,2.334,3.438,4.2588,1.1901,5.3934,8.5129
E0003,2026-02-01T00:00:00Z,3.524,0.1899,2.5822,0.057,5.1951,8.0555
E0004,2026-02-01T00:00:00Z,2.8054,2.8564,4.5123,0.2118,3.6222,9.9168
E0005,2026-02-01T00:00:00Z,2.1079,1.5168,3.0818,0.8313,4.5693,8.8793
E0006,2026-02-01T00:00:00Z,2.7368,1.6766,2.0164,-0.0982,4.8072,7.5136
E0007,2026-02-01T00:00:00Z,3.4758,1.8194,3.4602,0.2118,4.609,8.9257
E0008,2026-02-01T00:00:00Z,2.0654,3.2965,5.169,0.6962,6.3161,6.8521
E0009,2026-02-01T00:00:00Z,2.8572,3.548,3.7797,-1.504,6.2525,8.3014
E0010,2026-02-01T00:00:00Z,3.9041,2.7036,4.149,-0.6056,4.3206,8.3346
E0011,2026-02-01T00:00:00Z,2.7885,4.1773,4.2775,-0.0042,6.3088,7.0097
E0012,2026-02-01T00:00:00Z,4.0921,0.3007,2.7024,-0.2425,6.7083,9.2112
E0013,2026-02-01T00:00:00Z,2.3161,3.3595,3.1584,-0.4598,5.5951,8.2889
E0014,2026-02-01T00:00:00Z,2.5637,1.5198,4.3459,0.6446,7.9378,8.6001
E0015,2026-02-01T00:00:00Z,3.857,2.0315,1.5917,1.1955,4.8868,7.3735
E0016,2026-02-01T00:00:00Z,3.2644,4.503,4.2322,0.4388,6.5266,8.3125
E0017,2026-02-01T00:00:00Z,1.9339,0.3258,3.6081,2.7629,7.8225,8.1894
E0018,2026-02-01T00:00:00Z,1.7806,1.5592,3.9586,0.6814,7.4119,9.1858
E0019,2026-02-01T00:00:00Z,3.1697,3.6944,2.8564,-0.2337,5.1001,9.2202
E0020,2026-02-01T00:00:00Z,2.8396,3.1579,4.9025,1.9095,4.5406,8.2748
E0021,2026-02-01T00:00:00Z,1.5354,2.6344,3.0481,0.9286,4.9623,10.1381
E0022,2026-02-01T00:00:00Z,3.2155,1.6115,3.5491,-1.8214,6.906,11.7359
E0023,2026-02-01T00:00:00Z,1.8987,1.011,4.0514,-0.9949,6.118,9.2478
E0024,2026-02-01T00:00:00Z,3.3443,1.8086,1.6669,2.2358,5.9927,10.879
E0025,2026-02-01T00:00:00Z,4.0487,2.8968,4.5369,0.402,6.6161,8.5201
E0026,2026-02-01T00:00:00Z,3.6068,0.288,3.3711,-0.2772,5.4735,10.5927
E0027,2026-02-01T00:00:00Z,2.1564,-0.2758,3.3427,-0.3787,4.9718,9.0952
E0028,2026-02-01T00:00:00Z,2.7431,4.1073,3.2005,-0.062,4.408,9.5692
E0029,2026-02-01T00:00:00Z,2.4839,3.3194,3.0489,-0.866,6.098,9.4564
E0030,2026-02-01T00:00:00Z,1.5321,2.0368,4.2806,-0.7244,4.4348,9.3385
E0031,2026-02-01T00:00:00Z,2.6608,3.2484,3.1048,-0.4203,5.8639,8.9913
E0032,2026-02-01T00:00:00Z,2.7953,2.8182,5.3135,0.9131,3.2432,9.1069
E0033,2026-02-01T00:00:00Z,2.5747,1.8957,3.8427,1.5743,6.08,7.7917
E0034,2026-02-01T00:00:00Z,3.1298,0.7645,3.9483,-0.0591,5.0309,8.6435
E0035,2026-02-01T00:00:00Z,3.8774,3.1603,2.7431,0.145,7.6936,7.7175
E0036,2026-02-01T00:00:00Z,2.5866,0.3268,3.276,-0.5483,5.5183,9.8625
E0037,2026-02-01T00:00:00Z,3.0592,0.6634,4.6734,-1.0079,8.5529,10.881
E0038,2026-02-01T00:00:00Z,4.1846,3.7058,3.9407,0.5534,6.8373,11.8977
E0039,2026-02-01T00:00:00Z,3.9983,2.0073,3.5367,2.8862,7.6374,8.322
E0040,2026-02-01T00:00:00Z,2.3451,1.9298,3.6584,0.647,5.9151,6.7317
E0041,2026-02-01T00:00:00Z,2.3205,2.8722,3.5789,0.9374,6.0564,7.9636
E0042,2026-02-01T00:00:00Z,3.4962,3.6093,4.8648,-1.0715,5.7347,9.7837
E0043,2026-02-01T00:00:00Z,3.906,2.2092,3.7645,-0.9676,4.4526,9.7468
E0044,2026-02-01T00:00:00Z,3.3369,4.813,4.9036,-0.3363,3.6088,8.5628
E0045,2026-02-01T00:00:00Z,3.7034,3.0199,2.6058,0.6041,4.9937,8.1936
E0046,2026-02-01T00:00:00Z,1.409,3.109,2.7977,-1.1003,7.4254,9.049
E0047,2026-02-01T00:00:00Z,3.9866,1.2784,2.6589,0.3784,7.166,6.7864
E0048,2026-02-01T00:00:00Z,3.4251,0.3285,4.1249,-1.5738,4.3361,4.9314
E0049,2026-02-01T00:00:00Z,2.0549,3.5354,2.2184,1.145,4.3579,9.4693
E0050,2026-02-01T00:00:00Z,3.0527,2.1012,3.1231,0.5473,7.1958,7.8672
E0051,2026-02-01T00:00:00Z,3.0656,2.8521,2.3608,-1.0647,7.8333,8.2325
E0052,2026-02-01T00:00:00Z,2.7241,2.5477,3.6873,0.8442,6.918,7.8007
E0053,2026-02-01T00:00:00Z,3.9614,4.3989,3.5087,1.9225,6.6185,10.0035
E0054,2026-02-01T00:00:00Z,3.1389,1.1154,2.1199,1.2708,7.1785,9.3515
E0055,2026-02-01T00:00:00Z,2.2701,3.3667,2.5117,-0.2043,5.1479,7.9008
E0056,2026-02-01T00:00:00Z,2.2467,1.944,3.652,-1.3529,7.1794,8.4919
E0057,2026-02-01T00:00:00Z,3.3402,3.5544,3.1286,-0.8714,5.4625,9.4811
E0058,2026-02-01T00:00:00Z,3.0517,0.0032,2.4109,0.7991,5.699,9.0995
E0059,2026-02-01T00:00:00Z,2.7918,5.0959,3.2887,-0.6506,3.8786,8.3148
E0060,2026-02-01T00:00:00Z,3.0944,0.4974,2.7471,1.2545,4.1951,10.0314
E0061,2026-02-01T00:00:00Z,4.7754,1.6179,4.7567,1.1884,4.0446,9.1701
E0062,2026-02-01T00:00:00Z,3.4969,3.3093,1.7297,0.8657,6.2866,9.7043
E0063,2026-02-01T00:00:00Z,2.0543,4.9579,1.617,0.6824,4.2336,7.51
E0064,2026-02-01T00:00:00Z,2.2487,1.1432,3.1801,-0.1773,7.4392,7.5066
E0065,2026-02-01T00:00:00Z,3.048,4.8534,3.0977,0.0233,6.5266,8.4116
E0066,2026-02-01T00:00:00Z,2.6703,3.6589,3.6055,-0.3614,5.6019,8.053
E0067,2026-02-01T00:00:00Z,4.6891,1.9312,2.4784,1.7767,7.4786,7.7734
E0068,2026-02-01T00:00:00Z,2.7946,5.1308,3.7065,1.1989,5.8596,8.9878
E0069,2026-02-01T00:00:00Z,4.6197,4.4685,2.429,0.6166,5.6789,8.4781
E0070,2026-02-01T00:00:00Z,0.5023,3.7392,2.6862,-0.1739,4.9964,8.4061
E0071,2026-02-01T00:00:00Z,2.8852,0.288,3.9064,-1.6152,6.857,9.3049
E0072,2026-02-01T00:00:00Z,3.4484,1.4997,3.6505,0.684,4.7414,10.1256
E0073,2026-02-01T00:00:00Z,0.9621,4.3572,3.5828,0.8463,5.858,9.7754
E0074,2026-02-01T00:00:00Z,2.6391,1.1587,3.6809,-0.3078,5.8328,7.9442
E0075,2026-02-01T00:00:00Z,2.7277,4.1352,3.3779,-0.0202,4.6999,9.8421
E0076,2026-02-01T00:00:00Z,2.3749,2.4497,4.6939,0.1148,5.3266,9.5915
E0077,2026-02-01T00:00:00Z,1.0767,3.8391,2.2404,0.1652,4.8017,9.415
E0078,2026-02-01T00:00:00Z,3.3854,1.6595,3.1887,-0.9317,5.5553,9.1545
E0079,2026-02-01T00:00:00Z,3.1555,3.7787,1.4754,0.2575,6.3053,8.2206
E0080,2026-02-01T00:00:00Z,2.134,3.4785,1.1976,-0.0776,5.6651,10.7656
E0081,2026-02-01T00:00:00Z,3.1475,2.5815,3.9039,0.5949,6.0693,7.3738
E0082,2026-02-01T00:00:00Z,4.0367,2.9788,1.0465,-0.0074,5.6684,9.1058
E0083,2026-02-01T00:00:00Z,1.9309,2.0817,2.9798,0.2157,5.5446,11.8226
E0084,2026-02-01T00:00:00Z,2.0808,2.0504,2.8278,-2.3237,3.8177,9.4066
E0085,2026-02-01T00:00:00Z,2.277,3.4777,4.2328,0.1494,5.1882,10.0236
E0086,2026-02-01T00:00:00Z,2.9913,1.9195,2.8229,0.5064,4.8305,7.5789
E0087,2026-02-01T00:00:00Z,2.6115,2.5375,4.4947,-0.2516,3.7689,5.6134
E0088,2026-02-01T00:00:00Z,3.4727,3.5792,2.7378,0.6226,6.753,8.0877
E0089,2026-02-01T00:00:00Z,2.3222,1.4032,3.5007,-0.3597,5.746,10.528
E0090,2026-02-01T00:00:00Z,2.9679,2.1431,2.408,0.5055,6.519,9.6248
E0091,2026-02-01T00:00:00Z,4.5754,4.7872,4.0323,-0.8829,1.9047,8.185
E0092,2026-02-01T00:00:00Z,3.4906,2.3473,2.5529,-0.72,7.1911,7.9597
E0093,2026-02-01T00:00:00Z,2.472,3.6711,2.3845,-0.5973,4.0868,8.2221
E0094,2026-02-01T00:00:00Z,3.5307,0.6774,4.2085,0.2006,4.7307,9.2217
E0095,2026-02-01T00:00:00Z,3.0996,5.1585,3.1304,0.5497,4.4095,10.1312
