entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-01-01T00:00:00Z,3.2419,3.2653,3.6914,0.0531,4.7489,9.1719
E0001,2026-01-01T00:00:00Z,4.6305,2.8317,3.4889,1.7318,3.8357,8.4683
E0002,2026-01-01T00:00:00Z,3.0689,5.4784,1.9376,-0.2373,4.2797,9.4222
E0003,2026-01-01T00:00:00Z,1.6351,4.0701,3.766,2.1311,7.1194,8.8122
E0004,2026-01-01T00:00:00Z,2.5901,0.5279,3.9558,0.0072,3.4953,7.4153
E0005,2026-01-01T00:00:00Z,2.8094,0.7574,0.9709,0.541,3.3296,8.9162
E0006,2026-01-01T00:00:00Z,2.0163,3.6941,2.9277,-0.3338,8.2206,8.9858
E0007,2026-01-01T00:00:00Z,3.4998,2.5802,5.0424,1.1414,5.5781,9.2403
E0008,2026-01-01T00:00:00Z,3.4631,0.2656,3.5769,0.4786,5.5916,6.9943
E0009,2026-01-01T00:00:00Z,2.6496,3.7268,4.3798,-0.1985,5.8402,8.1728
E0010,2026-01-01T00:00:00Z,2.5291,2.6543,3.4059,-1.4572,4.5182,7.7611
E0011,2026-01-01T00:00:00Z,2.3719,5.0547,5.0824,1.3532,4.7919,7.4011
E0012,2026-01-01T00:00:00Z,3.9738,3.0073,3.2849,-0.4042,4.6339,9.1137
E0013,2026-01-01T00:00:00Z,2.19,2.0741,2.2423,0.4766,6.4909,8.6401
E0014,2026-01-01T00:00:00Z,1.68,2.4028,4.5603,1.2871,4.1276,10.2074
E0015,2026-01-01T00:00:00Z,2.7724,4.3507,2.4857,-0.7915,6.0917,9.8877
E0016,2026-01-01T00:00:00Z,2.5897,1.0125,4.4334,1.766,5.231,7.9084
E0017,2026-01-01T00:00:00Z,1.9172,1.7713,3.8176,0.7102,5.7005,8.7725
E0018,2026-01-01T00:00:00Z,2.6286,0.9828,3.3937,-0.2061,4.5007,8.9983
E0019,2026-01-01T00:00:00Z,3.4767,-0.9719,4.1713,0.3367,6.3696,9.2559
E0020,2026-01-01T00:00:00Z,3.1173,1.9407,2.8568,-1.5595,4.4878,8.3635
E0021,2026-01-01T00:00:00Z,4.067,0.7441,2.0981,-0.4913,4.3845,10.0998
E0022,2026-01-01T00:00:00Z,1.5534,0.4741,4.0934,-1.7578,5.6603,7.3291
E0023,2026-01-01T00:00:00Z,1.8634,5.2477,3.1543,2.4079,3.512,7.8413
E0024,2026-01-01T00:00:00Z,1.4355,2.2483,2.4487,0.8103,4.8395,9.9666
E0025,2026-01-01T00:00:00Z,2.6581,2.215,2.2962,-0.4698,6.6084,9.8425
E0026,2026-01-01T00:00:00Z,4.001,2.3579,3.2175,-0.2963,5.7607,9.8047
E0027,2026-01-01T00:00:00Z,2.6821,2.2789,3.194,-0.5303,6.8816,8.8522
E0028,2026-01-01T00:00:00Z,1.6722,2.9388,6.2455,0.4283,5.9074,9.2856
E0029,2026-01-01T00:00:00Z,2.5644,4.1579,2.3793,0.1157,4.4918,10.8211
E0030,2026-01-01T00:00:00Z,1.9884,4.1563,3.6366,-1.3418,7.3937,9.1912
E0031,2026-01-01T00:00:00Z,4.6141,2.2967,3.8164,0.0868,7.6615,8.0101
E0032,2026-01-01T00:00:00Z,3.3254,0.1366,3.0499,0.8344,3.9414,9.295
E0033,2026-01-01T00:00:00Z,2.63,4.884,1.9391,0.1322,5.0262,8.8703
E0034,2026-01-01T00:00:00Z,2.0945,6.1922,2.2089,0.7249,5.5758,9.6782
E0035,2026-01-01T00:00:00Z,2.9403,2.869,4.402,-0.2234,6.2734,10.0614
E0036,2026-01-01T00:00:00Z,3.5734,3.9664,2.9468,0.6937,5.8718,8.9063
E0037,2026-01-01T00:00:00Z,4.4651,3.6032,3.124,-0.1939,4.7057,9.8504
E0038,2026-01-01T00:00:00Z,2.7129,1.6058,3.7408,1.1581,6.2238,8.7253
E0039,2026-01-01T00:00:00Z,2.4003,2.5893,1.7895,-1.0121,8.3342,8.9745
E0040,2026-01-01T00:00:00Z,3.5102,1.2144,3.4916,0.571,5.7614,10.5184
E0041,2026-01-01T00:00:00Z,3.884,1.31,4.7015,0.21,7.1093,9.2418
E0042,2026-01-01T00:00:00Z,1.2569,3.8935,3.15,-1.0295,5.0965,8.7851
E0043,2026-01-01T00:00:00Z,1.9701,1.0332,3.6735,1.2796,4.8277,9.955
E0044,2026-01-01T00:00:00Z,3.1716,4.9423,3.0828,-0.9902,4.4316,9.7203
E0045,2026-01-01T00:00:00Z,3.5805,3.3574,2.8355,2.0515,5.0845,8.4075
E0046,2026-01-01T00:00:00Z,1.4803,4.1132,3.1202,0.1957,3.8027,8.1155
E0047,2026-01-01T00:00:00Z,4.0126,0.9934,3.7745,0.2167,5.5799,9.7088
E0048,2026-01-01T00:00:00Z,3.8227,3.2983,2.5462,-1.7479,7.0482,10.7226
E0049,2026-01-01T00:00:00Z,2.4627,2.664,2.9142,0.0789,5.8491,8.4394
E0050,2026-01-01T00:00:00Z,3.0428,6.1179,3.9075,-0.9483,5.4687,9.289
E0051,2026-01-01T00:00:00Z,2.937,1.5242,5.6693,1.0386,3.7184,8.7905
E0052,2026-01-01T00:00:00Z,2.9953,3.4793,3.4077,2.2669,8.9124,9.3258
E0053,2026-01-01T00:00:00Z,2.3056,3.2684,2.8866,-1.7819,4.5093,7.081
E0054,2026-01-01T00:00:00Z,4.0598,1.6971,3.8254,0.5553,5.2011,9.7375
