row_id,status,balance,updated_at
R00172,dormant,6244.04,1770360240000
R00203,dormant,8070.66,1770503100000
R00307,closed,3782.62,1769964180000
R00378,dormant,1782.81,1770409800000
R00160,active,4812.8,1770232920000
R00188,active,6841.38,1770553320000
R00149,dormant,6554.77,1770161940000
R00138,active,8653.01,1770260700000
R00110,closed,4516.16,1770589500000
R00026,dormant,3761.43,1770190440000
R00212,dormant,6735.25,1770331320000
R00350,closed,3429.0,1770305400000
R00137,dormant,326.07,1770544680000
R00186,active,4057.3,1770180240000
R00324,closed,5319.39,1770388620000
R00011,dormant,3957.5,1770505740000
R00282,closed,7374.03,1770234720000
R00012,closed,6346.85,1770071040000
R00327,active,1346.81,1770344460000
R00187,dormant,6453.32,1770628440000
R00296,active,6735.6,1770438540000
R00092,closed,6345.6,1770705000000
R00085,dormant,6480.72,1770551760000
R00155,dormant,4835.72,1770162360000
R00299,dormant,1977.32,1770126720000
R00304,dormant,6743.08,1770317340000
R00362,closed,3429.45,1770544860000
R00390,active,5848.08,1770299580000
R00374,closed,3298.19,1770462180000
R00395,active,4561.81,1770409680000
R00392,dormant,5676.94,1770235860000
R00383,active,1432.97,1770100260000
R00206,active,7726.45,1770612660000
R00005,closed,5733.36,1770133260000
R00159,dormant,6357.23,1770522360000
R00373,active,3852.23,1770272640000
R00223,closed,5861.48,1770397680000
R00214,closed,4563.56,1770534240000
R00268,dormant,8948.38,1769980380000
R00334,closed,5072.96,1770259140000
R00032,closed,6803.43,1770321240000
R00182,closed,5965.08,1770384480000
R00197,dormant,4629.87,1770148980000
R00222,active,6540.64,1769977500000
R00023,active,6464.55,1770231060000
R00069,closed,1415.19,1770176940000
R00071,dormant,7269.04,1770572220000
R00262,dormant,7243.31,1769919240000
R00364,active,2239.09,1770283500000
R00397,active,5503.62,1770469920000
R00031,dormant,6568.37,1770613620000
R00183,active,1738.36,1770584760000
R00178,closed,4773.46,1770653640000
R00021,active,8969.42,1769936340000
R00369,closed,6751.67,1770549000000
R00309,active,6036.11,1770602820000
R00150,active,4964.91,1770275220000
R00042,dormant,5537.74,1770219120000
R00275,active,7800.26,1770746940000
R00125,active,4731.73,1770311580000
R00066,active,5235.48,1770042660000
R00267,dormant,-308.25,1770243180000
R00038,dormant,4859.36,1769980320000
R00000,dormant,5081.03,1770027180000
R00253,active,2864.51,1770340620000
R00087,dormant,3580.3,1770384180000
R00358,active,6546.21,1770277500000
R00318,active,8506.61,1770245580000
R00086,closed,5049.68,1770293940000
R00063,dormant,2542.85,1770295500000
R00217,dormant,6916.4,1770324840000
R00010,active,2843.29,1770211020000
R00062,active,815.42,1770583260000
R00176,dormant,9782.34,1770039420000
R00043,dormant,3410.11,1770576060000
R00241,closed,4964.32,1770387240000
R00115,active,7324.89,1770377580000
R00114,active,7855.76,1770139500000
R00387,active,4363.13,1770255300000
R00177,dormant,2501.18,1770399540000
R00365,dormant,5504.23,1770369060000
R00388,active,2430.32,1770461400000
R00192,active,5408.69,1770307320000
R00020,closed,7780.71,1770234360000
R00175,dormant,5353.27,1770537060000
R00135,dormant,6532.22,1770255780000
R00305,dormant,6449.69,1770141180000
R00228,dormant,4081.69,1770225840000
R00375,dormant,3776.01,1770421380000
R00044,closed,4339.93,1770466440000
