row_id,account_id,event_time,amount,category
R00000,A0023,1767230400000,8.38,grocery
R00001,A0050,1767247740000,75.24,rent
R00002,A0078,1767248580000,161.73,travel
R00003,A0017,1767249660000,72.46,rent
R00004,A0097,1767268140000,149.38,other
R00005,A0031,1767268620000,49.99,other
R00006,A0089,1767271380000,17.16,other
R00007,A0006,1767273240000,31.64,other
R00008,A0015,1767287040000,3.1,salary
R00009,A0098,1767311100000,47.35,grocery
R00010,A0089,1767342480000,20.24,travel
R00011,A0098,1767342960000,3.78,salary
R00012,A0099,1767350220000,16.0,grocery
R00013,A0028,1767377880000,45.3,salary
R00014,A0011,1767390300000,24.2,rent
R00015,A0116,1767394140000,6.11,travel
R00016,A0042,1767398100000,20.29,other
R00017,A0116,1767401280000,48.63,other
R00018,A0038,1767425640000,41.99,grocery
R00019,A0008,1767426540000,12.56,grocery
R00020,A0089,1767430200000,112.3,salary
R00021,A0009,1767438600000,4.28,grocery
R00022,A0057,1767454200000,136.57,salary
R00023,A0052,1767461400000,137.34,salary
R00024,A0069,1767462480000,19.35,salary
R00025,A0060,1767462480000,3.78,travel
R00026,A0081,1767464400000,86.68,other
R00027,A0002,1767469320000,3.81,travel
R00028,A0014,1767498360000,32.79,other
R00029,A0039,1767501360000,13.17,grocery
R00030,A0070,1767503280000,12.9,grocery
R00031,A0113,1767512040000,44.19,other
R00032,A0050,1767514740000,26.18,other
R00033,A0015,1767517560000,55.03,other
R00034,A0087,1767518580000,29.84,grocery
R00035,A0072,1767532260000,52.98,salary
R00036,A0029,1767533880000,4.79,travel
R00037,A0104,1767547200000,10.12,salary
R00038,A0077,1767562260000,13.18,travel
R00039,A0050,1767581700000,38.22,travel
R00040,A0004,1767603840000,7.81,rent
R00041,A0024,1767618420000,11.93,travel
R00042,A0108,1767638700000,40.81,grocery
R00043,A0101,1767676440000,11.82,travel
R00044,A0072,1767694800000,31.92,grocery
R00045,A0078,1767696900000,78.18,rent
R00046,A0067,1767697260000,5.78,other
R00047,A0094,1767702960000,34.16,salary
R00048,A0097,1767713040000,23.05,salary
R00049,A0002,1767716400000,3.09,other
R00050,A0086,1767726900000,46.31,salary
R00051,A0067,1767741120000,20.64,grocery
R00052,A0098,1767758880000,7.64,travel
R00053,A0077,1767781560000,6.26,rent
R00054,A0018,1767788880000,10.05,salary
R00055,A0082,1767815760000,27.77,other
R00056,A0037,1767826020000,70.28,rent
R00057,A0000,1767829320000,24.33,salary
R00058,A0059,1767830160000,45.1,salary
R00059,A0079,1767851760000,61.69,other
R00060,A0105,1767862800000,23.4,salary
R00061,A0108,1767876360000,13.67,rent
R00062,A0053,1767877620000,46.82,other
