account_id,label_time,churned
A0000,1773578048000,0
A0001,1773637247000,1
A0002,1772646308000,0
A0003,1772538873000,1
A0004,1772229082000,0
A0005,1772988530000,1
A0006,1772261586000,0
A0007,1772432626000,0
A0008,1772649861000,1
A0009,1772689234000,0
A0010,1772051862000,1
A0011,1772534921000,1
A0012,1772953278000,1
A0013,1773395096000,0
A0014,1773049803000,1
A0015,1772353992000,0
A0016,1773457528000,1
A0017,1772114377000,1
A0018,1773679018000,1
A0019,1772279422000,1
A0020,1773664801000,1
A0021,1772097281000,0
A0022,1772595498000,1
A0023,1772006643000,0
A0024,1773652857000,0
A0025,1772230811000,0
A0026,1772074615000,1
A0027,1772517177000,1
A0028,1773387375000,1
A0029,1773475158000,1
A0030,1772817960000,1
A0031,1773478430000,0
A0032,1772229908000,1
A0033,1773480801000,0
A0034,1772328369000,0
A0035,1773657936000,0
A0036,1773465856000,0
A0037,1772421285000,0
A0038,1772598893000,0
A0039,1772508238000,0
A0040,1772082729000,0
A0041,1773368617000,0
A0042,1772749040000,1
A0043,1773410976000,0
A0044,1772907780000,1
A0045,1772058756000,0
A0046,1772503230000,1
A0047,1772711158000,1
A0048,1772082590000,1
A0049,1772519391000,0
A0050,1772014076000,1
A0051,1772714250000,0
A0052,1773139817000,0
A0053,1772091157000,0
A0054,1772410218000,1
A0055,1772720648000,0
A0056,1772216045000,0
A0057,1773575570000,1
A0058,1773352473000,1
A0059,1772507614000,1
A0060,1772426933000,0
A0061,1772895347000,0
A0062,1772768983000,1
A0063,1772630152000,1
A0064,1773644527000,1
A0065,1773222203000,1
A0066,1772934925000,1
A0067,1772531671000,0
A0068,1772535892000,0
A0069,1773699342000,1
A0070,1772437919000,1
A0071,1772449152000,1
A0072,1773454717000,1
A0073,1772772128000,0
A0074,1772251989000,1
A0075,1772105420000,0
A0076,1772030311000,1
A0077,1772281389000,1
A0078,1773165818000,1
A0079,1773211704000,0
A0080,1772855330000,0
A0081,1772114417000,0
A0082,1773033921000,1
A0083,1773302445000,1
A0084,1772730074000,0
A0085,1772850752000,1
A0086,1773665490000,0
A0087,1772362015000,0
A0088,1772461928000,0
A0089,1772204532000,0
A0090,1773590241000,1
A0091,1772543830000,0
A0092,1772255588000,0
A0093,1773390279000,0
A0094,1772652971000,1
A0095,1772886241000,1
A0096,1773282426000,0
A0097,1771983705000,0
A0098,1772144617000,0
A0099,1772709132000,1
