row_id,status,balance,updated_at
R00071,active,6779.52,1770262740000
R00317,dormant,3201.22,1770034080000
R00281,closed,3489.94,1770497820000
R00376,active,4909.17,1769917800000
R00253,closed,7344.56,1770016380000
R00217,active,3024.67,1770412980000
R00297,closed,8503.5,1770346200000
R00090,active,4344.77,1770491760000
R00377,closed,3572.93,1769970840000
R00001,dormant,5602.0,1770464520000
R00080,closed,3212.27,1770410640000
R00394,closed,4832.74,1770295320000
R00162,active,6555.03,1770258120000
R00160,dormant,6210.59,1769921700000
R00012,dormant,3509.44,1770125520000
R00339,active,7683.24,1770187800000
R00313,dormant,2023.21,1770177660000
R00024,active,6369.61,1770324240000
R00122,closed,4833.4,1770108780000
R00137,dormant,5705.75,1770113100000
R00180,closed,4508.61,1770010680000
R00383,closed,4973.73,1770485880000
R00010,closed,6784.06,1770174660000
R00091,dormant,4747.09,1770326100000
R00060,closed,4289.31,1769913060000
R00289,active,5708.38,1770228060000
R00387,dormant,4649.25,1770439680000
R00177,dormant,2824.01,1770208320000
R00283,active,6950.14,1769990100000
R00172,closed,8289.02,1770057300000
R00152,active,6936.37,1770038280000
R00049,closed,8687.99,1770036900000
R00131,dormant,8447.63,1770442200000
R00205,dormant,8149.17,1770019260000
R00271,active,4021.49,1770331980000
R00264,active,4912.42,1770168180000
R00158,dormant,9835.47,1770418620000
R00270,active,1951.1,1770255780000
R00093,dormant,2888.85,1770500280000
R00005,closed,4107.39,1770260520000
R00196,active,1821.21,1770102780000
R00300,active,4335.34,1770424500000
R00086,dormant,2379.39,1770313980000
R00136,closed,2109.1,1770221100000
R00067,dormant,7098.96,1770138300000
R00043,active,4885.69,1770041880000
R00395,closed,5422.15,1769904300000
R00099,dormant,4476.37,1770046680000
R00039,dormant,2780.28,1770348060000
R00343,active,4535.69,1770072060000
R00322,active,5121.24,1770012240000
R00380,closed,7533.24,1769975580000
R00328,dormant,6234.14,1770444780000
R00252,closed,5917.75,1770086340000
R00204,closed,1638.73,1770129840000
R00193,closed,11302.15,1769958360000
R00286,closed,3238.8,1769992200000
R00273,dormant,6871.41,1769906040000
R00224,closed,4408.23,1770174660000
R00247,closed,6275.64,1770266820000
R00171,active,6242.05,1770292560000
R00148,active,5711.05,1770391920000
R00019,closed,2863.35,1770336600000
R00375,closed,2734.3,1770395760000
R00351,dormant,6265.57,1770466440000
R00397,closed,7519.8,1770031320000
R00311,active,5286.74,1770396120000
R00295,active,3057.76,1770435360000
R00176,closed,6907.99,1770306420000
R00073,active,5878.81,1769952720000
R00186,dormant,3955.11,1770145800000
R00210,closed,5834.36,1770001740000
R00239,dormant,4294.26,1770247740000
R00326,closed,5654.22,1770471300000
R00299,active,1520.22,1770009180000
R00141,closed,9044.67,1769994900000
R00133,closed,4689.35,1770381960000
R00173,active,4926.99,1770084360000
R00282,closed,2148.1,1770319440000
R00144,active,3153.21,1770146700000
R00254,dormant,10511.59,1770050460000
R00044,dormant,5703.36,1770367560000
R00054,closed,6025.4,1770022860000
R00078,dormant,6427.69,1770449580000
R00388,dormant,4731.5,1770152340000
R00157,closed,7350.92,1770300060000
R00015,closed,7009.11,1770144060000
R00329,active,8798.01,1769943360000
R00056,closed,4031.68,1769923980000
R00087,dormant,6338.22,1770444360000
R00179,dormant,6312.69,1770056460000
R00391,active,7863.95,1769973600000
R00189,closed,1065.31,1770503640000
R00111,closed,1803.09,1770119640000
R00390,closed,5431.88,1770100080000
R00038,dormant,5390.84,1770257520000
R00153,active,3578.04,1769998800000
R00154,active,2684.02,1770013740000
R00243,dormant,5119.57,1770036480000
R00308,closed,2660.93,1770268560000
R00036,active,7595.79,1770365940000
R00192,active,5034.1,1770184080000
R00191,closed,6236.24,1770017220000
R00381,closed,9037.36,1770282240000
R00132,closed,4016.01,1770075180000
R00345,active,4628.04,1769915940000
R00194,active,6479.27,1770417660000
R00337,dormant,7399.1,1770125820000
R00052,closed,5459.36,1770427320000
R00149,dormant,7020.43,1770049380000
R00312,active,5886.26,1770092820000
R00353,active,6700.75,1769913360000
R00222,dormant,4541.96,1770247200000
R00069,closed,1500.33,1769926140000
R00127,active,2788.83,1770052320000
R00181,dormant,4720.71,1769993760000
R00358,closed,7194.19,1770249780000
R00083,dormant,6232.46,1770209280000
R00370,active,5437.56,1770084840000
R00232,closed,8578.41,1770320460000
R00124,closed,4613.43,1769958000000
R00123,active,6998.55,1770282600000
R00354,dormant,7084.41,1770471240000
R00164,dormant,5866.71,1769958360000
R00009,active,3992.17,1769985000000
R00371,active,1034.36,1770119460000
R00114,closed,5392.54,1770495360000
R00128,active,5648.15,1770492480000
R00268,dormant,3308.18,1770144600000
R00057,active,4515.77,1770438660000
R00156,active,1957.2,1770068760000
R00396,active,5664.23,1769953260000
R00101,closed,3897.07,1770085080000
R00250,dormant,5173.5,1769911140000
R00115,closed,2689.81,1770155160000
R00021,dormant,3983.74,1770282780000
R00108,closed,4517.12,1770089880000
R00269,dormant,2367.09,1770137160000
R00085,dormant,5049.01,1770235920000
R00259,dormant,5932.57,1770485100000
R00034,dormant,7396.58,1770395340000
R00372,dormant,3061.19,1770367020000
R00360,closed,924.68,1770076200000
R00016,active,4234.03,1769963640000
R00068,closed,5464.75,1770394020000
R00008,closed,6274.53,1770296280000
R00072,dormant,7699.01,1770066780000
R00018,active,6747.71,1770369780000
R00110,closed,5788.69,1770379260000
R00258,active,1509.35,1770399660000
R00079,closed,6642.41,1769946000000
R00218,active,7025.48,1770234900000
R00070,dormant,5243.63,1770360420000
R00298,active,6292.38,1769946180000
R00225,dormant,4871.6,1770257040000
R00119,closed,8974.91,1770461760000
R00102,closed,2096.18,1769974680000
R00379,dormant,5329.94,1770322260000
R00151,active,4740.24,1769999940000
R00048,dormant,2006.54,1770142920000
R00359,active,6601.73,1770277740000
R00004,dormant,4844.03,1770067140000
R00325,closed,6895.75,1770328440000
R00389,active,5633.43,1770399180000
R00341,active,5137.54,1770283560000
R00166,closed,7610.64,1770059700000
R00272,dormant,3962.16,1770293460000
R00262,dormant,6883.21,1770257580000
R00352,active,4873.46,1770149640000
R00306,closed,-1348.48,1769982060000
R00031,closed,2770.62,1770429300000
R00260,closed,5387.72,1770089700000
R00150,active,6045.37,1770325680000
R00227,dormant,1602.24,1770339420000
R00338,closed,1867.66,1770193440000
R00032,active,5077.03,1770209700000
R00195,active,5985.77,1770342300000
R00138,active,4952.7,1770058440000
R00155,active,6471.3,1770089580000
R00296,active,2444.97,1769983500000
R00063,dormant,6097.96,1770023940000
R00342,dormant,5766.23,1769932800000
R00017,closed,4809.03,1770499560000
R00040,closed,5338.84,1770282000000
R00236,active,6792.61,1770455700000
R00215,dormant,7675.81,1770156300000
R00106,active,7083.64,1770500040000
R00276,dormant,5234.46,1770383640000
