row_id,account_id,event_time,amount,category
R00000,A0096,1772409600000,83.76,travel
R00001,A0089,1772409660000,2.51,other
R00002,A0035,1772409960000,5.59,rent
R00003,A0142,1772411460000,11.26,other
R00004,A0088,1772412540000,15.18,salary
R00005,A0124,1772412600000,22.05,grocery
R00006,A0008,1772414760000,47.51,other
R00007,A0111,1772415540000,312.13,grocery
R00008,A0006,1772415720000,6.77,rent
R00009,A0108,1772416680000,47.92,rent
R00010,A0097,1772417160000,42.41,salary
R00011,A0064,1772417880000,48.14,salary
R00012,A0129,1772418840000,12.65,grocery
R00013,A0106,1772419200000,4.14,grocery
R00014,A0053,1772419440000,7.34,rent
R00015,A0061,1772419500000,37.06,rent
R00016,A0144,1772419500000,12.24,other
R00017,A0006,1772419620000,8.18,salary
R00018,A0116,1772420160000,19.66,travel
R00019,A0122,1772422320000,113.67,salary
R00020,A0131,1772422920000,17.0,rent
R00021,A0084,1772422980000,11.42,grocery
R00022,A0006,1772423520000,18.43,rent
R00023,A0024,1772424600000,18.62,travel
R00024,A0140,1772424840000,1.5,rent
R00025,A0138,1772425200000,195.14,salary
R00026,A0063,1772425380000,49.46,travel
R00027,A0009,1772426340000,52.86,other
R00028,A0052,1772428140000,16.35,travel
R00029,A0071,1772429220000,47.31,grocery
R00030,A0051,1772430000000,16.84,other
R00031,A0057,1772430120000,14.29,grocery
R00032,A0072,1772430240000,12.26,rent
R00033,A0051,1772431200000,21.45,other
R00034,A0076,1772432100000,9.6,travel
R00035,A0012,1772432160000,12.78,travel
R00036,A0149,1772432580000,416.73,other
R00037,A0098,1772432700000,29.27,grocery
R00038,A0046,1772432760000,8.11,salary
R00039,A0117,1772433240000,5.19,other
R00040,A0064,1772433480000,17.95,other
R00041,A0055,1772434260000,15.24,grocery
R00042,A0050,1772435460000,5.14,other
R00043,A0131,1772436480000,6.1,travel
R00044,A0011,1772436660000,15.32,travel
R00045,A0092,1772436960000,89.24,travel
R00046,A0085,1772438700000,69.02,salary
R00047,A0066,1772438880000,14.47,grocery
R00048,A0030,1772438940000,7.05,salary
R00049,A0119,1772439600000,11.82,other
R00050,A0139,1772439720000,22.22,travel
R00051,A0017,1772440020000,41.3,rent
R00052,A0135,1772440560000,19.36,salary
R00053,A0092,1772442000000,92.57,travel
R00054,A0124,1772442420000,14.75,other
R00055,A0021,1772443980000,59.46,rent
R00056,A0048,1772444340000,83.13,other
R00057,A0009,1772444700000,14.06,rent
R00058,A0115,1772446740000,28.57,salary
R00059,A0009,1772447340000,29.43,rent
R00060,A0049,1772447640000,12.7,salary
R00061,A0132,1772447940000,101.94,grocery
R00062,A0021,1772448600000,55.16,other
R00063,A0146,1772448660000,24.62,salary
R00064,A0116,1772449200000,23.17,salary
R00065,A0087,1772450340000,6.21,other
R00066,A0005,1772452800000,17.81,travel
R00067,A0088,1772452980000,21.83,salary
R00068,A0001,1772454720000,7.82,travel
R00069,A0009,1772455020000,25.78,travel
R00070,A0106,1772455260000,20.69,travel
R00071,A0000,1772455680000,22.76,other
R00072,A0112,1772455800000,36.37,travel
R00073,A0116,1772456400000,13.5,rent
R00074,A0102,1772457840000,116.33,other
R00075,A0109,1772458320000,59.91,other
R00076,A0101,1772460000000,8.04,rent
R00077,A0008,1772460120000,46.94,travel
R00078,A0091,1772460420000,6.33,travel
R00079,A0000,1772461260000,1.64,other
R00080,A0092,1772462940000,40.59,grocery
R00081,A0006,1772463300000,16.01,rent
R00082,A0060,1772463420000,12.68,other
R00083,A0020,1772464200000,6.69,rent
R00084,A0006,1772465160000,21.11,salary
R00085,A0111,1772467320000,171.46,rent
R00086,A0004,1772467380000,6.26,other
R00087,A0082,1772467560000,27.43,travel
R00088,A0082,1772468220000,326.87,travel
R00089,A0053,1772468400000,112.85,travel
R00090,A0047,1772468580000,31.73,other
R00091,A0058,1772468820000,11.07,travel
R00092,A0136,1772469720000,8.52,grocery
R00093,A0134,1772470260000,40.72,rent
R00094,A0062,1772470500000,21.6,rent
R00095,A0058,1772470620000,33.11,salary
R00096,A0018,1772471640000,74.04,travel
R00097,A0096,1772471700000,35.83,rent
R00098,A0129,1772473860000,36.49,rent
R00099,A0097,1772474580000,14.93,travel
R00100,A0070,1772475420000,43.32,travel
R00101,A0134,1772476260000,66.35,travel
R00102,A0133,1772476620000,25.4,grocery
R00103,A0056,1772477220000,28.84,other
R00104,A0096,1772477220000,2.35,salary
R00105,A0121,1772477400000,155.36,rent
R00106,A0058,1772477520000,6.23,travel
R00107,A0128,1772478120000,51.81,rent
R00108,A0052,1772478600000,17.13,salary
R00109,A0097,1772478600000,342.22,rent
R00110,A0096,1772479320000,9.08,other
R00111,A0082,1772481180000,45.57,travel
R00112,A0149,1772481420000,4.8,salary
R00113,A0108,1772482020000,36.88,travel
R00114,A0037,1772482620000,4.13,salary
R00115,A0053,1772483160000,93.28,other
R00116,A0014,1772483580000,15.68,salary
R00117,A0028,1772484300000,4.71,other
R00118,A0050,1772484960000,49.5,rent
R00119,A0010,1772485020000,24.1,salary
R00120,A0001,1772485620000,28.32,other
R00121,A0081,1772486040000,43.8,travel
R00122,A0127,1772487480000,17.22,other
R00123,A0122,1772490480000,7.1,travel
R00124,A0102,1772491440000,15.64,other
R00125,A0051,1772492280000,36.91,rent
R00126,A0076,1772492460000,225.98,rent
R00127,A0111,1772493840000,16.71,rent
R00128,A0029,1772494980000,15.16,grocery
R00129,A0139,1772495460000,9.86,other
