account_id,event_time,health_score
A0000,1767350592000,47.72
A0000,1773052990000,89.12
A0001,1767279620000,46.18
A0001,1773403806000,6.66
A0002,1767270639000,45.46
A0002,1773310137000,13.85
A0003,1767261194000,42.72
A0003,1773546881000,14.48
A0004,1767280803000,56.87
A0004,1772744467000,10.67
A0005,1767349636000,54.05
A0005,1773091522000,5.58
A0006,1767241307000,53.42
A0006,1773162618000,86.98
A0007,1767323040000,49.32
A0007,1772517477000,9.0
A0008,1767374152000,45.06
A0008,1774021588000,13.58
A0009,1767275415000,43.32
A0009,1773752293000,7.68
A0010,1767240615000,47.01
A0010,1773624638000,93.44
A0011,1767289258000,55.66
A0011,1773150541000,86.32
A0012,1767273779000,43.33
A0012,1773619620000,11.88
A0013,1767239642000,42.08
A0013,1774612029000,85.47
A0014,1767276329000,43.52
A0014,1774250570000,89.69
A0015,1767264399000,52.17
A0015,1773135562000,87.48
A0016,1767334879000,46.48
A0016,1773087943000,90.46
A0017,1767306793000,57.22
A0017,1773886788000,14.1
A0018,1767386271000,45.59
A0018,1773414030000,89.66
A0019,1767339292000,53.2
A0019,1773506003000,90.28
A0020,1767307702000,49.57
A0020,1773330102000,11.93
A0021,1767274879000,50.16
A0021,1773916335000,11.92
A0022,1767260911000,48.97
A0022,1773888916000,93.27
A0023,1767270945000,54.91
A0023,1773343753000,12.17
A0024,1767396065000,45.41
A0024,1774330973000,11.9
A0025,1767335079000,48.83
A0025,1773293867000,85.59
A0026,1767320522000,54.12
A0026,1772756801000,89.22
A0027,1767387836000,46.88
A0027,1773041079000,88.14
A0028,1767325713000,46.12
A0028,1773851973000,86.32
A0029,1767265510000,49.77
A0029,1773236331000,13.66
A0030,1767256259000,37.57
A0030,1774083140000,7.26
A0031,1767301684000,48.63
A0031,1772478272000,8.4
A0032,1767302235000,49.13
A0032,1773956435000,91.76
A0033,1767323277000,40.89
A0033,1773569309000,90.03
A0034,1767245574000,53.19
A0034,1774317197000,12.15
A0035,1767252412000,53.35
A0035,1773610273000,90.88
A0036,1767254859000,39.97
A0036,1772568438000,10.38
A0037,1767225854000,45.72
A0037,1773505097000,88.04
A0038,1767265661000,57.35
A0038,1773718210000,10.59
A0039,1767351480000,52.62
A0039,1774038179000,90.05
A0040,1767228056000,51.26
A0040,1773154338000,86.26
A0041,1767339690000,42.33
A0041,1773184496000,10.42
A0042,1767349582000,51.85
A0042,1773507228000,8.03
A0043,1767395083000,50.81
A0043,1773262435000,7.66
A0044,1767370272000,43.22
A0044,1774078117000,85.08
A0045,1767274708000,61.12
A0045,1773833880000,8.16
A0046,1767371151000,48.32
A0046,1774205700000,12.34
A0047,1767269064000,39.96
A0047,1773001655000,89.59
A0048,1767245389000,48.14
A0048,1773118761000,13.52
A0049,1767277937000,47.45
A0049,1773427746000,10.55
A0050,1767297848000,57.58
A0050,1774051810000,7.57
A0051,1767388902000,51.59
A0051,1773054976000,91.94
A0052,1767234262000,57.24
A0052,1773466156000,5.39
A0053,1767384877000,39.94
A0053,1774272616000,93.16
A0054,1767377801000,51.37
A0054,1773139698000,14.99
A0055,1767307147000,59.31
A0055,1773919424000,10.22
A0056,1767254104000,52.23
A0056,1773835553000,86.98
A0057,1767369481000,50.61
A0057,1772826306000,14.12
A0058,1767304812000,51.42
A0058,1773456802000,10.42
A0059,1767320621000,52.24
A0059,1772735517000,91.0
A0060,1767344162000,56.77
A0060,1772871771000,94.66
A0061,1767237579000,48.11
A0061,1773249135000,92.98
A0062,1767322432000,55.36
A0062,1773374244000,9.91
A0063,1767356679000,51.55
A0063,1773532085000,12.61
A0064,1767366545000,43.45
A0064,1773535651000,5.86
A0065,1767253708000,54.51
A0065,1773701386000,87.41
A0066,1767378624000,51.4
A0066,1773048804000,6.28
A0067,1767280782000,51.38
A0067,1774328936000,11.87
A0068,1767308471000,44.18
A0068,1773516143000,89.23
A0069,1767311008000,44.05
A0069,1773888605000,11.27
A0070,1767267616000,52.29
A0070,1773790393000,87.16
A0071,1767312843000,47.76
A0071,1773590512000,8.9
A0072,1767347920000,50.58
A0072,1774122211000,6.59
A0073,1767241170000,52.4
A0073,1773359765000,85.16
A0074,1767258513000,44.81
A0074,1774366714000,13.5
A0075,1767326667000,55.66
A0075,1774188793000,90.42
A0076,1767371239000,55.04
A0076,1772881901000,93.34
A0077,1767356912000,58.92
A0077,1773370586000,11.07
