account_id,event_time,sessions_7d
A0000,1767258281000,29
A0000,1767889456000,24
A0000,1768449776000,3
A0000,1769062428000,29
A0000,1769689344000,24
A0000,1770334075000,10
A0000,1770912115000,17
A0000,1771521288000,0
A0000,1772131793000,4
A0000,1772684614000,29
A0000,1773360724000,25
A0000,1773952479000,28
A0000,1774493363000,14
A0001,1767288322000,24
A0001,1767854980000,37
A0001,1768501714000,33
A0001,1769059971000,39
A0001,1769713101000,9
A0001,1770259080000,31
A0001,1770867817000,1
A0001,1771535536000,25
A0001,1772133360000,38
A0001,1772758736000,1
A0001,1773327066000,12
A0001,1773951417000,24
A0001,1774514755000,2
A0002,1767290199000,29
A0002,1767923551000,9
A0002,1768518948000,38
A0002,1769175984000,23
A0002,1769774583000,3
A0002,1770319001000,21
A0002,1770922288000,3
A0002,1771596761000,5
A0002,1772135729000,14
A0002,1772751711000,14
A0002,1773341674000,27
A0002,1773994487000,9
A0002,1774558411000,3
A0003,1767318920000,24
A0003,1767941542000,16
A0003,1768522693000,5
A0003,1769114342000,12
A0003,1769742943000,14
A0003,1770337361000,39
A0003,1770957586000,0
A0003,1771548384000,39
A0003,1772187977000,3
A0003,1772786680000,21
A0003,1773316963000,28
A0003,1773973818000,18
A0003,1774563647000,21
A0004,1767364183000,33
A0004,1767919469000,12
A0004,1768549127000,3
A0004,1769149628000,32
A0004,1769754772000,23
A0004,1770361701000,0
A0004,1770934391000,9
A0004,1771592717000,29
A0004,1772223607000,7
A0004,1772821597000,16
A0004,1773357148000,7
A0004,1773961832000,25
A0004,1774587717000,5
A0005,1767335670000,13
A0005,1767949243000,18
A0005,1768499131000,4
A0005,1769147806000,4
A0005,1769724239000,1
A0005,1770369757000,18
A0005,1770958486000,37
A0005,1771603223000,16
A0005,1772149032000,32
A0005,1772746264000,26
A0005,1773340779000,32
A0005,1773997693000,27
A0005,1774569764000,23
A0006,1767341654000,21
A0006,1767893617000,8
A0006,1768517649000,11
A0006,1769113815000,6
A0006,1769739578000,13
A0006,1770323672000,11
A0006,1770921937000,31
A0006,1771504454000,8
A0006,1772112195000,25
A0006,1772733352000,16
A0006,1773387464000,6
A0006,1773954074000,28
A0006,1774543140000,29
A0007,1767349011000,12
A0007,1767925059000,5
A0007,1768544879000,4
A0007,1769172130000,35
A0007,1769746399000,14
A0007,1770369689000,14
A0007,1770970480000,35
A0007,1771558141000,31
A0007,1772226634000,31
A0007,1772764369000,5
A0007,1773414721000,1
A0007,1773963174000,31
A0007,1774617899000,18
A0008,1767264954000,26
