account_id,f1,f2,f3,f4
A0000,-4.0247,-0.5316,1.5884,-6.8473
A0001,-2.8592,-0.1606,1.6892,-5.7647
A0002,-4.0976,0.0262,0.5784,-6.2765
A0003,-3.3684,-0.5241,1.5752,-6.136
A0004,-3.0627,0.1527,1.7917,-6.1946
A0005,-4.1715,0.2924,0.0369,-6.596
A0006,-6.8995,-0.1318,1.9415,-6.9897
A0007,-0.6716,-0.4342,1.9716,-3.1424
A0008,-1.6233,0.5824,1.76,-4.7284
A0009,-8.8804,-0.4977,0.4378,-3.1705
A0010,-2.048,0.7254,2.5324,-3.0731
A0011,0.8381,0.0692,2.012,-5.7412
A0012,-6.3112,-0.1715,1.9026,-6.979
A0013,-4.152,0.3305,1.4777,-8.7001
A0014,-1.487,-0.5401,-0.1881,-5.9407
A0015,-5.0681,0.1369,1.2854,-4.8453
A0016,-8.7113,-0.6475,1.4699,-7.1496
A0017,-5.2921,0.0723,0.7986,-1.4787
A0018,-6.6767,-0.325,1.3029,-4.2004
A0019,-4.6212,-0.1473,1.2942,-5.5488
A0020,-5.7271,0.0319,1.8592,-4.9479
A0021,-2.6549,-0.0158,1.4083,-4.0689
A0022,-1.1825,-0.5687,2.5216,-2.4128
A0023,-4.4107,0.8445,0.24,-6.3052
A0024,-4.6328,0.8968,1.2604,-3.8824
A0025,-3.0107,0.4982,1.2316,-6.3046
A0026,-3.2988,0.0649,0.8361,-5.8593
A0027,-7.3468,0.546,0.7812,-8.2906
A0028,-2.9955,0.6783,1.47,-3.5008
A0029,-3.2048,-0.4314,0.6905,-8.1727
A0030,-6.7251,-0.3113,1.8058,-4.3929
A0031,-7.9075,-0.21,1.1096,-3.7538
A0032,-4.5877,0.6363,0.8169,-4.2784
A0033,-5.8167,-0.9065,1.3913,-1.9194
A0034,-7.522,-0.0467,0.9349,-4.9032
A0035,-1.526,0.2529,1.16,-3.2459
A0036,-4.799,0.4887,0.9687,-3.8095
A0037,-0.3877,0.172,1.1775,-3.2548
A0038,-6.7588,-0.0786,2.6641,-4.8569
A0039,-7.7641,0.3878,1.4322,-4.0188
A0040,-3.4259,-0.0695,2.221,-2.9104
A0041,-7.7583,-0.7725,1.7799,-5.6922
A0042,-7.3808,1.1596,1.6153,-5.2537
A0043,-4.0575,-0.3714,2.0391,-5.253
A0044,-6.9569,-0.4672,1.9598,-8.3787
A0045,-2.235,-0.8202,1.6491,-8.5377
A0046,-5.1511,-0.2651,1.0888,-5.4653
A0047,-3.2764,-0.2781,0.8932,-3.3825
A0048,-6.0489,0.3027,1.9216,-5.728
A0049,-4.5606,-0.0473,1.87,-5.0071
A0050,-1.9666,0.9536,0.7468,-3.4497
A0051,0.9448,-0.3898,1.5023,-4.9616
A0052,-3.1276,0.2879,1.1373,1.0194
A0053,-3.1786,0.9153,0.9754,-2.068
A0054,-2.108,0.9203,1.5106,-8.8671
A0055,0.3345,1.0462,1.9115,-5.6684
A0056,-7.8774,-0.8566,2.2251,-7.4117
A0057,-2.1398,-0.1904,1.9717,-3.3929
A0058,-8.6476,0.2496,1.8979,-5.6277
A0059,0.6038,0.2458,2.254,-3.8965
A0060,-3.5734,0.094,-0.1276,-3.9128
A0061,-0.0174,0.2784,1.2074,-3.4593
A0062,-4.5607,-0.1681,0.2438,-7.5588
A0063,-4.1166,-0.8597,0.7815,-2.8192
A0064,-2.4858,-0.4289,0.8515,-1.8921
A0065,-0.3855,0.1855,0.9718,-4.0827
A0066,-3.5737,0.3839,1.5103,-1.4841
A0067,-3.2517,-0.6609,1.7751,-5.3583
A0068,-6.0529,-0.3194,0.7069,-4.7108
A0069,-3.3033,-0.5778,1.4436,-5.7133
A0070,-7.052,0.3824,2.076,-3.4968
A0071,-6.0754,0.1946,1.2503,-8.0544
A0072,-3.9565,0.476,1.1749,-1.3
A0073,-1.7329,0.5078,1.5276,-7.777
A0074,-6.8619,0.6788,1.1214,-8.622
A0075,-5.7607,-0.1513,2.2014,-5.5251
A0076,-2.0223,-0.0544,1.1789,-5.0352
A0077,-0.8783,-0.1981,1.332,-6.1322
A0078,-4.0014,-0.8934,1.4927,-4.4156
A0079,-0.1531,0.1171,1.9661,-3.3162
A0080,-4.7429,0.1224,0.8438,-6.952
A0081,-4.0983,0.2879,2.1692,-2.5115
A0082,-5.625,-0.2627,2.2047,-6.1507
A0083,-5.1597,0.2148,0.8943,-2.5169
A0084,-9.2798,-0.9158,0.2944,-4.7439
A0085,-4.8819,0.8614,1.6599,-3.258
A0086,-1.7102,-0.0439,-0.3007,-1.4951
A0087,-3.9814,-0.1778,1.5102,-2.6735
A0088,-4.3017,-1.369,2.1668,-4.663
A0089,-2.3884,0.2885,1.3792,-8.6139
A0090,-3.6939,-0.1082,1.7814,-3.2118
A0091,-2.0567,0.0862,2.0948,-2.8844
A0092,-7.788,0.4087,0.6864,0.4615
A0093,-2.7553,0.9236,1.0688,-6.4893
A0094,-4.1496,-0.678,2.0233,-3.9266
A0095,-4.0176,0.3313,0.4621,-9.3768
A0096,-5.0424,-0.1434,1.7027,-5.2916
A0097,-3.4332,-0.309,1.7926,-6.599
A0098,0.9191,0.0643,1.8694,-2.0925
A0099,-2.4662,-0.6103,0.5021,-4.286
A0100,-1.7456,0.1244,2.8689,-5.4808
A0101,-4.9673,0.0904,1.6052,-4.4853
A0102,-9.212,0.1959,1.5264,-3.6495
A0103,-1.7747,0.6266,1.623,-3.5954
A0104,-2.2509,0.2256,0.6528,-4.6845
A0105,-3.9302,-0.0203,1.1374,-5.5542
A0106,-4.3841,0.1925,1.7768,-2.1862
A0107,-5.2539,-0.3659,0.3662,-5.8868
A0108,-3.941,0.173,1.8006,-6.9052
A0109,-5.2265,0.0165,0.4991,-4.0748
A0110,-0.6528,0.6165,1.8814,-3.7183
A0111,-4.262,0.246,0.7021,-5.0913
A0112,-5.1667,-0.3537,1.5342,-6.17
A0113,-4.2159,0.4308,0.6042,-6.432
A0114,-2.5388,0.4068,1.6442,-5.6714
A0115,-2.8844,0.5575,1.948,-4.997
A0116,0.8921,-0.0142,1.2461,-6.5647
A0117,-3.1195,0.1419,2.0627,-1.7856
A0118,0.1085,0.3767,1.7725,-5.7558
A0119,-8.9522,0.0452,1.0524,-1.7937
