user_id,e1,e2,e3,e4,e5,e6,e7,e8
U0000,0.1117,-0.0184,-1.2124,0.6493,1.7709,-0.5708,-0.2642,0.1381
U0001,0.1756,0.3311,0.3545,-0.488,-0.56,0.1471,-0.2373,-1.4407
U0002,0.3879,-0.5499,0.7278,-0.1397,0.0947,-1.3086,1.9843,-0.4311
U0003,-0.5931,0.6561,1.8604,0.2816,-0.1446,-1.3989,1.7713,0.7004
U0004,0.9453,-0.6321,1.2441,-0.0949,-0.1975,0.2759,0.1014,-0.5207
U0005,0.7382,0.7042,-1.1202,2.4316,-0.8925,-0.1046,0.0605,-0.1042
U0006,0.5446,0.3401,0.9131,-1.2658,0.854,-0.6954,-0.7234,1.3479
U0007,-0.7505,0.1001,-0.7182,1.9622,1.3456,-0.6439,-0.9556,-0.608
U0008,0.4754,1.4676,-0.1461,0.1738,-0.744,-0.1489,-0.2293,0.3885
U0009,0.2017,-0.6065,-0.7648,0.239,-1.048,0.7217,-1.5873,-0.7485
U0010,-0.3713,0.0339,0.4156,2.3658,0.9192,-1.4552,-0.5237,-1.5538
U0011,0.891,0.665,1.0323,-1.2726,0.2198,0.1237,-1.7888,0.3041
U0012,0.9991,-0.1625,0.0364,0.9091,-1.0086,0.6618,0.6919,-0.1112
U0013,0.6237,-0.2316,0.9141,0.6802,1.4565,-0.1029,-0.512,0.703
U0014,0.0158,-1.589,1.1142,1.1506,0.162,-0.7281,0.034,0.0406
U0015,-0.5554,-0.2639,-2.2133,-0.7452,0.0369,-1.2963,0.3124,1.9493
U0016,-1.3952,-2.0515,-0.7001,1.1603,0.6256,2.1992,-1.0828,-1.0155
U0017,1.0349,1.2097,-0.0849,-0.7432,0.9518,1.0882,-2.2117,1.4409
U0018,-0.1494,-0.0153,0.2494,-1.7892,0.1937,0.8256,-0.4951,0.946
U0019,0.094,-1.4784,0.3484,-0.6652,-1.356,-0.4788,-0.9441,0.7445
U0020,-0.1107,-1.146,-1.2472,0.736,-0.7767,0.9079,-0.0688,1.2524
U0021,1.0676,-0.303,-1.4492,0.3509,1.3958,-0.4916,1.9257,-1.1544
U0022,-1.9626,-1.5942,1.5893,-1.0388,-0.0588,1.0885,-1.1421,-1.0954
U0023,1.6498,-0.352,0.2777,0.1166,1.1,0.4626,-0.8536,-0.6052
U0024,-0.218,-0.0573,0.5557,0.5924,-1.0174,0.3268,0.1515,0.4128
U0025,-0.8147,0.6854,0.5744,0.7067,1.0717,-0.1293,1.8045,-0.1154
U0026,0.029,-1.8072,-1.0088,0.8034,0.9401,1.1866,-1.4708,0.4491
U0027,0.514,-0.2561,0.0754,-0.0036,-0.0394,-1.4008,0.9391,-1.249
U0028,-0.5503,-1.3946,-0.1228,-0.2073,-0.3406,1.2633,2.1074,1.0888
U0029,0.9169,0.7792,1.2113,0.4041,1.3434,-0.4445,1.8641,0.0868
U0030,0.0642,-0.306,2.1045,-0.0948,-0.6618,0.5677,2.3865,-1.7446
U0031,-0.4824,1.3416,-0.4102,0.1706,0.0108,2.6072,1.6002,-0.8893
U0032,0.4318,-1.3636,0.8733,0.4971,-1.7463,0.2842,-0.5719,0.088
U0033,1.8401,-0.828,0.6213,-2.4624,-0.0457,0.021,0.748,0.6397
U0034,-1.5649,-0.7657,1.3884,-1.7344,1.8235,-0.364,1.157,-1.0977
U0035,0.8955,0.2519,0.7462,3.1158,0.0652,1.077,0.1275,-0.4449
U0036,-1.6625,-0.7372,0.2521,-0.4284,0.4269,0.4407,0.1598,-0.4852
U0037,-1.3803,-1.0816,-0.0355,0.6239,-0.3799,-0.273,1.339,1.2306
U0038,-0.2238,0.427,1.2535,0.1802,0.1017,0.5068,-0.2647,-0.1475
U0039,-0.6376,-0.9426,0.6967,-1.2781,-0.3241,1.1121,-0.0917,-0.5695
