row_id,status,balance,updated_at
R00343,active,4077.56,1769965800000
R00104,closed,3821.57,1770171000000
R00215,closed,5331.81,1769923140000
R00283,closed,8200.12,1769980140000
R00147,dormant,8963.0,1770063120000
R00085,dormant,4368.13,1770463020000
R00191,closed,2650.49,1769916120000
R00223,dormant,4591.23,1769949900000
R00028,active,6651.18,1770314520000
R00097,active,5213.37,1770405900000
R00050,closed,1781.48,1769987580000
R00320,dormant,6033.42,1769928840000
R00353,closed,4358.93,1770369240000
R00385,closed,2248.16,1770263640000
R00341,closed,1959.38,1770133380000
R00127,active,8368.68,1770215100000
R00063,closed,6034.56,1770361740000
R00059,dormant,9187.26,1770377100000
R00237,active,6900.15,1770438720000
R00243,dormant,1584.63,1770062460000
R00310,closed,7540.76,1769997420000
R00244,dormant,3108.08,1770220680000
R00021,active,4501.57,1770229740000
R00152,dormant,7080.79,1770241260000
R00379,closed,4503.75,1770494100000
R00268,dormant,1567.89,1770358020000
R00053,active,8103.98,1770434040000
R00169,closed,4795.13,1770161700000
R00372,closed,4122.59,1770462240000
R00366,dormant,6005.99,1770184560000
R00157,active,5653.33,1770498600000
R00170,closed,3802.04,1770071700000
R00313,active,8761.37,1770089640000
R00187,dormant,-1220.84,1769950980000
R00089,dormant,4525.09,1770021720000
R00025,dormant,6510.08,1770245640000
R00014,active,4759.3,1770115080000
R00363,active,3415.0,1770106260000
R00373,dormant,1883.67,1770182760000
R00207,active,4886.58,1769949720000
R00220,closed,5880.47,1770263700000
R00141,closed,1790.45,1770091980000
R00226,dormant,6512.75,1770088920000
R00163,dormant,5795.69,1770030420000
R00044,closed,5794.29,1770432960000
R00319,closed,1812.24,1770399540000
R00071,dormant,6429.81,1770490200000
R00131,active,4362.26,1770005400000
R00250,active,4260.71,1770038880000
R00018,closed,5523.23,1770408300000
R00081,closed,4312.48,1770496740000
R00357,closed,4363.01,1770247740000
R00070,active,3328.56,1770345660000
R00271,closed,7134.16,1770032340000
R00022,closed,6033.15,1770465300000
R00317,dormant,3811.08,1770090180000
R00202,closed,4650.97,1769987460000
R00232,closed,7130.7,1770174420000
R00323,active,4759.14,1770292680000
R00094,closed,-915.9,1770212220000
R00338,closed,5205.34,1770347220000
R00106,closed,3317.69,1769923800000
R00005,closed,5009.02,1770403800000
R00012,closed,6737.89,1770067860000
R00318,dormant,4136.88,1770270600000
R00113,closed,9625.38,1769939940000
R00355,dormant,2775.02,1769984220000
R00292,active,6626.47,1770013620000
R00069,active,6497.21,1769937840000
R00298,active,5090.1,1769985960000
R00248,closed,6330.86,1769961240000
R00185,closed,4341.33,1770329160000
R00194,active,4767.12,1769957940000
R00340,closed,6506.24,1770423120000
R00166,dormant,8969.85,1769954460000
R00311,active,3695.96,1770232260000
R00000,dormant,7466.17,1770045960000
R00125,dormant,5062.74,1770111840000
R00165,dormant,5083.95,1770074040000
R00068,active,4359.11,1770110160000
R00398,dormant,5609.06,1770278940000
R00222,dormant,9293.39,1770282000000
R00066,active,2029.51,1770480660000
R00275,active,3838.31,1769961180000
R00350,closed,4921.04,1770359280000
R00286,closed,7278.04,1770175740000
R00092,dormant,5009.75,1770342060000
R00345,closed,4331.6,1770273960000
R00299,dormant,5805.11,1770219420000
R00367,active,4937.16,1770059100000
R00290,active,5304.62,1770491160000
R00045,active,2396.55,1769914980000
R00276,active,4771.51,1769963220000
R00174,dormant,3279.95,1770257820000
R00327,closed,4903.98,1770229020000
R00252,dormant,7681.78,1770350400000
R00117,active,4741.68,1770299760000
R00048,dormant,1453.21,1769965800000
R00176,dormant,4062.83,1770208980000
R00032,active,5088.69,1769932140000
R00279,active,4922.55,1770012000000
R00314,active,4785.69,1770158760000
