row_id,account_id,event_time,amount,category
R00349,A0067,1772670900000,8.19,salary
R00350,A0083,1772671320000,9.65,other
R00351,A0077,1772672940000,3.53,other
R00352,A0052,1772673060000,13.16,travel
R00353,A0087,1772673660000,10.75,rent
R00354,A0139,1772673780000,5.84,salary
R00355,A0148,1772673900000,72.96,salary
R00356,A0102,1772674320000,43.54,other
R00357,A0014,1772674800000,35.87,salary
R00358,A0013,1772676420000,35.02,other
R00359,A0045,1772677260000,45.06,travel
R00360,A0110,1772677440000,134.06,rent
R00361,A0107,1772677620000,5.68,rent
R00362,A0086,1772677800000,14.91,salary
R00363,A0131,1772677800000,148.02,rent
R00364,A0040,1772678220000,2.48,salary
R00365,A0134,1772679060000,22.19,grocery
R00366,A0063,1772679060000,5.42,grocery
R00367,A0034,1772679360000,20.7,travel
R00368,A0003,1772679540000,16.16,grocery
R00369,A0017,1772679780000,19.22,salary
R00370,A0046,1772680080000,50.33,grocery
R00371,A0057,1772680320000,72.09,travel
R00372,A0087,1772680740000,69.24,salary
R00373,A0030,1772681520000,10.06,rent
R00374,A0111,1772682420000,4.71,other
R00375,A0141,1772682960000,23.31,salary
R00376,A0039,1772683320000,12.82,rent
R00377,A0104,1772683380000,143.66,grocery
R00378,A0108,1772683920000,7.96,rent
R00379,A0004,1772684160000,104.84,salary
R00380,A0028,1772684820000,8.45,other
R00381,A0065,1772684820000,31.16,salary
R00382,A0015,1772684880000,10.67,rent
R00383,A0081,1772685720000,91.13,rent
R00384,A0041,1772685780000,8.13,grocery
R00385,A0127,1772687160000,35.19,travel
R00386,A0102,1772687700000,2.8,other
R00387,A0140,1772688900000,40.02,other
R00388,A0026,1772688960000,268.0,travel
R00389,A0122,1772690340000,95.89,salary
R00390,A0019,1772690760000,55.39,salary
R00391,A0000,1772691300000,10.6,travel
R00392,A0082,1772692260000,38.64,rent
R00393,A0067,1772693220000,10.86,other
R00394,A0019,1772693760000,18.64,other
R00395,A0123,1772694600000,52.33,grocery
R00396,A0013,1772694660000,2.75,grocery
R00397,A0146,1772695500000,38.97,grocery
R00398,A0091,1772696220000,18.77,other
R00399,A0027,1772697300000,25.05,grocery
R00400,A0106,1772697420000,4.35,other
R00401,A0031,1772697900000,35.61,travel
R00402,A0008,1772699100000,11.48,salary
R00403,A0046,1772703120000,73.57,grocery
R00404,A0091,1772704320000,4.95,other
R00405,A0102,1772704920000,42.69,grocery
R00406,A0006,1772704980000,49.67,salary
R00407,A0002,1772706360000,10.75,salary
R00408,A0057,1772707320000,10.5,other
R00409,A0119,1772708100000,45.25,other
R00410,A0064,1772708280000,115.33,grocery
R00411,A0130,1772708940000,18.96,salary
R00412,A0079,1772709960000,60.12,salary
R00413,A0043,1772711220000,74.62,travel
R00414,A0019,1772711460000,23.66,salary
R00415,A0069,1772711760000,151.01,other
R00416,A0035,1772712360000,13.65,other
R00417,A0015,1772712960000,38.37,travel
R00418,A0072,1772713200000,4.68,salary
R00419,A0134,1772714100000,38.21,salary
R00420,A0065,1772715000000,1.6,other
R00421,A0147,1772715000000,4.84,travel
R00422,A0027,1772715180000,30.89,travel
R00423,A0149,1772715600000,9.18,grocery
R00424,A0132,1772716140000,70.26,salary
R00425,A0106,1772717160000,18.26,other
R00426,A0014,1772717520000,62.35,rent
R00427,A0007,1772718120000,43.05,salary
R00428,A0083,1772718300000,5.36,travel
R00429,A0065,1772718600000,11.1,salary
R00430,A0125,1772719740000,60.18,salary
R00431,A0056,1772722560000,3.81,other
R00432,A0085,1772723280000,3.63,other
R00433,A0005,1772724180000,34.03,travel
R00434,A0106,1772724720000,14.0,other
R00435,A0005,1772726040000,13.99,other
R00436,A0117,1772726400000,1.74,other
R00437,A0016,1772726880000,6.29,grocery
R00438,A0026,1772729520000,6.17,rent
R00439,A0033,1772730180000,45.96,travel
R00440,A0092,1772730240000,21.65,rent
R00441,A0027,1772730660000,22.65,salary
R00442,A0028,1772731320000,11.83,rent
R00443,A0127,1772732580000,3.05,rent
R00444,A0043,1772733240000,19.79,other
R00445,A0077,1772733480000,19.52,salary
R00446,A0031,1772734020000,47.33,travel
R00447,A0060,1772735760000,26.73,travel
R00448,A0069,1772736420000,125.68,salary
R00449,A0051,1772736600000,35.45,other
R00450,A0042,1772736960000,3.04,travel
R00451,A0115,1772737020000,93.55,travel
R00452,A0070,1772737200000,11.12,travel
R00453,A0096,1772737860000,7.9,other
R00454,A0023,1772738460000,57.33,travel
R00455,A0007,1772738760000,5.72,salary
R00456,A0027,1772739180000,29.41,salary
R00457,A0015,1772739780000,7.86,grocery
R00458,A0061,1772740200000,8.46,other
R00459,A0106,1772742000000,6.03,rent
R00460,A0051,1772742000000,24.61,grocery
R00461,A0095,1772744400000,14.91,salary
R00462,A0048,1772744460000,27.2,other
R00463,A0091,1772746440000,14.93,rent
R00464,A0113,1772746560000,29.0,salary
R00465,A0104,1772748540000,3.65,salary
R00466,A0008,1772749500000,34.75,salary
R00467,A0086,1772751900000,4.92,other
R00468,A0071,1772752500000,8.26,rent
R00469,A0020,1772752980000,2.77,travel
R00470,A0138,1772753340000,14.39,grocery
R00471,A0077,1772754900000,12.14,grocery
