row_id,f1,f2,f3,f4,f5
S00000,2.528809,0.173799,-1.45555,-1.906659,-0.483883
S00001,0.63169,1.381167,-1.514167,1.09899,1.089311
S00002,0.991315,-0.382508,0.438328,-0.031354,-0.152164
S00003,-0.056399,-1.168763,-0.322824,0.514324,-0.35973
S00004,-0.40238,0.673081,0.901095,0.285631,0.685185
S00005,-0.187916,-0.31752,-0.043229,2.311011,-1.485235
S00006,-1.153396,-0.551882,0.041189,0.178534,1.515637
S00007,0.32555,0.150996,1.464596,0.419584,0.40537
S00008,1.025828,0.449987,-0.089618,-1.393367,0.714534
S00009,1.35394,1.164395,1.154059,1.028487,-0.781317
S00010,-2.129744,0.505016,-0.629187,0.489943,2.578192
S00011,-0.665191,0.810153,-0.137877,0.502546,1.816031
S00012,-1.639163,-0.609244,1.858084,-0.090178,-0.601134
S00013,0.527518,0.641473,1.123318,0.427367,-0.71477
S00014,-0.53928,0.443202,2.012698,-0.612758,-0.133058
S00015,1.034072,-0.169793,1.049193,0.937329,0.507281
S00016,0.073393,-0.23794,-0.115072,-0.459655,-0.098878
S00017,0.135845,-2.738367,0.46457,0.56994,0.61982
S00018,0.61136,0.427827,1.771951,-0.005708,-0.718709
S00019,-0.333388,-0.737011,-0.72152,-2.03088,0.519121
S00020,0.870079,0.819709,-0.944903,1.297562,0.462595
S00021,-1.786409,-1.686254,-1.291012,0.919509,1.183151
S00022,-0.725165,-0.265255,-0.300248,-1.385152,-0.218751
S00023,0.343487,1.560671,-1.74881,-1.582599,-0.259482
S00024,-2.326868,-1.16262,0.604885,-0.770853,0.609717
S00025,0.613119,0.442437,2.110475,-1.746031,-0.680574
S00026,0.176266,0.011595,0.316808,0.576616,-0.71462
S00027,0.471657,-0.933949,-0.146406,0.780803,-1.522143
S00028,-1.22009,-0.535517,1.420002,-1.088592,-0.19058
S00029,1.580448,0.497259,0.731625,0.925508,1.273511
S00030,0.541359,0.107934,0.120774,-0.878949,-0.199945
S00031,1.022652,0.61563,-0.72951,-0.165099,0.401605
S00032,0.32637,0.756957,1.079242,2.40212,0.005332
S00033,2.062419,-1.822238,-1.090452,1.628205,1.478969
S00034,0.855984,1.057357,-0.20695,-0.215036,-0.56435
S00035,-2.050889,-0.927916,0.508479,-0.219545,-2.176339
S00036,-1.728906,1.083172,-0.62486,-0.13766,0.215751
S00037,2.532495,-0.202189,2.009395,-0.125986,-0.206097
S00038,-0.132608,0.084035,1.399849,-1.14791,-0.114525
S00039,0.687985,0.352014,-1.142405,-1.14883,-1.016114
S00040,-1.205735,0.918328,1.062464,1.245365,-0.327973
S00041,-0.257284,0.912134,0.418558,0.228518,-1.603471
S00042,1.284033,-0.062491,-1.401322,-1.487356,0.9601
