row_id,status,balance,updated_at
R00168,active,5075.42,1770480660000
R00276,dormant,6724.39,1769941920000
R00396,dormant,2944.98,1769963700000
R00046,active,3053.04,1770287340000
R00224,closed,5829.67,1770178380000
R00265,active,6146.54,1770182040000
R00229,closed,4473.88,1770173700000
R00211,dormant,2713.91,1770137220000
R00069,active,1893.19,1770086940000
R00099,dormant,6160.97,1770345480000
R00285,closed,6746.61,1770231840000
R00151,dormant,6076.31,1770480660000
R00198,active,9180.8,1770396600000
R00098,dormant,2911.48,1770284100000
R00109,closed,5917.04,1770097200000
R00195,closed,7061.53,1770434340000
R00152,dormant,5621.34,1770445260000
R00202,active,7936.6,1770425760000
R00148,active,-310.58,1770430080000
R00092,active,6734.66,1769927640000
R00359,active,7032.09,1770171780000
R00174,dormant,7499.25,1770429420000
R00298,dormant,2529.55,1770326040000
R00256,dormant,-266.75,1770325800000
R00130,dormant,3322.93,1770046140000
R00004,closed,7782.4,1769947740000
R00283,closed,1052.54,1770473940000
R00037,dormant,2071.65,1770187320000
R00017,closed,4497.72,1770059100000
R00371,closed,2729.79,1770179580000
R00357,dormant,931.1,1770059880000
R00297,active,5186.34,1769983560000
R00122,closed,2111.1,1770187200000
R00139,active,5855.66,1770176040000
R00341,dormant,6614.57,1769935080000
R00063,closed,8201.15,1770346980000
R00127,dormant,4611.04,1769942880000
R00095,closed,6514.11,1770407640000
R00155,active,5715.77,1770076260000
R00277,closed,4490.29,1770369180000
R00355,active,9551.76,1770438300000
R00084,dormant,6338.69,1770253440000
R00079,active,3447.23,1769970720000
R00399,dormant,6541.18,1770114720000
R00192,active,2823.78,1769922600000
R00280,dormant,5008.3,1770134700000
R00281,active,5233.49,1770363960000
R00011,dormant,2500.52,1770468600000
R00385,closed,6343.0,1769999880000
R00072,active,3065.88,1769950860000
R00319,dormant,6540.2,1769920440000
R00076,closed,5073.77,1770234960000
R00384,active,6382.81,1770423120000
R00050,dormant,2448.6,1770465840000
R00305,active,3145.34,1770251160000
R00209,active,7505.1,1770031620000
R00089,closed,2221.93,1769929080000
R00300,closed,6194.84,1770442260000
R00136,closed,5218.62,1769964420000
R00002,dormant,7404.69,1770368100000
R00178,dormant,3136.42,1770488160000
R00212,closed,4778.08,1770420360000
R00240,dormant,4097.81,1770164820000
R00398,dormant,5042.12,1770294900000
R00159,closed,6400.46,1770154320000
R00029,closed,5944.21,1770005700000
R00304,active,4084.48,1769987400000
R00043,dormant,3772.4,1770495000000
R00060,active,6055.07,1770069120000
R00024,closed,8748.67,1770135300000
R00231,closed,3879.09,1770492600000
R00233,dormant,410.37,1770197640000
R00307,closed,3801.48,1769935500000
R00169,closed,3261.41,1770482100000
R00038,closed,7124.42,1770116520000
R00156,active,7391.78,1770298020000
R00302,dormant,299.14,1769999640000
R00094,closed,6389.39,1770211860000
R00189,closed,7724.42,1770397740000
