row_id,account_id,event_time,amount,currency
R00000,A0024,1772325720000,34.63,SEK
R00001,A0019,1772343960000,8.3,USD
R00002,A0023,1772345160000,55.2,GBP
R00003,A0025,1772353020000,3.99,EUR
R00004,A0004,1772364900000,28.34,USD
R00005,A0009,1772365560000,72.58,EUR
R00006,A0038,1772366820000,33.76,USD
R00007,A0051,1772378280000,2.66,USD
R00008,A0013,1772393580000,16.49,SEK
R00009,A0036,1772405160000,23.18,SEK
R00010,A0001,1772426340000,7.57,USD
R00011,A0035,1772428080000,38.59,USD
R00012,A0024,1772433900000,26.04,GBP
R00013,A0049,1772437620000,34.92,SEK
R00014,A0017,1772437740000,14.96,GBP
R00015,A0046,1772442000000,19.25,GBP
R00016,A0020,1772444160000,15.43,SEK
R00017,A0032,1772447820000,34.81,EUR
R00018,A0021,1772457420000,19.92,USD
R00019,A0017,1772459040000,13.8,USD
R00020,A0038,1772461260000,9.72,USD
R00021,A0004,1772469960000,14.81,GBP
R00022,A0043,1772478660000,8.91,GBP
R00023,A0014,1772480280000,1.88,EUR
R00024,A0019,1772482440000,25.25,SEK
R00025,A0040,1772496180000,25.58,SEK
R00026,A0039,1772503260000,27.08,GBP
R00027,A0052,1772514960000,13.91,USD
R00028,A0031,1772516460000,7.57,USD
R00029,A0003,1772516520000,95.46,GBP
R00030,A0023,1772520720000,8.12,GBP
R00031,A0048,1772523420000,23.05,EUR
R00032,A0048,1772553600000,79.52,SEK
R00033,A0026,1772565000000,3.52,USD
R00034,A0028,1772565480000,53.27,EUR
R00035,A0016,1772572500000,49.64,SEK
R00036,A0017,1772576100000,6.57,USD
R00037,A0015,1772580120000,3.55,USD
R00038,A0054,1772582340000,7.93,USD
R00039,A0025,1772584200000,16.4,USD
R00040,A0028,1772586480000,35.27,EUR
R00041,A0020,1772587560000,38.05,EUR
R00042,A0050,1772595780000,7.73,SEK
R00043,A0057,1772601000000,131.81,USD
R00044,A0025,1772605800000,17.27,USD
R00045,A0040,1772605860000,16.62,GBP
R00046,A0012,1772607060000,11.02,GBP
R00047,A0044,1772609640000,23.11,GBP
R00048,A0059,1772621580000,22.15,EUR
R00049,A0000,1772632800000,18.35,USD
R00050,A0038,1772634300000,43.22,EUR
R00051,A0011,1772637960000,22.39,SEK
R00052,A0004,1772639340000,52.5,USD
R00053,A0048,1772644320000,27.93,SEK
R00054,A0002,1772648760000,12.79,EUR
R00055,A0014,1772663040000,161.7,SEK
R00056,A0010,1772676060000,130.12,USD
R00057,A0047,1772681100000,26.43,GBP
R00058,A0023,1772684280000,16.15,SEK
R00059,A0033,1772688660000,48.81,EUR
R00060,A0003,1772688840000,87.29,SEK
R00061,A0009,1772693520000,12.22,USD
R00062,A0045,1772694120000,82.39,EUR
R00063,A0027,1772696760000,19.92,GBP
R00064,A0019,1772700420000,28.44,SEK
R00065,A0055,1772706600000,24.27,USD
R00066,A0039,1772706720000,31.82,SEK
R00067,A0039,1772706780000,6.52,USD
R00068,A0027,1772710800000,41.23,USD
R00069,A0013,1772712180000,5.69,USD
R00070,A0039,1772715180000,6.88,USD
R00071,A0024,1772715780000,37.0,GBP
R00072,A0038,1772716620000,7.46,SEK
R00073,A0006,1772720160000,23.85,GBP
R00074,A0014,1772726400000,6.95,USD
R00075,A0036,1772729580000,17.37,GBP
R00076,A0048,1772730300000,13.84,EUR
R00077,A0044,1772734140000,57.93,SEK
R00078,A0044,1772734440000,62.62,GBP
R00079,A0058,1772735520000,2.16,GBP
R00080,A0022,1772737140000,19.15,GBP
R00081,A0042,1772763780000,11.71,GBP
R00082,A0026,1772765640000,6.89,GBP
R00083,A0015,1772769000000,9.34,USD
R00084,A0014,1772770740000,18.14,USD
R00085,A0047,1772777760000,2.35,EUR
R00086,A0010,1772784120000,46.84,GBP
R00087,A0008,1772789880000,17.03,GBP
R00088,A0029,1772789940000,6.47,EUR
R00089,A0010,1772791500000,19.04,USD
R00090,A0054,1772799000000,38.13,SEK
R00091,A0009,1772803740000,7.59,EUR
R00092,A0000,1772819100000,5.8,EUR
R00093,A0036,1772826060000,12.95,EUR
R00094,A0031,1772827140000,3.41,GBP
R00095,A0025,1772827260000,16.8,USD
R00096,A0030,1772829180000,9.42,SEK
R00097,A0050,1772838120000,65.41,EUR
R00098,A0047,1772847720000,14.0,USD
R00099,A0058,1772848380000,7.64,GBP
R00100,A0006,1772852040000,32.6,GBP
R00101,A0043,1772853960000,65.72,SEK
R00102,A0043,1772858280000,11.71,SEK
R00103,A0048,1772864580000,7.34,GBP
R00104,A0005,1772872020000,9.58,GBP
R00105,A0031,1772891820000,43.15,USD
R00106,A0037,1772900100000,16.67,USD
R00107,A0024,1772906220000,83.28,GBP
R00108,A0016,1772907720000,22.83,USD
R00109,A0014,1772912880000,65.95,USD
R00110,A0017,1772914440000,223.54,EUR
R00111,A0059,1772923920000,20.66,SEK
R00112,A0032,1772934360000,17.07,EUR
R00113,A0027,1772966760000,15.46,GBP
R00114,A0033,1772970360000,16.21,SEK
R00115,A0059,1772971200000,11.67,SEK
R00116,A0031,1772991840000,40.09,SEK
R00117,A0023,1772996400000,35.84,GBP
R00118,A0037,1773000480000,99.6,EUR
R00119,A0058,1773002280000,19.38,GBP
R00120,A0028,1773008700000,28.18,EUR
R00121,A0056,1773010920000,7.35,SEK
R00122,A0010,1773014700000,11.29,SEK
R00123,A0012,1773016800000,65.38,GBP
R00124,A0042,1773016980000,42.78,GBP
R00125,A0000,1773023760000,9.03,USD
R00126,A0046,1773024240000,16.66,GBP
R00127,A0000,1773029400000,79.34,SEK
R00128,A0034,1773030240000,7.41,USD
R00129,A0049,1773030300000,8.18,USD
R00130,A0020,1773034560000,110.51,SEK
R00131,A0007,1773044880000,1.58,EUR
R00132,A0018,1773050940000,7.15,USD
R00133,A0006,1773052080000,15.73,SEK
R00134,A0034,1773054540000,14.05,SEK
R00135,A0001,1773056700000,42.85,EUR
R00136,A0056,1773060360000,29.86,GBP
R00137,A0043,1773064020000,98.97,EUR
R00138,A0030,1773065460000,12.73,EUR
R00139,A0010,1773067500000,15.09,SEK
R00140,A0002,1773068580000,13.08,EUR
R00141,A0057,1773070800000,37.29,SEK
R00142,A0011,1773073200000,19.31,USD
R00143,A0058,1773079740000,12.03,GBP
R00144,A0003,1773083460000,51.8,USD
R00145,A0055,1773089340000,4.33,GBP
R00146,A0030,1773098820000,45.13,SEK
R00147,A0005,1773098940000,2.79,EUR
R00148,A0045,1773108600000,12.86,EUR
R00149,A0003,1773114000000,5.68,SEK
R00150,A0025,1773120240000,74.78,SEK
R00151,A0014,1773120540000,5.69,USD
R00152,A0034,1773131400000,19.74,GBP
R00153,A0024,1773137280000,46.32,USD
R00154,A0039,1773139920000,12.01,EUR
R00155,A0021,1773140940000,7.6,EUR
R00156,A0036,1773159060000,15.21,GBP
R00157,A0004,1773160680000,44.12,SEK
R00158,A0000,1773162120000,15.26,USD
R00159,A0003,1773183060000,13.58,EUR
R00160,A0013,1773184260000,23.37,EUR
R00161,A0032,1773195420000,7.64,USD
R00162,A0016,1773198900000,8.78,USD
R00163,A0010,1773208620000,14.17,USD
R00164,A0035,1773214860000,18.58,GBP
R00165,A0009,1773223080000,41.89,USD
R00166,A0035,1773223560000,2.27,EUR
R00167,A0020,1773227520000,26.75,GBP
R00168,A0026,1773232800000,21.69,SEK
R00169,A0052,1773244800000,14.73,GBP
R00170,A0048,1773261240000,104.42,GBP
R00171,A0038,1773261300000,6.14,GBP
R00172,A0008,1773289800000,21.88,EUR
R00173,A0046,1773298920000,6.81,EUR
R00174,A0036,1773312840000,15.91,USD
R00175,A0028,1773318540000,16.33,SEK
R00176,A0052,1773320400000,4.85,USD
R00177,A0037,1773322200000,112.59,USD
R00178,A0028,1773336120000,20.23,GBP
R00179,A0014,1773338280000,13.23,EUR
R00180,A0015,1773341640000,43.07,EUR
R00181,A0002,1773346800000,2.96,EUR
R00182,A0059,1773349200000,47.34,GBP
R00183,A0006,1773356940000,11.43,USD
R00184,A0036,1773359640000,2.32,USD
R00185,A0050,1773362100000,5.06,SEK
R00186,A0013,1773370500000,24.97,SEK
R00187,A0053,1773371160000,140.56,GBP
R00188,A0033,1773374580000,49.18,SEK
R00189,A0047,1773377100000,66.62,SEK
R00190,A0022,1773384900000,5.12,SEK
R00191,A0047,1773390960000,24.21,USD
R00192,A0013,1773394920000,157.1,USD
R00193,A0006,1773397200000,50.46,GBP
R00194,A0049,1773403560000,3.02,USD
R00195,A0007,1773412200000,3.79,SEK
R00196,A0027,1773419160000,39.84,EUR
R00197,A0024,1773419460000,206.45,EUR
R00198,A0023,1773453360000,15.12,GBP
R00199,A0028,1773459720000,21.62,USD
R00200,A0053,1773463320000,8.31,EUR
R00201,A0036,1773465240000,5.73,GBP
R00202,A0032,1773471780000,17.22,EUR
R00203,A0039,1773473280000,5.84,USD
R00204,A0041,1773475740000,10.75,SEK
R00205,A0003,1773479220000,44.86,SEK
R00206,A0034,1773487200000,8.42,USD
R00207,A0015,1773489960000,16.43,USD
R00208,A0013,1773496680000,13.36,SEK
R00209,A0011,1773497880000,18.14,SEK
R00210,A0011,1773498240000,7.23,EUR
R00211,A0024,1773499620000,35.99,EUR
R00212,A0026,1773500460000,18.83,GBP
R00213,A0031,1773502380000,108.84,GBP
R00214,A0011,1773504120000,34.65,GBP
R00215,A0018,1773506160000,39.74,EUR
R00216,A0003,1773514500000,27.29,USD
R00217,A0023,1773517680000,32.33,USD
R00218,A0045,1773524280000,42.26,USD
R00219,A0055,1773527640000,14.62,SEK
R00220,A0058,1773531240000,17.27,GBP
R00221,A0054,1773533040000,1.75,USD
