user_id,e1,e2,e3,e4,e5,e6,e7,e8
U0000,-1.4263,0.1901,-1.325,-1.5158,-2.9452,-2.468,-1.5002,0.1446
U0001,0.2757,1.3311,0.8008,0.2447,1.1668,-0.0799,1.8429,0.2226
U0002,0.1009,1.3191,2.3,1.2333,0.7444,0.0292,-1.0125,0.8957
U0003,0.0576,-2.6228,1.8686,0.0071,-0.9744,-1.1904,-0.87,2.0916
U0004,-0.239,0.2001,0.0681,-0.9274,-0.6148,0.7552,0.8899,-1.7375
U0005,0.1731,0.6439,-1.4075,2.0878,-0.1713,-0.8836,-0.2238,-0.6092
U0006,-1.5987,0.2608,-2.3086,0.5972,-0.384,-0.163,0.5949,-0.1244
U0007,1.3991,0.622,-0.5906,0.6775,0.1362,0.4023,-1.2471,-1.0666
U0008,0.5801,-0.629,0.3692,1.0798,0.6982,-0.8107,-0.0451,-0.5145
U0009,-0.8172,0.1908,-0.9784,0.7266,-0.1234,-1.3883,-0.3892,-1.0512
U0010,-1.0725,-0.7562,-0.0551,0.0448,0.8011,1.1162,-1.788,-1.4534
U0011,0.2594,-1.6783,-0.3681,2.6265,-0.7816,-0.7801,0.3726,0.2232
U0012,0.4331,-0.4001,-0.47,-0.0007,1.47,-1.6486,-0.554,-1.1119
U0013,-0.0184,-1.1508,-0.3741,0.6314,-0.1139,0.0408,1.3247,0.4343
U0014,0.9301,-0.8042,0.7049,-0.0564,-0.3222,1.2474,1.3873,0.392
U0015,0.8123,-0.8247,-0.9509,1.4547,1.1429,0.3987,0.7908,0.414
U0016,-0.1886,-0.5774,-0.7406,-0.918,0.4127,-0.57,-0.3187,0.4332
U0017,1.0739,0.8451,-1.2296,1.3651,-0.5758,0.0182,-1.6763,-1.1955
U0018,0.2079,0.0825,0.4682,-0.1201,-0.6964,-2.101,1.5029,-0.5707
U0019,0.0228,-1.3216,-2.5899,-0.8771,-0.9358,0.2591,-0.5625,-1.0976
U0020,0.8232,-0.638,-1.1828,-0.3696,-1.965,1.2714,0.1807,1.3697
U0021,0.2861,-0.4486,-0.2041,0.1314,1.8215,0.5289,-0.4937,0.8663
U0022,1.7093,-0.2371,0.3659,0.3861,0.5272,0.0806,-0.5794,-0.4869
U0023,-0.0999,-0.5096,1.0733,0.5486,-0.686,0.6238,-0.7997,-0.8626
U0024,1.4399,0.086,1.8846,-1.0561,-1.3945,-0.208,0.075,-0.9014
U0025,-0.7248,1.5218,-0.3564,-1.7415,-0.0203,1.282,-0.9334,0.8086
U0026,0.7347,-0.8883,1.1621,-1.559,-0.0409,2.9066,0.405,0.6107
U0027,0.1844,-0.8279,0.165,1.1237,1.0583,-0.045,-0.0548,-0.7879
U0028,1.7152,2.3709,-1.6664,-0.4119,0.8758,1.5267,0.8475,0.0781
U0029,1.0506,0.5249,2.3181,0.7474,1.6738,-0.5384,0.6875,0.9421
U0030,-0.5271,0.2087,-1.7833,1.7273,0.1113,1.0905,-0.4542,-0.5016
U0031,1.7089,1.5104,0.835,-0.4962,1.2309,0.7393,-1.5629,0.3614
U0032,-0.2926,-0.4588,-1.5014,-0.7731,-0.1375,-1.922,-0.5626,-0.2898
U0033,-0.9867,0.1324,-1.2794,-1.4772,-1.2101,0.2366,-1.3377,-0.0262
U0034,0.2486,-1.5203,2.0973,-0.4204,0.8876,1.3771,-0.4062,1.3548
U0035,-2.2493,-1.3783,0.3404,-1.5175,1.4442,1.5773,-0.2888,0.3358
U0036,2.2995,-0.7713,-1.6067,-0.2615,-0.0944,0.9721,1.0495,-2.2905
U0037,1.5568,-1.0632,0.2201,0.4721,1.6583,0.25,0.3347,-0.8028
U0038,-0.2174,0.1816,-0.1983,1.0721,0.2152,0.7631,0.0622,0.2111
U0039,-0.7245,-0.5087,0.2886,-0.4,0.7895,-0.0377,1.9911,1.1695
