entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-02-20T00:00:00Z,3.5692,0.4999,3.3974,8.3415,1.4881,2.842
E0001,2026-02-20T00:00:00Z,0.6541,1.0773,3.0534,10.4744,2.6221,3.8258
E0002,2026-02-20T00:00:00Z,-2.4105,-0.3731,3.7823,8.7839,3.8462,8.429
E0003,2026-02-20T00:00:00Z,1.2394,0.5428,4.6861,10.1466,1.3339,4.1307
E0004,2026-02-20T00:00:00Z,3.3376,1.5756,2.7349,7.9993,3.6987,3.1426
E0005,2026-02-20T00:00:00Z,4.351,1.4257,2.4272,10.3001,2.2472,3.2916
E0006,2026-02-20T00:00:00Z,4.6119,1.4751,1.1251,7.6735,2.3983,5.9331
E0007,2026-02-20T00:00:00Z,-0.8049,0.1662,3.5104,9.3097,2.5971,2.2292
E0008,2026-02-20T00:00:00Z,1.7584,0.6189,2.1624,9.2141,3.5928,8.6891
E0009,2026-02-20T00:00:00Z,-0.2833,0.8738,4.1643,12.3103,1.5622,6.9278
E0010,2026-02-20T00:00:00Z,0.2543,2.2485,4.4301,11.1613,2.4299,3.9545
E0011,2026-02-20T00:00:00Z,-0.083,1.1666,4.9181,11.263,2.467,2.5293
E0012,2026-02-20T00:00:00Z,2.5951,0.1341,2.8516,9.3472,1.786,3.211
E0013,2026-02-20T00:00:00Z,1.8722,1.2789,2.3935,8.6173,2.7984,3.858
E0014,2026-02-20T00:00:00Z,0.9732,-0.216,1.8945,8.4515,3.2368,4.0533
E0015,2026-02-20T00:00:00Z,3.2043,1.2148,2.2492,14.244,2.2129,4.4093
E0016,2026-02-20T00:00:00Z,3.0968,1.9647,2.701,11.8939,2.013,7.9707
E0017,2026-02-20T00:00:00Z,-3.6892,0.9557,4.2131,10.1028,2.6488,5.1996
E0018,2026-02-20T00:00:00Z,1.6902,-0.033,4.0561,9.4773,3.3383,8.4017
E0019,2026-02-20T00:00:00Z,-0.8828,1.1091,3.293,10.6625,1.7929,1.7699
E0020,2026-02-20T00:00:00Z,4.3329,0.8749,2.2549,11.7223,2.8704,9.2479
E0021,2026-02-20T00:00:00Z,0.2505,0.9395,0.6727,7.6215,2.5094,3.9797
E0022,2026-02-20T00:00:00Z,-1.0613,0.1795,0.2186,8.8337,2.1596,2.703
E0023,2026-02-20T00:00:00Z,-2.7119,0.6559,2.8141,6.7232,2.4481,2.8634
E0024,2026-02-20T00:00:00Z,3.1243,0.7918,4.0258,12.6903,3.2722,3.4206
