row_id,f1,f2,f3,f4
R00400,0.247573,3.93303,-0.608256,1.528411
R00401,-2.852179,5.577856,-1.676718,-0.943533
R00402,0.569811,6.402263,-1.267192,3.006122
R00403,-0.507918,3.235838,-0.984859,2.56498
R00404,0.821591,1.614894,-0.569667,3.698755
R00405,1.015928,7.177206,-1.946359,-2.653916
R00406,0.4886,7.302214,-1.794034,1.834572
R00407,2.782235,3.417345,-0.688001,3.524713
R00408,1.082811,7.177121,-2.886701,1.715102
R00409,1.500241,7.910259,-0.610378,1.151003
R00410,0.50039,5.04319,-0.204489,-8.493405
R00411,2.58687,4.697896,-1.66968,3.527321
R00412,0.760063,2.95392,-1.235761,0.880513
R00413,-0.543935,3.117336,-0.474729,2.179877
R00414,0.544801,3.694424,-0.441045,6.526238
R00415,0.117528,6.590173,-0.738511,4.475238
R00416,0.615158,-0.581903,-0.629649,2.913257
R00417,1.600509,2.368231,-0.584905,4.561192
R00418,3.079069,3.737332,-0.367608,2.621757
R00419,-0.042797,2.374912,-0.342732,4.453407
R00420,1.722331,2.406173,-0.729462,-1.324153
R00421,0.636822,3.615053,-1.283759,-0.522965
R00422,0.813668,4.391627,-1.251798,-0.233717
R00423,1.736297,1.836032,-1.301838,2.870436
R00424,0.56866,3.804783,-0.279132,-2.876727
R00425,0.974462,1.177889,-0.976426,2.505851
R00426,0.503626,4.064514,-2.250554,0.624623
R00427,1.224415,1.706903,-1.208366,-1.081948
R00428,-1.288424,5.980882,-1.856158,1.974838
R00429,1.531853,6.178551,-0.02421,-0.259543
R00430,-2.393096,-2.082634,-1.168856,1.781396
R00431,0.537912,6.108458,-0.691778,-1.026393
R00432,0.223839,4.654678,-1.274499,3.771921
R00433,0.433292,4.427439,-0.954928,2.098916
R00434,3.811174,1.810013,-0.074967,2.255353
R00435,0.702039,1.343227,-0.405461,2.196693
R00436,0.58878,4.054764,-0.809014,0.980376
R00437,0.291911,3.168156,-0.817183,1.839578
R00438,-0.657662,4.143396,-1.222568,-2.570515
R00439,1.232772,5.147993,-0.902801,-5.61489
R00440,3.026224,4.478478,-0.605773,2.613998
R00441,1.347742,4.589344,-1.04219,1.24292
R00442,0.510084,4.050817,-1.132031,-0.260642
R00443,0.814859,8.558265,-2.28965,-3.690066
R00444,2.876414,5.767508,-0.40046,-1.257608
R00445,1.661581,6.52858,-1.077371,-0.054533
R00446,0.137821,3.700252,0.334195,-0.791037
R00447,-1.32036,6.103241,-0.474595,1.628107
R00448,-2.293876,4.903894,-0.239159,1.942888
R00449,3.098679,6.658844,-2.207708,1.775175
R00450,0.556,3.985748,0.448441,4.762962
R00451,-0.737878,6.35919,-1.43001,-2.779788
R00452,0.462529,7.535165,-0.528247,-0.304149
R00453,2.053428,4.915226,-0.674793,1.362484
R00454,-0.199872,4.336669,0.397837,5.693762
R00455,0.86213,0.514084,-0.257,0.424687
R00456,1.157741,4.471181,-0.893569,2.860619
R00457,1.349959,0.188748,-1.954773,0.589764
R00458,1.33036,3.248566,-0.390533,2.300746
R00459,1.31782,5.433125,-1.162822,2.053684
R00460,0.060169,2.209291,-2.177813,2.772836
R00461,0.524611,4.061358,-0.405204,1.255586
R00462,2.706582,3.147382,-1.354379,-1.209313
R00463,-1.946168,5.637612,-2.033829,-0.407274
