row_id,f1,f2,f3,f4
R00000,-3.196819,8.665559,-5.539974,-2.744638
R00001,-0.778721,7.289865,-5.045191,-7.604737
R00002,-3.549836,8.37407,-4.975972,-5.257978
R00003,-4.969105,5.337742,-5.845715,-2.115092
R00004,-0.219959,6.78408,-5.206006,-5.433655
R00005,0.158913,6.641578,-4.732034,-5.293606
R00006,-1.348541,13.005307,-3.473056,-6.723432
R00007,-0.662324,5.903007,-3.318547,-1.892965
R00008,0.331309,6.478016,-7.183941,-1.186762
R00009,-1.920476,4.875199,-5.677327,-2.283429
R00010,-0.591655,7.499001,-5.318694,-2.740561
R00011,-0.597659,6.561267,-5.037353,-4.49108
R00012,-0.791691,5.716249,-4.458885,0.698073
R00013,-1.784822,4.628674,-4.126901,1.363119
R00014,-2.262711,2.396573,-6.465376,-3.074803
R00015,-0.341455,2.961771,-6.561399,-6.280557
R00016,-2.437926,2.852564,-4.525879,-1.975674
R00017,1.416302,3.099497,-4.221503,-0.199405
R00018,0.028066,7.402283,-5.102028,-3.502584
R00019,0.299265,7.518145,-4.393496,-2.108981
R00020,-0.459855,3.606666,-6.468941,-2.290269
R00021,-1.11478,7.809526,-4.758436,-0.370357
R00022,-1.107926,5.844358,-5.664484,-4.632249
R00023,-4.169361,7.092155,-3.652628,-4.013502
R00024,-1.150892,5.356009,-6.000129,-3.504051
R00025,-3.318004,9.380242,-4.823023,-1.423051
R00026,-0.748612,4.253509,-5.652282,-4.698735
R00027,-1.586988,7.481307,-4.482576,-4.33957
R00028,-1.822248,2.668167,-5.309581,1.603817
R00029,-2.534498,6.269675,-2.964927,-2.097396
R00030,-1.039832,6.662774,-5.764449,-6.566034
R00031,-2.51251,6.0555,-2.041786,-1.999821
R00032,-2.805046,1.17393,-5.076545,-1.471983
R00033,-1.212595,0.857684,-3.824183,-5.156522
R00034,-1.026306,5.471533,-4.275313,-4.6855
R00035,-3.01043,5.2119,-5.435562,-6.315976
R00036,-1.805643,3.739688,-4.2977,-4.031138
R00037,-1.88834,6.951757,-4.108041,-3.128599
R00038,-3.294301,2.556048,-4.531657,-0.583479
R00039,-2.835895,4.648032,-5.149163,-1.736147
R00040,0.426017,7.819285,-5.123032,-5.322668
R00041,-2.003719,5.448749,-4.185982,-3.28283
R00042,-2.082511,11.682057,-4.531076,1.33227
R00043,1.83497,11.500847,-3.720793,0.692941
R00044,2.435585,5.509462,-6.211195,-2.203312
R00045,-0.591242,1.935579,-4.447834,-2.68028
R00046,-3.375439,7.815899,-4.065787,-0.646186
R00047,-2.69349,1.886351,-5.844816,-1.839227
R00048,-2.462465,10.400511,-3.767879,2.93262
R00049,-0.751551,4.834434,-4.278432,-3.656824
R00050,-1.269717,8.16381,-4.590973,-6.129241
R00051,-1.995802,4.601424,-4.403793,-2.727037
R00052,-0.227669,-1.331867,-6.623332,0.150816
R00053,-2.349678,7.7715,-5.913662,0.283657
R00054,-2.015896,3.244923,-5.217341,-2.587346
R00055,-0.141497,4.35435,-2.039961,0.286949
R00056,-0.738805,4.306827,-6.134576,-5.09086
R00057,-0.737948,7.232551,-6.119586,-3.972978
R00058,-0.565275,3.14851,-4.602078,-3.262154
R00059,-2.406373,3.504543,-4.964086,-1.631309
R00060,-3.746706,2.59601,-3.586437,-0.227564
R00061,-4.158004,3.77644,-5.761683,-8.904254
R00062,-1.757231,6.812025,-4.602245,-5.407753
R00063,-0.588913,2.627947,-3.215331,-5.063657
R00064,-3.99689,1.862459,-7.694305,-3.750051
R00065,1.260921,5.271343,-3.910519,-6.949076
R00066,-1.918448,6.865161,-5.095857,-1.041097
R00067,0.12871,3.266858,-3.210054,-1.030707
R00068,0.480987,5.005008,-3.93349,-6.271391
R00069,-4.2338,4.580912,-3.578854,-2.558914
R00070,0.082535,9.295145,-7.261146,-5.64423
R00071,-2.45037,10.209747,-6.268931,-9.280512
R00072,-3.71048,6.099919,-5.702674,-1.409035
R00073,-0.43631,3.945723,-3.642131,-3.893254
R00074,-1.141895,7.508121,-3.343653,-4.399731
R00075,1.015177,-0.709673,-4.352713,-1.868192
R00076,-2.257245,6.477449,-5.290332,-0.476758
R00077,-1.597771,8.670308,-5.293822,-3.032993
R00078,-3.105764,1.072188,-4.288576,-4.504283
R00079,-0.74465,8.478105,-6.428273,-1.149158
R00080,-2.630766,9.256261,-5.056819,-3.07114
R00081,-1.096894,5.970518,-3.957203,-3.148702
R00082,-1.442943,8.575955,-4.992036,-5.825753
R00083,1.167825,2.639539,-2.95399,-7.278217
R00084,-2.050374,4.155432,-3.625262,0.197457
R00085,-0.714977,5.94285,-4.656793,-1.871145
R00086,0.403128,3.376413,-3.983619,-2.85489
R00087,-0.561891,5.593836,-4.951444,-4.659694
R00088,-0.760288,6.418543,-2.79188,-0.719051
R00089,-1.938917,4.257236,-5.221102,-4.440587
R00090,-2.792718,9.41033,-4.144023,-7.236705
R00091,-1.410771,2.158989,-4.590454,-4.498
R00092,-2.60443,1.313786,-6.003228,-3.251042
R00093,-3.163163,4.271535,-4.409338,-4.335033
R00094,-1.82268,3.642458,-5.315841,-5.480989
R00095,-1.094732,8.077129,-4.304003,-5.017069
R00096,-4.854787,6.691067,-4.458124,-4.589303
R00097,-1.514544,5.082107,-4.098492,1.89524
R00098,-0.640524,3.480546,-2.793269,-6.567295
R00099,-3.16346,8.932365,-2.306492,0.036328
R00100,1.585674,4.637203,-1.767228,-0.80331
R00101,-0.309102,3.466429,-6.223639,-3.98798
R00102,-2.548833,9.341403,-4.538531,-3.0812
R00103,-1.042409,6.570868,-4.269936,-8.91705
R00104,0.09506,5.260825,-7.410446,3.096485
R00105,-0.656815,4.336895,-5.204143,-6.35087
R00106,-1.47043,8.0695,-2.86717,-2.251222
R00107,0.184765,6.713326,-5.633589,-3.416118
R00108,-0.046009,4.499266,-6.042968,-1.673378
R00109,-0.680519,5.120809,-1.911284,-7.80655
R00110,-0.270509,1.256101,-3.497267,-3.676784
R00111,-0.406241,5.669467,-5.304137,-4.199739
R00112,-2.355788,4.697499,-6.062828,-4.599357
R00113,-1.268757,4.295179,-6.48773,-2.996373
R00114,-0.108489,5.934806,-4.367015,-0.302519
R00115,-0.396272,7.459508,-4.479858,0.965196
R00116,-1.140468,0.782556,-4.516308,-3.115663
R00117,-2.208594,8.26936,-3.504713,-0.829402
R00118,-0.384467,4.955229,-5.76893,-7.280761
R00119,-0.982624,4.427147,-4.880986,-2.288692
R00120,-4.506248,6.84611,-4.458357,-1.789364
R00121,-1.82074,-0.907813,-4.916558,-1.638753
R00122,-2.449756,6.324428,-2.838112,-4.229327
R00123,-0.993511,-1.399009,-5.622773,-4.264039
R00124,2.094706,7.956454,-4.505786,-4.743053
R00125,-1.55338,6.308103,-3.450523,2.237681
R00126,0.639249,5.313678,-4.52447,0.729955
R00127,-3.43014,5.30037,-3.73496,-7.605815
