row_id,account_id,event_time,amount,category
R00342,A0059,1772669640000,45.11,other
R00343,A0048,1772671080000,23.2,other
R00344,A0110,1772671680000,51.3,salary
R00345,A0142,1772671920000,6.78,grocery
R00346,A0007,1772673300000,18.25,other
R00347,A0040,1772673360000,20.17,other
R00348,A0113,1772673420000,21.77,rent
R00349,A0084,1772673780000,12.1,rent
R00350,A0007,1772674440000,26.05,grocery
R00351,A0060,1772675100000,24.68,grocery
R00352,A0029,1772676780000,35.79,other
R00353,A0143,1772677020000,18.26,rent
R00354,A0115,1772677140000,73.2,travel
R00355,A0092,1772677500000,9.89,other
R00356,A0101,1772677980000,66.05,rent
R00357,A0125,1772678400000,74.34,rent
R00358,A0113,1772679600000,3.96,travel
R00359,A0097,1772680140000,5.9,grocery
R00360,A0142,1772680740000,32.25,grocery
R00361,A0090,1772681220000,72.91,salary
R00362,A0042,1772681520000,40.87,grocery
R00363,A0060,1772682300000,16.43,salary
R00364,A0104,1772683260000,31.1,travel
R00365,A0031,1772683620000,37.03,salary
R00366,A0109,1772684520000,10.62,grocery
R00367,A0135,1772685540000,16.79,other
R00368,A0038,1772685780000,29.97,other
R00369,A0120,1772686560000,10.75,grocery
R00370,A0116,1772687700000,22.23,other
R00371,A0128,1772688240000,12.52,salary
R00372,A0135,1772689560000,22.54,rent
R00373,A0029,1772689740000,6.48,other
R00374,A0018,1772690520000,4.73,travel
R00375,A0033,1772691240000,41.3,travel
R00376,A0010,1772691360000,3.54,other
R00377,A0007,1772691480000,140.93,travel
R00378,A0005,1772691720000,16.1,grocery
R00379,A0061,1772692560000,35.57,travel
R00380,A0143,1772692740000,48.65,salary
R00381,A0015,1772692740000,3.52,grocery
R00382,A0145,1772692800000,3.02,salary
R00383,A0020,1772693940000,6.11,travel
R00384,A0007,1772694600000,7.79,salary
R00385,A0038,1772695860000,42.92,travel
R00386,A0094,1772697840000,540.24,grocery
R00387,A0139,1772698320000,15.52,travel
R00388,A0107,1772698560000,58.76,salary
R00389,A0046,1772700120000,54.48,travel
R00390,A0079,1772701440000,5.12,travel
R00391,A0036,1772701620000,22.32,salary
R00392,A0115,1772702400000,9.91,travel
R00393,A0022,1772702400000,24.0,salary
R00394,A0089,1772702640000,38.56,travel
R00395,A0014,1772703600000,64.52,other
R00396,A0038,1772703780000,22.15,other
R00397,A0031,1772704380000,42.83,rent
R00398,A0010,1772706120000,28.67,rent
R00399,A0008,1772706720000,7.16,rent
R00400,A0086,1772709000000,12.15,rent
R00401,A0135,1772710380000,17.18,salary
R00402,A0137,1772710680000,5.73,travel
R00403,A0116,1772711220000,43.96,salary
R00404,A0127,1772711280000,16.73,grocery
R00405,A0036,1772711880000,190.86,rent
R00406,A0111,1772712900000,26.24,salary
R00407,A0127,1772713020000,75.84,grocery
R00408,A0034,1772713320000,11.4,rent
R00409,A0022,1772713560000,7.01,travel
R00410,A0134,1772713800000,6.61,rent
R00411,A0010,1772714100000,7.01,other
R00412,A0059,1772715900000,2.87,rent
R00413,A0128,1772716560000,12.92,travel
R00414,A0125,1772718180000,7.93,travel
R00415,A0058,1772718360000,12.52,travel
R00416,A0123,1772719860000,120.29,grocery
R00417,A0074,1772721060000,15.95,other
R00418,A0008,1772722320000,94.85,other
R00419,A0083,1772722980000,135.32,other
R00420,A0057,1772724780000,9.2,grocery
R00421,A0029,1772726400000,10.37,other
R00422,A0121,1772726700000,10.49,rent
R00423,A0036,1772726880000,22.79,travel
R00424,A0126,1772727480000,42.39,grocery
R00425,A0114,1772727480000,57.82,grocery
R00426,A0023,1772728140000,64.08,travel
R00427,A0072,1772728860000,10.21,grocery
R00428,A0085,1772728980000,45.26,rent
R00429,A0122,1772729340000,8.18,grocery
R00430,A0015,1772730540000,13.75,other
R00431,A0079,1772731140000,94.57,other
R00432,A0046,1772731680000,16.19,other
R00433,A0013,1772734440000,9.34,travel
R00434,A0074,1772738340000,9.23,rent
R00435,A0107,1772739240000,5.61,rent
R00436,A0095,1772739840000,60.86,other
R00437,A0045,1772740740000,18.09,other
R00438,A0082,1772742000000,26.95,salary
R00439,A0135,1772742060000,7.68,grocery
R00440,A0017,1772742480000,96.89,salary
R00441,A0058,1772742720000,29.2,other
R00442,A0134,1772743320000,45.06,other
R00443,A0009,1772743740000,25.5,travel
R00444,A0010,1772743800000,34.47,rent
R00445,A0089,1772744460000,9.16,other
R00446,A0030,1772744880000,29.73,grocery
R00447,A0110,1772744880000,26.82,salary
R00448,A0052,1772745060000,42.41,grocery
R00449,A0043,1772745840000,47.71,salary
R00450,A0051,1772746320000,17.03,rent
R00451,A0147,1772749380000,23.99,travel
R00452,A0020,1772750340000,5.09,other
R00453,A0136,1772750520000,3.42,other
R00454,A0071,1772750880000,45.73,salary
R00455,A0067,1772751840000,7.13,travel
R00456,A0083,1772752200000,6.56,salary
R00457,A0097,1772752620000,5.71,grocery
R00458,A0094,1772752740000,25.66,rent
R00459,A0035,1772754000000,9.73,travel
R00460,A0090,1772754120000,57.19,travel
R00461,A0038,1772754540000,24.18,salary
