row_id,account_id,event_time,amount,currency
R00000,A0001,1772328300000,13.08,USD
R00001,A0030,1772332080000,16.83,USD
R00002,A0047,1772341860000,27.09,USD
R00003,A0038,1772342760000,10.22,EUR
R00004,A0034,1772345400000,13.46,GBP
R00005,A0056,1772351940000,3.97,EUR
R00006,A0012,1772354160000,4.58,EUR
R00007,A0038,1772358360000,6.67,USD
R00008,A0012,1772359500000,11.0,SEK
R00009,A0040,1772360880000,91.24,SEK
R00010,A0036,1772363880000,63.52,SEK
R00011,A0010,1772383740000,32.9,USD
R00012,A0028,1772388420000,6.12,SEK
R00013,A0012,1772389500000,157.38,SEK
R00014,A0041,1772390220000,29.29,EUR
R00015,A0040,1772390520000,16.39,EUR
R00016,A0048,1772402880000,76.71,GBP
R00017,A0022,1772412540000,27.79,USD
R00018,A0005,1772422860000,27.93,GBP
R00019,A0043,1772425320000,7.08,SEK
R00020,A0009,1772425680000,6.65,SEK
R00021,A0036,1772425860000,31.95,USD
R00022,A0031,1772430900000,19.87,USD
R00023,A0022,1772442000000,29.51,USD
R00024,A0054,1772452860000,46.66,GBP
R00025,A0032,1772452860000,19.28,EUR
R00026,A0029,1772453820000,6.14,SEK
R00027,A0002,1772462280000,24.87,SEK
R00028,A0053,1772462820000,61.94,GBP
R00029,A0019,1772464500000,15.32,USD
R00030,A0016,1772465160000,56.54,EUR
R00031,A0034,1772470020000,10.01,SEK
R00032,A0055,1772470620000,21.14,EUR
R00033,A0050,1772474280000,12.53,EUR
R00034,A0015,1772475180000,27.23,USD
R00035,A0005,1772476980000,81.49,EUR
R00036,A0023,1772480160000,72.29,USD
R00037,A0011,1772481060000,48.85,USD
R00038,A0022,1772502420000,25.73,SEK
R00039,A0013,1772504580000,27.01,USD
R00040,A0002,1772504940000,35.73,GBP
R00041,A0052,1772506560000,22.81,EUR
R00042,A0041,1772510700000,8.79,USD
R00043,A0020,1772510880000,17.16,USD
R00044,A0049,1772513280000,50.99,SEK
R00045,A0053,1772513520000,23.27,GBP
R00046,A0048,1772518500000,37.62,SEK
R00047,A0018,1772520480000,26.45,USD
R00048,A0057,1772523300000,30.67,SEK
R00049,A0023,1772530080000,10.22,USD
R00050,A0051,1772540700000,37.93,GBP
R00051,A0039,1772552100000,25.46,SEK
R00052,A0031,1772554200000,33.72,SEK
R00053,A0003,1772554440000,7.57,EUR
R00054,A0045,1772563920000,4.5,SEK
R00055,A0036,1772566020000,29.37,GBP
R00056,A0007,1772566080000,13.95,GBP
R00057,A0033,1772584440000,84.51,GBP
R00058,A0032,1772588460000,7.2,EUR
R00059,A0006,1772592960000,18.25,EUR
R00060,A0023,1772599140000,17.71,GBP
R00061,A0059,1772618460000,4.48,GBP
R00062,A0039,1772624820000,41.49,SEK
R00063,A0028,1772628360000,24.88,GBP
R00064,A0031,1772636100000,31.57,GBP
R00065,A0029,1772638140000,2.19,EUR
R00066,A0004,1772639640000,124.24,SEK
R00067,A0000,1772664420000,8.96,EUR
R00068,A0043,1772665680000,6.89,EUR
R00069,A0046,1772677440000,34.65,SEK
R00070,A0050,1772681340000,18.03,GBP
R00071,A0056,1772686140000,30.12,USD
R00072,A0052,1772694300000,20.91,EUR
R00073,A0011,1772698500000,17.43,EUR
R00074,A0054,1772700720000,44.3,EUR
R00075,A0013,1772704140000,21.12,GBP
R00076,A0042,1772706900000,74.61,EUR
R00077,A0036,1772707020000,42.73,EUR
R00078,A0057,1772712480000,30.32,SEK
R00079,A0028,1772727600000,63.27,USD
R00080,A0004,1772731860000,60.24,USD
R00081,A0007,1772739840000,21.2,EUR
R00082,A0035,1772741940000,2.51,GBP
R00083,A0052,1772747880000,6.91,EUR
R00084,A0005,1772751240000,31.66,SEK
R00085,A0021,1772757240000,17.1,USD
R00086,A0031,1772763840000,18.59,GBP
R00087,A0047,1772764320000,6.79,GBP
R00088,A0058,1772765160000,5.75,SEK
R00089,A0002,1772772000000,25.03,SEK
R00090,A0028,1772773440000,15.0,EUR
R00091,A0047,1772773980000,9.39,SEK
R00092,A0050,1772784480000,29.02,GBP
R00093,A0044,1772784600000,7.47,EUR
R00094,A0019,1772786040000,5.16,GBP
R00095,A0054,1772786700000,9.28,GBP
R00096,A0048,1772793720000,24.19,USD
R00097,A0027,1772794320000,227.08,SEK
R00098,A0002,1772797740000,6.41,USD
R00099,A0020,1772798520000,48.51,GBP
R00100,A0008,1772810880000,32.92,SEK
R00101,A0029,1772817480000,16.97,USD
R00102,A0049,1772818980000,5.92,EUR
R00103,A0056,1772837580000,8.05,SEK
R00104,A0017,1772869800000,17.87,GBP
R00105,A0010,1772869920000,4.51,GBP
R00106,A0030,1772870520000,74.47,EUR
R00107,A0049,1772872620000,5.51,EUR
R00108,A0002,1772902260000,7.89,EUR
R00109,A0038,1772903700000,9.67,SEK
R00110,A0054,1772906700000,7.89,GBP
R00111,A0047,1772917440000,19.55,SEK
R00112,A0053,1772918100000,14.02,SEK
R00113,A0036,1772932260000,13.24,SEK
R00114,A0031,1772933040000,35.58,GBP
R00115,A0041,1772941080000,9.58,SEK
R00116,A0008,1772944800000,60.51,GBP
R00117,A0010,1772956440000,18.48,GBP
R00118,A0000,1772958300000,34.16,GBP
R00119,A0044,1772958960000,12.48,EUR
R00120,A0001,1772959380000,5.7,EUR
R00121,A0053,1772982900000,18.54,USD
R00122,A0048,1772989680000,14.28,EUR
R00123,A0040,1772998200000,56.22,GBP
R00124,A0034,1773000600000,26.47,GBP
R00125,A0025,1773003480000,18.87,EUR
R00126,A0008,1773010800000,139.84,GBP
R00127,A0008,1773011340000,11.08,EUR
R00128,A0011,1773014100000,16.94,SEK
R00129,A0015,1773017040000,9.76,EUR
R00130,A0052,1773028980000,13.55,SEK
R00131,A0017,1773029700000,76.34,USD
R00132,A0041,1773038820000,30.22,USD
R00133,A0051,1773041400000,5.63,USD
R00134,A0047,1773041580000,13.91,SEK
R00135,A0037,1773043560000,15.81,SEK
R00136,A0035,1773044400000,13.24,USD
R00137,A0037,1773046500000,24.67,GBP
R00138,A0020,1773051300000,8.17,GBP
R00139,A0035,1773052920000,36.88,GBP
R00140,A0021,1773071100000,167.75,GBP
R00141,A0007,1773072240000,2.59,USD
R00142,A0020,1773085800000,98.57,USD
R00143,A0033,1773086760000,11.52,SEK
R00144,A0007,1773093060000,50.68,EUR
R00145,A0043,1773099540000,14.99,GBP
R00146,A0054,1773099840000,8.13,USD
R00147,A0059,1773104400000,51.0,SEK
R00148,A0032,1773109320000,4.15,USD
R00149,A0033,1773112440000,13.44,GBP
R00150,A0013,1773119880000,39.19,USD
R00151,A0051,1773120540000,25.26,EUR
R00152,A0014,1773125220000,6.53,USD
R00153,A0019,1773128640000,12.12,GBP
R00154,A0040,1773130560000,19.09,EUR
R00155,A0003,1773136500000,16.37,SEK
R00156,A0028,1773143280000,46.73,SEK
R00157,A0019,1773146940000,141.87,GBP
R00158,A0031,1773151740000,45.97,EUR
R00159,A0032,1773153120000,2.54,EUR
R00160,A0039,1773158940000,17.18,SEK
R00161,A0042,1773163920000,38.94,SEK
R00162,A0010,1773166320000,122.02,GBP
R00163,A0052,1773169080000,6.94,EUR
R00164,A0003,1773173700000,7.36,SEK
R00165,A0032,1773174600000,43.98,SEK
R00166,A0014,1773184140000,10.24,GBP
R00167,A0047,1773187020000,9.13,SEK
R00168,A0037,1773193080000,100.8,SEK
R00169,A0039,1773194280000,64.67,EUR
R00170,A0035,1773199200000,24.65,EUR
R00171,A0005,1773200520000,17.12,EUR
R00172,A0054,1773215520000,180.17,USD
R00173,A0051,1773223800000,15.25,SEK
R00174,A0040,1773226800000,21.07,USD
R00175,A0051,1773240720000,27.27,SEK
R00176,A0012,1773241260000,15.56,GBP
R00177,A0016,1773243180000,49.35,SEK
R00178,A0014,1773246780000,15.72,SEK
R00179,A0035,1773250140000,9.07,GBP
R00180,A0014,1773257400000,20.78,USD
R00181,A0036,1773258540000,9.01,EUR
R00182,A0003,1773260040000,115.57,SEK
R00183,A0031,1773262680000,3.34,SEK
R00184,A0014,1773263340000,23.21,EUR
R00185,A0046,1773272340000,33.79,SEK
R00186,A0059,1773283140000,16.63,USD
R00187,A0012,1773284940000,78.56,GBP
R00188,A0023,1773285060000,13.47,GBP
R00189,A0009,1773308040000,10.86,USD
R00190,A0000,1773314220000,131.84,EUR
R00191,A0049,1773326400000,35.51,SEK
R00192,A0055,1773327780000,48.81,SEK
R00193,A0013,1773331080000,37.71,GBP
R00194,A0045,1773334740000,9.21,SEK
R00195,A0034,1773335760000,31.07,USD
R00196,A0028,1773356400000,38.29,EUR
R00197,A0051,1773358620000,1.86,EUR
R00198,A0016,1773360900000,42.96,EUR
R00199,A0031,1773361980000,17.82,EUR
R00200,A0026,1773380040000,25.93,USD
R00201,A0003,1773397980000,68.19,GBP
R00202,A0004,1773400260000,17.39,USD
R00203,A0018,1773413880000,18.83,USD
R00204,A0003,1773415560000,23.5,SEK
R00205,A0028,1773421500000,15.01,USD
R00206,A0007,1773423180000,6.45,SEK
R00207,A0031,1773443460000,39.8,USD
R00208,A0037,1773448440000,12.87,GBP
R00209,A0058,1773449460000,77.38,EUR
R00210,A0034,1773452340000,26.46,SEK
R00211,A0038,1773458100000,5.77,SEK
R00212,A0021,1773460980000,75.47,EUR
R00213,A0041,1773473940000,19.66,GBP
R00214,A0039,1773486600000,18.81,EUR
R00215,A0035,1773487200000,44.94,USD
R00216,A0046,1773487500000,22.42,EUR
R00217,A0014,1773493020000,38.95,EUR
R00218,A0034,1773499020000,1.93,GBP
R00219,A0040,1773511380000,7.9,SEK
R00220,A0025,1773515040000,7.23,GBP
R00221,A0058,1773517500000,19.78,USD
R00222,A0028,1773521100000,54.1,EUR
R00223,A0047,1773531360000,26.36,GBP
R00224,A0011,1773535140000,42.61,GBP
R00225,A0011,1773535500000,16.22,USD
R00226,A0024,1773550380000,65.43,USD
R00227,A0049,1773555000000,19.65,SEK
R00228,A0034,1773560820000,7.66,GBP
R00229,A0017,1773563340000,8.44,EUR
R00230,A0019,1773568380000,74.23,EUR
R00231,A0047,1773580680000,7.31,SEK
R00232,A0036,1773581040000,61.87,SEK
R00233,A0020,1773589800000,4.62,GBP
R00234,A0058,1773601020000,50.25,GBP
R00235,A0013,1773605040000,38.06,GBP
R00236,A0036,1773606480000,7.86,USD
R00237,A0010,1773609300000,164.16,EUR
R00238,A0050,1773610320000,22.78,USD
R00239,A0052,1773611280000,12.42,SEK
R00240,A0043,1773620940000,3.57,SEK
R00241,A0035,1773627840000,8.67,GBP
R00242,A0043,1773628440000,21.54,GBP
R00243,A0020,1773630840000,2.47,USD
R00244,A0021,1773636960000,20.15,USD
R00245,A0035,1773653580000,140.2,SEK
R00246,A0036,1773661980000,7.01,USD
R00247,A0037,1773663420000,21.5,EUR
R00248,A0006,1773669420000,7.12,SEK
R00249,A0033,1773687600000,63.28,GBP
R00250,A0007,1773692700000,9.07,USD
R00251,A0003,1773697500000,19.08,EUR
R00252,A0056,1773697980000,26.27,USD
R00253,A0047,1773700800000,41.29,USD
R00254,A0018,1773711300000,5.54,SEK
