account_id,event_time,f1,f2,f3
A0000,1770611040000,-1.5812,1.1046,0.4648
A0000,1770715200000,-0.0768,1.9823,2.0534
A0000,1771529100000,0.7313,2.5607,-0.578
A0000,1771637460000,-0.9966,2.0878,3.2489
A0000,1772144880000,0.1599,0.7572,1.072
A0000,1772453400000,-3.793,-2.0976,2.6861
A0000,1772887740000,1.8143,-0.4377,-0.1533
A0000,1773911460000,0.8483,-2.3273,-6.0983
A0000,1774237860000,-0.7557,1.3902,-2.034
A0001,1770509940000,-2.0544,4.5055,-3.0815
A0001,1771609080000,-0.0121,-1.4929,-0.3468
A0001,1771922580000,-2.2565,2.1128,0.0411
A0001,1774006440000,1.2451,-3.0105,2.3904
A0001,1774516260000,-0.6913,1.7876,-1.7275
A0001,1774613580000,-1.5624,2.0925,-1.6802
A0002,1770664800000,0.9695,2.3571,6.7528
A0002,1771459080000,2.5335,2.3725,1.095
A0002,1772924220000,3.5237,-3.1217,1.5948
A0002,1772933640000,0.4502,-0.6145,-0.4952
A0002,1773587100000,-2.2102,-0.2484,0.6642
A0002,1773705000000,1.9553,-0.544,-1.0044
A0002,1773728400000,-0.0141,1.0838,-4.7913
A0002,1774997160000,-5.0158,0.2937,-0.4546
A0003,1770006240000,-0.386,1.0116,1.5688
A0003,1771123620000,-1.0513,-0.9118,0.8404
A0003,1771587240000,-0.4061,1.2778,-3.0182
A0003,1772547420000,2.4914,-1.3435,0.6361
A0003,1772781060000,-0.3331,-2.7536,-0.6725
A0003,1773343260000,0.8645,-1.2593,4.5975
A0004,1770860580000,2.6537,0.044,3.1548
A0004,1771536480000,1.9132,0.7329,0.8001
A0004,1771629840000,-3.9733,-1.4175,-1.3883
A0004,1771895220000,1.3635,-2.5776,1.5323
A0004,1772557200000,-0.4538,0.1494,1.6729
A0004,1772851380000,-1.7687,1.4951,-2.4863
A0004,1773752820000,-3.4495,-0.0141,0.227
A0004,1774646220000,1.3013,1.7138,0.2762
A0004,1775001240000,0.5139,0.4016,0.464
A0004,1775037120000,1.3547,-2.9384,1.341
A0005,1771009380000,-1.7892,3.6726,1.5081
A0005,1771556280000,0.9848,0.2923,-0.4604
A0005,1771831320000,0.0668,0.9247,-4.1096
A0005,1771999020000,-0.1628,3.4043,2.8084
A0005,1772154240000,1.456,-2.0854,0.6964
A0005,1773084900000,-2.2419,-3.9048,-1.9657
A0005,1773188820000,1.3069,-1.7217,1.163
A0005,1773504540000,2.6239,2.2744,-2.2136
A0005,1774995960000,0.9354,1.9281,1.0716
A0006,1770644760000,0.3675,2.0136,-1.4614
A0006,1770925020000,-1.1724,1.1443,1.381
A0006,1771948620000,1.7099,-0.6312,-0.3867
A0006,1772482440000,-1.0066,0.0878,-2.2799
A0006,1772713500000,-0.9711,0.3628,0.8403
A0006,1772806920000,-0.9417,2.6716,1.9363
A0006,1774736940000,0.3255,7.0795,-0.7223
A0007,1770605940000,-0.0936,3.8618,1.3498
A0007,1771925340000,1.8686,-4.2781,0.7583
A0007,1772253540000,-1.3139,-1.4015,0.5555
A0007,1774380900000,1.4956,2.8415,4.7687
A0007,1774624560000,-2.553,2.9749,-0.2637
A0008,1770547740000,0.1096,1.0779,5.9304
A0008,1772145300000,1.7743,2.1432,0.6088
A0008,1772364840000,0.1442,-1.8261,0.9974
A0008,1772493300000,-1.6529,-0.7766,1.0433
A0008,1773204120000,1.3425,2.1597,1.2914
A0008,1773298440000,-0.3018,1.4739,1.4349
A0008,1773868560000,1.3949,-1.591,3.3868
A0008,1774459320000,1.2214,2.057,-1.1889
A0009,1771750560000,0.8101,1.0644,-0.9294
A0009,1773157320000,-1.8555,2.9119,0.9444
A0009,1773390180000,-1.8414,-0.6966,4.6463
A0009,1773500580000,-0.4396,-0.3271,-0.3279
A0009,1774217280000,-0.2817,2.7274,1.4865
A0009,1774371420000,-0.866,-1.3283,-0.4387
A0009,1774589340000,-1.0822,0.2688,1.7168
A0009,1774730880000,-2.1101,3.039,4.2967
A0010,1770009480000,0.9969,2.9077,-1.0057
A0010,1770634680000,0.357,-3.103,-1.1674
A0010,1770694140000,-1.0981,2.7231,-1.2105
A0010,1771233180000,-0.8671,-0.5721,-2.3046
A0010,1772356560000,2.0796,3.7378,0.0804
A0010,1772675220000,-0.5356,1.4508,-2.7423
A0010,1774448280000,0.0388,-0.4139,-3.0502
A0011,1770192240000,-3.8982,2.8378,0.2689
A0011,1771129800000,-1.7312,0.3626,-0.0768
A0011,1771215540000,0.7672,-0.8697,1.2449
A0011,1772070960000,0.142,-0.0203,-1.4028
A0011,1772869080000,-0.0774,0.4207,-1.0557
A0011,1774255140000,-0.7261,1.2473,-0.413
A0012,1770300420000,-3.1135,-0.0559,-4.9688
A0012,1771281360000,-1.0162,-0.278,1.5385
A0012,1773080820000,-0.3436,-0.1247,-2.3831
A0012,1773241740000,1.5381,-3.1466,-1.3983
A0012,1773599940000,-0.6255,-0.4091,1.2909
A0012,1774029000000,-3.2962,-3.1582,1.6187
A0012,1774560480000,-4.8407,0.1981,0.9437
A0013,1771498080000,0.5894,1.8994,0.4844
A0013,1771993680000,0.8332,0.0819,-1.4888
A0013,1773634200000,-0.3109,-3.7884,-0.7775
A0013,1773732600000,1.7864,0.378,0.4026
A0013,1773858240000,-1.1833,-2.0231,-1.9073
A0013,1773906420000,-2.2368,0.4425,1.4339
A0013,1774131720000,2.1176,-0.4046,-0.903
A0013,1774229880000,0.1549,1.1781,-0.781
A0014,1770529080000,-3.8569,3.4618,1.6322
A0014,1771492740000,-1.1472,-4.5459,0.6073
A0014,1771678260000,0.1447,2.5337,-3.0359
A0014,1773449220000,0.7287,2.3384,-0.0376
A0014,1773700980000,-1.9927,3.6683,0.6417
A0014,1774103160000,-0.6524,-1.828,3.1212
A0015,1770052920000,2.4183,1.955,-3.7
A0015,1770292020000,-4.3348,-4.7182,3.03
A0015,1770433620000,0.997,0.9117,0.2778
A0015,1771312620000,-1.8419,0.9577,0.721
A0015,1772087520000,0.9464,0.0293,-0.8314
A0015,1773944100000,-1.3946,1.8081,-2.9328
A0015,1774166580000,-3.5716,2.3424,-0.5949
A0015,1774702020000,3.6281,1.4474,-0.3865
A0016,1771297800000,2.6666,2.291,-2.2955
A0016,1771633680000,2.3973,1.9106,4.6063
A0016,1772323560000,-3.8284,1.1915,-1.4653
A0016,1773465000000,-2.6115,-2.7106,-1.3143
A0016,1773621540000,0.5151,2.1752,0.2111
A0016,1773899400000,3.0975,0.926,-0.3609
A0016,1773997920000,0.2285,1.2194,-2.1691
A0017,1770162900000,0.7665,-2.4214,0.337
A0017,1770174480000,3.3757,-2.4721,1.5891
A0017,1770544260000,3.3793,1.0632,2.2616
A0017,1770880500000,1.117,7.3201,1.8405
A0017,1773117240000,-1.621,0.9653,1.3753
A0017,1774457340000,2.4075,-0.9208,-1.7666
A0018,1770223320000,3.8709,4.4181,-2.6337
A0018,1771179660000,4.3751,-1.0269,-2.8206
A0018,1771701300000,1.676,-2.4949,1.2426
A0018,1771779600000,-0.2421,0.9922,6.0484
A0018,1773720660000,-0.7952,1.7813,-2.1325
A0018,1774584720000,0.0646,0.0439,2.3881
A0018,1774949520000,-2.1455,-1.1712,1.52
A0019,1769935740000,-0.065,-3.125,-1.3705
A0019,1770063780000,0.0973,3.2344,-0.9182
A0019,1771092480000,0.0592,1.6542,-0.057
A0019,1772410560000,-1.3779,-0.6049,-1.5526
A0019,1772846460000,2.1448,-0.4632,-0.7025
A0019,1773083520000,0.2326,1.4979,-0.788
A0020,1771726440000,1.0941,2.5939,0.9715
A0020,1772193960000,-2.7387,1.4469,0.2041
A0020,1773021360000,-3.8587,-1.325,0.3632
A0020,1773239400000,2.606,3.3144,-0.6651
A0020,1773494820000,-2.2399,-1.5177,-1.4024
A0020,1774013520000,0.061,-0.1229,2.0841
A0020,1774096740000,0.5181,1.125,1.8472
A0020,1775058000000,-2.6055,0.904,-2.3024
A0021,1770304440000,0.8945,-0.9957,-1.7738
A0021,1770919020000,0.5055,4.7011,-0.3282
A0021,1771674840000,1.5639,-0.5319,-0.0549
A0021,1771801920000,1.4206,0.6863,2.7525
A0021,1773056460000,1.1459,1.5292,0.0935
A0021,1773841080000,-1.0049,-2.5897,-0.7427
A0021,1774592520000,-0.5836,3.6338,-0.6383
A0021,1774996320000,3.4946,0.3154,-0.396
A0022,1770090780000,2.0392,1.7709,0.2118
A0022,1771399440000,1.1861,-2.7074,0.7572
A0022,1771812540000,-0.994,0.1673,0.1053
A0022,1772416920000,2.6115,-1.2699,-0.0423
A0022,1773194220000,2.9415,-0.8396,-0.5624
A0022,1773620220000,-1.0783,5.0626,-3.9333
A0023,1770138540000,1.7051,1.3145,-4.6284
A0023,1770274500000,-3.2131,1.0208,-0.7682
A0023,1770884760000,-1.4768,-0.577,0.9771
A0023,1773897960000,-2.1077,-0.8717,-0.6282
A0023,1774917180000,-2.9663,-2.698,-2.2092
A0024,1769930460000,1.7084,0.3358,0.2415
A0024,1770840420000,-0.8619,-0.0041,1.3625
A0024,1771776360000,1.8064,5.9507,-2.3983
A0024,1772202120000,-0.2555,-3.5455,-1.8528
A0024,1773302400000,-3.3642,2.4764,1.0796
A0024,1773581460000,-1.0702,-2.2572,1.7052
A0024,1774101300000,0.7285,3.2077,2.3115
A0025,1770325680000,0.7242,0.3567,3.3344
A0025,1770401100000,2.0972,-0.0218,-1.5753
A0025,1770587700000,0.6017,0.5003,2.0494
A0025,1771639440000,-3.925,-0.3603,1.9751
A0025,1771952220000,0.1987,-1.0412,-2.6586
A0025,1772017620000,-0.8218,-0.696,1.3335
A0025,1772752320000,-1.8694,3.7957,-0.3614
A0025,1774129440000,-0.1783,2.8411,0.9666
A0025,1774449900000,-2.749,1.834,0.3654
A0025,1774678080000,1.8616,0.7691,1.8708
A0026,1770257460000,-2.119,0.8018,-1.1522
A0026,1770951000000,0.1387,-0.7483,-0.1881
A0026,1771742880000,1.2427,0.1897,-5.6316
A0026,1773243540000,0.4978,2.965,-2.3975
A0026,1774066620000,-2.9241,0.7144,1.1917
A0026,1775033820000,-2.9268,0.7858,1.1214
A0027,1770344040000,-1.601,1.0028,-0.1033
A0027,1771564680000,1.1347,1.7851,0.0273
A0027,1772672940000,-1.8962,-0.5144,-0.1082
A0027,1773713160000,-1.5469,4.3879,-0.3648
A0027,1774422360000,0.4018,3.2838,3.753
A0028,1771071120000,1.9249,-0.5718,-1.6332
A0028,1771676220000,0.1689,2.2215,-2.2653
A0028,1772231160000,-0.9464,-0.302,-1.9006
A0028,1772485740000,-1.5579,1.4003,-0.8468
A0028,1773740580000,1.9324,-3.3094,0.8163
A0028,1774133700000,3.0843,-3.021,-1.4836
A0028,1774324260000,2.4675,0.7797,-3.8506
A0028,1775038500000,0.4277,1.6787,-2.7237
A0029,1770872580000,4.7955,-0.9826,0.9729
A0029,1771815540000,2.3229,1.2765,-0.1472
A0029,1772025240000,2.502,-0.0641,-1.8348
A0029,1772995320000,-1.2255,-4.7232,3.6321
A0029,1773139380000,-2.7538,0.2634,0.2756
A0029,1773899640000,-0.3909,0.0594,-1.1342
A0029,1774009620000,-0.185,2.5136,-0.3927
A0029,1774873800000,-4.4358,-0.226,1.0045
A0030,1770871800000,2.2341,-1.5094,2.4455
A0030,1771628940000,-2.4802,-3.9543,-1.2056
A0030,1771825860000,2.1622,-1.8063,-0.4843
A0030,1772615520000,1.7837,0.5166,1.2877
A0030,1773499320000,2.3309,2.0319,2.1881
A0030,1773704940000,-1.4997,2.5086,0.1771
A0030,1774134300000,-6.0151,1.3119,-0.0384
A0030,1774474260000,-1.1406,1.5383,0.2244
A0031,1770029340000,-2.5123,0.5654,1.5738
A0031,1770714900000,-0.2993,-1.9918,0.9766
A0031,1770769440000,2.2646,-2.5495,-0.6486
A0031,1771675620000,-1.3683,0.4087,1.2373
A0031,1772388300000,1.4296,0.0307,-1.8915
