user_id,item_id
U0000,I0004
U0000,I0005
U0000,I0015
U0000,I0023
U0000,I0027
U0000,I0029
U0000,I0033
U0000,I0037
U0000,I0056
U0001,I0014
U0001,I0024
U0001,I0043
U0001,I0047
U0001,I0051
U0001,I0058
U0001,I0059
U0002,I0001
U0002,I0011
U0002,I0033
U0002,I0036
U0002,I0037
U0002,I0048
U0003,I0000
U0003,I0003
U0003,I0007
U0003,I0018
U0003,I0023
U0003,I0036
U0003,I0059
U0004,I0014
U0004,I0022
U0004,I0038
U0004,I0051
U0004,I0055
U0005,I0014
U0005,I0015
U0005,I0030
U0005,I0037
U0005,I0039
U0005,I0048
U0006,I0001
U0006,I0015
U0006,I0030
U0006,I0040
U0006,I0046
U0006,I0047
U0007,I0010
U0007,I0013
U0007,I0022
U0007,I0028
U0007,I0029
U0007,I0053
U0008,I0005
U0008,I0020
U0008,I0021
U0008,I0037
U0008,I0046
U0008,I0055
U0009,I0002
U0009,I0009
U0009,I0035
U0009,I0041
U0009,I0043
U0009,I0047
U0010,I0002
U0010,I0013
U0010,I0022
U0010,I0023
U0010,I0024
U0010,I0028
U0010,I0045
U0011,I0003
U0011,I0022
U0011,I0030
U0011,I0035
U0011,I0037
U0011,I0039
U0011,I0052
U0012,I0006
U0012,I0012
U0012,I0013
U0012,I0029
U0012,I0038
U0012,I0047
U0012,I0051
U0013,I0006
U0013,I0007
U0013,I0014
U0013,I0032
U0013,I0050
U0014,I0003
U0014,I0006
U0014,I0017
U0014,I0021
U0014,I0034
U0014,I0036
U0014,I0045
U0014,I0051
U0015,I0000
U0015,I0007
U0015,I0012
U0015,I0017
U0015,I0027
U0015,I0038
U0015,I0046
U0015,I0048
U0015,I0059
U0016,I0002
U0016,I0024
U0016,I0028
U0016,I0029
U0016,I0048
U0016,I0052
U0016,I0056
U0016,I0057
U0016,I0058
U0017,I0009
U0017,I0010
U0017,I0011
U0017,I0022
U0017,I0028
U0017,I0035
U0017,I0044
U0017,I0049
U0018,I0002
U0018,I0003
U0018,I0016
U0018,I0022
U0018,I0029
U0018,I0053
U0018,I0055
U0019,I0032
U0019,I0036
U0019,I0040
U0019,I0046
U0019,I0056
U0020,I0012
U0020,I0035
U0020,I0036
U0020,I0044
U0020,I0048
U0020,I0053
U0020,I0056
U0020,I0058
U0020,I0059
U0021,I0010
U0021,I0011
U0021,I0012
U0021,I0036
U0021,I0039
U0021,I0044
U0021,I0054
U0022,I0004
U0022,I0007
U0022,I0018
U0022,I0026
U0022,I0029
U0022,I0036
U0022,I0037
U0022,I0038
U0022,I0042
U0022,I0059
U0023,I0003
U0023,I0013
U0023,I0018
U0023,I0050
U0023,I0052
U0023,I0055
U0023,I0056
U0023,I0057
U0024,I0006
U0024,I0009
U0024,I0011
U0024,I0019
U0024,I0022
U0024,I0028
U0024,I0041
U0024,I0045
U0024,I0054
U0024,I0057
U0025,I0000
U0025,I0008
U0025,I0009
U0025,I0014
U0025,I0019
U0025,I0021
U0025,I0032
U0025,I0035
U0025,I0037
U0026,I0007
U0026,I0020
U0026,I0034
U0026,I0051
U0026,I0052
U0027,I0001
U0027,I0012
U0027,I0018
U0027,I0036
U0027,I0042
U0028,I0013
U0028,I0016
U0028,I0020
U0028,I0029
U0028,I0032
U0028,I0040
U0028,I0048
U0029,I0013
U0029,I0027
U0029,I0029
U0029,I0037
U0029,I0038
U0029,I0039
U0030,I0022
U0030,I0027
U0030,I0038
U0030,I0043
U0030,I0052
U0031,I0002
U0031,I0005
U0031,I0030
U0031,I0057
U0031,I0059
U0032,I0002
U0032,I0005
U0032,I0009
U0032,I0019
U0032,I0022
U0032,I0039
U0032,I0049
U0032,I0052
U0032,I0055
U0033,I0012
U0033,I0013
U0033,I0031
U0033,I0037
U0033,I0040
U0033,I0051
U0034,I0007
U0034,I0009
U0034,I0035
U0034,I0045
U0034,I0046
U0035,I0009
U0035,I0011
U0035,I0017
U0035,I0021
U0035,I0025
U0035,I0031
U0035,I0041
U0035,I0056
U0036,I0003
U0036,I0009
U0036,I0030
U0036,I0051
U0036,I0055
U0037,I0003
U0037,I0009
U0037,I0015
U0037,I0038
U0037,I0047
U0037,I0057
U0037,I0059
U0038,I0001
U0038,I0003
U0038,I0010
U0038,I0027
U0038,I0030
U0038,I0034
U0038,I0038
U0038,I0045
U0039,I0003
U0039,I0007
U0039,I0013
U0039,I0021
U0039,I0033
U0039,I0040
U0039,I0049
U0039,I0053
