item_id,e1,e2,e3,e4,e5,e6,e7,e8
I0000,0.4315,-0.3003,0.1117,0.6729,-0.1442,-0.6865,-1.0488,-0.3361
I0001,-0.1986,1.4751,-0.1992,-0.9749,-1.143,-0.671,-0.602,0.9605
I0002,-0.0942,1.3913,-0.8363,-0.4181,2.643,-0.1633,-1.4217,0.2348
I0003,1.5324,-1.1028,-2.2272,0.2196,0.0456,-1.4565,-1.3112,0.2388
I0004,-2.1691,0.376,-1.8139,-0.4345,0.3918,-0.1451,0.1477,1.3695
I0005,0.3677,1.1186,-1.807,-0.0266,0.2589,0.5604,0.2107,0.4522
I0006,-0.4984,-0.6987,1.0883,-1.024,-0.0929,-0.2473,0.4464,0.3379
I0007,-1.7645,1.1705,0.3534,1.7305,-0.5351,1.2136,-0.2639,1.3417
I0008,-0.2569,-0.9854,-0.0857,0.6633,1.8336,0.3809,-1.4338,1.5057
I0009,0.4928,-1.4963,0.0959,-0.363,-0.5766,-0.6644,0.7246,-0.0212
I0010,1.5572,1.5412,-0.1649,-0.6926,-0.1085,1.3507,0.1749,1.1849
I0011,-1.4551,0.7014,0.1729,0.4533,-0.506,0.5372,-0.2211,1.4401
I0012,-0.887,-0.6671,-0.9838,0.5392,0.6668,-0.0528,-0.7349,0.6352
I0013,-0.8048,-0.749,1.6056,1.0044,0.7274,1.2895,0.6555,1.4853
I0014,-1.271,-1.6618,0.0143,-0.0276,0.418,-1.1353,1.0324,-0.2396
I0015,-0.9396,0.0767,1.674,0.6424,0.509,-1.3962,1.3665,1.4496
I0016,0.3484,0.1755,0.15,-0.963,-0.389,1.1222,0.4339,0.6872
I0017,0.1661,-1.2745,0.0688,-1.1938,-2.1857,0.1603,-0.037,-1.4628
I0018,-0.5212,0.855,-0.4856,1.353,1.5327,0.412,-1.2082,1.589
I0019,0.0663,0.424,0.2831,0.1965,-0.0918,-0.0704,1.6104,-1.1716
I0020,-0.8191,-1.6178,-1.088,0.9632,0.1749,-1.1741,-0.9237,-0.751
I0021,-0.7896,0.0164,-0.997,-0.0877,1.2026,1.2949,1.0112,1.2144
I0022,-0.2569,-0.9854,-0.0857,0.6633,1.8336,0.3809,-1.4338,1.5057
I0023,-2.341,-1.6302,-0.8526,-0.6348,-0.6147,0.5178,-0.0405,0.6614
I0024,-2.1691,0.376,-1.8139,-0.4345,0.3918,-0.1451,0.1477,1.3695
I0025,0.5321,-1.9008,-0.8334,-0.9337,0.853,0.6733,-0.5802,-0.5799
I0026,-0.8191,-1.6178,-1.088,0.9632,0.1749,-1.1741,-0.9237,-0.751
I0027,0.7003,-0.1493,-1.044,0.7595,-0.1651,0.0888,2.0585,0.3444
I0028,-0.8057,-0.303,2.1088,0.4532,2.1976,-0.4943,0.1537,0.1609
I0029,-0.2547,0.5973,0.2088,-0.7442,0.1481,-0.2052,0.7088,1.2652
I0030,0.4324,-1.6478,-0.3233,1.6533,0.6613,-0.8462,0.6275,0.076
I0031,-0.5941,-1.5268,1.0581,0.4739,-0.4199,-0.3648,0.1202,0.9018
I0032,-0.9396,0.0767,1.674,0.6424,0.509,-1.3962,1.3665,1.4496
I0033,-0.6116,-0.6338,0.4937,-0.2039,-0.0516,0.3708,-0.9101,0.5536
I0034,-0.887,-0.6671,-0.9838,0.5392,0.6668,-0.0528,-0.7349,0.6352
I0035,1.0576,0.9708,-0.6034,2.004,0.1608,-0.3139,1.4771,0.1021
I0036,0.2201,0.3953,2.4557,0.6337,-1.784,-0.0177,-1.6493,-0.6021
I0037,-1.6712,0.5227,-0.0999,0.4111,-1.1759,-2.7152,1.1351,-4.1977
I0038,-0.3811,0.3078,0.2521,-0.6215,2.0063,-0.8483,0.1992,-0.3854
I0039,0.2059,-0.7854,-0.1291,1.3374,0.8063,1.6763,-1.0871,0.1818
I0040,-0.2271,-1.2124,-1.3898,1.5975,-1.4388,0.9631,-0.6014,-0.1073
I0041,-0.3768,2.1731,0.2049,-0.6388,0.5641,0.1868,-0.446,-0.6666
I0042,-0.3768,2.1731,0.2049,-0.6388,0.5641,0.1868,-0.446,-0.6666
I0043,-1.4864,-1.7582,0.0265,-0.2229,-1.2031,1.6208,0.2389,-0.7991
I0044,-0.5043,-0.6298,-1.2826,0.4707,1.3588,0.9385,0.1053,2.1149
I0045,-1.1837,0.0176,1.4349,-0.2658,-1.3433,-0.5226,-1.5036,0.8743
I0046,-1.3536,-0.2346,0.4339,0.8831,0.9048,-1.093,1.8792,1.2775
I0047,0.2095,0.2425,-0.9269,0.2759,0.1256,-0.5147,-0.1671,0.038
I0048,-0.1993,0.529,0.261,-0.5552,-0.6243,1.4432,0.2145,-0.5385
I0049,-0.6851,-0.7655,1.3308,-0.4766,-0.0629,-0.1326,0.6779,-1.0732
I0050,-0.4496,-0.9921,-0.8928,-2.0761,0.3851,1.6226,-1.4796,0.2394
I0051,-0.2173,-1.1199,0.2169,0.7661,0.7459,0.5977,-0.0903,-0.1927
I0052,-0.5815,-1.6875,1.3805,0.3324,0.1891,-0.107,-0.2519,-0.8764
I0053,-0.4041,0.405,0.0254,-0.578,0.693,2.0515,0.6417,0.7643
I0054,-0.1534,-1.6575,0.3616,0.2909,1.302,-1.2369,-0.7976,-1.0883
I0055,-0.0788,-0.1072,-1.0571,-0.7542,2.0176,-0.655,0.0598,-0.1828
I0056,-1.3536,-0.2346,0.4339,0.8831,0.9048,-1.093,1.8792,1.2775
I0057,0.3677,1.1186,-1.807,-0.0266,0.2589,0.5604,0.2107,0.4522
I0058,-0.5125,0.0827,-1.1939,-0.0342,0.1239,-0.3783,-0.9471,-1.0289
