entity_id,f1,f2,f3,f4,f5
E0038,15.138538,5.273643,6.839955,4.317304,3.182716
E0020,3.589139,6.290373,18.784174,70.88679,2.896822
E0074,2.974524,3.34392,7.923112,20.370268,7.813502
E0294,10.868542,53.546518,45.279274,12.703601,3.768403
E0124,11.324505,8.14211,8.361395,8.969629,10.056424
E0290,5.076028,11.331497,2.308888,11.028857,6.74813
E0187,8.681795,7.01804,15.644582,7.40444,4.746868
E0185,2.170127,3.251916,17.043205,4.894302,7.866141
E0052,13.406952,8.096493,28.645434,8.439776,3.693326
E0068,38.552591,6.924854,11.252645,19.965303,5.746151
E0140,7.52712,6.322049,21.777856,18.45547,5.114918
E0216,3.63964,6.785447,88.065938,4.67605,5.725619
E0250,9.889846,5.823015,3.265998,5.972295,9.186054
E0137,14.682348,8.340618,2.648466,3.96318,12.528783
E0219,14.142854,16.89461,4.063019,8.094901,9.121878
E0288,7.59601,13.952778,4.049434,24.658006,11.475392
E0280,7.530956,3.404329,14.068967,3.524275,19.168779
E0277,2.94844,1.643312,5.128522,12.495857,12.939574
E0183,4.550662,26.862034,9.244591,9.573298,19.557791
E0175,9.548713,2.603523,4.826344,7.152382,5.302871
E0066,14.719664,3.327832,3.485068,15.620743,4.016667
E0043,10.536689,2.792381,12.698263,2.569897,9.343762
E0116,1.248442,11.222203,4.350217,4.927884,1.628371
E0118,8.00416,2.886313,24.087518,7.154236,17.901601
E0273,3.788912,21.139622,5.813984,6.474995,2.655876
E0229,12.748013,9.959559,3.097096,4.228607,7.802431
E0178,10.757058,4.158121,6.202004,8.397367,9.666175
E0188,4.845305,8.406631,5.664892,13.6351,5.048715
E0092,17.160905,8.193732,7.054543,2.953846,3.987271
E0255,14.188281,9.027407,9.70759,3.133855,23.568603
E0209,5.593585,13.856246,8.04141,1.117968,6.752585
E0131,11.139736,6.0246,9.178441,8.398562,11.27869
E0149,4.02171,12.459621,13.412106,12.542414,13.916945
E0155,5.375556,7.232575,6.239642,11.119409,14.691097
E0120,1.943818,12.066904,2.041649,5.334966,9.585892
E0235,10.986609,16.45895,2.799485,3.549027,6.484457
E0256,5.074371,7.361469,7.89197,59.436139,5.58706
E0177,51.52578,9.147317,11.176795,4.331047,3.597411
E0013,7.948976,5.845056,7.72852,7.569678,12.422609
E0262,19.744899,3.873895,21.603007,5.217758,8.806882
E0150,8.79023,5.540598,9.28225,16.610434,21.755674
E0203,5.241893,6.633823,2.935494,5.83771,3.783896
E0269,4.65753,16.729249,8.845723,41.253117,5.708754
E0210,7.323044,3.651216,15.573542,9.845156,2.912629
E0103,11.044922,7.521608,11.278304,5.96219,8.038266
E0162,9.03631,53.559956,4.371038,8.55724,2.197299
E0265,4.25652,2.915908,6.652912,5.371407,22.069483
E0010,3.756146,17.881924,5.145013,2.822747,14.415247
E0254,10.218576,2.706903,4.495417,6.892735,2.911523
E0224,5.91979,16.80981,6.821691,5.829428,5.253162
E0225,2.705892,14.368069,13.595247,3.239827,2.286711
E0022,7.217602,7.681047,7.016699,1.393077,22.915862
E0088,1.698626,7.349273,14.787406,2.697316,7.757812
E0223,4.963714,14.472612,56.341089,8.788981,14.845054
E0045,9.757896,7.579052,1.914793,1.082543,12.42401
E0084,12.425916,10.347593,9.45509,14.513376,16.928236
E0113,14.721622,7.434321,8.062881,0.876447,4.571284
E0003,4.358998,15.076733,6.487862,17.728874,4.402119
E0023,5.165083,7.2119,3.194508,11.779873,2.326478
E0167,10.317453,2.478452,1.716775,3.823072,5.190641
E0171,7.948679,7.001049,8.674297,0.534862,9.163037
E0206,14.967286,8.635663,6.194788,4.508909,17.60393
E0056,3.760805,4.840697,6.072075,24.656976,4.179989
E0172,10.232356,4.590173,7.589267,21.37166,7.411273
E0067,11.098182,2.655441,5.600687,38.600265,8.888202
E0180,27.986105,9.862,11.557376,11.416546,3.832298
E0270,6.234425,9.849607,5.71805,5.424806,1.2091
E0141,28.11999,4.494029,0.984292,3.004806,9.438616
E0065,8.969907,4.521854,3.720275,2.41202,8.423781
E0222,14.110658,18.588395,17.102704,3.989559,8.980186
E0147,3.264662,4.157042,15.557985,1.998322,7.790056
E0087,7.504003,7.021344,8.817806,24.812451,13.131962
E0076,8.560565,3.960535,2.073545,5.134828,3.488219
E0132,26.573993,5.380649,2.241302,6.399333,6.591438
E0198,7.885211,10.514904,30.258264,2.441977,0.952395
E0213,13.814831,7.738482,8.867362,6.316647,5.066736
E0062,20.816014,14.131888,45.504004,10.152688,5.781273
E0111,10.949744,34.447273,13.387744,4.027322,6.859514
E0069,3.297749,3.727248,3.067841,12.211773,6.692336
E0148,30.971634,12.992176,6.505733,7.332307,18.823305
E0078,4.056252,7.186008,11.092308,31.676589,8.102729
E0240,7.07846,5.418812,7.317434,4.029006,5.625507
E0230,5.901558,9.725607,11.755204,2.256811,9.934828
E0122,5.336191,11.368217,6.720045,7.317708,6.107017
E0048,11.982292,5.585124,8.779346,10.487698,14.076735
E0197,3.150883,3.978379,29.777634,2.34341,9.251257
E0274,5.509389,17.219414,4.276562,5.162397,17.952105
E0174,4.147645,9.599604,8.25301,26.113533,4.144378
E0231,10.554281,12.542354,4.932561,27.771208,9.171454
E0214,7.386654,3.876534,5.157655,5.761116,4.068875
E0217,20.70577,12.17747,24.984755,4.050229,1.886962
E0212,2.488438,8.61857,5.370601,9.077164,3.602253
E0258,6.458099,3.496766,11.959612,2.35923,8.12346
E0253,8.956371,1.135485,24.832987,4.602028,4.386589
E0004,4.234636,7.588885,3.684075,6.595305,4.590422
E0297,3.430545,6.399728,6.128042,6.476887,22.957756
E0292,37.542912,3.553426,5.904373,2.134672,2.540336
E0000,11.914868,30.534611,3.183329,1.708658,7.291696
E0181,7.259116,5.660523,23.632959,3.562198,11.210099
E0094,8.25948,11.385693,27.643841,14.305432,23.834237
E0293,20.724081,4.943094,6.819428,17.136615,56.082877
E0015,7.844597,5.482188,11.89539,5.579107,3.086273
E0082,12.898909,0.962143,40.653932,32.607834,16.254371
E0279,5.264759,7.303013,3.73801,10.046324,12.775662
E0017,9.395429,5.94127,2.327085,8.852104,5.28319
E0125,12.665194,13.031457,26.781129,3.274791,5.380859
E0260,4.432126,6.664487,1.600427,5.615206,1.742904
E0129,6.412887,6.262579,43.683388,8.102336,8.240128
E0095,6.366898,7.967182,1.786151,14.935509,11.584463
E0252,5.239788,3.396818,6.619243,2.207168,4.280169
E0024,27.353023,18.238954,2.009427,15.310876,9.817218
E0134,11.163541,4.023365,16.892864,20.502501,6.351316
E0064,4.296455,45.517469,18.735214,12.955382,7.355679
E0236,8.016333,13.859621,16.510302,2.214932,18.480901
E0257,5.350249,6.939325,3.640617,2.439592,6.373129
E0037,5.104478,5.951788,12.238738,18.157066,17.367777
E0007,3.275652,16.646193,7.583093,12.487901,12.360447
E0100,3.816218,8.202769,20.311601,16.127433,10.421928
E0005,10.28284,3.560846,4.600697,4.498795,3.378538
E0128,8.647596,11.214533,8.986329,15.151341,9.161666
E0096,8.90577,3.492666,20.81809,12.103922,3.438143
E0071,2.333509,7.039072,5.926805,5.890506,4.655927
E0228,8.584415,7.41554,5.474654,19.81301,7.67601
E0242,6.842779,7.712993,2.972683,2.006782,8.138933
E0077,20.820284,4.786112,4.574058,3.974143,2.559597
E0114,3.403781,8.133349,16.317458,18.939788,5.341643
E0266,6.74669,6.453772,10.428073,14.247364,2.812638
E0102,44.162529,13.416801,5.379958,4.857286,2.936791
E0289,11.009588,9.854052,1.773714,16.373199,9.875211
E0107,5.198155,5.902314,3.677807,7.484189,7.432766
E0081,7.905015,5.921928,5.811335,31.114015,3.575362
E0053,62.033601,17.162753,4.456541,0.986106,5.342133
E0189,6.447842,3.087221,8.106503,3.966881,23.041702
E0057,2.888781,18.766606,10.418605,5.633722,15.502969
E0191,14.45326,5.427544,12.81033,11.599654,0.948133
E0106,17.911643,7.297338,13.967279,15.940215,4.267186
E0248,6.746202,0.950869,6.32935,5.683664,3.89046
E0086,9.623814,39.768469,17.417529,30.854157,12.602111
E0234,5.274687,3.719753,6.790632,10.034866,2.101374
E0194,10.500212,3.505781,32.90604,26.090351,10.868435
E0165,3.411675,6.285327,17.773669,6.705333,1.917483
E0245,5.278983,3.009831,2.363743,17.134989,4.713594
E0295,3.401901,5.353743,9.999702,5.517066,5.865366
E0296,30.131617,5.491197,4.193737,9.996223,9.409019
E0164,15.275464,9.106538,4.220134,17.106636,10.376474
E0031,3.202438,9.439203,3.916965,7.416683,18.939577
E0218,7.646011,0.889656,4.707259,6.762001,41.990063
E0072,7.420898,5.613534,14.627113,6.559801,8.245314
E0136,9.416893,11.413561,5.031812,14.985253,8.587056
E0070,7.772837,13.369091,5.69453,10.220768,11.130174
E0109,3.000424,46.75148,3.107254,6.063702,7.56286
E0259,5.572136,4.193137,6.263504,3.54101,3.409207
E0153,3.006158,4.957516,48.482667,6.703154,9.61238
E0002,13.58942,4.965831,13.74262,7.011881,2.723532
E0061,8.767924,11.477964,4.39954,8.638024,9.382275
E0073,28.555334,1.956192,24.270689,13.79084,1.477414
E0161,6.9173,23.333452,6.875167,3.691624,3.676483
E0184,6.485114,13.530919,3.104583,2.410068,5.603211
E0097,3.574177,8.947143,11.642313,6.564524,3.67272
E0283,13.8567,5.352001,62.981489,13.121404,6.680762
E0042,8.292826,32.027604,7.146824,26.085761,9.812328
E0192,16.175921,17.557173,5.646602,7.672725,18.091492
E0249,13.45859,4.394455,2.032498,2.356083,13.366137
E0163,32.685664,2.886178,26.404775,3.003613,9.800062
E0006,11.408995,8.73622,5.04901,3.895571,2.972572
E0079,11.737789,23.091791,8.400882,1.401626,18.677685
E0117,4.773387,4.687751,8.91761,3.246659,10.744063
E0237,2.937549,3.563063,3.062222,9.838687,9.175138
E0018,7.97426,10.718518,9.593478,0.310193,11.404125
E0247,23.248428,17.118559,9.017966,4.69997,12.5345
