query_id,embedding
Q000,"[2.98459, -0.337213, 0.661464, 1.567626, -2.054116, 4.690156, -3.098759, -4.212989, -2.925867, 4.637027, -1.731335, 1.220668, 1.161215, 1.65565, -4.71374, -1.800636]"
Q001,"[6.484091, 2.972542, -4.684148, -1.387028, -1.632306, 4.398899, -3.442971, 2.40308, 1.645402, -2.01991, 1.321104, -6.232033, -2.276068, -2.655654, -3.259453, -1.556211]"
Q002,"[-1.484947, 1.154493, 1.116665, 0.520349, -0.507163, 2.509502, -1.814636, 2.975924, 0.218305, 4.739995, -3.26373, 4.40814, 1.048108, -0.356139, 0.551038, 0.141964]"
Q003,"[4.976186, -1.276404, -1.538253, 3.809845, 1.858893, 2.565484, -2.259281, 4.176427, 2.258052, -1.718386, 1.127538, 1.376497, 1.261579, -2.807478, -4.450519, 2.862303]"
Q004,"[7.14099, 4.174925, -5.113987, -1.657079, -1.097034, 5.088266, -3.07489, 3.160723, 1.692713, -2.867981, -0.49902, -6.116637, -3.342405, -1.976108, -1.967347, -0.618204]"
Q005,"[-2.652441, 0.98019, 1.88756, 0.891133, -0.761351, 2.438629, -2.343171, 2.598705, -0.385832, 3.98961, -2.968068, 4.175078, -0.001257, 0.257246, 1.586468, -0.439322]"
Q006,"[5.936731, 3.654668, -4.664076, -1.260002, -1.971729, 5.160516, -1.726426, 4.011675, 1.927016, -2.180395, 1.042134, -6.863305, -2.773183, -3.846879, -3.365899, -0.976618]"
Q007,"[-1.037417, -2.851367, -3.472657, -4.10874, -2.729435, 1.144897, 0.486857, -1.491737, 3.690666, -1.951639, 6.383906, 4.407044, -0.207502, -6.224191, -1.115981, -3.48827]"
Q008,"[-1.243878, -2.84438, -4.498553, -2.400028, -2.240177, 1.973008, 1.851181, -0.579992, 3.89787, -2.433763, 5.812601, 4.645227, -0.122738, -5.672327, -1.366618, -3.520769]"
Q009,"[4.598139, -2.487996, -0.601395, 3.973094, 2.881626, 4.56849, -2.439538, 5.449607, 3.298392, -1.529176, 1.829472, 1.018673, 1.903829, -3.341545, -5.868508, 1.637435]"
Q010,"[1.605484, 1.725593, 3.27166, -1.268309, 2.159272, 0.065608, -1.228988, -2.7934, 4.484176, -2.165124, 1.815875, 2.760304, 1.033506, 0.021135, -1.45031, -1.855845]"
Q011,"[1.715857, 1.579246, 4.319267, -2.778479, 2.554643, -0.021589, -0.431395, -3.591003, 3.977455, -1.456315, 1.496309, 2.965228, 1.492187, -0.898429, -0.004073, -1.239117]"
Q012,"[-3.189322, -2.339814, -3.937451, -2.461677, -2.846354, 1.443348, 2.015272, -1.196449, 3.082291, -2.293229, 4.865402, 4.483284, 0.070775, -6.206983, -0.366231, -4.376266]"
Q013,"[-2.086468, -2.217985, -3.539952, -3.636715, -1.68846, 1.621639, 1.590572, -1.325143, 3.031591, -2.938367, 7.111206, 4.108956, -0.61436, -5.908131, -1.791161, -2.530901]"
Q014,"[-2.727356, -2.7389, -4.916275, -2.838906, -2.526337, 1.461659, 1.878739, 0.132632, 3.655422, -3.714731, 6.423859, 4.535328, 0.40972, -5.538058, -1.122988, -3.177147]"
Q015,"[6.97425, 2.577623, -4.702342, 0.297612, -1.869071, 6.396584, -3.850071, 2.815131, 1.48236, -1.738931, 1.462979, -6.063712, -2.138084, -3.063066, -1.916012, -0.652709]"
Q016,"[4.666018, -2.021314, -1.197394, 3.666309, 2.390635, 3.638563, -3.410825, 5.471295, 2.205722, -1.75155, 1.490555, -0.659179, 1.793361, -4.724594, -4.167176, 0.980353]"
Q017,"[-1.16821, -2.390951, -3.851058, -3.722976, -3.85798, 1.792268, 1.137027, -1.874699, 3.267602, -4.133595, 5.740491, 4.590512, -0.353222, -5.832427, -1.027886, -2.732483]"
Q018,"[-2.683926, 0.044479, -0.190249, 0.406582, -0.231848, 2.180249, -1.756067, 1.984041, -0.660503, 4.265241, -3.894718, 2.955334, 1.161704, -0.530166, 0.01741, -0.448465]"
Q019,"[5.888938, -1.987869, -0.386143, 4.313551, 1.164459, 3.19512, -2.102147, 5.085318, 2.354488, -1.396242, 1.42763, -0.797465, 1.57826, -4.966968, -4.618361, 2.136796]"
Q020,"[-1.65035, -2.058271, -3.182499, -2.523135, -3.036386, 1.159368, 1.470339, -1.439701, 2.640678, -3.160711, 5.556226, 3.55704, -0.849534, -6.351996, -0.171523, -3.622694]"
Q021,"[3.352427, -0.910886, -0.486915, 0.196059, -2.216556, 4.281492, -3.39014, -4.199408, -4.044597, 4.329967, -2.657597, 0.02583, 0.740007, 0.890391, -2.619882, -1.370399]"
Q022,"[-1.987776, -1.56172, -4.03408, -3.75594, -1.791652, 0.592717, 2.937441, 0.526949, 2.856102, -3.661805, 6.314407, 3.69912, -0.704556, -6.199236, -1.331718, -3.726544]"
Q023,"[-1.302922, -2.404899, -4.219277, -3.821025, -2.779761, 1.573511, 1.686451, -0.948794, 2.920038, -3.037194, 6.235151, 3.845714, -1.417463, -5.385382, -1.321153, -2.415739]"
Q024,"[2.202777, 3.425352, 2.917711, -1.527987, 2.498033, 0.497588, -0.048337, -3.507962, 3.300865, -2.399867, 1.475716, 2.61196, 1.962895, 0.105843, 0.022295, 0.674208]"
