row_id,status,balance,updated_at
R00258,active,6261.87,1770210780000
R00235,closed,3327.56,1770367260000
R00315,closed,5043.2,1770192120000
R00390,dormant,7444.09,1770442920000
R00339,dormant,3685.86,1770287520000
R00280,closed,1519.81,1769909100000
R00317,closed,5645.86,1770267960000
R00226,active,3164.08,1770256620000
R00285,closed,3764.6,1770500280000
R00263,closed,3467.27,1770413400000
R00191,active,6511.91,1770132960000
R00328,active,4817.85,1770343140000
R00262,closed,1868.87,1770147480000
R00077,dormant,6335.37,1770230760000
R00097,dormant,3356.37,1770383040000
R00289,closed,7444.19,1770045240000
R00022,active,3559.14,1770091260000
R00359,dormant,5719.21,1770124680000
R00093,active,4835.08,1770245520000
R00135,dormant,2293.89,1769918340000
R00264,active,3455.47,1770444420000
R00319,dormant,3875.58,1770158520000
R00136,active,5753.6,1770261720000
R00032,active,6861.12,1770476040000
R00124,dormant,8810.99,1769929800000
R00391,closed,4724.94,1769936580000
R00346,dormant,7008.52,1769945340000
R00207,active,5189.27,1770071880000
R00200,closed,5053.99,1770349500000
R00225,closed,4226.36,1770225420000
R00261,dormant,6915.65,1770154320000
R00173,active,4948.15,1770316260000
R00357,dormant,2471.59,1770174180000
R00001,closed,6795.23,1770219480000
R00174,closed,8686.73,1770270360000
R00361,active,4107.64,1770304860000
R00270,closed,3651.71,1769974200000
R00227,dormant,4730.83,1769971440000
R00122,closed,4999.7,1770205260000
R00167,closed,3789.29,1770135480000
R00356,active,5711.62,1769905140000
R00300,closed,2518.45,1770082980000
R00037,dormant,6216.86,1770144120000
R00260,dormant,4336.85,1770326220000
R00055,active,6283.84,1770490260000
R00194,closed,5353.59,1770063600000
R00386,closed,5234.73,1770415320000
R00224,closed,1377.81,1770137880000
R00185,dormant,2562.2,1770386760000
R00312,dormant,5067.0,1770147780000
R00035,closed,4579.78,1770489720000
R00334,closed,7427.52,1770309060000
R00081,active,7712.06,1769999820000
R00341,closed,3602.9,1770015780000
R00213,active,3405.91,1770502020000
R00161,closed,4730.05,1770185640000
R00090,closed,5959.07,1770093240000
R00171,closed,7662.81,1770175740000
R00131,active,6949.15,1770502380000
R00029,active,5071.05,1770381660000
R00252,closed,7865.3,1770126960000
R00019,active,4591.42,1770022680000
R00218,dormant,6125.34,1770166560000
R00360,closed,7865.61,1770206280000
R00327,closed,3732.17,1769960460000
R00031,active,6713.55,1770070320000
R00073,closed,6824.18,1770076080000
R00309,dormant,1177.2,1769978760000
R00080,closed,1663.81,1770088380000
R00177,dormant,2873.13,1770295440000
R00388,dormant,2983.06,1770175440000
R00158,active,4399.42,1770475140000
R00181,dormant,3255.05,1770243900000
R00278,dormant,4998.29,1770203160000
R00254,dormant,7922.09,1769947800000
R00237,dormant,7918.69,1770207960000
R00281,closed,6223.26,1770293760000
R00086,dormant,7696.95,1770132960000
R00051,dormant,2685.45,1770465060000
R00014,closed,6499.23,1770201420000
R00175,closed,5499.09,1770282360000
R00003,active,7572.72,1770043500000
R00233,closed,6945.1,1770344820000
R00369,active,4865.63,1770237120000
R00298,dormant,6375.3,1770185220000
R00267,active,1743.99,1769956020000
R00216,closed,7229.87,1770105420000
R00120,closed,8054.6,1770103500000
R00043,active,1779.86,1770228960000
R00338,dormant,6464.72,1770056640000
R00353,active,3490.24,1770421680000
R00154,active,4315.21,1770484260000
R00299,dormant,3332.44,1770007260000
R00176,closed,4192.37,1770313380000
R00104,active,5030.36,1770134580000
R00230,dormant,8412.13,1770220800000
R00268,active,5138.59,1769990520000
R00291,active,4861.11,1770279420000
R00123,closed,3363.25,1770439020000
R00393,active,7946.14,1770037260000
R00075,closed,3395.49,1770148860000
R00241,dormant,2238.41,1770165120000
R00303,active,5386.39,1769947500000
R00198,closed,5574.67,1770121560000
R00204,closed,6387.44,1770153600000
R00107,closed,11207.91,1770225060000
R00038,dormant,3635.68,1770489060000
R00371,dormant,7403.91,1770262800000
R00013,closed,5561.87,1770006360000
R00023,dormant,5934.69,1770397680000
R00036,dormant,4708.4,1770429120000
R00399,closed,5153.8,1770118020000
R00053,active,2136.47,1770186780000
R00028,closed,8274.47,1770148560000
R00229,active,3370.9,1770444180000
R00114,active,2545.51,1770124620000
R00308,closed,7359.61,1770282360000
R00066,active,3276.73,1770117840000
R00172,active,6378.35,1770373380000
R00248,dormant,4358.6,1770247260000
R00188,dormant,5689.24,1770415140000
R00220,closed,2944.15,1770283080000
R00039,closed,8155.03,1770348660000
R00286,closed,6624.16,1769970960000
R00257,active,5196.32,1770285600000
R00271,closed,7263.91,1770408780000
R00245,active,5743.69,1770126900000
R00180,closed,6723.81,1769909700000
R00358,active,5193.78,1770113940000
R00288,active,6927.37,1770215940000
R00145,active,896.21,1770427080000
R00186,active,5032.98,1770361020000
R00084,dormant,5587.16,1770096720000
R00152,dormant,7289.62,1770362760000
R00209,active,6279.84,1769904420000
R00087,closed,1512.21,1770442440000
R00149,active,4786.87,1770135960000
R00004,closed,4208.57,1770118320000
R00211,dormant,7166.41,1769988360000
R00219,closed,5384.8,1769968920000
R00076,closed,5921.68,1770410580000
R00290,active,5791.81,1769956380000
R00164,dormant,9338.62,1769940960000
R00057,closed,4588.82,1770241500000
R00024,closed,4443.99,1770318600000
R00103,active,6428.53,1770128340000
R00054,active,3609.38,1769919660000
R00126,active,4183.46,1769983080000
R00190,closed,4121.08,1770355980000
R00085,active,4554.65,1769932920000
R00374,dormant,5348.34,1769973900000
R00349,closed,5866.72,1770471900000
R00239,closed,8051.25,1770147900000
R00193,closed,3041.79,1770456420000
R00044,active,5827.15,1769905800000
R00215,active,5828.92,1770033540000
R00344,active,3843.93,1770449640000
R00364,dormant,3806.58,1770100200000
R00305,active,4415.91,1770072780000
R00325,dormant,5556.42,1770499800000
R00242,active,4573.47,1770138420000
R00250,dormant,4944.02,1770363360000
R00162,closed,6111.71,1770008520000
R00195,closed,1879.66,1770100140000
R00026,dormant,3146.74,1770261720000
R00049,dormant,3281.63,1770263820000
R00240,dormant,6302.92,1769923320000
R00189,dormant,5287.19,1770415980000
R00155,dormant,4662.67,1769975100000
R00384,active,4332.45,1770289980000
R00383,dormant,4621.48,1770365340000
R00108,active,2330.07,1770182040000
R00382,closed,4772.74,1770116340000
R00082,active,5558.92,1770464520000
R00336,active,4791.39,1769949000000
R00295,closed,2710.11,1770071820000
R00109,closed,7385.71,1770253800000
R00010,active,2125.03,1770195900000
R00166,dormant,4165.91,1769983980000
R00395,dormant,4193.82,1769936580000
R00045,closed,3881.12,1769974320000
R00223,closed,2430.27,1769931180000
R00206,dormant,7591.03,1770400920000
R00074,active,6055.38,1770465180000
R00159,dormant,6253.2,1770076380000
R00021,active,5119.98,1770321420000
R00116,dormant,4766.98,1769965860000
R00322,dormant,1646.33,1769977380000
R00324,active,135.83,1770016800000
R00005,closed,2726.07,1770483660000
R00041,active,4277.51,1770161400000
R00217,dormant,1665.74,1770188760000
R00072,dormant,8571.38,1769953740000
R00330,closed,4695.39,1770226020000
R00381,dormant,4426.61,1770348780000
R00125,closed,3680.81,1770265920000
R00137,closed,6583.68,1770218160000
R00099,closed,2922.35,1769919480000
R00008,dormant,3620.0,1769918760000
R00373,dormant,5825.97,1770090120000
