row_id,account_id,event_time,amount,category
R00308,A0060,1772668860000,9.75,travel
R00309,A0010,1772668860000,29.01,salary
R00310,A0064,1772668920000,18.03,rent
R00311,A0088,1772669580000,157.99,grocery
R00312,A0003,1772669700000,42.88,salary
R00313,A0058,1772670420000,4.38,other
R00314,A0146,1772671380000,16.01,grocery
R00315,A0147,1772673300000,5.45,grocery
R00316,A0065,1772673660000,6.38,other
R00317,A0035,1772675520000,9.66,other
R00318,A0135,1772677980000,27.5,grocery
R00319,A0091,1772679300000,11.69,rent
R00320,A0129,1772680380000,9.8,rent
R00321,A0120,1772681460000,14.07,other
R00322,A0025,1772682000000,6.78,travel
R00323,A0144,1772682660000,14.75,travel
R00324,A0050,1772683500000,2.42,rent
R00325,A0066,1772683500000,32.87,grocery
R00326,A0146,1772686860000,20.19,salary
R00327,A0139,1772687400000,70.04,travel
R00328,A0048,1772688540000,7.78,grocery
R00329,A0069,1772688900000,23.21,salary
R00330,A0002,1772692140000,17.42,other
R00331,A0070,1772692560000,5.16,salary
R00332,A0112,1772692920000,6.8,grocery
R00333,A0141,1772693340000,50.11,other
R00334,A0048,1772693820000,52.37,rent
R00335,A0137,1772695200000,40.47,rent
R00336,A0081,1772696700000,33.7,grocery
R00337,A0048,1772697180000,44.45,other
R00338,A0034,1772700480000,44.71,rent
R00339,A0118,1772701440000,50.55,other
R00340,A0080,1772701560000,51.79,grocery
R00341,A0013,1772702340000,28.87,salary
R00342,A0011,1772703240000,3.7,other
R00343,A0082,1772703900000,5.32,other
R00344,A0021,1772704680000,16.79,grocery
R00345,A0119,1772705400000,7.19,grocery
R00346,A0109,1772705700000,31.34,other
R00347,A0109,1772706840000,17.5,grocery
R00348,A0025,1772707020000,37.11,other
R00349,A0120,1772707200000,14.69,rent
R00350,A0140,1772707560000,106.79,grocery
R00351,A0062,1772708640000,7.63,rent
R00352,A0110,1772709000000,88.78,grocery
R00353,A0098,1772709540000,8.68,other
R00354,A0142,1772709900000,26.51,other
R00355,A0026,1772710500000,112.92,travel
R00356,A0013,1772711160000,40.18,other
R00357,A0028,1772712540000,60.9,salary
R00358,A0003,1772712600000,3.8,salary
R00359,A0048,1772715780000,4.46,travel
R00360,A0062,1772717040000,10.54,travel
R00361,A0101,1772717040000,7.96,travel
R00362,A0117,1772717340000,53.22,other
R00363,A0073,1772718720000,12.65,travel
R00364,A0146,1772719080000,48.08,salary
R00365,A0148,1772720160000,9.22,salary
R00366,A0080,1772720280000,33.19,grocery
R00367,A0085,1772720400000,36.31,rent
R00368,A0075,1772722740000,29.86,other
R00369,A0013,1772723040000,7.11,travel
R00370,A0001,1772723940000,4.43,travel
R00371,A0056,1772724060000,151.82,grocery
R00372,A0060,1772724960000,119.37,other
R00373,A0111,1772726100000,105.2,other
R00374,A0122,1772726160000,67.84,travel
R00375,A0110,1772727000000,22.27,other
R00376,A0125,1772728920000,28.51,grocery
R00377,A0105,1772728920000,61.42,grocery
R00378,A0128,1772729400000,5.53,grocery
R00379,A0035,1772731500000,11.35,rent
R00380,A0140,1772732700000,64.55,grocery
R00381,A0000,1772732760000,66.7,rent
R00382,A0068,1772733660000,7.81,salary
R00383,A0062,1772734440000,55.32,other
R00384,A0107,1772734500000,15.9,salary
R00385,A0133,1772735160000,5.61,rent
R00386,A0059,1772736420000,11.34,other
R00387,A0054,1772737440000,9.33,salary
R00388,A0130,1772739720000,39.94,rent
R00389,A0106,1772740140000,14.26,travel
R00390,A0103,1772741880000,10.73,rent
R00391,A0080,1772743020000,11.39,grocery
R00392,A0127,1772744640000,93.83,other
R00393,A0127,1772745900000,10.73,other
R00394,A0101,1772746440000,15.62,other
R00395,A0003,1772751180000,38.13,other
R00396,A0077,1772751240000,11.41,salary
R00397,A0088,1772751960000,4.86,rent
R00398,A0081,1772752560000,17.39,grocery
R00399,A0014,1772753280000,12.48,other
