row_id,account_id,event_time,amount,category
R00000,A0045,1767244440000,8.5,rent
R00001,A0100,1767274680000,19.34,rent
R00002,A0017,1767296520000,8.47,travel
R00003,A0116,1767303960000,39.9,rent
R00004,A0063,1767313500000,12.21,rent
R00005,A0118,1767326520000,19.75,salary
R00006,A0029,1767336060000,3.96,grocery
R00007,A0084,1767341400000,32.39,rent
R00008,A0104,1767342780000,22.24,other
R00009,A0112,1767343140000,26.93,rent
R00010,A0077,1767351900000,20.4,travel
R00011,A0019,1767355080000,108.27,travel
R00012,A0036,1767366660000,17.39,rent
R00013,A0042,1767386700000,61.21,rent
R00014,A0033,1767396240000,9.56,rent
R00015,A0019,1767404040000,25.34,salary
R00016,A0090,1767409140000,15.83,rent
R00017,A0032,1767425040000,62.05,other
R00018,A0057,1767425760000,63.92,rent
R00019,A0067,1767427800000,11.53,salary
R00020,A0094,1767466680000,338.46,rent
R00021,A0053,1767468900000,143.03,rent
R00022,A0111,1767480060000,18.55,travel
R00023,A0024,1767483240000,4.63,grocery
R00024,A0060,1767490080000,12.67,rent
R00025,A0024,1767493260000,8.6,grocery
R00026,A0060,1767520740000,14.59,other
R00027,A0051,1767538380000,13.53,grocery
R00028,A0005,1767549960000,27.24,rent
R00029,A0118,1767550740000,16.16,salary
R00030,A0061,1767560940000,21.52,rent
R00031,A0093,1767571440000,35.91,other
R00032,A0030,1767592560000,75.93,other
R00033,A0095,1767594720000,16.63,salary
R00034,A0013,1767609360000,8.57,rent
R00035,A0087,1767618180000,17.85,salary
R00036,A0046,1767620940000,13.1,other
R00037,A0028,1767625680000,20.75,salary
R00038,A0014,1767628260000,8.5,other
R00039,A0013,1767635700000,109.17,rent
R00040,A0048,1767654420000,57.94,rent
R00041,A0055,1767654720000,29.61,travel
R00042,A0088,1767664320000,6.54,rent
R00043,A0059,1767674580000,35.36,other
R00044,A0053,1767675420000,34.27,salary
R00045,A0084,1767676320000,108.81,rent
R00046,A0119,1767684420000,10.9,other
R00047,A0099,1767696900000,3.95,rent
R00048,A0028,1767714000000,34.62,salary
R00049,A0053,1767724020000,37.47,grocery
R00050,A0042,1767728220000,136.32,rent
R00051,A0093,1767758520000,49.0,grocery
R00052,A0075,1767765480000,121.81,other
R00053,A0019,1767780480000,11.92,travel
R00054,A0007,1767786780000,18.03,rent
R00055,A0097,1767787440000,9.41,travel
R00056,A0010,1767787620000,10.79,grocery
R00057,A0071,1767805020000,43.05,salary
R00058,A0033,1767806640000,4.04,other
R00059,A0023,1767810840000,367.25,salary
R00060,A0111,1767853200000,22.25,grocery
R00061,A0087,1767861840000,37.79,grocery
R00062,A0100,1767865500000,11.54,grocery
R00063,A0101,1767873720000,43.58,other
R00064,A0114,1767877980000,24.63,other
R00065,A0100,1767888360000,62.14,travel
R00066,A0071,1767901440000,22.58,other
R00067,A0100,1767916920000,13.29,salary
R00068,A0031,1767939840000,112.88,rent
R00069,A0019,1767942300000,35.68,rent
R00070,A0044,1767947760000,64.23,rent
R00071,A0078,1767950520000,45.88,rent
R00072,A0028,1767969180000,18.89,rent
R00073,A0017,1767972840000,5.16,salary
R00074,A0007,1767981840000,19.84,other
R00075,A0020,1767987840000,18.35,rent
R00076,A0050,1767990960000,29.44,grocery
R00077,A0031,1767998880000,15.16,travel
R00078,A0096,1768019340000,64.1,salary
R00079,A0078,1768041120000,35.42,salary
R00080,A0011,1768041540000,87.11,travel
R00081,A0008,1768043460000,43.29,grocery
R00082,A0066,1768044900000,25.96,rent
R00083,A0070,1768054260000,78.17,other
R00084,A0084,1768069860000,3.54,salary
R00085,A0094,1768081200000,3.99,travel
R00086,A0011,1768088400000,21.02,salary
R00087,A0066,1768095960000,102.33,salary
R00088,A0029,1768100160000,252.16,travel
R00089,A0005,1768101600000,25.0,salary
R00090,A0061,1768104420000,22.86,travel
R00091,A0009,1768110480000,35.39,rent
R00092,A0085,1768119540000,72.14,salary
R00093,A0087,1768119600000,9.82,travel
R00094,A0035,1768129620000,8.98,rent
R00095,A0094,1768140840000,107.0,rent
R00096,A0056,1768144800000,7.15,salary
R00097,A0119,1768146480000,10.71,grocery
R00098,A0000,1768148580000,62.02,grocery
R00099,A0057,1768161480000,8.44,salary
R00100,A0020,1768168860000,22.75,salary
R00101,A0087,1768172220000,22.93,grocery
R00102,A0050,1768173600000,8.82,other
R00103,A0114,1768185240000,30.68,travel
R00104,A0086,1768186020000,39.06,grocery
R00105,A0115,1768190340000,2.71,rent
R00106,A0012,1768200060000,1.72,grocery
R00107,A0108,1768220640000,52.07,grocery
R00108,A0041,1768234080000,15.95,rent
R00109,A0101,1768270740000,63.78,salary
R00110,A0107,1768271400000,20.24,grocery
R00111,A0045,1768278720000,33.54,salary
R00112,A0068,1768307040000,77.69,grocery
R00113,A0108,1768317000000,37.95,grocery
R00114,A0012,1768327380000,26.0,salary
R00115,A0009,1768327680000,3.0,rent
R00116,A0055,1768330860000,22.42,grocery
R00117,A0015,1768347600000,17.07,travel
R00118,A0064,1768370400000,10.45,grocery
R00119,A0018,1768392060000,7.96,salary
R00120,A0001,1768407480000,11.14,grocery
R00121,A0014,1768414980000,6.56,other
R00122,A0087,1768420260000,154.57,travel
R00123,A0067,1768434720000,10.43,travel
R00124,A0054,1768437660000,28.9,travel
R00125,A0113,1768441320000,114.28,rent
R00126,A0027,1768448040000,21.43,other
R00127,A0034,1768449960000,38.25,other
R00128,A0092,1768450020000,9.09,other
R00129,A0032,1768467240000,55.45,rent
R00130,A0027,1768483260000,17.06,salary
R00131,A0003,1768487340000,12.83,other
R00132,A0105,1768492260000,42.09,travel
R00133,A0081,1768517340000,43.82,travel
R00134,A0058,1768528440000,9.71,rent
R00135,A0086,1768544940000,27.65,travel
R00136,A0065,1768546560000,50.65,rent
R00137,A0010,1768560900000,63.2,salary
R00138,A0112,1768561200000,61.69,grocery
R00139,A0064,1768563180000,3.57,travel
R00140,A0022,1768568100000,60.21,travel
R00141,A0021,1768568700000,16.93,other
R00142,A0045,1768572360000,385.3,rent
R00143,A0086,1768582140000,62.54,rent
R00144,A0092,1768584240000,20.42,travel
R00145,A0066,1768593540000,76.15,salary
R00146,A0048,1768601340000,121.3,rent
R00147,A0086,1768602840000,50.92,grocery
R00148,A0049,1768619640000,36.17,travel
R00149,A0036,1768620300000,31.3,grocery
R00150,A0029,1768624920000,65.77,rent
R00151,A0084,1768654380000,73.13,travel
R00152,A0089,1768677360000,8.93,rent
R00153,A0089,1768692480000,7.45,travel
R00154,A0118,1768692960000,295.9,other
R00155,A0081,1768694220000,38.31,salary
R00156,A0113,1768697400000,15.65,rent
R00157,A0113,1768706220000,31.74,salary
R00158,A0111,1768707540000,22.42,other
R00159,A0037,1768707720000,17.34,grocery
R00160,A0020,1768715400000,18.26,travel
R00161,A0099,1768733820000,12.52,grocery
R00162,A0009,1768736700000,25.99,salary
R00163,A0054,1768770660000,40.33,other
R00164,A0015,1768773900000,46.8,rent
R00165,A0115,1768782660000,55.68,rent
R00166,A0009,1768809540000,9.61,salary
R00167,A0031,1768816680000,43.6,travel
R00168,A0004,1768817220000,19.83,salary
R00169,A0029,1768819500000,24.36,rent
R00170,A0042,1768830180000,79.25,rent
R00171,A0053,1768843980000,15.83,travel
R00172,A0031,1768847280000,27.76,other
R00173,A0043,1768856340000,14.64,travel
R00174,A0064,1768887180000,11.02,travel
R00175,A0067,1768887540000,17.7,grocery
R00176,A0035,1768894920000,3.88,rent
R00177,A0039,1768913940000,3.11,grocery
R00178,A0010,1768935720000,11.64,travel
R00179,A0116,1768937640000,9.47,rent
R00180,A0119,1768940340000,10.56,other
R00181,A0019,1768947720000,62.11,grocery
R00182,A0073,1768956900000,25.8,travel
R00183,A0018,1768969260000,13.14,grocery
R00184,A0002,1768982220000,11.64,rent
R00185,A0034,1769013900000,176.25,other
R00186,A0028,1769085960000,50.41,salary
R00187,A0016,1769101260000,44.82,salary
R00188,A0017,1769111760000,4.4,grocery
R00189,A0064,1769123160000,41.34,salary
R00190,A0108,1769153280000,42.62,other
R00191,A0097,1769159760000,61.4,grocery
R00192,A0065,1769162460000,17.71,other
R00193,A0098,1769171280000,15.39,rent
R00194,A0103,1769174400000,12.82,travel
R00195,A0082,1769176800000,39.12,travel
R00196,A0029,1769181120000,15.52,salary
R00197,A0011,1769188620000,15.5,rent
R00198,A0094,1769190840000,10.21,rent
R00199,A0091,1769204760000,5.93,travel
R00200,A0066,1769212020000,36.31,travel
R00201,A0045,1769216340000,11.04,grocery
R00202,A0007,1769220240000,32.33,travel
R00203,A0066,1769227800000,49.04,rent
R00204,A0007,1769231940000,17.28,rent
R00205,A0003,1769247600000,38.9,grocery
R00206,A0021,1769248020000,15.32,travel
