account_id,label_time,churned
A0000,1773508161000,0
A0001,1772752043000,1
A0002,1772901264000,0
A0003,1772024168000,0
A0004,1773578614000,1
A0005,1771986214000,0
A0006,1773412211000,1
A0007,1772189270000,1
A0008,1772974151000,0
A0009,1772876306000,0
A0010,1773224088000,0
A0011,1772095439000,1
A0012,1772981518000,1
A0013,1772105010000,0
A0014,1773525294000,0
A0015,1772681134000,0
A0016,1773349926000,1
A0017,1773618648000,0
A0018,1772814385000,0
A0019,1773048704000,0
A0020,1772776791000,1
A0021,1772777632000,0
A0022,1773547477000,1
A0023,1773047091000,1
A0024,1773697401000,1
A0025,1772710633000,1
A0026,1772018661000,1
A0027,1772630936000,1
A0028,1773665533000,1
A0029,1773650525000,0
A0030,1773691563000,1
A0031,1773346029000,1
A0032,1772935169000,1
A0033,1773249670000,0
A0034,1773166713000,0
A0035,1772745636000,1
A0036,1773615957000,1
A0037,1772321537000,0
A0038,1773292639000,0
A0039,1773408417000,0
A0040,1773467111000,0
A0041,1772052444000,1
A0042,1772076533000,0
A0043,1773568509000,0
A0044,1772670112000,0
A0045,1772045995000,0
A0046,1772929313000,0
A0047,1772185845000,0
A0048,1772337894000,0
A0049,1773180770000,1
A0050,1772407475000,1
A0051,1772434521000,1
A0052,1773347251000,0
A0053,1772701031000,0
A0054,1773214147000,0
A0055,1773571460000,1
A0056,1772633029000,1
A0057,1772024350000,0
A0058,1772665931000,0
A0059,1773211046000,0
A0060,1772637992000,1
A0061,1772180711000,1
A0062,1772453397000,1
A0063,1773702183000,0
A0064,1773160884000,1
A0065,1773505761000,0
A0066,1772914133000,1
A0067,1772262539000,0
A0068,1773669348000,0
A0069,1772448055000,1
A0070,1771979156000,1
A0071,1773343502000,0
A0072,1773136772000,1
A0073,1772936181000,0
A0074,1773543784000,0
A0075,1772702514000,0
A0076,1772900186000,1
A0077,1773371004000,0
A0078,1773588511000,0
A0079,1772902213000,0
A0080,1772531863000,0
A0081,1773143816000,1
A0082,1773307309000,1
A0083,1773163761000,0
A0084,1772034972000,1
A0085,1772470747000,1
A0086,1773089705000,0
A0087,1773278016000,0
A0088,1773574866000,0
A0089,1772297008000,1
A0090,1773185818000,1
A0091,1772528554000,0
A0092,1772315128000,0
A0093,1773485878000,1
A0094,1773557718000,0
A0095,1772840735000,0
A0096,1772017588000,1
A0097,1772457880000,1
A0098,1772262769000,0
A0099,1772093523000,0
