account_id,event_time,credit_score,tier
A0000,1767243144000,637,silver
A0000,1774320712000,700,gold
A0001,1767289292000,330,gold
A0002,1767261341000,794,gold
A0002,1769491380000,748,gold
A0003,1767238488000,810,gold
A0003,1770267555000,746,silver
A0004,1767234698000,609,gold
A0004,1771749352000,630,silver
A0005,1767290340000,332,gold
A0005,1772401575000,356,bronze
A0006,1767295242000,511,silver
A0006,1773589891000,469,bronze
A0007,1767307185000,423,bronze
A0007,1768708959000,503,silver
A0008,1767309771000,577,gold
A0008,1773640924000,649,bronze
A0009,1767256639000,376,bronze
A0010,1767285094000,653,bronze
A0010,1769712095000,710,silver
A0011,1767228824000,760,silver
A0011,1773123171000,808,gold
A0012,1767231378000,751,gold
A0012,1774910816000,701,gold
A0013,1767290723000,407,silver
A0014,1767310858000,695,gold
A0015,1767302370000,402,silver
A0016,1767257200000,322,silver
A0016,1770079756000,300,silver
A0017,1767253906000,518,gold
A0017,1774204687000,484,gold
A0018,1767282116000,319,silver
A0018,1768791037000,316,gold
A0019,1767292135000,414,gold
A0020,1767303007000,517,bronze
A0020,1769995709000,559,silver
A0021,1767242682000,612,gold
A0021,1770444362000,612,silver
A0022,1767284519000,791,gold
A0023,1767301792000,599,bronze
A0024,1767259403000,711,bronze
A0025,1767253783000,502,bronze
A0025,1771144633000,559,gold
A0026,1767285502000,457,silver
A0026,1770484339000,411,silver
A0027,1767269496000,373,gold
A0027,1771499479000,327,silver
A0028,1767310129000,709,bronze
A0028,1773099812000,670,silver
A0029,1767248942000,626,silver
A0029,1774794349000,638,gold
A0030,1767265191000,523,gold
A0030,1771190106000,448,bronze
A0031,1767227751000,848,bronze
A0031,1773585761000,850,bronze
A0032,1767295825000,602,bronze
A0033,1767256025000,366,silver
A0033,1771975545000,308,silver
A0034,1767248351000,578,silver
A0034,1773010471000,622,bronze
A0035,1767285803000,822,silver
A0035,1769999548000,811,silver
A0036,1767226994000,690,bronze
A0036,1773740219000,726,bronze
A0037,1767240303000,511,bronze
A0037,1772441046000,585,bronze
A0038,1767243367000,780,bronze
A0039,1767301219000,437,gold
A0039,1773526763000,498,silver
A0040,1767261805000,456,silver
A0040,1774721658000,427,gold
A0041,1767262453000,783,bronze
A0042,1767235281000,406,gold
A0042,1773050420000,371,silver
A0043,1767286720000,531,gold
A0044,1767300638000,526,bronze
A0045,1767306395000,725,bronze
A0045,1772204496000,689,silver
A0046,1767262101000,460,gold
A0046,1769076567000,451,gold
A0047,1767295826000,518,silver
A0048,1767294690000,561,silver
A0048,1769651230000,510,gold
A0049,1767296594000,724,silver
A0049,1774443922000,727,silver
A0050,1767274590000,517,gold
A0050,1773807755000,587,gold
A0051,1767247878000,687,bronze
A0052,1767283542000,513,gold
A0052,1771424111000,564,bronze
A0053,1767266590000,314,gold
A0053,1771299615000,355,silver
A0054,1767310059000,701,gold
A0055,1767272118000,389,silver
A0056,1767231894000,804,bronze
A0056,1772407544000,850,gold
A0057,1767249932000,452,silver
A0057,1774509718000,422,bronze
A0058,1767311579000,746,silver
A0058,1774092842000,737,bronze
A0059,1767235178000,667,gold
A0059,1774021875000,639,bronze
A0060,1767286790000,338,gold
A0060,1767717484000,376,silver
A0061,1767232884000,307,gold
A0061,1770855569000,300,silver
A0062,1767249745000,341,bronze
A0062,1772052415000,399,gold
A0063,1767245816000,539,gold
A0064,1767270978000,438,bronze
A0064,1773001940000,448,gold
A0065,1767279667000,416,bronze
A0066,1767285900000,681,silver
A0066,1771030573000,617,bronze
A0067,1767235356000,736,gold
A0067,1772844044000,658,silver
A0068,1767306860000,697,bronze
A0069,1767232770000,836,silver
A0069,1768964341000,850,silver
A0070,1767269613000,730,gold
A0070,1769803427000,701,silver
A0071,1767241833000,618,gold
A0071,1770345848000,692,gold
A0072,1767291278000,672,silver
A0073,1767310864000,340,gold
A0074,1767288400000,509,gold
A0074,1774899084000,455,silver
A0075,1767234461000,428,gold
A0075,1774125924000,397,gold
A0076,1767230648000,432,silver
A0077,1767236092000,309,silver
A0078,1767310756000,352,bronze
A0079,1767292768000,833,gold
A0080,1767237589000,445,silver
A0080,1771761887000,509,bronze
A0081,1767237918000,780,bronze
A0082,1767254231000,432,gold
A0082,1768531538000,410,bronze
A0083,1767252191000,503,silver
A0084,1767283956000,674,bronze
A0084,1773319744000,602,gold
A0085,1767297301000,435,silver
A0085,1767796964000,477,silver
A0086,1767230008000,535,gold
A0087,1767290821000,572,gold
A0087,1770724609000,604,bronze
A0088,1767252118000,482,silver
A0089,1767231429000,697,bronze
A0089,1770425838000,742,gold
A0090,1767277181000,686,silver
A0090,1768342595000,719,silver
A0091,1767280535000,621,silver
A0091,1770437781000,659,silver
A0092,1767242762000,738,gold
A0092,1773219929000,701,bronze
A0093,1767283289000,729,gold
A0093,1770186784000,766,bronze
A0094,1767290742000,794,gold
A0095,1767238889000,785,silver
A0096,1767230895000,643,gold
A0096,1770453111000,601,bronze
A0097,1767309239000,501,gold
A0098,1767295834000,576,silver
A0098,1774653462000,654,silver
A0099,1767251383000,800,bronze
A0099,1771814497000,847,bronze
