account_id,f1,f2,f3,f4
A0000,0.808,2.7067,4.2584,-5.581
A0001,-1.1396,2.9503,-0.3269,-5.1255
A0002,5.3985,1.6363,0.1672,-4.067
A0003,2.7764,5.5979,0.4423,-5.3012
A0004,6.998,2.8859,0.4082,-3.1873
A0005,4.3269,4.103,0.6035,-3.0728
A0006,2.9261,2.3851,-0.1029,-2.5694
A0007,0.7028,6.3995,-3.1103,-5.3115
A0008,-4.1854,3.5427,-1.3645,-5.0153
A0009,0.1011,4.1732,0.906,-6.0411
A0010,-0.3073,3.0667,-3.0926,-5.8889
A0011,-2.4477,3.9114,-0.3055,-4.889
A0012,2.1226,0.0403,-2.058,-3.3299
A0013,3.0165,2.5658,-4.2902,-5.3603
A0014,-3.8837,2.2949,0.9418,-5.6208
A0015,4.3903,2.5386,-0.7684,-3.9854
A0016,1.3593,3.4533,-3.8567,-1.4684
A0017,4.317,3.8128,-3.5709,-5.6044
A0018,1.4601,3.2745,-1.2117,-6.7667
A0019,4.2732,1.3661,-1.426,-5.4221
A0020,-2.6043,0.811,2.9615,-6.0895
A0021,1.063,5.549,-0.9966,-4.5045
A0022,-0.0638,4.3447,-2.2221,-5.6871
A0023,5.1795,6.8715,-3.5656,-3.2211
A0024,1.1658,5.6106,-0.6482,-4.8692
A0025,-3.1125,3.34,-2.0922,-3.2568
A0026,-0.4532,3.8221,-3.4989,-4.4913
A0027,-1.9102,2.7568,0.5575,-4.2644
A0028,0.3591,4.3623,-0.7632,-3.6048
A0029,0.5884,2.4111,-0.6888,-5.8363
A0030,0.3128,3.1074,-1.2242,-4.4488
A0031,3.1942,4.9089,-5.048,-3.9096
A0032,4.2198,5.2551,0.2544,-4.8442
A0033,2.5177,4.1123,0.4824,-4.304
A0034,-1.0819,3.9952,-1.7056,-4.923
A0035,1.5973,3.7397,-3.8672,-3.9312
A0036,1.1265,3.3753,4.6236,-3.5396
A0037,0.1958,5.5473,-2.8394,-4.7404
A0038,-2.8358,2.0345,3.4581,-2.3913
A0039,2.5203,4.0624,-1.2061,-2.5089
A0040,-0.5717,1.065,-1.2144,-5.8063
A0041,6.4443,4.7728,-0.4721,-2.9425
A0042,1.0626,4.8198,2.2225,-4.9419
A0043,0.9218,4.9262,-4.2985,-4.7403
A0044,-1.1653,2.9417,-1.7115,-3.4296
A0045,3.3293,7.1439,-2.0841,-5.9779
A0046,3.0247,2.6545,-1.3417,-3.9192
A0047,3.7825,4.2674,-1.8272,-4.4391
A0048,0.682,2.7908,2.4021,-5.6364
A0049,0.7612,5.6107,-0.1593,-5.8728
A0050,4.6933,1.9888,-2.6398,-5.2836
A0051,2.2431,3.4179,-0.8149,-3.3829
A0052,1.0733,0.8351,-0.9962,-3.1541
A0053,2.7346,1.5165,-2.2988,-1.4534
A0054,-2.7274,0.964,2.8051,-4.1064
A0055,0.4891,2.5836,-0.5018,-5.2753
A0056,1.0092,3.5384,-3.4073,-4.4788
A0057,1.1959,3.7861,-1.6219,-3.7661
A0058,-3.5454,2.8805,0.3975,-3.5223
A0059,3.5289,1.3784,0.6727,-3.2275
A0060,0.9742,6.6916,2.1367,-5.0075
A0061,-0.1986,1.0492,-0.7239,-5.1753
A0062,3.7413,2.9499,-1.1748,-3.7675
A0063,0.5711,6.2037,-2.2985,-5.058
A0064,-1.5637,5.0501,-0.8768,-4.2409
A0065,3.9922,4.7608,1.8709,-3.6012
A0066,1.2258,2.4538,-3.3212,-4.4198
A0067,4.7008,3.1639,-3.4033,-3.7785
A0068,5.701,4.957,-1.5628,-4.3958
A0069,2.3241,5.6036,1.3208,-4.7709
A0070,3.146,2.9764,3.0841,-4.0018
A0071,0.3596,6.2171,-2.1888,-5.2236
A0072,3.3096,1.9001,-0.337,-4.152
A0073,0.0563,3.3335,0.0717,-3.571
A0074,-1.0905,4.3384,-2.0062,-5.79
A0075,3.3052,6.0073,1.0791,-5.0516
A0076,2.7763,6.2914,-0.3972,-5.9249
A0077,4.1179,1.2446,-1.3609,-1.7523
A0078,8.2994,2.6636,-0.9064,-5.8191
A0079,9.8566,4.1575,-0.2429,-3.8296
A0080,-1.4263,3.6129,-1.3545,-4.3571
A0081,7.1137,3.698,-1.9401,-3.9624
A0082,2.7571,2.9804,0.84,-4.4235
A0083,2.2017,4.1971,-0.2415,-5.5481
A0084,4.0916,6.1346,-0.72,-4.8152
A0085,-2.0794,3.9199,0.3082,-5.0709
A0086,3.6369,3.6235,-1.4222,-3.403
A0087,1.5438,5.8582,-2.2543,-4.7272
A0088,4.8819,1.9947,1.2261,-5.6121
A0089,1.7015,3.2633,-7.085,-4.5317
A0090,-4.7505,2.5637,-0.7451,-3.8177
A0091,1.0306,0.7504,-1.7728,-4.9165
A0092,4.7319,2.4595,0.0891,-4.4775
A0093,-3.1494,5.1395,-2.3667,-5.1657
A0094,2.5055,2.9198,1.6899,-2.7665
A0095,-5.0603,5.9381,1.5912,-4.4801
A0096,-2.0346,5.2443,-1.5797,-5.2935
A0097,-1.7463,6.3986,-6.7629,-4.5968
A0098,0.8334,5.9261,1.7376,-4.8539
A0099,3.8752,3.5508,1.7032,-4.6272
A0100,4.0398,3.8384,-3.551,-4.0145
A0101,0.2669,2.2731,2.0456,-6.0512
A0102,-0.1216,0.8989,0.9806,-5.5408
A0103,4.9291,2.4204,-5.3739,-6.1644
A0104,2.4845,7.0624,1.7352,-2.4696
A0105,1.0943,4.0233,-3.8445,-4.6717
A0106,1.7765,6.9214,1.788,-5.4077
A0107,10.7838,2.7669,0.7224,-5.4636
A0108,-0.7892,6.0819,-1.0193,-5.3594
A0109,0.47,2.7942,3.9513,-4.1775
A0110,5.0398,1.7471,-3.9208,-5.0547
A0111,3.6861,6.8576,-0.851,-5.1461
A0112,0.4101,2.2585,-0.3402,-6.0234
A0113,1.6222,2.3837,-1.8613,-4.5355
A0114,3.3497,7.5733,0.4417,-4.0445
A0115,-2.0846,5.1666,-4.7493,-5.048
A0116,0.7627,6.5271,-1.4292,-3.1106
A0117,6.2523,0.4507,2.283,-4.2894
A0118,4.7679,-1.2745,1.1704,-3.416
A0119,-1.8759,4.88,-0.8526,-5.2853
