entity_id,f1,f2,f3,f4,f5
E0164,10.074086,3.757111,8.603279,2.158075,29.534228
E0286,16.160361,12.106035,5.19807,5.732089,2.663328
E0275,6.44338,4.559348,17.462349,5.369974,3.065736
E0279,8.982572,14.254571,13.22313,20.702193,6.832576
E0170,7.127353,13.464691,11.116289,5.932173,27.332334
E0039,12.048143,1.315796,7.26995,9.571657,9.464632
E0013,6.093883,3.012186,1.283778,20.853515,4.874494
E0243,21.216123,4.218116,9.53666,5.70609,4.223685
E0191,3.934851,11.159055,2.609589,3.386824,1.936263
E0284,5.226865,1.470462,11.531345,11.670052,5.795509
E0226,1.797951,7.328447,2.209544,4.445816,7.406901
E0015,9.50986,34.028553,3.746066,11.735006,21.216141
E0261,11.652685,2.463589,8.941197,9.153507,1.570894
E0249,9.869134,6.999601,5.935817,11.73471,12.674764
E0135,11.777532,11.779476,1.482342,6.451875,32.895408
E0045,5.149543,7.543477,56.295207,1.881911,5.472063
E0096,30.790204,44.248901,12.416966,31.110166,6.212132
E0252,10.625186,2.735555,25.345616,3.488896,1.801783
E0276,5.857909,3.984061,1.771831,8.019848,3.587751
E0142,29.928131,1.680006,24.232458,8.447832,7.656953
E0246,10.340502,6.086307,21.11743,4.098996,1.762163
E0210,4.605247,1.571677,4.500219,0.962516,4.757774
E0197,3.695719,12.269682,3.915192,7.070969,8.230223
E0285,6.07193,12.177175,23.450287,18.863741,4.662955
E0130,26.918747,2.409372,10.841774,23.734781,8.869491
E0127,4.128249,65.471312,3.228023,12.986284,3.780544
E0215,2.544278,8.417974,11.679523,16.662193,2.696829
E0193,3.395631,4.167155,16.178388,10.638764,9.461716
E0041,16.643028,2.728912,5.09518,5.360512,6.997437
E0143,8.776389,4.920763,5.050629,16.881273,5.861083
E0019,45.586852,3.497089,4.484915,3.92832,18.146036
E0056,15.914578,3.866321,4.401507,12.00643,13.162291
E0027,18.883331,30.772702,14.286796,1.603327,20.474672
E0008,14.938974,16.183498,8.792625,13.558986,6.423122
E0100,14.251607,39.847973,13.990655,16.944018,3.969614
E0177,3.649126,4.694851,17.868825,10.917934,20.079967
E0047,18.372223,3.711692,4.242218,4.796317,2.21539
E0030,13.540923,5.020563,8.6408,15.521201,17.594163
E0218,3.05771,5.71693,3.170579,16.477072,3.743479
E0036,6.169399,12.839801,11.957097,10.976006,6.152727
E0260,8.259788,5.468046,7.477347,4.612453,3.135751
E0069,3.206876,7.129537,4.65301,10.570347,10.800469
E0103,4.15975,24.514906,62.565455,0.854656,2.487786
E0268,4.406719,22.457594,7.728501,23.046565,8.158617
E0102,2.135874,6.236515,3.34404,10.230929,6.46894
E0280,8.017121,26.417027,13.804591,9.111721,12.598288
E0238,3.261666,8.094862,15.057439,6.421882,14.229416
E0274,3.49996,48.23214,6.925793,4.160321,1.863931
E0144,4.213875,28.301307,7.988853,14.728068,1.408147
E0156,9.919102,2.71075,17.366461,9.493219,5.908224
E0199,6.338051,14.103892,14.428172,3.81911,14.650536
E0038,1.481407,6.336535,13.79106,2.30452,3.065322
