row_id,f1,f2,f3,f4,f5,label
T00000,-0.593506,-1.558942,1.620022,0.355357,0.537615,0
T00001,-0.296019,0.881192,0.51945,1.57122,0.708528,0
T00002,-0.028732,-0.102563,-0.583174,1.973505,-1.180663,0
T00003,0.74529,2.455823,-0.153638,0.129948,0.436738,1
T00004,-0.243922,-1.028028,0.496734,0.799458,0.913905,1
T00005,0.029077,0.796358,0.525241,0.377898,-1.237536,0
T00006,-0.983173,0.926221,-0.876915,0.996785,0.249683,0
T00007,-1.590265,0.934217,0.933144,0.689873,1.554484,0
T00008,-0.159708,-1.170431,-1.708148,1.545365,0.501114,0
T00009,-0.641482,0.662158,-0.831136,-0.245802,0.275987,0
T00010,-1.317555,-1.875306,0.44728,0.643259,-0.05492,0
T00011,0.511527,-0.275885,0.300877,-0.492058,0.29049,1
T00012,-0.959876,0.511292,1.485645,2.092938,0.301699,0
T00013,-1.296979,-1.207304,-0.322937,0.897071,1.224419,0
T00014,-2.3709,0.111432,1.478466,-0.189297,0.045484,0
T00015,1.250687,-2.187434,0.060326,0.109326,-1.006823,1
T00016,0.527798,1.523219,-0.198283,0.028424,-0.432168,1
T00017,1.146507,-0.899597,-0.538869,0.708936,1.559536,1
T00018,0.981509,-0.684676,1.437566,-1.667745,-0.390451,0
T00019,-0.313344,-1.127532,1.664811,-0.115945,1.137144,1
T00020,-0.955299,-0.818998,-3.541527,0.054966,-0.154095,1
T00021,0.057393,-0.580039,-1.214386,-0.463864,-0.000605,1
T00022,-1.147084,-0.043641,0.403059,-1.407339,0.467935,0
T00023,-0.574375,-0.777858,1.033789,1.49572,1.430958,0
T00024,-0.709275,-0.658026,-0.706694,0.613623,-1.092445,0
T00025,0.673654,-0.982632,-1.272294,-0.130471,0.081183,1
T00026,0.896678,-2.625779,-0.352484,-1.530414,-1.238418,1
T00027,-0.352536,0.95936,0.179631,-1.039669,-0.913748,1
T00028,-0.117446,-0.390505,-1.437183,-0.638379,-1.559162,0
T00029,-0.591323,0.434626,-1.383482,0.163796,-1.274299,0
T00030,0.410064,-0.727768,1.072612,-0.0566,-0.579304,0
T00031,1.9708,-0.223567,0.585288,-1.900834,-1.719709,1
T00032,0.033917,-0.237017,-0.563022,1.171306,0.503885,1
T00033,-0.343786,0.191499,0.00718,0.160643,-0.705072,1
T00034,-0.428346,-0.211765,0.373713,-0.453721,1.261812,1
T00035,-1.10652,-1.190754,1.949314,-0.280785,-0.225,0
T00036,-0.214848,-1.385228,-0.453693,-0.530383,-2.177791,0
T00037,-2.142288,-0.015313,0.318991,-0.14102,1.116422,0
T00038,1.365269,-0.406124,-0.082064,0.533178,0.468994,1
T00039,-1.323698,0.3796,-0.13072,-1.334219,-0.31604,0
T00040,1.22148,1.035942,-0.618217,-0.294778,-1.395115,1
T00041,1.246668,-0.247374,0.365024,-0.617256,-0.666679,1
T00042,-0.623976,-0.711119,-0.947427,-1.018514,0.85102,1
T00043,-0.173654,-0.778125,-0.366296,0.681019,-0.375649,0
T00044,-1.382394,0.330449,0.547173,0.109571,-1.238943,0
T00045,0.758687,1.117097,1.556124,1.42523,1.817773,1
T00046,-0.041974,0.355063,0.767907,0.873859,-1.484638,0
T00047,0.959111,0.427825,0.354607,-0.487691,1.378219,1
T00048,1.097274,-0.558427,0.312852,-0.450031,0.544343,0
T00049,0.122709,-0.274982,1.948512,-0.054069,0.064311,0
T00050,-0.29755,0.322044,-1.27145,-1.077734,-0.405673,0
T00051,-0.365775,-0.452262,-0.520228,-0.443018,-0.282869,0
T00052,0.739767,1.932956,1.786899,-1.162949,-0.59287,1
T00053,0.113593,0.499317,0.401065,-0.062625,-1.010278,0
T00054,-0.225968,0.095493,0.460995,0.354628,-0.465723,0
T00055,0.85314,-2.213295,0.599676,0.253414,1.220193,1
T00056,-0.184842,1.22231,0.861907,0.775837,0.366683,0
T00057,0.066802,1.805589,-0.471241,3.096734,0.038565,0
T00058,-0.373111,-0.072996,1.14888,1.064815,0.275807,0
T00059,-0.473282,-1.105015,-0.079036,0.006898,0.463313,0
T00060,1.671602,0.276571,-0.129961,2.140375,-0.008978,1
T00061,-1.057069,0.668984,0.360175,0.057513,-0.612578,0
T00062,-0.791685,-1.880661,0.262227,-0.147114,0.322834,0
T00063,-0.310361,-0.948818,0.399726,0.490345,0.841342,0
T00064,0.299425,0.607638,0.10528,-1.81036,-0.071845,1
T00065,-0.124588,-1.280143,0.609631,-0.041911,0.125026,1
T00066,0.537266,-0.224082,1.055832,-0.659927,-0.578704,0
T00067,0.36934,-1.499569,1.128351,2.071069,-1.470987,0
T00068,0.454064,-0.816798,0.174834,0.598659,0.004008,0
T00069,-0.022899,0.284405,0.761843,1.136,1.278272,1
T00070,-0.575132,0.604925,0.105152,-0.873927,0.857144,0
T00071,-0.795205,0.154574,-0.743946,0.310994,-0.17018,0
T00072,-0.589066,-0.398686,-1.686973,-1.144978,-0.542502,0
T00073,-0.86748,-0.626503,-0.797928,0.320795,-0.484286,0
T00074,-0.192953,0.508842,-1.204753,-1.692049,1.26991,1
T00075,-0.708489,-0.917801,1.451947,1.654242,1.303143,1
T00076,1.414236,-0.387556,-1.521825,-0.190091,1.163564,1
T00077,-2.157688,0.789969,1.128037,-0.03768,-0.047894,0
T00078,-0.17671,0.796899,-0.146839,0.158202,-0.70014,0
T00079,-1.884946,-0.507561,-0.053706,-1.888098,1.049436,1
T00080,0.17148,0.572165,0.908386,1.26451,-0.009901,0
T00081,0.326683,-0.188107,0.703462,0.498994,0.789576,1
T00082,-0.370659,-0.654246,-0.534533,0.836454,0.489883,0
T00083,1.317436,0.688949,-0.154862,-1.18714,0.249307,1
T00084,-1.16392,-0.969909,0.031177,0.057122,-0.238805,0
T00085,-0.069131,-0.017103,-1.060358,-0.167449,-0.705093,1
T00086,1.1579,0.909887,-0.666995,-0.677631,0.027345,1
