account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1772039030000,298.69,5585.77,473,bronze,27,7.13,1
A0001,1773333942000,38.71,1727.27,757,silver,30,93.28,0
A0002,1773387632000,222.29,7354.96,765,bronze,4,94.84,0
A0003,1772491901000,49.67,7068.74,415,bronze,25,9.01,1
A0004,1773080693000,112.87,3889.57,520,bronze,19,94.25,0
A0005,1772501065000,12.42,3721.22,779,gold,35,6.1,1
A0006,1772868653000,7.61,7509.21,665,bronze,27,88.65,0
A0007,1772373363000,119.89,3608.33,348,gold,12,93.82,0
A0008,1773030099000,71.48,-246.51,514,bronze,35,5.88,1
A0009,1772213522000,14.3,3978.08,840,silver,2,86.42,0
A0010,1772304098000,27.23,7399.03,541,gold,28,8.96,1
A0011,1772458246000,24.63,355.41,547,silver,24,92.04,0
A0012,1773252115000,83.5,3540.72,315,bronze,26,8.63,1
A0013,1773243592000,83.69,6242.94,479,bronze,3,92.69,0
A0014,1772022162000,9.34,9378.37,528,bronze,0,92.87,0
A0015,1773541208000,102.43,9283.67,674,silver,15,6.56,1
A0016,1773309778000,14.73,5453.57,687,silver,36,8.88,1
A0017,1772571782000,4.42,3873.63,511,gold,7,94.58,0
A0018,1772472216000,58.0,7724.92,509,silver,22,87.81,0
A0019,1772839493000,66.12,6076.87,347,silver,27,7.72,1
A0020,1772651846000,39.03,2259.24,749,bronze,3,86.23,0
A0021,1772041040000,12.58,835.19,493,gold,17,12.7,1
A0022,1772997379000,513.26,3845.18,664,bronze,23,92.92,0
A0023,1772582180000,17.34,4698.89,621,bronze,9,88.67,0
A0024,1772568796000,6.63,6419.07,485,gold,15,10.98,1
A0025,1773333888000,11.66,3390.01,683,gold,17,87.56,0
A0026,1773144706000,19.29,5564.8,625,bronze,18,13.2,1
A0027,1772094762000,57.0,5566.43,412,bronze,36,87.79,0
A0028,1772277415000,33.16,7505.02,451,silver,1,94.79,0
A0029,1773584813000,36.18,4346.28,845,bronze,26,10.51,1
A0030,1772870975000,13.35,8109.42,671,bronze,23,92.88,0
A0031,1773243056000,13.49,7612.75,318,gold,32,6.18,1
A0032,1773476375000,29.62,8042.8,467,gold,19,8.13,1
A0033,1772977070000,18.1,5239.81,614,bronze,30,6.4,1
A0034,1772457014000,10.85,6524.68,805,silver,11,91.53,0
A0035,1773551903000,15.43,1064.96,844,silver,19,88.63,0
A0036,1772267432000,11.16,4688.37,751,bronze,30,5.86,1
A0037,1772730858000,182.53,4162.12,581,bronze,13,91.4,0
A0038,1773047048000,75.02,4089.21,690,silver,29,9.8,1
A0039,1772320948000,19.11,3014.75,730,bronze,15,6.05,1
A0040,1772166136000,94.17,3222.37,532,gold,22,14.62,1
A0041,1772467883000,25.73,2787.88,347,silver,24,89.38,0
A0042,1772447670000,68.93,2488.13,810,silver,10,9.16,1
A0043,1772314585000,13.73,1661.97,730,silver,22,92.74,0
A0044,1772402407000,11.62,6925.77,398,bronze,16,86.17,0
A0045,1772124615000,15.24,5545.9,336,silver,5,93.72,0
A0046,1772813524000,5.88,6615.4,773,silver,31,5.41,1
A0047,1773113656000,59.72,2014.28,824,gold,35,87.06,0
A0048,1772714229000,66.22,2922.77,314,silver,2,91.59,0
A0049,1772546693000,54.77,7623.4,817,silver,18,8.92,1
A0050,1772403430000,43.44,4604.55,494,gold,36,86.64,0
A0051,1772973532000,71.36,8058.63,494,gold,34,11.42,1
A0052,1773445175000,38.22,3149.43,594,gold,7,89.03,0
A0053,1772465062000,9.38,3532.47,729,silver,24,87.25,0
A0054,1773286095000,94.25,6781.35,627,bronze,20,14.07,1
A0055,1772152289000,75.4,5993.52,640,bronze,15,6.55,1
A0056,1773492459000,18.11,6736.71,623,bronze,28,9.73,1
A0057,1773283438000,6.24,993.21,462,gold,17,8.06,1
A0058,1773310133000,36.26,2729.39,496,bronze,19,87.28,0
A0059,1773513507000,80.83,3798.68,737,silver,17,5.38,1
A0060,1773463991000,9.57,-764.71,694,gold,19,8.43,1
A0061,1772483755000,12.66,2646.33,300,gold,22,86.49,0
A0062,1772849204000,17.61,9248.92,600,gold,33,9.05,1
A0063,1772879287000,22.14,6106.32,434,bronze,33,10.85,1
A0064,1773583674000,7.34,10936.6,685,bronze,37,5.24,1
A0065,1772786717000,74.38,8679.84,627,bronze,23,5.93,1
A0066,1773068276000,342.03,4914.71,655,silver,30,11.84,1
A0067,1772073331000,3.44,5236.87,598,gold,16,12.59,1
A0068,1772803407000,48.84,5289.84,599,gold,37,5.02,1
A0069,1772448295000,4.83,6431.16,372,bronze,18,8.94,1
A0070,1771996382000,3.1,3055.58,673,gold,37,90.65,0
A0071,1773086270000,12.61,1791.21,300,silver,30,87.1,0
A0072,1773240498000,51.41,7634.22,380,gold,38,14.18,1
A0073,1773093402000,147.26,1227.33,537,silver,12,14.03,1
A0074,1772843406000,62.55,3014.45,745,silver,39,89.2,0
A0075,1772843610000,64.3,4231.63,610,bronze,2,94.33,0
A0076,1773651384000,16.81,3842.13,563,silver,15,14.0,1
A0077,1772888506000,41.45,2495.65,459,bronze,30,6.83,1
A0078,1773603082000,210.39,5020.78,408,bronze,12,91.11,0
