account_id,event_time,health_score
A0000,1767247397000,50.27
A0000,1772390179000,7.13
A0001,1767364872000,56.73
A0001,1774116939000,93.28
A0002,1767310613000,52.6
A0002,1773984740000,94.84
A0003,1767305404000,54.89
A0003,1772911368000,9.01
A0004,1767347886000,51.82
A0004,1773670407000,94.25
A0005,1767378948000,59.17
A0005,1773182436000,6.1
A0006,1767242575000,52.48
A0006,1773140062000,88.65
A0007,1767327197000,49.29
A0007,1773055192000,93.82
A0008,1767336043000,51.14
A0008,1773633840000,5.88
A0009,1767275947000,52.83
A0009,1772762782000,86.42
A0010,1767307486000,48.19
A0010,1773241170000,8.96
A0011,1767386431000,47.81
A0011,1773329220000,92.04
A0012,1767287028000,46.09
A0012,1773707038000,8.63
A0013,1767373436000,46.27
A0013,1773818894000,92.69
A0014,1767227838000,51.24
A0014,1772771046000,92.87
A0015,1767326777000,40.25
A0015,1773991858000,6.56
A0016,1767336291000,58.96
A0016,1774060921000,8.88
A0017,1767385194000,60.08
A0017,1772833100000,94.58
A0018,1767351829000,46.08
A0018,1773106521000,87.81
A0019,1767253867000,52.19
A0019,1773216522000,7.72
A0020,1767396941000,50.46
A0020,1773225295000,86.23
A0021,1767381641000,48.6
A0021,1772304294000,12.7
A0022,1767295904000,51.74
A0022,1773822691000,92.92
A0023,1767277000000,56.46
A0023,1773176177000,88.67
A0024,1767250603000,55.65
A0024,1772991841000,10.98
A0025,1767230833000,50.47
A0025,1774140733000,87.56
A0026,1767335177000,47.43
A0026,1773719484000,13.2
A0027,1767294168000,47.08
A0027,1772386653000,87.79
A0028,1767380069000,51.68
A0028,1773222135000,94.79
A0029,1767389195000,52.07
A0029,1773883230000,10.51
A0030,1767396751000,57.21
A0030,1773713900000,92.88
A0031,1767228519000,46.72
A0031,1773663494000,6.18
A0032,1767317736000,40.61
A0032,1773850827000,8.13
A0033,1767228362000,50.04
A0033,1773325268000,6.4
A0034,1767329300000,54.22
A0034,1773429567000,91.53
A0035,1767397762000,51.66
A0035,1774030314000,88.63
A0036,1767227398000,51.56
A0036,1772706906000,5.86
A0037,1767280581000,53.6
A0037,1773052917000,91.4
A0038,1767346984000,52.8
A0038,1774063213000,9.8
A0039,1767278168000,49.41
A0039,1773101958000,6.05
A0040,1767360094000,53.84
A0040,1772470178000,14.62
A0041,1767357917000,52.54
A0041,1772977514000,89.38
A0042,1767257749000,46.23
A0042,1773099947000,9.16
A0043,1767275591000,53.65
A0043,1772781345000,92.74
A0044,1767347634000,51.96
A0044,1773378737000,86.17
A0045,1767372482000,51.54
A0045,1772559215000,93.72
A0046,1767358867000,49.99
A0046,1773151457000,5.41
A0047,1767237946000,50.07
A0047,1773734001000,87.06
A0048,1767378459000,60.63
A0048,1773400317000,91.59
A0049,1767350593000,54.75
A0049,1773076896000,8.92
A0050,1767238931000,46.43
A0050,1773417973000,86.64
A0051,1767349315000,46.82
A0051,1773804139000,11.42
A0052,1767320141000,48.88
A0052,1774304512000,89.03
A0053,1767249524000,49.85
A0053,1772842571000,87.25
A0054,1767378717000,51.24
A0054,1774292178000,14.07
A0055,1767349361000,50.22
A0055,1772704491000,6.55
A0056,1767278807000,46.12
A0056,1774203157000,9.73
A0057,1767294427000,54.49
A0057,1774310721000,8.06
A0058,1767229473000,54.1
A0058,1773941435000,87.28
A0059,1767225626000,49.61
A0059,1774266687000,5.38
A0060,1767349749000,51.22
A0060,1774108120000,8.43
A0061,1767253896000,61.74
A0061,1772756107000,86.49
A0062,1767280969000,49.28
A0062,1773460297000,9.05
A0063,1767334538000,49.18
A0063,1773464608000,10.85
A0064,1767305823000,52.16
A0064,1774280159000,5.24
A0065,1767278420000,47.83
A0065,1773194961000,5.93
A0066,1767279736000,59.08
A0066,1773698740000,11.84
A0067,1767347179000,55.32
A0067,1772867465000,12.59
A0068,1767258706000,52.8
A0068,1773423784000,5.02
A0069,1767226695000,53.93
A0069,1773365133000,8.94
A0070,1767379123000,59.81
A0070,1772305707000,90.65
A0071,1767392972000,50.01
A0071,1773770949000,87.1
A0072,1767334619000,55.58
A0072,1773911232000,14.18
A0073,1767271442000,59.13
A0073,1774074179000,14.03
A0074,1767304997000,45.87
A0074,1773243318000,89.2
A0075,1767371504000,33.04
A0075,1773222288000,94.33
A0076,1767368422000,53.79
A0076,1774160785000,14.0
A0077,1767277872000,47.18
A0077,1773740581000,6.83
A0078,1767249073000,41.77
A0078,1774082821000,91.11
A0079,1767286062000,50.52
A0079,1773174429000,6.73
A0080,1767387686000,55.79
A0080,1773919448000,5.96
A0081,1767335805000,45.78
A0081,1774008069000,6.79
A0082,1767393554000,56.06
A0082,1772800114000,8.47
A0083,1767307952000,50.15
A0083,1773684711000,12.98
A0084,1767290542000,51.84
A0084,1773185818000,12.94
A0085,1767377884000,57.95
A0085,1773483335000,12.98
A0086,1767383952000,52.17
A0086,1772960926000,85.27
A0087,1767368203000,46.71
A0087,1774061059000,14.05
A0088,1767258678000,54.65
A0088,1773590314000,8.84
A0089,1767318985000,55.96
A0089,1773728465000,92.63
A0090,1767277718000,51.34
A0090,1772853047000,94.98
A0091,1767397625000,43.15
A0091,1772482965000,5.02
A0092,1767228168000,47.52
A0092,1774395039000,91.99
A0093,1767277854000,48.56
A0093,1773388604000,92.31
A0094,1767301501000,45.06
A0094,1773535815000,9.37
A0095,1767393811000,42.77
A0095,1773117850000,89.18
A0096,1767351934000,40.25
A0096,1774218917000,5.13
A0097,1767338947000,48.32
A0097,1773742436000,88.73
A0098,1767333009000,47.09
A0098,1773801769000,13.3
A0099,1767392705000,52.72
A0099,1773611113000,93.49
