account_id,label_time,churned
A0000,1772039030000,1
A0001,1773333942000,0
A0002,1773387632000,0
A0003,1772491901000,1
A0004,1773080693000,0
A0005,1772501065000,1
A0006,1772868653000,0
A0007,1772373363000,0
A0008,1773030099000,1
A0009,1772213522000,0
A0010,1772304098000,1
A0011,1772458246000,0
A0012,1773252115000,1
A0013,1773243592000,0
A0014,1772022162000,0
A0015,1773541208000,1
A0016,1773309778000,1
A0017,1772571782000,0
A0018,1772472216000,0
A0019,1772839493000,1
A0020,1772651846000,0
A0021,1772041040000,1
A0022,1772997379000,0
A0023,1772582180000,0
A0024,1772568796000,1
A0025,1773333888000,0
A0026,1773144706000,1
A0027,1772094762000,0
A0028,1772277415000,0
A0029,1773584813000,1
A0030,1772870975000,0
A0031,1773243056000,1
A0032,1773476375000,1
A0033,1772977070000,1
A0034,1772457014000,0
A0035,1773551903000,0
A0036,1772267432000,1
A0037,1772730858000,0
A0038,1773047048000,1
A0039,1772320948000,1
A0040,1772166136000,1
A0041,1772467883000,0
A0042,1772447670000,1
A0043,1772314585000,0
A0044,1772402407000,0
A0045,1772124615000,0
A0046,1772813524000,1
A0047,1773113656000,0
A0048,1772714229000,0
A0049,1772546693000,1
A0050,1772403430000,0
A0051,1772973532000,1
A0052,1773445175000,0
A0053,1772465062000,0
A0054,1773286095000,1
A0055,1772152289000,1
A0056,1773492459000,1
A0057,1773283438000,1
A0058,1773310133000,0
A0059,1773513507000,1
A0060,1773463991000,1
A0061,1772483755000,0
A0062,1772849204000,1
A0063,1772879287000,1
A0064,1773583674000,1
A0065,1772786717000,1
A0066,1773068276000,1
A0067,1772073331000,1
A0068,1772803407000,1
A0069,1772448295000,1
A0070,1771996382000,0
A0071,1773086270000,0
A0072,1773240498000,1
A0073,1773093402000,1
A0074,1772843406000,0
A0075,1772843610000,0
A0076,1773651384000,1
A0077,1772888506000,1
A0078,1773603082000,0
A0079,1772711674000,1
A0080,1773529546000,1
A0081,1773583935000,1
A0082,1772226456000,1
A0083,1773023237000,1
A0084,1772692732000,1
A0085,1772618231000,1
A0086,1772399433000,0
A0087,1773130920000,1
A0088,1773112894000,1
A0089,1772855857000,0
A0090,1772562360000,0
A0091,1772165763000,1
A0092,1773424231000,0
A0093,1772485400000,0
A0094,1772981938000,1
A0095,1772612709000,0
A0096,1773222061000,1
A0097,1773373932000,0
A0098,1773406747000,1
A0099,1772795990000,0
