row_id,f1,f2,f3,f4,f5
S00000,-0.978432,0.883887,0.189236,-0.853019,-0.240938
S00001,0.279817,0.190053,0.6604,-0.39345,0.965828
S00002,-1.698369,-0.156375,0.827923,1.36935,1.247459
S00003,-0.762044,0.158349,-1.089453,0.41265,0.19215
S00004,-0.743917,-0.345784,0.230264,0.350927,-1.073917
S00005,0.776736,-1.047692,-1.107997,-0.302539,0.547579
S00006,0.91473,0.532815,-1.261936,1.80041,0.353152
S00007,3.319468,0.343451,0.025845,1.208355,1.678781
S00008,0.632756,-0.458706,0.493096,1.875193,-0.301774
S00009,0.256677,0.292267,0.960094,-1.413703,-0.168631
S00010,0.632651,0.027256,-1.591724,0.927276,0.080174
S00011,-0.952337,-0.447585,-1.087562,-0.589637,-0.364529
S00012,0.520853,-0.694154,-0.157938,1.092631,0.621971
S00013,0.791749,-1.072239,-0.986552,1.596496,-1.05751
S00014,-1.232903,0.077685,-0.809852,0.642179,-0.929364
S00015,0.487533,0.366177,1.499834,0.045853,-1.071033
S00016,-0.564827,-0.153612,0.530525,0.764235,-0.814711
S00017,-0.702721,0.459207,1.343835,-1.581587,0.255444
S00018,-1.079856,0.525878,0.495573,0.067217,0.061682
S00019,1.8619,0.930576,-0.680363,1.660717,-0.999928
S00020,0.956328,1.661352,-1.575288,-0.210749,-0.650441
S00021,-0.733062,0.961454,0.254276,-0.611872,1.069763
S00022,-0.195283,-0.751797,-1.153977,-0.376511,-0.135476
S00023,-2.306,0.797021,-0.720956,0.231298,-0.080604
S00024,-0.894611,1.329031,2.085604,0.462243,-1.048627
S00025,0.380395,0.22267,-0.547974,2.609181,-1.616985
S00026,-0.922754,-0.653634,-0.015494,-0.103124,-0.22609
S00027,-0.690119,-0.284414,1.053999,-1.177269,0.469276
S00028,-0.275269,-0.559522,-1.055006,-0.846483,-0.278606
S00029,0.829195,1.483158,-0.948354,0.900378,0.582233
S00030,0.270916,0.138146,-0.616407,0.32044,0.610827
S00031,0.956501,-2.406027,0.944337,-0.353464,1.621791
S00032,-0.031768,0.090715,-0.423333,-0.663377,1.756651
S00033,0.291804,0.335396,0.54546,0.931458,-0.575279
S00034,-0.426701,0.934397,-0.581712,1.181792,1.457825
S00035,-0.298204,0.555447,-0.531606,0.82148,-1.095597
S00036,0.082466,0.524863,-0.30815,-0.240745,-0.540585
S00037,-0.506742,-0.382666,-1.047082,-0.050396,0.151589
S00038,-0.167275,0.308198,0.858181,-0.220547,0.366438
S00039,-1.43922,-1.050226,1.780085,1.979085,-0.550162
S00040,0.648931,-0.562665,0.745589,-0.037996,2.092404
S00041,1.69931,-0.185231,0.046045,-0.747851,-0.853184
S00042,1.700537,-0.07176,-0.294,0.107256,1.257534
S00043,-0.282973,-0.879039,1.100301,-1.213829,-0.959582
S00044,0.554998,0.375549,-2.829583,1.602985,0.286548
S00045,0.144598,0.563488,2.160558,-1.011142,0.564404
S00046,0.195053,0.190817,0.320198,1.624304,0.019206
S00047,-0.090162,-0.91342,-0.271933,0.482191,-0.240786
S00048,-0.242633,-1.996912,-0.307815,-0.367368,-0.524729
S00049,1.827093,0.567356,0.567737,-2.080851,-0.647585
S00050,0.206997,0.532338,1.408079,0.685964,0.270177
S00051,-0.387465,0.032565,-0.596408,-0.91857,1.582278
S00052,3.135055,-1.494064,0.563659,-0.394055,-1.428568
S00053,0.221855,-1.060473,0.657865,0.869548,-0.965021
S00054,1.059301,-1.824509,0.895359,-0.381785,0.753273
S00055,-0.13637,1.058128,-0.032154,0.522835,0.049096
S00056,-0.497981,-1.012886,-1.013836,0.661968,0.205354
S00057,-0.796189,-0.86037,0.104846,1.725963,-0.176658
S00058,1.090923,-0.034629,0.064503,-0.919695,-2.108717
S00059,-0.913149,0.67496,0.496342,-0.552648,-1.407096
S00060,0.872606,0.742896,1.509036,-1.762647,-1.506093
S00061,-0.967233,-0.128646,1.551815,1.077975,0.078997
S00062,1.119082,-0.279834,-1.722696,-1.633406,-0.843648
S00063,-0.893956,0.984804,-1.855195,0.611797,1.797911
S00064,1.110481,0.032498,-0.934837,0.108687,0.775756
S00065,0.249381,-0.596529,0.526473,-0.258924,0.797585
S00066,0.074341,-1.156886,1.727724,0.560997,0.258533
S00067,0.184154,-0.778797,-1.008862,-3.195664,-1.532386
S00068,0.363469,0.103015,-1.348575,0.870013,-0.45275
S00069,-1.298504,-0.306459,-1.193311,-0.336171,-1.017708
S00070,0.221166,-1.039402,-0.306444,0.260771,-1.997846
S00071,-0.047557,0.241854,-0.089367,0.881793,-0.847166
S00072,-0.754337,-0.752401,0.704751,0.376146,-0.637738
S00073,-1.172655,0.511376,0.501292,-0.208141,0.416489
S00074,1.866424,-0.722551,0.290733,-0.372669,-0.565774
S00075,0.172844,2.496955,0.813775,1.185279,1.581883
S00076,-0.548092,-0.774263,1.380823,0.406734,0.066618
S00077,-2.560783,-0.713454,-0.534179,-0.560812,1.517761
S00078,-0.411215,-1.278566,-1.503299,-0.010497,0.174627
S00079,1.227392,0.564729,-1.316456,1.11192,-0.110977
S00080,-0.628518,-0.465574,0.546256,-0.659909,0.433377
S00081,-0.223878,1.066335,-0.974062,0.191199,-0.539606
S00082,0.1856,0.600801,-1.377303,2.629028,1.008825
S00083,-0.265973,0.293456,1.588172,0.838959,-0.254153
S00084,-0.294714,-0.517327,-0.996343,-0.436536,-1.202629
S00085,0.459113,0.420579,-0.167992,-0.908466,-0.013881
S00086,0.047456,1.475354,-1.46983,2.731004,1.474428
S00087,-1.380904,-0.361817,1.036476,0.674262,0.041518
S00088,0.257083,-0.399814,0.517963,0.809794,0.174734
S00089,0.417396,-0.632781,-0.302499,0.581702,-0.018773
S00090,0.245666,1.121675,-0.195699,-0.421629,-2.216812
S00091,1.381677,0.613676,-0.087907,1.907462,-0.953708
S00092,-0.931033,-1.247021,-2.21537,-0.465026,-0.022886
S00093,-0.229679,-0.986161,-0.696791,0.403588,0.770049
S00094,-0.279117,-1.538842,-0.864641,1.3305,-0.198005
S00095,1.123053,0.203313,-0.92481,1.775678,-0.050961
S00096,0.975513,0.415121,-0.971635,-0.338125,-1.426747
S00097,-0.465389,-0.330255,-1.523795,-1.82097,-0.551965
S00098,0.802794,-1.797587,-0.487252,-0.53328,-0.812031
S00099,-1.160921,0.176771,1.033091,-0.924516,1.424217
S00100,0.174774,-0.919378,0.249016,1.460734,-0.725044
S00101,0.43926,1.199883,1.121316,0.370877,-1.194734
S00102,0.689142,-1.626772,-0.050269,0.699722,1.587521
S00103,-0.388815,-0.537841,0.611321,-2.117794,1.036274
S00104,0.326499,1.07539,1.359943,0.308916,-0.458923
S00105,-0.180954,0.317542,1.175299,1.393995,-0.984738
S00106,0.743226,1.878179,-1.325711,-1.076467,0.821413
