account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1773055706000,23.92,3465.24,392,gold,15,11.5,1
A0001,1772958634000,21.91,2057.54,790,bronze,23,91.45,0
A0002,1772570257000,6.4,3379.58,300,silver,1,91.45,0
A0003,1772184005000,36.91,5383.07,377,silver,28,90.97,0
A0004,1773085120000,98.89,8611.46,367,silver,37,11.08,1
A0005,1772346881000,20.94,7228.45,590,bronze,32,94.97,0
A0006,1773292185000,103.46,7155.74,300,bronze,11,7.88,1
A0007,1773616889000,185.24,2734.64,672,gold,20,11.15,1
A0008,1772439085000,113.16,4271.45,829,gold,2,6.61,1
A0009,1772463144000,1153.24,5536.65,682,gold,36,10.06,1
A0010,1773663817000,21.34,4797.02,762,bronze,31,90.73,0
A0011,1772822111000,23.56,7423.0,490,silver,32,86.33,0
A0012,1772983726000,51.0,4841.93,725,silver,9,89.75,0
A0013,1773190069000,17.2,7338.69,408,bronze,17,91.58,0
A0014,1772630080000,120.96,6719.65,511,bronze,7,85.51,0
A0015,1772314927000,34.61,7684.4,322,gold,21,90.37,0
A0016,1772060353000,18.57,3943.2,745,gold,35,10.21,1
A0017,1773230846000,18.85,6079.99,366,bronze,16,14.78,1
A0018,1773285243000,27.81,4216.64,464,silver,24,91.49,0
A0019,1773411212000,82.46,5954.82,584,silver,13,7.67,1
A0020,1772360735000,29.17,3671.2,631,gold,18,87.76,0
A0021,1773514883000,92.04,-805.49,431,silver,34,87.79,0
A0022,1773686738000,80.94,9138.3,759,bronze,22,12.72,1
A0023,1773609943000,32.45,6835.32,535,bronze,27,14.48,1
A0024,1773006355000,6.23,7021.9,353,gold,18,13.13,1
A0025,1773209874000,61.3,4211.14,616,silver,10,86.42,0
A0026,1773192733000,8.47,-648.31,615,bronze,17,11.89,1
A0027,1772898790000,9.44,3684.68,821,bronze,12,86.4,0
A0028,1772020187000,48.75,3799.6,602,gold,13,88.29,0
A0029,1773198094000,144.53,2772.6,379,gold,15,91.68,0
A0030,1773113038000,38.3,2580.83,458,gold,29,86.46,0
A0031,1773122636000,3.36,4841.81,300,silver,8,89.71,0
A0032,1772358817000,22.45,3091.77,850,silver,30,86.99,0
A0033,1773648486000,5.88,8516.79,306,gold,28,10.6,1
A0034,1772636012000,3.51,5085.3,489,bronze,20,7.72,1
A0035,1773274629000,22.56,4148.82,479,silver,12,93.88,0
A0036,1772291624000,16.12,7398.69,498,silver,4,86.97,0
A0037,1772598562000,16.43,4163.7,680,bronze,24,93.25,0
A0038,1772929958000,14.5,3379.72,471,bronze,25,89.73,0
A0039,1772916275000,98.41,6073.74,770,gold,30,85.71,0
A0040,1773199380000,14.4,2980.71,570,gold,5,87.04,0
A0041,1772290398000,13.84,4771.34,373,silver,4,92.33,0
A0042,1772300111000,59.58,4794.12,322,bronze,3,10.97,1
A0043,1772567995000,36.67,4861.83,850,gold,38,5.01,1
A0044,1773188865000,41.42,2657.54,530,bronze,1,90.42,0
A0045,1772873737000,42.15,3882.07,830,bronze,31,14.27,1
A0046,1772908868000,9.49,3814.82,840,gold,36,6.42,1
A0047,1772610552000,59.41,434.85,541,silver,23,93.93,0
A0048,1772465289000,21.96,2574.31,454,gold,27,91.23,0
A0049,1772556842000,23.47,5521.16,639,silver,1,11.91,1
A0050,1772859196000,69.65,3403.95,458,silver,20,91.65,0
A0051,1772594971000,49.44,5017.4,456,silver,39,14.19,1
A0052,1773317706000,7.44,2270.5,588,gold,32,85.06,0
A0053,1772815671000,41.5,5969.14,411,gold,17,6.86,1
A0054,1773661421000,44.56,4053.63,601,silver,34,6.76,1
A0055,1772229835000,87.46,4484.41,806,gold,13,92.59,0
A0056,1772443726000,45.45,5438.69,728,silver,27,87.92,0
A0057,1773014637000,8.51,7992.48,658,bronze,0,88.99,0
A0058,1773574159000,64.23,2941.89,556,gold,14,92.25,0
A0059,1773474865000,7.92,6203.15,318,bronze,3,14.86,1
A0060,1773192835000,158.09,5107.16,615,gold,31,90.86,0
A0061,1773510695000,40.29,6217.41,450,silver,5,12.94,1
A0062,1772983600000,35.08,3171.07,787,silver,27,8.7,1
A0063,1773549699000,14.06,7629.63,574,gold,17,10.66,1
A0064,1772048293000,125.91,7118.4,771,bronze,38,92.28,0
A0065,1772460554000,21.37,6776.86,401,bronze,11,10.24,1
A0066,1772316210000,16.11,12433.57,491,silver,39,12.48,1
A0067,1772579408000,72.46,7685.16,300,silver,33,94.47,0
A0068,1773408306000,38.25,1939.47,323,silver,27,12.2,1
A0069,1772439730000,23.77,5129.8,462,silver,17,90.27,0
A0070,1773033631000,63.62,10148.32,691,silver,23,14.8,1
A0071,1773511349000,59.08,6750.64,349,silver,38,10.47,1
A0072,1772820156000,45.83,4307.15,689,silver,35,6.05,1
A0073,1772952599000,71.63,6660.9,789,silver,12,87.44,0
A0074,1772338918000,48.79,3245.43,566,gold,22,14.05,1
A0075,1772930259000,62.2,5422.42,807,bronze,13,13.22,1
A0076,1773579861000,99.16,5890.37,627,bronze,27,92.72,0
A0077,1772739698000,20.57,5237.06,709,bronze,29,92.01,0
A0078,1772840598000,24.45,9001.82,629,gold,16,85.26,0
A0079,1772041784000,70.39,9287.16,679,bronze,8,13.48,1
A0080,1772150449000,37.08,1892.02,830,silver,28,90.52,0
