row_id,f1,f2,f3,f4,f5
S00000,-1.934514,0.233473,1.986449,-2.734847,-1.583594
S00001,0.718039,-1.579249,-1.886159,0.271992,1.03381
S00002,-0.845528,2.017357,-0.321546,-1.856973,0.971031
S00003,0.668217,0.189583,-0.603784,-0.017244,0.522775
S00004,0.654351,0.253912,-0.192828,1.014664,-1.167684
S00005,-0.121597,0.18596,-0.863069,-0.592238,-0.66979
S00006,1.735983,-0.352029,0.739647,1.171966,0.593289
S00007,-0.849148,0.315437,1.196848,-1.03666,0.725467
S00008,1.424465,1.177695,-0.135848,0.829668,-0.86274
S00009,0.248506,-1.038986,0.600553,0.798081,3.307358
S00010,0.702668,-0.261187,-0.413515,-1.881389,-0.329103
S00011,1.392246,1.289733,-1.481354,0.715902,-1.845162
S00012,-0.072718,0.446725,0.027504,0.966556,1.586889
S00013,1.421338,-0.117511,-0.583126,-0.459717,0.400972
S00014,0.508677,0.443996,1.406898,0.20169,-0.345153
S00015,1.39238,-0.913037,-1.474866,-0.798656,0.001425
S00016,0.97592,0.258442,-0.536421,-0.878718,-0.25228
S00017,0.105392,-0.194,0.679131,0.531061,-0.142161
S00018,1.011924,-0.978613,-0.337235,0.780065,0.174697
S00019,-0.283108,1.910665,1.094492,-0.032175,-0.124712
S00020,-0.813336,0.790396,1.474392,-1.522149,-1.358349
S00021,1.08911,-1.083404,1.746753,0.462153,-1.015913
S00022,0.858804,-0.923026,1.853881,0.586071,-0.040709
S00023,-0.014574,0.06621,-0.680434,1.845112,-0.512817
S00024,0.039715,-0.887234,0.038036,-3.131687,0.361485
S00025,0.193321,1.222144,0.32715,0.294323,2.396671
S00026,1.915186,-0.958093,0.543977,-3.0005,0.330239
S00027,-1.149387,-0.83829,-0.170286,0.294117,-0.777562
S00028,1.119227,-0.26346,0.628001,-0.758871,1.252384
S00029,-2.129457,-0.878069,-1.505174,-1.369077,-0.237917
S00030,-0.649958,0.982382,-1.735582,0.323496,1.136912
S00031,-1.455945,-0.080825,1.087792,0.064429,-1.89057
S00032,-0.407263,0.294232,0.304748,0.697531,-1.484627
S00033,2.021123,-1.358696,1.132977,0.021883,-0.379303
S00034,0.002315,0.970509,-1.786459,-2.51435,-1.926133
S00035,1.583854,-0.32983,3.014093,-1.172725,0.60822
S00036,-0.802621,-0.031478,0.435213,-1.038638,0.727555
S00037,-0.106465,-0.506821,0.695182,-1.180123,0.354091
S00038,-0.717871,0.965545,0.081403,-0.171505,0.10759
S00039,0.432213,1.394209,0.1669,0.096455,0.865439
S00040,1.296557,-2.237163,-0.012699,-2.373326,0.419558
S00041,0.182907,1.110361,-1.102466,-0.72934,0.764969
S00042,0.793576,-0.486874,-0.319051,0.980175,1.218552
S00043,-1.639922,-0.02762,0.565237,-0.244628,1.138115
S00044,-1.01342,0.458894,-0.615577,0.586894,-1.147816
S00045,-0.692923,0.862218,0.170858,-0.442539,-0.980652
S00046,0.843009,0.999234,-0.216619,-0.734172,0.149815
S00047,0.174742,0.892772,0.933113,-0.243616,0.251435
S00048,0.182527,1.512926,-0.178462,-1.065938,1.00042
S00049,2.240702,0.014444,0.211703,0.464434,0.78871
S00050,-1.708683,0.096664,2.011728,-1.264193,0.420643
S00051,0.612023,-0.269946,0.106165,0.302884,-0.834635
S00052,-1.153071,0.687165,0.02236,-1.069467,0.423086
S00053,0.090581,1.411566,2.922272,0.611132,0.669738
S00054,0.318547,2.316866,-0.642629,1.633256,-1.532534
S00055,-2.184106,0.441256,-0.629356,0.203498,-0.155225
S00056,-0.234174,-0.106131,-1.289575,1.073729,1.468508
S00057,0.991567,1.005367,0.59446,0.246368,0.432471
S00058,-0.973744,2.273305,1.025546,0.782135,-0.925332
S00059,0.703542,-0.305166,-0.986881,0.196434,-1.171056
S00060,-1.197055,-1.348251,1.689085,0.515,-1.133831
S00061,0.90993,-0.923538,2.732265,-1.757465,-0.808444
S00062,1.079096,1.105929,0.942839,0.495501,-0.904951
S00063,-0.808974,-0.872058,-0.15396,1.087841,-0.152491
S00064,0.78501,-0.703818,-0.248797,-1.09279,-0.225546
S00065,2.42969,-0.038081,0.056342,1.162749,0.210836
S00066,0.120074,1.010099,-0.571726,-0.094244,0.49985
S00067,0.574148,0.149671,1.232006,-1.4891,0.562879
S00068,2.253097,0.925578,0.198031,-0.290623,1.022676
S00069,0.122588,0.85868,0.722615,-0.618652,-0.144178
S00070,2.251485,-0.844071,0.821347,1.296715,1.651343
S00071,-1.929492,-0.987534,0.256382,-1.875122,0.424175
S00072,0.556595,-1.237489,0.646219,-0.407986,-1.015198
S00073,1.208997,-1.055247,1.405045,1.163295,0.470326
S00074,0.167182,-0.846595,0.120939,-1.617197,-1.208821
S00075,0.242168,-1.935836,-0.46837,-1.825484,0.132688
S00076,-0.313233,-0.982376,2.059108,-0.430344,0.415519
S00077,-0.251456,-1.113404,-1.077989,-0.402499,1.298114
S00078,0.286816,1.556624,0.640637,0.196867,0.419103
S00079,0.239153,-1.0134,-0.320117,-0.738695,-0.552595
S00080,0.938428,-0.932608,-0.778795,0.320373,-0.29581
S00081,1.328922,-0.007924,-0.525119,-0.116044,-0.723264
S00082,-0.77243,-1.543053,0.208928,-1.114025,0.190513
S00083,-0.136699,0.142631,-0.222903,0.372395,0.50201
S00084,0.207783,0.201294,0.319479,-1.120699,-0.886157
S00085,1.172036,-2.582525,-0.273975,-1.357876,-0.235394
S00086,1.374871,0.197206,0.633342,-0.426858,0.014053
S00087,-0.14807,1.299489,-2.127777,1.068798,-0.784257
S00088,0.628791,0.262267,-1.977854,-0.706017,-1.479256
S00089,0.150872,-0.483594,-0.249932,-0.259385,-0.445441
S00090,-0.332215,1.29397,0.388318,-0.793808,-1.160648
S00091,1.716465,-2.176862,0.361348,0.894185,-0.780033
S00092,0.084365,-0.622529,1.580372,0.370135,0.461106
S00093,0.66604,-0.960763,-0.029364,-1.111852,-0.826405
S00094,1.066275,0.427792,-3.086593,0.282839,-0.040976
S00095,0.905413,-1.925902,0.920095,1.562263,-0.082367
S00096,-0.732288,0.016748,0.926223,0.099064,-2.764223
S00097,1.378741,-1.705115,-0.653657,-1.978306,-0.424501
S00098,1.104198,0.884528,0.776153,-0.085428,-0.677529
S00099,-0.328249,1.176096,0.210051,-1.469931,-1.027567
S00100,-1.337657,0.004838,0.399269,-0.434349,-0.067647
S00101,0.904359,1.235924,0.033026,0.077925,-1.252317
S00102,-1.232614,0.20441,0.469154,-0.913553,0.876789
S00103,-1.366865,0.352405,-0.031782,-1.012321,-0.378388
S00104,0.449347,-0.523363,2.286513,-1.160223,-1.077169
S00105,-0.52093,-2.063609,1.446154,3.208856,-2.621584
S00106,-0.063487,0.399709,1.271225,-2.151573,-2.017845
S00107,1.722258,-0.656415,-0.673054,2.008031,0.790834
S00108,-1.243606,-0.30869,-0.956306,-1.108943,0.466271
S00109,-0.832986,-0.103902,0.455372,-1.182727,-0.967473
S00110,1.557384,0.115074,1.297594,-1.372471,-0.919302
S00111,-0.778809,2.985381,-0.832236,0.764054,0.23511
S00112,0.773309,0.343858,-0.190451,1.072786,-0.375938
S00113,-0.102575,0.432493,0.040753,-0.098754,0.571425
S00114,1.835622,-1.845728,-0.895511,1.798639,0.841098
S00115,0.00338,-0.536379,-0.527436,-0.974525,0.03848
S00116,-0.703006,0.975004,-0.616148,-1.134743,-1.012507
S00117,-0.661569,0.221355,0.3487,0.673988,-0.345335
S00118,0.003055,0.383309,-1.297209,-0.122869,-0.123724
S00119,-1.062153,-0.011404,1.21926,-0.550328,-0.73876
S00120,0.401757,0.010578,0.490638,0.466839,-0.540054
S00121,1.196083,-1.286487,-1.192462,0.582766,-0.278301
S00122,-1.72292,-0.289921,-0.858787,0.381816,-0.184459
S00123,-2.870146,0.226063,-1.149032,-0.066762,-0.696067
S00124,-0.376881,1.104398,-0.073021,0.07325,0.51803
S00125,0.156202,1.23518,2.426234,1.656024,1.266032
S00126,2.15532,0.672459,0.276529,0.212804,-0.81818
S00127,0.011048,-0.601689,-0.095605,0.341196,-1.004836
S00128,1.879347,0.678251,0.416561,-1.489212,-0.647438
S00129,0.592554,0.09166,-0.349317,-1.112754,-1.003122
S00130,0.313737,-0.685863,0.258915,0.438577,-0.855688
S00131,-0.72619,0.215894,-0.48161,-0.258365,-1.322315
S00132,0.393882,-1.397117,0.408225,0.068061,-0.738123
S00133,0.118159,-0.205083,0.972841,-0.386724,-0.823754
S00134,0.030895,-1.363077,-0.093962,0.142886,0.441509
S00135,1.192128,-0.014598,-0.375159,-1.202757,-0.958922
S00136,-1.968831,1.008564,-0.993245,1.733123,-0.01505
S00137,-0.107661,-0.069711,1.083088,0.860278,-0.190601
S00138,-1.782507,1.372925,0.561793,-0.750084,0.366852
S00139,-0.222012,1.452097,-0.61452,-0.559146,0.693121
S00140,-0.18114,-0.812337,-0.159739,-0.085642,-0.491844
S00141,0.164034,-1.073153,-1.851676,0.41213,0.074817
S00142,1.097936,-0.463243,-0.929483,0.277332,0.5573
S00143,0.278181,-1.574247,-0.861581,-0.199167,-0.899365
S00144,0.891561,1.102072,-0.448438,-0.450734,3.027915
S00145,1.247174,-1.657782,1.867552,-0.380931,0.697511
S00146,-0.43973,-0.148737,1.676093,-0.064911,-1.478901
S00147,-0.279472,0.450311,-0.554402,-0.744781,-0.533862
S00148,1.267086,-0.31842,-0.351602,-2.456381,-0.068824
S00149,1.468721,-0.477442,-0.92423,-0.349128,0.11298
S00150,-1.519409,-1.197847,-0.14452,-1.376631,-0.362865
S00151,-0.030459,-1.170319,0.600141,-0.049943,-0.790996
S00152,0.079398,-2.45901,0.274966,-0.980095,-0.802721
S00153,0.651893,0.351719,-0.266998,-0.899006,-0.436205
