account_id,event_time,credit_score,tier
A0000,1767261796000,446,bronze
A0000,1771630518000,392,gold
A0001,1767287775000,766,gold
A0001,1774458027000,790,bronze
A0002,1767300812000,327,bronze
A0002,1773294903000,300,silver
A0003,1767228628000,443,silver
A0003,1773998318000,377,silver
A0004,1767300013000,340,silver
A0004,1772271790000,367,silver
A0005,1767308890000,649,bronze
A0005,1773804085000,590,bronze
A0006,1767283442000,316,gold
A0006,1769667301000,300,bronze
A0007,1767234442000,749,gold
A0007,1774799129000,672,gold
A0008,1767304301000,829,gold
A0009,1767267320000,708,bronze
A0009,1767448315000,682,gold
A0010,1767237432000,762,bronze
A0011,1767253541000,490,silver
A0012,1767258107000,705,bronze
A0012,1774344801000,725,silver
A0013,1767265237000,333,bronze
A0013,1773339217000,408,bronze
A0014,1767293474000,548,gold
A0014,1771916869000,511,bronze
A0015,1767276531000,386,gold
A0015,1769104118000,322,gold
A0016,1767273419000,733,bronze
A0016,1767893962000,745,gold
A0017,1767271637000,313,bronze
A0017,1773699673000,366,bronze
A0018,1767265218000,464,silver
A0019,1767308805000,649,gold
A0019,1773615549000,584,silver
A0020,1767311719000,674,gold
A0020,1770856937000,631,gold
A0021,1767235372000,428,gold
A0021,1774764692000,431,silver
A0022,1767245764000,759,bronze
A0023,1767237022000,494,silver
A0023,1774573625000,535,bronze
A0024,1767300304000,368,gold
A0024,1768156363000,353,gold
A0025,1767287530000,645,silver
A0025,1770426037000,616,silver
A0026,1767288276000,623,bronze
A0026,1774779632000,615,bronze
A0027,1767231917000,828,silver
A0027,1774453161000,821,bronze
A0028,1767283657000,616,gold
A0028,1769172926000,602,gold
A0029,1767300550000,379,gold
A0030,1767309965000,473,bronze
A0030,1771719610000,458,gold
A0031,1767267879000,303,gold
A0031,1773822160000,300,silver
A0032,1767233754000,838,silver
A0032,1768941232000,850,silver
A0033,1767230803000,306,gold
A0034,1767261429000,500,silver
A0034,1774883975000,489,bronze
A0035,1767242535000,414,bronze
A0035,1774455075000,479,silver
A0036,1767293611000,498,silver
A0037,1767234247000,750,gold
A0037,1770014494000,680,bronze
A0038,1767236675000,460,bronze
A0038,1769651637000,471,bronze
A0039,1767284151000,785,gold
A0039,1774520014000,770,gold
A0040,1767273739000,570,gold
A0041,1767299747000,373,silver
A0042,1767272506000,322,bronze
A0043,1767283856000,801,gold
A0043,1774844483000,850,gold
A0044,1767298229000,502,gold
A0044,1768214806000,530,bronze
A0045,1767283008000,830,bronze
A0046,1767281155000,840,gold
A0047,1767237919000,469,bronze
A0047,1773322000000,541,silver
A0048,1767271942000,436,gold
A0048,1774814522000,454,gold
A0049,1767297145000,610,bronze
A0049,1774561830000,639,silver
A0050,1767235713000,458,silver
A0051,1767300391000,383,gold
A0051,1774103015000,456,silver
A0052,1767303708000,533,gold
A0052,1773503350000,588,gold
A0053,1767233567000,411,gold
A0054,1767310730000,601,silver
A0055,1767233741000,753,bronze
A0055,1769301901000,806,gold
A0056,1767297859000,766,gold
A0056,1767978216000,728,silver
A0057,1767296191000,658,bronze
A0058,1767298389000,595,silver
A0058,1773707189000,556,gold
A0059,1767232473000,337,bronze
A0059,1774025928000,318,bronze
A0060,1767278027000,596,bronze
A0060,1771355431000,615,gold
A0061,1767261026000,426,silver
A0061,1768476541000,450,silver
A0062,1767251606000,787,silver
A0063,1767227839000,574,gold
A0064,1767241584000,699,silver
A0064,1769927473000,771,bronze
A0065,1767261505000,478,gold
A0065,1770642303000,401,bronze
A0066,1767258977000,517,bronze
A0066,1772056193000,491,silver
A0067,1767297991000,348,bronze
A0067,1769080851000,300,silver
A0068,1767286591000,323,silver
A0069,1767286770000,462,silver
A0070,1767235139000,734,silver
A0070,1774888990000,691,silver
A0071,1767278339000,320,bronze
A0071,1774272434000,349,silver
A0072,1767280178000,749,gold
A0072,1768621593000,689,silver
A0073,1767276706000,789,silver
A0074,1767307106000,566,gold
A0075,1767274605000,826,silver
A0075,1773186627000,807,bronze
A0076,1767230238000,562,bronze
A0076,1774084741000,627,bronze
A0077,1767271036000,709,bronze
A0078,1767258559000,571,bronze
A0078,1774246950000,629,gold
A0079,1767283253000,656,silver
A0079,1771702747000,679,bronze
A0080,1767268310000,830,silver
A0081,1767295027000,678,gold
A0081,1772527237000,736,gold
A0082,1767231005000,583,gold
A0082,1770698232000,542,silver
A0083,1767282714000,408,gold
A0084,1767243072000,751,silver
A0085,1767284941000,470,silver
A0085,1770721688000,516,silver
A0086,1767275057000,344,gold
A0086,1771354187000,391,gold
A0087,1767255623000,618,gold
A0088,1767307415000,459,silver
A0089,1767235566000,455,silver
A0089,1768626329000,530,silver
A0090,1767292888000,512,silver
A0090,1773938124000,531,gold
A0091,1767241250000,678,bronze
A0091,1772453296000,728,gold
A0092,1767283311000,850,gold
A0092,1773646700000,806,bronze
A0093,1767293137000,598,bronze
A0093,1769036733000,573,silver
A0094,1767305643000,465,gold
A0094,1767959332000,438,bronze
A0095,1767308768000,328,gold
A0095,1773545686000,394,gold
A0096,1767250550000,419,silver
A0096,1771250945000,387,gold
A0097,1767283913000,569,silver
A0097,1774045276000,519,bronze
A0098,1767254454000,591,bronze
A0098,1773977211000,640,silver
A0099,1767284298000,357,bronze
