row_id,account_id,event_time,amount,category
R00000,A0091,1769905080000,5835.84,travel
R00001,A0122,1769905860000,4186.09,travel
R00002,A0109,1769906040000,6090.07,grocery
R00003,A0138,1769911440000,8603.99,grocery
R00004,A0051,1769914500000,9390.64,salary
R00005,A0108,1769916660000,2708.34,travel
R00006,A0143,1769930340000,8488.31,grocery
R00007,A0132,1769948280000,6478.08,salary
R00008,A0058,1769948520000,1409.04,travel
R00009,A0048,1769952720000,5456.98,salary
R00010,A0020,1769966880000,5137.53,grocery
R00011,A0087,1769970900000,5741.05,travel
R00012,A0096,1769977200000,3315.67,other
R00013,A0038,1769979480000,6534.41,grocery
R00014,A0128,1769982360000,8765.38,salary
R00015,A0107,1769985120000,7567.08,salary
R00016,A0062,1769985360000,,grocery
R00017,A0109,1769989680000,1346.7,rent
R00018,A0002,1769990820000,5468.48,other
R00019,A0084,1770008580000,4172.48,rent
R00020,A0023,1770010380000,743.97,travel
R00021,A0121,1770010560000,6380.22,other
R00022,A0112,1770011520000,5100.69,travel
R00023,A0121,1770021720000,3230.59,rent
R00024,A0045,1770023640000,4189.78,salary
R00025,A0133,1770027060000,4284.37,grocery
R00026,A0133,1770029880000,2690.94,travel
R00027,A0060,1770030240000,5499.51,rent
R00028,A0146,1770035820000,8065.39,grocery
R00029,A0138,1770046680000,7055.58,salary
R00030,A0080,1770048240000,7374.85,other
R00031,A0105,1770049500000,5072.1,salary
R00032,A0102,1770058800000,4012.5,rent
R00033,A0033,1770060720000,9452.1,travel
R00034,A0028,1770074640000,6219.08,grocery
R00035,A0149,1770075480000,3630.79,travel
R00036,A0027,1770079740000,3065.93,salary
R00037,A0118,1770087480000,4008.69,rent
R00038,A0064,1770091680000,8090.92,other
R00039,A0008,1770096480000,4833.67,travel
R00040,A0023,1770100140000,4829.76,travel
R00041,A0086,1770103440000,8296.34,salary
R00042,A0103,1770103860000,2177.71,grocery
R00043,A0049,1770104160000,8967.95,grocery
R00044,A0067,1770121740000,2675.58,salary
R00045,A0077,1770123960000,9450.52,salary
R00046,A0023,1770127560000,9004.98,travel
R00047,A0092,1770134340000,1572.88,travel
R00048,A0146,1770140400000,,grocery
R00049,A0100,1770142620000,8765.35,travel
R00050,A0138,1770154680000,5114.57,salary
R00051,A0023,1770169020000,4906.86,rent
R00052,A0090,1770172860000,6551.75,travel
R00053,A0114,1770174060000,8428.15,salary
R00054,A0129,1770174780000,7608.56,salary
R00055,A0102,1770174900000,3700.8,uncategorized
R00056,A0045,1770180180000,7403.18,grocery
R00057,A0126,1770195540000,1025.23,travel
R00058,A0136,1770201300000,5998.92,rent
R00059,A0125,1770205800000,7672.92,travel
R00060,A0134,1770212100000,6736.15,rent
R00061,A0067,1770214440000,322.28,rent
R00062,A0065,1770215520000,8652.64,grocery
R00063,A0025,1770223860000,6418.13,travel
R00064,A0117,1770242460000,1165.67,salary
R00065,A0144,1770243960000,2648.04,other
R00066,A0050,1770248160000,2803.92,grocery
R00067,A0094,1770248400000,,rent
R00068,A0112,1770260640000,1426.4,salary
R00069,A0143,1770275880000,,salary
R00070,A0060,1770277740000,1566.5,other
R00071,A0053,1770280860000,3244.85,travel
R00072,A0085,1770282000000,2792.42,salary
R00073,A0110,1770287100000,6309.83,rent
R00074,A0084,1770292080000,5632.39,grocery
R00075,A0139,1770293040000,3486.7,grocery
R00076,A0049,1770309360000,5576.57,travel
R00077,A0082,1770313140000,2821.31,salary
R00078,A0051,1770313920000,6829.75,rent
R00079,A0036,1770333180000,8447.65,salary
R00080,A0129,1770341100000,3699.62,grocery
R00081,A0098,1770342240000,7923.24,other
R00082,A0063,1770344100000,9459.58,salary
R00083,A0124,1770346380000,4930.06,travel
R00084,A0105,1770355020000,6408.63,grocery
