row_id,account_id,event_time,amount,category
R00534,A0128,1772841660000,16.28,salary
R00535,A0078,1772841960000,23.84,grocery
R00536,A0011,1772842740000,6.85,rent
R00537,A0068,1772843220000,36.27,travel
R00538,A0064,1772844060000,22.11,rent
R00539,A0129,1772847060000,21.85,grocery
R00540,A0124,1772847900000,6.41,salary
R00541,A0041,1772848200000,52.93,other
R00542,A0027,1772848740000,11.79,rent
R00543,A0042,1772849220000,17.53,grocery
R00544,A0084,1772853600000,7.46,salary
R00545,A0137,1772853900000,10.75,salary
R00546,A0061,1772854320000,6.56,salary
R00547,A0009,1772855340000,71.68,rent
R00548,A0034,1772855340000,5.98,rent
R00549,A0142,1772856780000,6.04,rent
R00550,A0009,1772858460000,8.18,other
R00551,A0123,1772858760000,9.48,salary
R00552,A0011,1772858940000,28.2,other
R00553,A0040,1772859420000,39.38,rent
R00554,A0011,1772859660000,6.46,salary
R00555,A0144,1772860200000,35.43,grocery
R00556,A0141,1772860800000,5.08,travel
R00557,A0106,1772861220000,59.8,salary
R00558,A0005,1772861460000,58.43,salary
R00559,A0051,1772861520000,13.17,grocery
R00560,A0020,1772862000000,12.26,travel
R00561,A0041,1772862240000,44.47,salary
R00562,A0103,1772862480000,36.52,other
R00563,A0099,1772864160000,7.12,travel
R00564,A0098,1772864280000,19.17,grocery
R00565,A0120,1772865660000,7.3,other
R00566,A0138,1772866020000,3.32,travel
R00567,A0084,1772866380000,5.88,rent
R00568,A0144,1772866920000,263.65,grocery
R00569,A0031,1772867340000,25.26,travel
R00570,A0075,1772869200000,7.55,grocery
R00571,A0069,1772869440000,22.79,other
R00572,A0026,1772871000000,92.98,salary
R00573,A0126,1772872140000,83.64,salary
R00574,A0095,1772873400000,12.55,other
R00575,A0074,1772873820000,89.52,rent
R00576,A0070,1772873940000,29.14,other
R00577,A0094,1772874300000,26.29,other
R00578,A0092,1772874900000,13.68,salary
R00579,A0016,1772875200000,16.94,grocery
R00580,A0088,1772876880000,24.8,rent
R00581,A0036,1772877240000,32.64,grocery
R00582,A0079,1772878140000,11.48,rent
R00583,A0030,1772878800000,25.41,grocery
R00584,A0149,1772878920000,15.52,salary
R00585,A0061,1772879640000,5.94,travel
R00586,A0023,1772879820000,21.05,grocery
R00587,A0042,1772880960000,15.65,other
R00588,A0071,1772881140000,2.93,salary
R00589,A0094,1772883360000,10.72,grocery
R00590,A0066,1772883600000,60.04,other
R00591,A0124,1772883960000,84.44,rent
R00592,A0121,1772885160000,15.24,grocery
R00593,A0099,1772885280000,10.27,rent
R00594,A0144,1772885820000,14.14,rent
R00595,A0057,1772886960000,44.51,travel
R00596,A0139,1772888460000,2.13,travel
R00597,A0112,1772888640000,58.76,salary
R00598,A0025,1772890380000,25.33,rent
R00599,A0013,1772890440000,36.96,salary
R00600,A0061,1772891400000,20.43,travel
R00601,A0086,1772891460000,8.35,salary
R00602,A0114,1772891820000,18.96,rent
R00603,A0076,1772892060000,19.67,grocery
R00604,A0147,1772893020000,12.78,travel
R00605,A0027,1772897040000,14.25,salary
R00606,A0124,1772897820000,8.1,other
R00607,A0009,1772897820000,70.72,other
R00608,A0057,1772898660000,16.35,rent
R00609,A0057,1772899680000,17.79,grocery
R00610,A0016,1772901000000,107.95,rent
R00611,A0068,1772901540000,10.54,other
R00612,A0149,1772902080000,12.05,salary
R00613,A0030,1772902740000,9.02,travel
R00614,A0084,1772903220000,18.46,other
R00615,A0095,1772903340000,37.33,travel
R00616,A0016,1772903460000,16.99,salary
R00617,A0088,1772904600000,13.92,rent
R00618,A0102,1772904780000,73.32,salary
R00619,A0093,1772905860000,2.51,salary
R00620,A0120,1772907000000,2.18,other
R00621,A0146,1772909160000,2.85,travel
R00622,A0025,1772909520000,11.59,rent
R00623,A0100,1772909580000,9.82,grocery
R00624,A0107,1772909760000,4.19,rent
R00625,A0054,1772910300000,243.26,other
R00626,A0005,1772910600000,8.28,salary
R00627,A0112,1772910780000,24.24,grocery
R00628,A0003,1772911020000,42.29,grocery
R00629,A0028,1772912340000,8.05,travel
R00630,A0133,1772912460000,109.58,travel
R00631,A0024,1772913120000,81.51,salary
R00632,A0115,1772913720000,18.85,grocery
R00633,A0139,1772914320000,13.66,rent
R00634,A0108,1772915760000,26.93,grocery
R00635,A0090,1772916480000,58.39,grocery
R00636,A0007,1772918280000,49.54,rent
R00637,A0020,1772918280000,21.17,rent
R00638,A0009,1772918520000,34.06,rent
R00639,A0025,1772918760000,135.4,other
R00640,A0129,1772919240000,33.26,other
R00641,A0001,1772919600000,69.21,salary
R00642,A0052,1772919840000,19.08,rent
R00643,A0141,1772920140000,50.91,other
R00644,A0109,1772921100000,74.46,other
R00645,A0095,1772921580000,96.74,grocery
R00646,A0040,1772923020000,2.39,rent
R00647,A0125,1772923620000,29.97,rent
R00648,A0096,1772924040000,9.8,salary
R00649,A0087,1772924100000,32.98,other
R00650,A0114,1772924280000,2.99,rent
R00651,A0025,1772924400000,83.51,grocery
R00652,A0006,1772925600000,4.26,rent
R00653,A0053,1772926320000,8.11,travel
R00654,A0044,1772926560000,30.51,rent
R00655,A0040,1772926980000,108.15,travel
R00656,A0141,1772927460000,20.8,rent
R00657,A0108,1772927640000,4.37,salary
