row_id,account_id,event_time,amount,category
R00479,A0078,1771439640000,194.09,travel
R00569,A0053,1772144460000,4.41,salary
R00418,A0114,1770916860000,10.63,travel
R00369,A0082,1770519060000,11.68,salary
R00558,A0033,1772084760000,267.8,grocery
R00448,A0117,1771194060000,9.96,travel
R00417,A0018,1770889020000,12.11,rent
R00477,A0029,1771426200000,8.49,rent
R00420,A0064,1770927480000,8.02,grocery
R00356,A0087,1770415920000,15.77,other
R00485,A0110,1771492440000,7.66,grocery
R00426,A0063,1770950700000,8.4,other
R00432,A0032,1771026720000,7.04,other
R00353,A0058,1770391380000,2.13,travel
R00396,A0092,1770708360000,3.09,other
R00494,A0093,1771543380000,9.82,other
R00568,A0036,1772137860000,89.6,travel
R00521,A0081,1771772640000,15.44,grocery
R00554,A0060,1772065800000,212.35,salary
R00593,A0104,1772315460000,16.39,other
R00392,A0000,1770699900000,13.87,travel
R00373,A0038,1770537180000,3.87,other
R00437,A0065,1771110240000,26.56,travel
R00481,A0041,1771459140000,24.27,other
R00516,A0018,1771703220000,47.34,rent
R00414,A0080,1770849420000,3.59,salary
R00405,A0036,1770747720000,30.37,other
R00557,A0109,1772072580000,13.16,travel
R00574,A0003,1772191740000,19.48,other
R00488,A0032,1771505040000,11.7,travel
R00419,A0096,1770919140000,18.57,rent
R00517,A0060,1771739820000,71.7,rent
R00582,A0073,1772239320000,28.4,travel
R00434,A0013,1771069980000,12.55,salary
R00350,A0099,1770346020000,3.85,travel
R00465,A0063,1771334220000,9.08,rent
R00505,A0065,1771623420000,5.14,other
R00472,A0068,1771379700000,4.53,rent
R00509,A0088,1771641240000,10.91,travel
R00580,A0069,1772209140000,1.99,travel
R00411,A0102,1770801180000,142.96,travel
R00545,A0058,1771999440000,24.58,salary
R00415,A0117,1770850860000,25.77,grocery
R00371,A0039,1770521940000,2.37,other
R00377,A0043,1770566340000,14.92,rent
R00543,A0036,1771992120000,93.92,salary
R00532,A0062,1771872060000,5.53,other
R00496,A0110,1771552320000,24.56,salary
R00498,A0063,1771568520000,64.8,grocery
R00553,A0116,1772055300000,15.46,other
R00544,A0043,1771999200000,11.17,travel
R00529,A0053,1771850760000,8.44,rent
R00476,A0036,1771408320000,12.35,grocery
R00409,A0059,1770778800000,20.42,salary
R00599,A0034,1772406960000,6.3,other
R00401,A0099,1770718740000,27.49,salary
R00367,A0100,1770490080000,88.66,travel
R00354,A0100,1770392040000,91.72,salary
R00576,A0096,1772198700000,13.56,salary
R00595,A0020,1772349780000,3.55,rent
R00483,A0087,1771474440000,0.92,salary
R00489,A0118,1771521540000,6.22,rent
R00421,A0025,1770931620000,8.71,travel
R00427,A0077,1770968340000,6.23,rent
R00522,A0043,1771774980000,15.24,other
R00572,A0072,1772176080000,10.34,salary
R00430,A0107,1770999240000,3.71,travel
R00504,A0049,1771619820000,24.09,travel
R00425,A0106,1770949620000,30.04,other
R00567,A0105,1772125380000,34.63,salary
R00542,A0019,1771980660000,18.87,grocery
R00363,A0087,1770442140000,30.35,grocery
R00528,A0014,1771838340000,2.77,other
R00520,A0034,1771764240000,20.19,other
R00442,A0104,1771134660000,16.91,salary
R00454,A0098,1771230720000,14.4,grocery
R00525,A0009,1771834380000,8.9,other
R00364,A0017,1770451080000,52.5,grocery
R00560,A0044,1772090760000,15.31,salary
R00598,A0075,1772383200000,32.21,other
R00474,A0037,1771402140000,21.72,rent
R00499,A0079,1771577100000,39.69,rent
R00566,A0019,1772125260000,10.62,travel
R00407,A0104,1770766440000,6.58,grocery
R00473,A0094,1771397820000,13.86,other
R00503,A0004,1771615680000,41.88,travel
R00585,A0105,1772259960000,24.14,travel
R00390,A0041,1770635700000,87.63,travel
R00561,A0018,1772099160000,4.74,grocery
R00575,A0100,1772194260000,3.65,salary
R00351,A0075,1770352140000,6.86,travel
R00380,A0107,1770582420000,13.38,other
R00368,A0031,1770514320000,22.13,travel
R00438,A0107,1771116300000,19.92,grocery
R00590,A0008,1772296140000,51.14,grocery
R00510,A0114,1771645200000,10.6,travel
R00480,A0017,1771443120000,132.89,rent
R00416,A0073,1770879600000,49.34,salary
R00436,A0047,1771093320000,17.11,grocery
R00412,A0066,1770824220000,0.76,salary
R00445,A0012,1771171680000,4.17,salary
R00527,A0108,1771838160000,34.44,other
R00372,A0104,1770526380000,4.24,other
R00406,A0025,1770759780000,12.44,salary
R00487,A0107,1771503480000,59.26,salary
R00382,A0102,1770592080000,28.73,salary
R00492,A0090,1771540620000,32.01,travel
R00410,A0036,1770789720000,61.32,rent
R00440,A0076,1771132020000,10.96,rent
R00506,A0096,1771624020000,7.24,rent
R00570,A0094,1772154600000,7.06,salary
R00559,A0019,1772089320000,17.13,rent
R00394,A0048,1770703080000,46.48,rent
R00399,A0108,1770717240000,6.88,salary
R00468,A0052,1771346760000,23.73,grocery
R00469,A0026,1771355940000,7.75,other
R00352,A0081,1770374220000,13.96,other
R00512,A0095,1771655640000,10.27,rent
R00398,A0094,1770714000000,52.31,rent
R00403,A0111,1770727620000,50.01,travel
R00519,A0034,1771750920000,8.39,grocery
R00518,A0107,1771744980000,19.82,grocery
R00449,A0068,1771195680000,64.71,rent
R00464,A0003,1771307160000,32.26,rent
R00456,A0037,1771238940000,26.07,travel
R00389,A0065,1770635100000,27.34,rent
R00370,A0073,1770521100000,5.16,salary
R00387,A0034,1770631620000,23.35,rent
R00358,A0057,1770423780000,36.49,rent
R00463,A0003,1771307040000,68.65,rent
R00578,A0085,1772208420000,62.03,salary
R00355,A0090,1770398040000,54.22,other
R00397,A0079,1770713580000,2.66,grocery
R00550,A0110,1772039160000,15.15,other
R00597,A0079,1772379780000,157.23,travel
R00402,A0100,1770727500000,18.92,grocery
R00360,A0023,1770426780000,7.97,other
R00441,A0003,1771132920000,24.98,other
R00359,A0026,1770426720000,18.55,grocery
R00422,A0035,1770935280000,30.65,rent
R00395,A0015,1770707400000,4.96,grocery
R00535,A0030,1771920180000,40.87,salary
R00534,A0110,1771919640000,25.55,travel
R00467,A0113,1771346040000,66.68,salary
R00495,A0119,1771549800000,100.07,salary
R00511,A0107,1771649220000,51.88,rent
R00408,A0108,1770774540000,5.33,grocery
R00546,A0084,1772010540000,80.21,salary
R00565,A0085,1772122680000,63.81,grocery
R00365,A0045,1770457200000,28.61,salary
R00450,A0073,1771201740000,21.53,grocery
R00349,A0021,1770344580000,8.25,grocery
R00538,A0036,1771927140000,5.45,other
R00366,A0025,1770477120000,13.76,other
R00571,A0070,1772167860000,19.94,salary
R00444,A0021,1771171260000,21.74,salary
R00508,A0099,1771637100000,16.97,other
R00443,A0029,1771137300000,69.53,salary
R00562,A0039,1772100840000,30.94,travel
R00536,A0002,1771921860000,78.13,other
R00552,A0113,1772045820000,22.85,grocery
R00466,A0057,1771340820000,43.15,other
R00470,A0033,1771364160000,18.93,grocery
R00507,A0023,1771632720000,17.54,travel
R00549,A0086,1772028420000,12.16,grocery
R00515,A0028,1771690440000,10.38,travel
R00393,A0100,1770702720000,42.18,other
R00413,A0095,1770825120000,142.68,grocery
R00540,A0106,1771969080000,12.27,travel
R00357,A0119,1770416580000,16.83,salary
R00502,A0036,1771614840000,13.19,grocery
R00424,A0001,1770948360000,8.82,salary
R00594,A0064,1772316240000,33.32,rent
R00588,A0087,1772284680000,2.84,salary
R00461,A0115,1771288080000,53.28,rent
R00524,A0025,1771804740000,15.26,travel
R00462,A0118,1771290780000,8.94,grocery
R00446,A0025,1771172160000,26.45,other
R00435,A0011,1771080420000,48.77,salary
R00482,A0107,1771474380000,42.52,other
R00459,A0102,1771279800000,24.63,other
R00447,A0028,1771189560000,17.02,grocery
R00589,A0036,1772286660000,21.33,grocery
R00592,A0119,1772301420000,50.99,rent
R00541,A0064,1771970460000,24.88,grocery
R00385,A0061,1770616380000,20.25,other
R00587,A0066,1772283180000,16.41,travel
R00537,A0055,1771922040000,12.53,travel
R00386,A0048,1770622680000,33.82,travel
R00513,A0004,1771656000000,60.1,rent
R00500,A0013,1771580340000,7.11,grocery
R00471,A0009,1771368600000,8.08,rent
R00484,A0034,1771476420000,12.68,salary
R00458,A0043,1771278660000,23.23,grocery
R00362,A0104,1770442020000,137.66,travel
R00431,A0047,1771020060000,42.55,travel
R00378,A0087,1770576000000,94.92,other
R00577,A0053,1772203140000,13.4,travel
R00573,A0064,1772189460000,26.07,other
R00501,A0115,1771603200000,4.78,grocery
R00596,A0039,1772363160000,7.02,grocery
R00460,A0003,1771283040000,19.94,grocery
R00523,A0066,1771778160000,143.98,travel
R00555,A0056,1772066520000,103.28,other
R00457,A0013,1771247580000,143.59,other
R00581,A0008,1772227260000,37.3,other
R00486,A0082,1771500600000,9.32,rent
R00404,A0021,1770747180000,37.79,other
R00490,A0089,1771529820000,23.75,other
R00539,A0040,1771942920000,40.36,salary
R00451,A0079,1771205640000,62.07,grocery
R00423,A0094,1770936120000,6.47,grocery
R00429,A0071,1770976500000,11.91,grocery
R00374,A0000,1770539100000,93.56,travel
R00584,A0106,1772254620000,5.43,grocery
R00361,A0000,1770432960000,25.08,grocery
R00388,A0030,1770631800000,31.1,grocery
R00531,A0090,1771867080000,19.08,grocery
R00547,A0007,1772013840000,21.51,grocery
R00384,A0020,1770613800000,57.38,travel
R00583,A0105,1772246880000,34.82,rent
R00428,A0018,1770969060000,14.64,other
R00376,A0101,1770550500000,80.35,travel
R00514,A0031,1771682580000,32.85,other
R00493,A0057,1771540920000,30.57,salary
R00551,A0048,1772043360000,20.46,travel
R00591,A0077,1772297760000,7.46,travel
R00491,A0064,1771536600000,42.27,other
R00433,A0071,1771026780000,109.72,grocery
R00439,A0105,1771120140000,1.82,rent
R00475,A0092,1771407300000,6.98,travel
R00526,A0089,1771836120000,29.3,salary
R00452,A0059,1771212540000,12.14,rent
R00455,A0116,1771234080000,40.94,grocery
R00391,A0066,1770656940000,65.55,grocery
R00379,A0026,1770578340000,17.54,grocery
R00453,A0078,1771216140000,23.53,travel
R00579,A0062,1772208420000,13.06,other
R00400,A0056,1770717480000,33.68,other
R00530,A0060,1771854360000,20.57,rent
R00548,A0020,1772022960000,60.32,other
R00478,A0051,1771437000000,79.79,other
R00383,A0081,1770592320000,45.19,salary
R00564,A0101,1772120820000,74.1,salary
R00563,A0030,1772118120000,32.25,rent
R00533,A0036,1771878300000,10.6,rent
R00556,A0036,1772070660000,4.72,rent
R00375,A0116,1770549480000,53.08,grocery
R00497,A0034,1771568220000,14.7,other
R00586,A0104,1772271120000,85.8,travel
R00381,A0002,1770586860000,8.92,salary
