row_id,account_id,event_time,amount,category
R00000,A0015,1769908620000,4972.22,salary
R00001,A0044,1769917260000,4094.8,travel
R00002,A0134,1769917500000,4513.26,travel
R00003,A0064,1769917560000,5731.29,travel
R00004,A0066,1769920260000,3658.34,salary
R00005,A0009,1769931060000,2322.64,salary
R00006,A0075,1769936940000,6045.27,salary
R00007,A0090,1769938980000,9168.68,salary
R00008,A0140,1769950020000,2844.21,salary
R00009,A0086,1769966460000,6435.52,salary
R00010,A0087,1769968680000,10.47,travel
R00011,A0028,1769970900000,16361.17,travel
R00012,A0049,1769971200000,728.03,travel
R00013,A0019,1769987220000,7392.13,grocery
R00014,A0087,1769994000000,3006.41,salary
R00015,A0010,1770007740000,304.81,rent
R00016,A0141,1770012300000,626.69,rent
R00017,A0107,1770022320000,5442.36,other
R00018,A0097,1770052860000,4301.69,salary
R00019,A0030,1770053100000,6041.86,rent
R00020,A0014,1770055860000,5312.07,other
R00021,A0116,1770065100000,4541.79,rent
R00022,A0146,1770079020000,4460.44,other
R00023,A0051,1770081660000,4987.07,travel
R00024,A0071,1770084480000,4753.32,travel
R00025,A0006,1770086400000,2862.1,rent
R00026,A0026,1770091980000,9223.54,other
R00027,A0138,1770095700000,1730.53,salary
R00028,A0028,1770097080000,2390.08,salary
R00029,A0106,1770099900000,1209.75,travel
R00030,A0001,1770112500000,6490.6,salary
R00031,A0031,1770113160000,6925.14,grocery
R00032,A0042,1770114960000,8435.33,salary
R00033,A0019,1770121200000,9290.7,grocery
R00034,A0091,1770124320000,8094.95,travel
R00035,A0128,1770130560000,2902.29,rent
R00036,A0048,1770138540000,1000.26,salary
R00037,A0123,1770139320000,3488.61,travel
R00038,A0124,1770141120000,,rent
R00039,A0148,1770143400000,6165.92,rent
R00040,A0021,1770143820000,1450.98,salary
R00041,A0017,1770147600000,5418.75,grocery
R00042,A0063,1770152220000,2592.75,grocery
R00043,A0087,1770153420000,6998.37,travel
R00044,A0116,1770170100000,2919.41,travel
R00045,A0123,1770171780000,2964.47,salary
R00046,A0017,1770176400000,8003.73,grocery
R00047,A0087,1770179760000,2527.75,travel
R00048,A0013,1770187680000,7325.33,other
R00049,A0005,1770189720000,981.13,travel
R00050,A0039,1770193800000,7858.02,travel
R00051,A0009,1770199020000,4714.42,rent
R00052,A0064,1770202920000,,other
R00053,A0119,1770203040000,-10.13,other
R00054,A0100,1770203940000,7399.8,grocery
R00055,A0120,1770215880000,-807.64,other
R00056,A0047,1770220320000,1264.87,travel
R00057,A0004,1770220560000,3790.55,other
R00058,A0089,1770230340000,2669.77,salary
R00059,A0139,1770237360000,8284.98,travel
R00060,A0069,1770243540000,4293.04,rent
R00061,A0095,1770246660000,1618.66,rent
R00062,A0138,1770247500000,7894.21,grocery
R00063,A0058,1770251160000,5006.98,other
R00064,A0025,1770260160000,4391.51,other
R00065,A0090,1770261960000,9267.64,rent
R00066,A0007,1770262440000,4145.02,grocery
R00067,A0007,1770282000000,591.54,rent
R00068,A0022,1770290940000,1721.08,other
R00069,A0109,1770301260000,3366.19,salary
R00070,A0060,1770309300000,8151.98,grocery
R00071,A0025,1770315120000,1238.89,other
R00072,A0075,1770321000000,7425.15,salary
R00073,A0107,1770322500000,8515.87,travel
R00074,A0039,1770331020000,7015.33,travel
R00075,A0034,1770332280000,5741.15,other
R00076,A0073,1770334260000,9426.66,salary
R00077,A0120,1770335460000,7513.49,travel
R00078,A0140,1770346860000,,salary
R00079,A0059,1770349440000,1724.73,rent
R00080,A0093,1770352320000,3993.77,rent
R00081,A0091,1770355020000,4213.56,other
R00082,A0130,1770360480000,6897.51,other
R00083,A0115,1770366120000,7927.7,salary
R00084,A0041,1770378900000,2607.67,salary
R00085,A0124,1770384060000,,rent
R00086,A0093,1770385740000,1027.17,other
R00087,A0088,1770387660000,7581.47,travel
R00088,A0061,1770397020000,5759.1,other
R00089,A0148,1770403980000,5056.62,grocery
R00090,A0106,1770406500000,4332.42,grocery
R00091,A0137,1770414960000,1416.71,salary
R00092,A0128,1770422820000,4826.94,other
R00093,A0001,1770425700000,3144.52,grocery
R00094,A0131,1770427260000,5784.06,travel
R00095,A0046,1770428340000,5968.63,salary
R00096,A0055,1770436440000,6196.5,salary
R00097,A0087,1770442440000,9071.8,travel
R00098,A0139,1770444960000,,salary
R00099,A0017,1770445380000,7374.02,grocery
R00100,A0063,1770448380000,7618.71,travel
R00101,A0089,1770448680000,,other
R00102,A0099,1770455160000,7958.65,travel
R00103,A0011,1770456600000,2260.33,travel
R00104,A0099,1770457620000,6964.69,grocery
R00105,A0128,1770457860000,8931.76,grocery
R00106,A0042,1770472920000,3153.97,travel
R00107,A0041,1770478080000,8777.17,rent
R00108,A0115,1770483240000,1600.64,other
R00109,A0034,1770488940000,9141.84,other
R00110,A0110,1770492660000,4370.02,travel
R00111,A0040,1770496320000,5148.96,rent
R00112,A0017,1770497580000,4756.86,grocery
R00113,A0140,1770501600000,1841.39,other
R00114,A0076,1770511860000,1608.28,grocery
R00115,A0009,1770515700000,1254.4,other
R00116,A0127,1770516840000,1361.56,other
R00117,A0004,1770516960000,4876.25,grocery
R00118,A0111,1770524100000,4142.62,salary
R00119,A0145,1770537240000,,travel
R00120,A0024,1770538200000,1044.46,other
R00121,A0052,1770538440000,4095.87,travel
R00122,A0063,1770539340000,3670.06,rent
R00123,A0050,1770540600000,8058.91,rent
R00124,A0003,1770540720000,2841.97,travel
R00125,A0143,1770549360000,1744.97,other
R00126,A0062,1770557940000,1150.2,other
R00127,A0013,1770567720000,1264.96,grocery
R00128,A0020,1770571140000,3429.22,travel
R00129,A0058,1770576960000,4433.59,travel
R00130,A0014,1770578880000,6709.18,grocery
R00131,A0133,1770585900000,5494.03,salary
R00132,A0145,1770589320000,7409.5,other
R00133,A0045,1770593280000,4766.53,other
R00134,A0016,1770594240000,6073.76,other
R00135,A0087,1770595140000,3126.88,grocery
R00136,A0086,1770605760000,11345.55,rent
R00137,A0019,1770608940000,988.4,travel
R00138,A0135,1770616080000,7655.79,grocery
R00139,A0000,1770616320000,6981.87,travel
R00140,A0110,1770617760000,2692.62,grocery
R00141,A0148,1770622860000,9453.74,salary
R00142,A0064,1770624360000,693.05,travel
R00143,A0098,1770638340000,7616.0,grocery
R00144,A0083,1770644760000,3088.93,travel
R00145,A0038,1770655920000,268.25,travel
R00146,A0099,1770661320000,8879.61,travel
R00147,A0125,1770666300000,6623.0,other
R00148,A0054,1770667620000,60.64,salary
R00149,A0043,1770679920000,7093.66,other
R00150,A0132,1770688500000,5360.31,grocery
R00151,A0038,1770691920000,8058.5,other
R00152,A0130,1770697980000,5701.14,other
R00153,A0014,1770708360000,3596.62,salary
R00154,A0067,1770709740000,3195.9,salary
R00155,A0147,1770716220000,3355.34,rent
R00156,A0106,1770720660000,3693.05,travel
R00157,A0026,1770722820000,4177.88,travel
R00158,A0015,1770726900000,8606.07,travel
R00159,A0072,1770750180000,3612.62,grocery
R00160,A0051,1770752460000,8406.27,rent
R00161,A0019,1770752700000,8523.72,travel
R00162,A0146,1770754560000,4720.87,salary
R00163,A0093,1770754800000,3218.22,salary
R00164,A0081,1770755400000,2213.05,travel
R00165,A0143,1770759900000,3551.65,grocery
R00166,A0071,1770783180000,8811.12,grocery
R00167,A0059,1770788700000,3260.95,travel
R00168,A0049,1770790200000,2609.63,grocery
R00169,A0092,1770794400000,5149.13,other
R00170,A0100,1770797760000,4814.89,travel
R00171,A0083,1770799140000,5448.61,grocery
R00172,A0006,1770819720000,5160.23,grocery
R00173,A0120,1770820140000,5502.97,salary
R00174,A0133,1770842340000,1032.75,travel
R00175,A0073,1770852480000,2757.43,grocery
R00176,A0129,1770859020000,530.99,other
R00177,A0145,1770863520000,5482.27,salary
R00178,A0010,1770867540000,3270.16,travel
R00179,A0102,1770871200000,1793.4,travel
R00180,A0102,1770872940000,7569.04,salary
R00181,A0018,1770875580000,2509.32,travel
R00182,A0149,1770882480000,57.15,salary
R00183,A0072,1770883980000,8375.3,travel
R00184,A0023,1770884940000,3723.08,rent
R00185,A0029,1770885900000,-313.85,salary
R00186,A0115,1770901860000,1776.46,salary
R00187,A0001,1770904260000,7347.5,other
R00188,A0028,1770920100000,2940.58,travel
R00189,A0115,1770926640000,6412.54,grocery
R00190,A0076,1770926880000,1363.73,salary
R00191,A0069,1770927240000,2521.15,other
R00192,A0046,1770935100000,6681.04,other
R00193,A0060,1770938040000,2406.67,grocery
R00194,A0048,1770939000000,804.11,grocery
R00195,A0062,1770956400000,901.59,other
R00196,A0072,1770956700000,1723.32,grocery
R00197,A0045,1770958620000,5635.48,other
R00198,A0140,1770959460000,50.58,salary
R00199,A0026,1770963360000,6226.07,other
R00200,A0061,1770970020000,2899.11,rent
R00201,A0121,1770983220000,3720.14,travel
R00202,A0065,1770994020000,7415.07,rent
R00203,A0076,1771005540000,2057.44,salary
R00204,A0085,1771007640000,8367.54,travel
R00205,A0110,1771008360000,7643.8,rent
R00206,A0145,1771016220000,2777.46,grocery
R00207,A0024,1771019640000,490.64,salary
