row_id,status,balance,updated_at
R00049,active,6945.41,1769952300000
R00285,active,-271.16,1770212940000
R00102,dormant,5176.92,1770124740000
R00290,dormant,3664.52,1770447240000
R00070,dormant,561.69,1770438600000
R00230,active,292.64,1769955120000
R00089,closed,3635.17,1770099240000
R00133,active,3407.81,1770069660000
R00015,dormant,6337.74,1769974980000
R00316,active,3654.12,1770135840000
R00231,dormant,5103.95,1770093120000
R00369,closed,5168.14,1770278760000
R00301,closed,2699.96,1770173040000
R00360,active,5606.93,1770425340000
R00166,active,5315.99,1770360300000
R00141,active,-650.95,1769936280000
R00064,dormant,4689.57,1770186540000
R00243,closed,9229.09,1770133140000
R00288,active,6077.97,1770346260000
R00234,active,8559.33,1770134520000
R00203,dormant,4743.25,1770000240000
R00150,closed,2909.5,1770419160000
R00235,active,6140.51,1770352680000
R00289,active,5379.53,1769932560000
R00046,dormant,7934.93,1770191160000
R00293,closed,8070.46,1770015960000
R00185,dormant,7772.4,1770199560000
R00110,dormant,6218.97,1770043980000
R00336,dormant,6214.7,1770184140000
R00121,closed,4088.98,1770091740000
R00197,active,8299.38,1769959620000
R00074,closed,4926.66,1770027060000
R00051,dormant,2745.13,1770414720000
R00378,closed,6101.48,1769993100000
R00317,closed,4570.3,1770489300000
R00057,active,7204.46,1770409440000
R00255,closed,7135.5,1770296100000
R00136,active,9025.16,1770462000000
R00041,dormant,3814.46,1770309960000
R00158,active,812.26,1770451620000
R00280,active,3278.75,1769911920000
R00073,closed,5548.54,1770397620000
R00379,active,4328.98,1770129960000
R00388,dormant,3778.13,1769936340000
R00069,dormant,7079.17,1770226440000
R00340,dormant,8204.0,1770127260000
R00135,closed,6039.12,1770296520000
R00083,active,5334.11,1770086880000
R00268,active,8287.39,1770288120000
R00006,active,3667.9,1770052020000
R00036,dormant,5110.74,1770002400000
R00292,dormant,6718.49,1770298680000
R00035,dormant,6337.78,1769996400000
R00084,closed,3588.38,1770323640000
R00205,closed,2639.88,1770256920000
R00214,active,2370.6,1770435300000
R00375,dormant,6356.06,1769923860000
R00161,active,2024.71,1770374880000
R00148,active,7095.67,1770254040000
R00322,dormant,6493.09,1770421080000
R00342,closed,2119.53,1770093060000
R00358,closed,3697.46,1770045900000
R00013,active,2773.55,1770418560000
R00365,closed,5665.57,1770102060000
R00037,dormant,5933.16,1770370260000
R00246,active,3747.51,1769928360000
R00260,closed,6241.2,1770319860000
R00318,closed,5081.33,1770182400000
R00005,active,2256.06,1770206100000
R00250,closed,5926.63,1770174780000
