account_id,event_time,f1,f2,f3
A0000,1770330900000,1.106,-2.0586,1.0049
A0000,1770711540000,-3.0536,2.041,0.7333
A0000,1773227040000,1.8854,0.1358,2.1042
A0000,1773341160000,1.8206,1.8665,0.3627
A0000,1773641400000,-0.9342,0.6328,-0.9582
A0000,1773966480000,-0.0586,-0.691,-1.9834
A0000,1774981920000,0.9585,0.9701,1.3616
A0000,1775056260000,1.1174,0.0457,-2.1024
A0001,1770868800000,0.6157,1.9054,1.819
A0001,1771235460000,-0.3326,1.9808,2.6708
A0001,1772066640000,-2.4842,0.9749,-1.4211
A0001,1772410200000,0.9893,-1.4763,-0.8452
A0001,1774407540000,-1.3,0.9356,0.7359
A0001,1774942800000,-1.3955,-4.2767,2.5228
A0002,1770112560000,1.9371,1.0648,0.3357
A0002,1770446040000,0.6041,-2.1918,4.4757
A0002,1771939500000,3.0791,0.6293,-2.0772
A0002,1772473260000,2.0959,-1.1148,-3.2317
A0002,1773645900000,1.4918,-1.8513,0.6349
A0003,1770779220000,1.3446,-1.1193,-3.1329
A0003,1771348800000,-0.6415,-1.9796,-2.3949
A0003,1771399920000,-0.2807,-2.3325,0.0031
A0003,1771572840000,1.7661,0.5179,-0.1635
A0003,1772319360000,1.7008,-1.1392,1.8043
A0003,1773112680000,2.6165,0.9039,0.6914
A0003,1773838140000,0.662,-2.6891,-3.1317
A0003,1774000620000,4.6494,0.7477,0.7458
A0004,1770206580000,1.1717,-4.6111,-2.4104
A0004,1770993060000,-0.2446,-0.4963,-1.7501
A0004,1771097640000,-3.1328,0.0633,1.1004
A0004,1771375380000,-1.3058,-0.4029,0.544
A0004,1773336000000,-0.1987,1.1674,-0.377
A0004,1773502380000,1.916,-0.4388,-1.2575
A0005,1770252420000,0.857,1.1568,3.4341
A0005,1770541980000,-2.7603,0.0495,2.5959
A0005,1770880500000,1.268,-0.5546,-1.3035
A0005,1771684140000,-1.6195,2.9412,0.6979
A0005,1772206560000,-2.5711,1.4592,-1.3977
A0005,1773463320000,1.7562,-2.1989,-1.8907
A0005,1774238940000,0.6703,-2.4139,-1.775
A0005,1774828920000,-2.3091,1.4747,1.0524
A0006,1770521520000,-0.88,-0.2052,0.0622
A0006,1771649280000,-0.2468,1.5834,-1.0507
A0006,1772182080000,-2.6732,-1.7764,1.0834
A0006,1772950080000,1.5322,3.2436,-5.5846
A0006,1774724220000,-0.4734,2.1333,-1.7542
A0006,1774912620000,-1.9714,-0.4288,-4.6277
A0006,1774975080000,-1.0044,0.1043,0.2398
A0007,1770138780000,-0.3344,-2.0782,-2.0688
A0007,1770847980000,-0.0596,2.0201,-0.4595
A0007,1770978900000,-1.7962,0.4449,-0.4294
A0007,1773076920000,0.3795,-0.7027,-2.3311
A0007,1773396960000,0.836,2.7764,1.3414
A0007,1773628020000,0.6785,-0.5461,1.8778
A0007,1773919440000,2.5567,-1.5689,-2.7552
A0007,1773973920000,1.9248,1.9519,4.4684
A0007,1774226280000,-2.5303,-0.5343,-1.609
A0008,1770209580000,2.3312,1.0897,1.5906
A0008,1771341420000,-4.2923,-3.5771,2.2835
A0008,1771725480000,0.4102,-1.884,-4.3833
A0008,1771858680000,-0.3685,0.4303,1.6463
A0008,1773716580000,1.7705,-0.5742,-0.1988
A0008,1773846720000,1.7682,0.9238,2.0422
A0008,1774606140000,-0.7801,-3.77,-2.249
A0009,1770107880000,-2.6161,0.0786,0.1597
A0009,1770382740000,-2.0338,0.1969,-2.2732
A0009,1772053260000,-0.9068,-2.1538,-1.6479
A0009,1773048420000,1.3335,2.3521,-2.4039
A0009,1773847320000,1.0161,2.1165,1.1059
A0009,1773949980000,-2.5009,0.8796,0.0506
A0009,1773992940000,-3.6921,-1.5104,-1.0121
A0009,1774696020000,-0.9628,-0.7704,1.6535
A0010,1769985540000,2.6953,0.1085,1.0871
A0010,1771521000000,1.283,-0.1179,-1.1924
A0010,1773442680000,-0.8942,-1.3909,0.9794
A0010,1774395900000,-1.5756,1.7476,0.33
A0010,1775013540000,2.2108,-0.4812,-3.3917
A0011,1770938700000,-0.7666,3.1751,-3.6418
A0011,1771294320000,1.0199,1.7378,4.0152
A0011,1771945020000,-0.0226,1.5078,-0.4261
A0011,1772196540000,0.4975,-2.0635,4.1458
A0011,1772254140000,2.6664,-2.3674,0.5798
A0011,1773162480000,0.3658,1.6769,-1.6861
A0011,1774000560000,-1.5865,-0.6781,1.1924
A0012,1769944920000,1.0343,-0.3462,-0.8059
A0012,1770415920000,-1.6889,4.536,-1.1564
A0012,1770489660000,-2.3857,1.1298,2.4954
A0012,1772064060000,-3.9969,0.6882,1.3951
A0012,1773419760000,-0.2742,0.6898,0.1223
A0012,1773482640000,-1.2233,1.5046,1.6961
A0012,1774175400000,-1.9266,-3.3468,1.0866
A0013,1770162000000,-0.0785,1.8857,-0.1831
A0013,1772160420000,1.9851,3.4322,-2.2762
A0013,1773299160000,6.0266,1.0571,-0.6702
A0013,1773381780000,0.3899,1.824,-0.9615
A0013,1773792240000,-0.7612,2.602,2.8649
A0013,1774313400000,-3.1601,1.8596,1.2044
A0013,1774439400000,2.4067,0.9046,-1.5688
A0013,1774611240000,0.2014,4.1251,2.2724
A0014,1770074520000,2.892,2.2441,2.7946
A0014,1770373680000,-4.7045,-2.4612,-1.9045
A0014,1772350020000,-2.7972,-1.3619,1.0318
A0014,1774741140000,-1.987,0.5404,-1.5715
A0014,1774964280000,-2.7592,2.7857,0.2296
A0015,1771242660000,1.9802,-1.9695,-0.9797
A0015,1772076300000,0.2195,-0.3888,1.8022
A0015,1772340240000,3.2355,2.2528,-0.2676
A0015,1772746140000,-0.1208,-5.1081,0.8133
A0015,1773548520000,-0.2079,0.8661,-0.6632
A0016,1770235920000,0.5217,1.938,3.8233
A0016,1770735960000,0.068,-1.6886,2.1919
A0016,1772294160000,1.3709,-1.648,1.1044
A0016,1773132480000,-1.444,-0.0251,-3.8271
