item_id,embedding,label
I0000,"[-2.030868, 1.557667, 3.406615, 5.667687, -0.761768, 1.719221, -3.268451, 4.43457, -0.952103, 2.121597, 2.644967, -0.391544, 2.377428, 5.603189, -2.975513, -0.563539]",c4
I0001,"[0.337068, 1.324088, 3.157826, -0.929474, -1.596172, -5.592232, 2.55664, 2.285764, 2.161822, -2.248585, -1.437345, -4.61477, -1.393648, -1.235161, -2.560884, -1.203349]",c2
I0002,"[0.290794, 0.406337, 4.329786, -0.761031, 0.981371, -6.129189, 2.487208, 2.200771, 3.164962, -2.84504, -1.247963, -5.298791, -2.066855, -0.887563, -1.136883, -1.943175]",c2
I0003,"[-2.332393, 0.227159, -5.848102, -5.810795, 0.462201, 1.74059, -3.754056, -1.142937, -3.138525, 1.755303, 1.842805, 6.745307, 2.273773, 1.32669, -3.133059, -1.449091]",c5
I0004,"[-2.366771, -0.233814, -2.168497, 2.212593, 1.19569, 2.572511, -4.928233, -1.364866, -4.416869, -1.987249, -1.893612, -1.749106, 0.807601, -1.037061, -3.591472, -2.168882]",c1
I0005,"[-1.480636, 0.417755, 1.804562, 5.912322, 0.529585, 2.044816, -1.964934, 4.464568, -1.731072, 1.93648, 1.347989, 0.319499, 3.487281, 4.693794, -2.540207, -2.04953]",c4
I0006,"[-2.678201, -0.773239, 0.266624, 0.166969, 2.6143, -6.81612, 8.327963, 6.1999, 0.754053, 1.056157, -2.879167, 0.15999, -4.424645, -1.111838, 3.436505, 3.738286]",c0
I0007,"[0.070934, -0.028732, 4.386719, -1.529028, -1.162903, -5.422931, 3.5895, 1.397186, 3.300778, -1.715953, -1.739524, -4.131431, -1.005629, -1.63459, -1.577601, -2.240621]",c2
I0008,"[0.312352, 0.339628, 3.459383, -1.845987, -1.052507, -5.909562, 3.40707, 2.467998, 3.658551, -1.836374, -2.660941, -4.922664, -3.188536, -1.568043, -0.66077, -1.498683]",c2
I0009,"[-3.410648, 0.316402, -1.774585, 2.901241, 1.85402, 2.728007, -4.943055, -2.898093, -4.583861, -3.089586, -1.05862, -0.68753, 1.086825, -1.1266, -2.407821, -1.851482]",c1
I0010,"[-1.577826, 1.611385, 2.800601, 4.533302, -0.291841, 2.335649, -3.370027, 3.489146, -1.504278, 2.657434, 2.520716, -1.126887, 2.824028, 5.280117, -2.13997, -1.458612]",c4
I0011,"[-1.913376, -4.306069, -1.598232, -3.130817, 0.850783, 1.472303, 3.139617, -3.641583, -2.629787, 1.783114, 0.362065, -0.006646, -1.847264, 0.484237, -3.363419, 1.37379]",c3
I0012,"[-2.501452, -0.663625, 0.15417, 1.229513, 1.91287, -6.895256, 7.464316, 6.445487, -0.298513, 0.350811, -3.305704, 0.363675, -4.786312, -1.783675, 3.042022, 3.897341]",c0
I0013,"[-2.689183, 3.275751, 1.989975, 4.470836, -0.694815, 3.043605, -3.593527, 4.605093, -2.33288, 1.933572, 1.653776, 0.420488, 2.125294, 4.956884, -2.289665, -1.56958]",c4
I0014,"[-1.563566, -0.504504, -5.79513, -4.773237, -0.365276, 2.790014, -4.610551, -1.666082, -3.825491, 2.921796, 1.612454, 7.69361, 1.868313, 1.664348, -1.123676, -1.252555]",c5
I0015,"[-1.227756, -3.617756, -0.925013, -3.393219, 1.277718, 1.63404, 1.874206, -2.981741, -2.781724, 1.311599, -0.257889, -1.607038, -3.179037, 1.345085, -2.380786, 1.223388]",c3
I0016,"[-2.522002, 0.24327, -6.106073, -4.919669, 0.457611, 1.480503, -4.179924, -0.81802, -4.145372, 2.233673, 1.541331, 6.393123, 1.956207, 3.213949, -2.216096, -1.736565]",c5
I0017,"[-0.035181, -2.184016, -1.287945, -1.68174, 1.64196, 2.085078, 2.84733, -4.094187, -3.39568, -0.171589, -0.478044, -0.257362, -2.919615, 1.087563, -3.102964, 1.888637]",c3
I0018,"[-2.95585, -0.307787, 0.198345, 0.832651, 2.960362, -6.364482, 6.967476, 5.915891, 1.196946, 0.040093, -3.282501, -0.480965, -4.704121, -1.804582, 3.13344, 4.439689]",c0
I0019,"[-0.146816, 0.474028, 3.267321, -1.156489, -0.861803, -4.945335, 3.950711, 1.580943, 2.551603, -1.551617, -1.292618, -5.270895, -2.530468, -1.249245, -2.205689, -0.99601]",c2
I0020,"[-0.152348, 0.480686, 4.680838, -1.114728, -1.421125, -4.673952, 2.405266, 1.146288, 1.865372, -2.605609, -1.420942, -4.747118, -1.332722, -0.298399, -1.451662, -0.684834]",c2
I0021,"[-1.126127, -1.451551, 0.19977, 1.145558, 2.463266, -6.347266, 7.373021, 7.380143, -0.043599, 1.444912, -2.503587, 0.156475, -3.951386, -1.322846, 3.802378, 3.548686]",c0
I0022,"[-1.993609, -3.35081, -0.56928, -2.122247, 1.277672, 1.305276, 2.241796, -4.048902, -2.093896, 0.542199, -0.70005, -0.868929, -2.704686, 1.379725, -2.104505, 1.84976]",c3
I0023,"[-3.659956, -0.332104, -2.324292, 2.68669, 1.828979, 2.304802, -4.39996, -3.199669, -4.736513, -1.617426, -1.345477, -2.235137, 1.11146, -0.002615, -4.100866, -2.59225]",c1
I0024,"[-2.600381, -0.538415, -1.899029, 3.887975, 1.602735, 1.631282, -4.688214, -2.158892, -4.671878, -2.425112, -1.285395, -1.40386, 1.387965, -1.305423, -2.546344, -0.677186]",c1
I0025,"[-0.169338, -4.078497, -0.479095, -3.016477, 1.509005, 0.976227, 3.041417, -4.004774, -0.900162, -0.040195, -0.481471, -2.596817, -2.401984, 1.303824, -3.609966, 1.369104]",c3
I0026,"[-2.447266, 1.220565, 0.673453, 5.640328, -0.962698, 1.616506, -1.509777, 3.785447, -1.994098, 2.183426, 2.233541, 0.424077, 2.790512, 6.248485, -1.456234, -0.309075]",c4
I0027,"[-1.45075, 0.050097, -5.555879, -4.616224, 0.060036, 2.46862, -4.50518, -0.901014, -4.222278, 2.747944, 2.676499, 7.195617, 2.843587, 1.450635, -3.064263, -0.616121]",c5
I0028,"[-1.597573, -1.104259, -0.008684, 1.330052, 3.758229, -6.663267, 6.644203, 6.882754, 0.655031, 0.883553, -2.67558, 1.307869, -4.314019, -1.814318, 2.803746, 4.384103]",c0
I0029,"[-1.559444, 0.396467, -7.375849, -4.011059, -0.25609, 2.348834, -4.112, -0.411032, -3.084353, 2.828106, 2.203509, 7.329057, 1.648239, 2.316103, -2.55227, -1.592042]",c5
I0030,"[-2.46779, 1.046596, 1.240956, 4.756356, -0.417539, 3.328863, -3.921173, 4.587505, -2.683192, 2.547047, 2.18815, -0.375936, 2.12911, 5.388315, -3.319381, -0.412378]",c4
I0031,"[-1.189873, -3.355472, -1.706785, -1.500819, 2.035629, 1.351824, 1.008024, -2.630108, -2.619719, 0.286721, -0.963824, -0.942081, -3.106732, 1.052583, -3.170323, 2.51668]",c3
I0032,"[0.584109, 0.922475, 3.906604, -1.663894, -0.989548, -6.000348, 2.786019, 2.427979, 3.174504, -1.873999, -2.271479, -5.284032, -1.686246, -0.660993, -0.93858, -1.404715]",c2
I0033,"[-2.331817, -0.100476, -6.71699, -5.083103, -0.257428, 1.899797, -3.310685, -0.48162, -3.413039, 1.967493, 2.707425, 7.390643, 1.901622, 2.569966, -2.830106, -1.502749]",c5
I0034,"[-1.931675, 0.397168, -7.440195, -4.803009, -0.498049, 2.222629, -4.767039, -0.602764, -3.317, 1.383385, 2.92444, 6.278321, 2.323269, 2.11776, -2.061326, -0.808421]",c5
I0035,"[0.839695, 0.05798, 2.946138, -1.639933, -0.965688, -4.564253, 2.402159, 1.921067, 3.776603, -1.765961, -1.40752, -4.289962, -2.503774, -1.368922, -2.335903, -1.439216]",c2
I0036,"[-3.288783, -0.999324, -0.223293, 1.915179, 2.390124, -6.365978, 7.671951, 6.833844, 0.01751, 1.184067, -3.910635, -0.208285, -4.831906, -1.778669, 3.745685, 4.632485]",c0
I0037,"[-1.717899, -0.017914, -5.773864, -6.627507, -0.026313, 1.649275, -4.656237, -1.220934, -3.644611, 1.708105, 3.406955, 6.648131, 1.520665, 2.403367, -2.867967, -0.885251]",c5
I0038,"[-0.769315, 0.535426, -5.240412, -4.780528, 0.71911, 2.182199, -3.551841, -0.751785, -3.200026, 0.715896, 2.206924, 6.961056, 2.71807, 2.14416, -1.750678, -2.302594]",c5
I0039,"[-1.086394, -3.72428, -1.807414, -2.80419, 1.414801, 1.764664, 1.003135, -2.430443, -2.904852, 0.113322, 0.162071, -1.021097, -2.751447, 1.218329, -3.282073, 1.416338]",c3
