row_id,f1,f2,f3,f4,f5
S00000,-0.472662,1.018188,0.43803,-1.393442,-0.634776
S00001,-0.51681,-0.423919,-1.334431,0.1307,0.544283
S00002,-1.057575,-0.70979,-0.993228,1.083155,-1.447302
S00003,0.288572,0.940024,-0.161878,-0.260017,0.334764
S00004,-0.357802,-0.056687,1.168368,-0.131603,0.551285
S00005,0.132967,-0.554208,2.098436,-0.002814,-0.640697
S00006,-1.28628,0.044644,-0.294935,-0.173332,0.749846
S00007,-0.144822,-0.657688,-0.723321,-0.268608,0.167255
S00008,-0.291191,-0.4886,1.143446,1.299074,-0.634036
S00009,1.155888,-0.037638,0.268822,-0.738039,0.646593
S00010,0.999507,-0.543222,0.129202,0.739541,1.16884
S00011,0.850248,1.639742,-0.101707,1.708462,1.682464
S00012,0.510043,-0.578932,1.545504,-1.423429,-0.358995
S00013,-1.026076,-0.192575,-0.303603,-0.209187,-0.715423
S00014,0.157041,0.745586,1.204317,0.46575,2.997489
S00015,-0.02074,-1.012634,0.682269,0.129504,-2.647632
S00016,-0.025564,0.154992,0.101625,0.924325,0.326851
S00017,0.705827,0.398793,1.109591,-0.731425,-1.03619
S00018,-1.432272,0.761329,0.55579,0.639582,1.253578
S00019,-0.144792,-0.289419,-0.579096,0.128943,1.372295
S00020,-0.544171,0.158341,-0.784697,1.10482,-0.733425
S00021,1.924789,-0.530655,-0.0802,1.122669,-0.517497
S00022,1.56868,-0.38287,0.336506,1.583148,-0.195374
S00023,0.646468,0.894696,0.247921,-1.29728,-1.014284
S00024,0.580156,-1.672628,-1.591365,0.872417,-0.02245
S00025,1.469545,0.294291,0.512238,0.911286,-0.827499
S00026,0.821384,1.221563,-0.737548,-1.534236,-2.248079
S00027,0.118281,0.430016,0.853054,0.082196,0.864394
S00028,-0.432221,-0.651194,0.593394,-1.05437,0.118082
S00029,-0.48679,-0.392213,-0.930223,-0.232016,0.651088
S00030,0.249328,0.446706,0.129132,1.062249,1.139471
S00031,-0.187983,1.338123,-0.828881,1.231897,-0.47939
S00032,-0.784014,-0.894064,1.326874,1.847486,-1.101111
S00033,-0.928477,-0.244478,-1.208992,0.41904,0.424313
S00034,0.577575,-0.406542,0.723461,-0.513763,0.886583
S00035,2.514427,1.193615,1.173423,-0.066263,-1.423986
S00036,-0.784812,-0.807011,0.154942,-0.974932,1.709533
S00037,-0.31932,0.493066,-0.617784,1.267445,0.942841
S00038,0.836014,0.735767,-0.189577,-0.889574,0.6437
S00039,-1.061682,-1.933291,0.542636,0.01548,-0.502766
S00040,0.94731,-0.533131,-1.428944,-0.522174,-1.574442
S00041,0.025502,-0.367007,-0.347387,-0.002092,1.012318
S00042,0.988069,-0.374633,-0.081441,-0.67088,0.678019
S00043,0.074344,-0.696111,-0.77965,2.048029,0.082572
S00044,0.286985,-0.548175,-0.445466,2.657886,-0.419909
S00045,-0.89094,0.664559,1.188862,-1.045368,1.20621
S00046,-0.731684,1.317514,1.95761,1.19645,2.037744
S00047,1.993586,0.583613,0.68775,-0.642033,-0.207658
S00048,0.082923,0.66367,1.959446,-0.819889,0.118837
S00049,0.027102,1.608636,-1.242235,0.563603,-0.009343
S00050,-1.042055,-0.251752,1.128203,-1.400885,0.011004
S00051,-0.369983,-0.151947,0.843206,0.841086,1.831029
S00052,1.215209,-0.161797,0.949588,1.189026,-0.466673
S00053,0.216854,0.829032,-0.851661,0.652724,0.644916
S00054,0.086118,1.131571,-0.127762,0.721871,-0.521456
S00055,-0.074717,-1.216609,-1.104854,0.909179,-0.160784
S00056,-0.698016,-1.202231,1.510897,0.661332,1.159277
S00057,-0.568913,-0.72571,0.491515,-0.39878,-0.525102
S00058,0.390741,-0.893615,-1.496322,-0.643779,-1.310474
S00059,0.291212,0.415821,-0.88473,1.64331,0.737878
S00060,1.824554,-0.674381,0.577959,0.446967,-1.453306
S00061,1.414675,0.931799,-1.383163,-0.168793,1.411673
S00062,-0.279218,-2.307191,-0.64816,-1.731545,-0.373013
S00063,-0.572183,-0.997156,0.121725,-0.150802,0.444377
S00064,-0.952137,-0.105193,1.468818,-0.281283,-1.56211
S00065,0.195671,-0.717146,1.351355,1.280734,0.192481
S00066,-0.93125,1.016457,0.574518,1.085609,-0.946794
S00067,1.107489,-0.323668,-0.642295,1.090933,-0.373955
S00068,1.321199,-0.949986,-1.810737,-0.829656,2.207129
S00069,-0.380895,1.009164,0.254386,0.686906,0.220371
S00070,-0.79983,-0.938051,0.216063,0.657087,-0.299265
S00071,0.321846,-0.5022,-0.46204,-0.104881,-0.000687
S00072,0.214474,-2.053353,0.76062,0.106922,-1.291877
S00073,1.164952,-0.02816,0.270489,0.054761,0.620134
S00074,0.139526,0.888994,0.139837,1.194904,-1.468073
S00075,0.631802,-0.554036,-0.867794,-2.178639,-0.323403
S00076,-0.073612,0.233762,-0.464536,0.269266,0.780778
S00077,-1.078079,1.993353,0.103691,-0.79746,-2.196113
S00078,0.474693,-1.733846,1.287081,0.116379,-0.580951
S00079,-0.055375,0.009724,-0.313206,-1.751882,0.805928
S00080,-0.19535,0.164885,-0.460151,-0.128679,-1.386923
S00081,1.17738,1.047212,0.038003,0.654476,-0.63677
S00082,-0.074393,0.624406,0.350238,1.122073,-0.101246
S00083,0.77981,1.38698,-2.069638,1.350984,0.173552
S00084,-0.462605,0.880538,-0.803113,1.400075,-0.116407
S00085,-0.471649,0.490946,-0.409754,-0.379216,-0.655574
S00086,0.07827,1.293885,-0.766869,1.329443,0.550559
S00087,-0.559556,-1.594786,1.298865,0.196509,1.399258
S00088,2.489372,-2.448295,0.011481,1.52314,-1.637065
S00089,-0.800525,-2.387835,0.462724,1.665066,-1.229006
S00090,-1.135586,-1.177619,-1.292425,-0.023149,0.398269
S00091,0.679856,0.22946,1.17389,1.020072,0.457314
S00092,1.00412,-0.11629,-0.342028,0.180409,-2.47109
S00093,-1.35337,-0.062831,0.13154,1.210518,-0.358961
S00094,0.658802,-1.212363,0.284144,0.880721,2.505353
S00095,-1.28505,0.01298,-0.756403,1.537083,-0.117395
S00096,0.555867,0.243783,0.26149,-2.020429,-0.995195
S00097,0.5654,2.025942,-1.714154,0.379008,2.237566
S00098,-0.705288,-2.032663,1.963264,0.520578,-0.726698
S00099,0.285287,0.115345,0.882924,-0.919286,0.546158
S00100,1.736798,0.562933,-0.376934,-0.295949,-0.556338
S00101,-1.192883,-1.099543,-0.950076,-0.406809,0.085743
S00102,-0.002809,0.636252,1.126124,0.008266,0.759452
S00103,0.127834,0.615996,1.150696,0.604082,0.192118
S00104,1.527626,-0.372409,0.754349,1.184505,0.925515
S00105,0.447676,1.577194,0.857293,-0.09313,0.446751
S00106,2.804397,-2.267547,0.164564,-0.411307,0.439861
S00107,-0.045154,0.301558,-0.89759,-0.057336,-1.862003
S00108,0.550562,-0.428845,0.593788,1.824564,-0.16223
S00109,0.950508,1.005636,1.645187,-1.870258,-1.340223
S00110,-0.827263,-1.288737,-0.622488,-0.434556,-0.356029
S00111,-0.005049,-0.163421,-0.14108,-0.426607,-0.191135
S00112,-1.953397,0.384226,0.732257,-0.314414,1.184637
S00113,0.188041,-0.840342,-0.764785,-0.546497,-0.028175
S00114,1.23442,1.122721,-0.691746,-0.282321,0.710815
S00115,0.608916,-0.446216,-1.701896,-0.065338,-0.575122
S00116,-1.507566,0.961326,-0.68675,0.274348,-0.745263
S00117,0.079345,-3.068498,-0.141905,1.292138,0.788938
S00118,0.118226,0.349867,0.127035,-0.556452,-1.75938
S00119,0.69824,-0.907337,1.173308,-1.484089,-0.140888
S00120,0.623995,-0.867947,0.089307,0.700416,1.00288
S00121,0.141705,-0.726963,-1.115059,-0.113258,-0.770502
S00122,0.141228,-2.312008,0.780083,-1.52731,0.008964
S00123,-0.861783,-0.285456,0.679613,0.893032,-0.350205
S00124,-0.546632,-0.308737,0.256997,-0.656193,0.846627
S00125,0.833645,-1.163482,0.777051,-0.418612,-2.000369
S00126,0.235075,-0.486975,-1.350337,-0.866897,1.795941
S00127,1.35077,-0.031316,0.090896,0.870992,1.725924
S00128,-0.144906,0.091067,0.075357,-0.27561,0.578677
S00129,-0.262946,-1.091735,1.106353,-0.70567,0.786727
S00130,-1.054329,-0.16045,-0.571464,-1.191498,-0.920729
S00131,1.224648,-1.890127,-0.626083,2.695759,-0.957658
S00132,1.062955,0.435675,1.120172,-0.297975,-2.294327
S00133,-0.802497,0.699337,0.346491,-0.774498,1.837035
S00134,-0.797132,-1.145498,-0.428452,0.806805,0.01354
S00135,0.319541,-1.796866,-0.257903,-0.003478,0.30684
S00136,-0.172876,-0.690355,-0.836163,-0.134733,-0.73007
S00137,0.0732,1.639473,-0.771552,-2.641173,-0.256964
S00138,2.354789,1.621431,-0.336404,1.358491,-1.273394
S00139,0.53324,-1.489801,0.476251,-1.406081,-0.475826
S00140,-0.249995,-1.970944,0.471721,0.848216,1.045369
S00141,-0.929723,2.214532,0.798582,-0.239372,-0.376035
S00142,-1.157821,-2.154987,0.015052,1.221581,-0.941522
S00143,0.592669,-0.031834,-0.946861,-0.80755,-1.007821
S00144,2.07125,1.12956,-0.012447,-0.017213,0.092029
S00145,1.947119,0.243466,-0.645251,-0.427948,-0.566743
S00146,0.862768,0.497652,-1.67675,-0.630935,-0.329535
S00147,0.696847,0.352174,0.279546,-0.013954,-0.696894
S00148,1.043013,0.112394,-0.463491,-0.361689,0.764671
S00149,1.497978,-0.287729,0.281719,0.479587,0.73005
S00150,-0.357988,1.297587,0.567701,-0.175897,0.584046
S00151,-1.845676,0.307048,-0.137153,1.512713,1.835778
S00152,0.621531,-1.071756,1.021137,-0.047696,0.074719
S00153,-0.303543,0.620763,-0.880306,-2.421427,0.167819
S00154,2.130448,0.994734,-0.785237,-0.132145,1.144458
S00155,0.635258,0.091986,0.818705,0.729593,0.337117
S00156,0.320848,0.283273,0.704383,-1.146873,1.149393
S00157,0.265272,1.089607,-1.102386,0.40945,-0.00368
S00158,-1.43985,2.116391,-0.475348,1.024774,-0.253015
S00159,0.134603,-1.781179,1.143873,-1.022813,0.244111
S00160,-1.383768,0.339287,1.643855,0.866818,0.038505
S00161,-0.116245,-1.81664,0.089844,2.171605,-1.505165
S00162,0.562179,0.110246,1.508736,-1.256565,1.923756
S00163,1.415994,-0.186109,-0.475524,1.870453,-0.013646
S00164,0.015201,-0.905073,-0.882216,-0.110487,0.444383
S00165,0.256917,-0.471699,-1.077569,0.088301,-0.051528
S00166,0.694102,-0.375274,0.189918,0.616926,-0.044157
S00167,1.748515,1.609784,0.379595,-0.328526,0.144393
S00168,0.439382,0.406789,-1.840241,1.455981,0.627237
S00169,-0.24702,0.656812,-1.215258,0.786845,0.981301
S00170,-1.409447,1.447798,-0.594896,0.664365,-0.616115
S00171,0.627314,0.133619,-0.313651,-0.113078,0.707537
S00172,-0.989119,0.71328,1.247097,-0.435493,-1.610189
S00173,0.888,1.862216,-1.155385,0.486519,-0.174506
S00174,-0.699739,-0.304154,-0.582945,-1.229338,-0.944814
S00175,1.40109,0.379497,0.192349,-2.235642,-0.49567
S00176,0.478263,-0.7029,0.815876,-0.274488,-1.068125
S00177,0.840196,0.134493,-0.087665,1.965241,-0.49547
S00178,-0.133424,-3.140663,-0.489952,1.681735,-0.469558
S00179,-0.182311,-0.447158,-0.275574,1.421616,0.039772
S00180,-0.168638,0.321171,1.213034,0.259546,-0.381353
S00181,1.463918,1.629414,0.591629,0.113984,-0.614822
S00182,-1.157566,-0.07752,-0.951729,0.187657,0.307626
S00183,1.155531,0.238029,1.270618,-0.0857,0.524532
S00184,-1.279452,-0.646176,1.124028,-0.311619,-0.628888
S00185,2.213963,-0.270467,-0.478761,-0.031735,0.076248
S00186,0.046875,1.15754,-0.164909,1.09561,-0.081484
S00187,0.063491,-0.781883,0.343288,-0.699525,0.501527
S00188,0.156095,-0.285314,1.71149,0.411748,-1.462956
S00189,1.609186,-0.458344,0.563476,-1.467552,0.470928
S00190,0.460227,-0.45606,0.902786,-0.259224,-1.187925
S00191,0.399489,0.554343,-0.47031,-3.039257,-1.20946
S00192,-1.864128,-1.241562,-0.760356,0.03421,0.343212
S00193,0.411506,0.008819,0.211834,-1.514341,2.12953
S00194,0.261531,-0.870357,-1.24228,-0.617999,-1.406539
S00195,-1.039291,-0.835642,0.224356,-1.179321,0.854754
S00196,-0.995154,-1.28377,0.92054,-0.556244,-1.022549
S00197,-1.353526,2.902627,-0.184249,-0.593732,0.42355
S00198,0.209368,-1.811844,-0.605601,-0.587845,1.693841
S00199,-0.220264,-2.07564,0.169323,0.126601,-0.178406
