row_id,status,balance,updated_at
R00293,closed,1684.89,1770303540000
R00099,dormant,6452.33,1770376800000
R00204,closed,-220.75,1770334560000
R00394,closed,2515.39,1770498960000
R00379,active,1724.96,1770331800000
R00163,closed,6197.49,1770361860000
R00096,closed,6035.79,1770772740000
R00189,closed,5573.23,1770421440000
R00193,closed,1181.15,1770625080000
R00006,active,4802.03,1770394140000
R00048,active,5039.9,1770205920000
R00035,active,5344.09,1770290940000
R00261,closed,4209.53,1770276120000
R00256,active,4906.84,1770137520000
R00082,active,7318.65,1770499740000
R00254,closed,4761.18,1770181920000
R00120,active,5387.49,1770256080000
R00171,closed,6352.49,1770254940000
R00072,closed,6369.85,1770722280000
R00255,closed,6507.93,1770740700000
R00015,dormant,8472.76,1770559440000
R00347,closed,8452.9,1770202080000
R00182,dormant,2419.78,1770545400000
R00353,dormant,3448.23,1770502020000
R00217,dormant,5294.9,1770537420000
R00307,active,6929.49,1770211740000
R00115,closed,3328.64,1770151080000
R00152,closed,5922.23,1770059520000
R00050,dormant,4359.42,1770167700000
R00384,active,4809.1,1770165120000
R00077,active,4078.97,1770528960000
R00150,dormant,2630.75,1770545100000
R00284,active,7790.9,1770263220000
R00311,dormant,2867.88,1770629880000
R00296,active,4721.2,1770635820000
R00319,closed,6282.42,1770443220000
R00107,active,6430.76,1770064380000
R00024,active,-722.89,1770358860000
R00287,dormant,861.17,1770398940000
R00058,active,2629.53,1770630960000
R00327,active,4715.76,1770358080000
R00118,active,4838.49,1769987520000
R00388,active,3955.84,1770329520000
R00282,active,7056.13,1770316020000
R00248,closed,6723.13,1770696540000
R00147,active,3284.83,1769993700000
R00197,active,7413.39,1770004560000
R00130,dormant,6491.65,1769994060000
R00086,active,2871.27,1770410400000
R00223,closed,8727.19,1770177360000
R00073,closed,5403.75,1770308160000
R00289,active,1291.8,1770208440000
R00312,closed,4954.17,1770317100000
R00266,closed,5377.45,1770467220000
R00007,active,6375.88,1770570600000
R00019,active,4633.87,1770563340000
R00351,active,4324.66,1770447180000
R00365,dormant,4420.01,1770613080000
R00105,dormant,5990.18,1770243540000
R00192,closed,6218.15,1770104040000
R00292,active,7980.3,1770711840000
R00034,dormant,100.34,1770613380000
R00361,closed,5819.29,1770267420000
R00103,closed,5678.09,1770492240000
R00166,dormant,6780.44,1770160140000
R00001,active,4417.01,1770174600000
R00281,active,4389.77,1770406500000
R00313,closed,4241.62,1770214980000
R00164,dormant,4093.96,1770557340000
R00395,closed,9454.72,1770147960000
R00111,closed,7325.76,1770565920000
R00003,dormant,4361.98,1770254820000
R00263,closed,2840.04,1770746760000
R00173,dormant,3375.5,1770705180000
R00030,closed,2825.27,1770476700000
R00228,dormant,5163.1,1770600780000
R00203,dormant,4100.37,1770291660000
R00141,dormant,7514.12,1770096900000
R00317,active,2580.91,1770362820000
R00187,active,6985.4,1770255840000
R00267,closed,6956.88,1770243660000
R00016,dormant,4797.1,1770493500000
R00380,closed,3269.37,1770235800000
R00185,active,529.32,1770341640000
R00191,dormant,5545.35,1770233760000
R00148,dormant,3381.17,1770460320000
R00088,dormant,2815.38,1770689700000
R00390,closed,3101.73,1770310080000
R00277,dormant,3691.65,1770305640000
R00183,closed,8032.55,1770448800000
R00388,active,5581.25,1770205140000
R00181,closed,3402.27,1770013860000
R00251,closed,2025.27,1770118200000
R00053,active,932.23,1769983500000
R00126,active,4687.97,1770357900000
R00248,dormant,5698.9,1770436740000
R00124,active,5298.28,1770414720000
R00132,dormant,5947.17,1770048660000
R00047,dormant,5818.44,1769993340000
R00080,active,10432.06,1770127920000
R00254,dormant,5493.52,1770068400000
R00102,active,6768.34,1770327480000
R00022,dormant,3873.43,1770491700000
R00306,active,8548.17,1770274080000
R00288,closed,8027.03,1770154320000
R00143,active,6216.43,1770001200000
R00033,dormant,5812.96,1770218220000
R00237,closed,1356.0,1770105420000
R00337,dormant,3406.58,1770116580000
R00358,dormant,2827.84,1770118320000
R00383,closed,7456.55,1770339420000
R00075,closed,3868.74,1770370440000
R00129,closed,10000.55,1770328440000
R00244,active,5538.71,1770277920000
R00090,closed,6674.54,1769929380000
R00226,dormant,7330.14,1770096660000
R00230,active,1409.36,1770316980000
R00393,closed,-618.18,1770035040000
R00057,dormant,2080.24,1770437520000
R00236,closed,6605.93,1770083400000
R00039,active,5576.31,1770436140000
R00250,closed,4850.7,1770177600000
R00210,closed,4600.02,1769986140000
R00160,dormant,2998.6,1770067860000
R00395,active,7646.2,1770137460000
R00109,dormant,4577.69,1770145800000
R00083,active,9637.04,1770275280000
R00211,active,-451.13,1770330000000
R00020,active,3720.01,1770446580000
R00269,active,10488.37,1770039900000
R00315,active,8638.52,1770202200000
R00208,closed,6763.79,1770447540000
R00305,closed,3107.75,1770164580000
R00322,dormant,3010.32,1770341460000
R00279,active,3757.12,1770333840000
R00099,closed,5868.02,1770201480000
R00351,dormant,5458.67,1770403500000
R00352,closed,4440.33,1770475560000
R00201,closed,2180.12,1770050580000
R00192,dormant,6190.19,1770097020000
R00311,closed,3705.43,1770366600000
R00346,closed,7294.46,1770206520000
R00125,closed,5292.5,1770016020000
R00231,closed,8086.95,1770373380000
R00064,dormant,3930.75,1770188340000
R00229,closed,3066.25,1769961960000
R00036,active,2479.35,1770205140000
R00270,closed,3070.89,1770124620000
R00275,dormant,5379.43,1770343500000
R00153,closed,6092.52,1770321360000
R00326,closed,2844.33,1770045900000
R00325,dormant,5060.08,1770359520000
R00289,active,2070.94,1769976900000
R00243,closed,2508.5,1770271740000
R00005,active,3573.24,1770429180000
R00104,dormant,4847.82,1770481500000
R00037,active,5542.38,1770077160000
R00136,active,6505.93,1770128760000
