row_id,a_val
R00000,8.2208
R00001,15.396
R00003,14.1217
R00004,16.3676
R00005,3.7121
R00006,13.3854
R00007,16.4267
R00008,15.3879
R00009,11.9813
R00010,5.7042
R00012,14.9715
R00013,4.7179
R00014,10.4878
R00016,8.4829
R00017,10.3238
R00018,6.9895
R00019,7.7654
R00021,4.5255
R00023,11.9654
R00025,12.5887
R00026,11.6636
R00028,9.4552
R00029,11.3217
R00030,15.3206
R00031,2.2539
R00032,9.1712
R00033,8.6796
R00037,12.1175
R00038,12.2563
R00039,9.1627
R00040,7.8666
R00041,7.9025
R00042,8.7355
R00043,9.1293
R00045,11.7409
R00046,3.951
R00047,12.0932
R00048,4.3691
R00049,16.3933
R00050,16.4083
R00051,11.7942
R00055,11.7765
R00056,13.0588
R00057,12.6713
R00058,7.7879
R00059,7.7994
R00060,11.6793
R00061,15.1725
R00062,4.4014
R00063,12.1689
R00065,5.1949
R00066,10.7092
R00068,8.1844
R00070,13.9299
R00072,11.0042
R00073,6.5535
R00074,17.0604
R00075,10.9422
R00076,16.7738
R00077,15.5049
R00078,12.4756
R00079,10.3864
R00081,2.443
R00083,7.3769
R00084,8.6986
R00086,5.6839
R00087,1.4113
R00088,4.3345
R00089,11.1827
R00090,9.0321
R00091,3.7544
R00092,8.3705
R00093,13.2965
R00094,18.875
R00095,11.9534
R00096,6.5514
R00098,13.8256
R00100,12.5481
R00101,9.5108
R00102,14.7305
R00104,9.016
R00105,10.5507
R00106,6.2955
R00107,9.773
R00108,6.8661
R00109,10.0105
R00110,14.1272
R00111,9.2543
R00112,5.1375
R00113,14.9951
R00115,16.5021
R00116,11.1513
R00117,17.6884
R00118,6.6806
R00119,8.6135
R00120,10.8775
R00122,4.2795
R00123,14.4442
R00124,7.3665
R00125,6.7505
R00126,6.2834
R00127,12.7744
R00128,7.7104
R00129,9.3948
R00130,3.9168
R00131,14.3375
R00133,3.6716
R00135,13.6506
R00136,7.7034
R00137,10.334
R00139,14.8487
R00140,9.8963
R00142,3.6857
R00143,18.3903
R00145,17.6233
R00148,3.9188
R00149,13.0969
R00150,11.2864
R00152,11.7829
R00153,6.0495
R00154,10.8019
R00156,4.6049
R00158,15.8973
R00159,10.3109
R00160,11.1911
R00161,16.7291
R00162,4.8886
R00164,7.1061
R00165,17.8453
R00166,11.4792
R00168,3.1371
R00169,8.8301
R00170,7.447
R00172,7.7366
R00173,10.3845
R00174,12.6909
R00175,19.0395
R00176,8.6013
R00177,9.4517
R00178,9.8912
R00179,9.3882
R00180,7.4608
R00182,2.3232
R00183,12.6992
R00184,7.2946
R00186,5.7706
R00187,4.8777
R00192,13.9929
R00193,9.9922
R00194,9.2218
R00195,7.3837
R00196,5.0398
R00197,8.9206
R00198,9.9363
R00199,5.7168
R00200,11.0362
R00201,11.4322
R00202,6.7759
R00203,13.7615
R00205,4.4074
R00209,3.7169
R00210,7.631
R00211,5.0099
R00212,11.4827
R00213,18.1372
R00214,8.1983
R00215,8.6078
R00217,8.5696
R00218,15.7478
R00219,11.2346
R00221,9.3333
R00223,7.12
R00224,13.0564
R00225,12.0106
R00226,9.3229
R00227,7.3785
R00228,12.1752
R00229,16.8622
R00230,5.7964
R00231,11.0663
R00232,6.3213
R00233,16.2029
R00234,8.2928
R00236,7.5426
R00237,2.8513
R00238,10.3215
R00239,15.8346
R00240,3.6325
R00241,11.9171
R00242,11.596
R00243,10.9317
R00244,13.8272
R00245,-0.5558
R00247,11.5741
R00248,19.8715
R00251,14.8828
R00253,15.3219
R00254,3.0449
R00255,9.5678
R00256,8.712
R00257,5.413
R00259,18.9044
R00260,15.801
R00261,2.2802
R00263,6.3327
R00265,9.7083
R00266,5.3194
R00269,8.4112
R00270,4.2832
R00273,7.1275
R00274,13.6839
R00276,5.7373
R00277,13.7602
R00278,7.1618
R00279,6.0539
R00280,11.8171
R00281,4.7114
R00282,8.813
R00283,7.1311
R00284,12.7347
R00285,16.2789
R00287,13.9316
R00289,8.217
R00290,12.6889
R00291,8.693
R00292,9.2528
R00293,12.3379
R00294,10.7424
R00295,7.5413
R00296,10.2323
R00297,8.9225
R00298,5.6718
R00299,4.5545
R00300,13.6447
R00301,6.6908
R00302,8.0953
R00303,9.0216
R00304,20.1282
R00305,14.781
R00306,6.01
R00307,4.9865
R00308,10.1861
R00309,1.9188
R00310,11.946
R00311,-0.0738
R00313,16.0434
R00316,12.9496
R00317,12.2691
R00318,2.9657
R00319,1.99
