entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-01-31T00:00:00Z,3.8298,6.8092,5.7055,-1.4572,3.5437,9.8756
E0001,2026-01-31T00:00:00Z,-0.2292,7.0972,4.1411,-2.4878,4.6914,7.7434
E0002,2026-01-31T00:00:00Z,0.579,5.8469,4.6741,-0.0878,4.0831,7.7093
E0003,2026-01-31T00:00:00Z,6.1732,6.1672,4.734,2.5414,5.3478,6.3803
E0004,2026-01-31T00:00:00Z,4.5629,6.5333,4.568,2.9334,3.8581,7.2566
E0005,2026-01-31T00:00:00Z,6.9978,4.6835,4.023,2.2746,3.0939,6.5124
E0006,2026-01-31T00:00:00Z,4.3711,5.3855,5.2233,3.1729,3.372,6.7475
E0007,2026-01-31T00:00:00Z,6.0286,3.4497,4.6141,0.4725,3.1214,6.2265
E0008,2026-01-31T00:00:00Z,1.7009,8.45,3.73,-0.9859,3.2345,6.1173
E0009,2026-01-31T00:00:00Z,1.8393,7.3566,5.3662,3.9936,3.0586,5.9379
E0010,2026-01-31T00:00:00Z,1.8043,5.9097,5.5275,1.8541,3.2668,8.2288
E0011,2026-01-31T00:00:00Z,0.4762,7.8355,4.3535,2.3512,3.4176,8.6393
E0012,2026-01-31T00:00:00Z,1.7496,8.7393,4.7501,0.9987,4.3525,7.5551
E0013,2026-01-31T00:00:00Z,6.1799,4.4935,5.0139,0.7386,4.1969,5.6619
E0014,2026-01-31T00:00:00Z,3.8091,9.2626,3.3559,1.2035,3.1879,4.9647
E0015,2026-01-31T00:00:00Z,0.9036,6.4991,5.9504,0.9072,5.0129,7.448
E0016,2026-01-31T00:00:00Z,4.2699,4.5668,6.0338,-0.1585,3.3639,9.5225
E0017,2026-01-31T00:00:00Z,3.5418,1.6942,4.8425,-0.7371,3.2182,6.4098
E0018,2026-01-31T00:00:00Z,2.1329,3.6861,4.7864,1.3809,2.3978,6.914
E0019,2026-01-31T00:00:00Z,0.0226,4.499,4.3169,-0.6269,4.1997,9.0208
E0020,2026-01-31T00:00:00Z,3.0068,7.4867,4.5427,1.0679,3.7203,7.5049
E0021,2026-01-31T00:00:00Z,3.434,6.9265,5.0684,4.4615,2.6524,6.2056
E0022,2026-01-31T00:00:00Z,2.0083,6.3483,4.7975,0.38,3.2019,9.2043
E0023,2026-01-31T00:00:00Z,1.1903,7.5058,4.2715,0.8411,3.6107,8.1231
E0024,2026-01-31T00:00:00Z,3.551,4.785,5.0262,-1.134,3.1182,4.3313
E0025,2026-01-31T00:00:00Z,2.1234,3.5857,4.7429,2.1536,2.2078,6.7623
E0026,2026-01-31T00:00:00Z,5.247,7.5676,4.4696,1.528,2.3177,9.2457
E0027,2026-01-31T00:00:00Z,4.3276,5.0621,3.6879,0.2276,3.0864,6.3412
E0028,2026-01-31T00:00:00Z,-0.9208,5.5508,4.0671,-0.5603,2.5353,7.0309
E0029,2026-01-31T00:00:00Z,2.5822,2.4663,4.9135,2.3286,3.5663,7.9108
E0030,2026-01-31T00:00:00Z,-0.4755,5.4776,5.1828,1.9724,4.2022,6.4575
E0031,2026-01-31T00:00:00Z,3.9998,7.6448,4.2782,0.8488,3.7859,8.4285
E0032,2026-01-31T00:00:00Z,1.0832,7.5101,5.1338,-2.7899,2.9426,7.0219
E0033,2026-01-31T00:00:00Z,3.43,5.4105,6.0585,2.3353,2.5889,9.1749
E0034,2026-01-31T00:00:00Z,2.5539,10.8595,5.4266,-2.3314,4.1632,8.578
E0035,2026-01-31T00:00:00Z,2.946,7.1578,3.6399,0.1284,2.617,4.754
E0036,2026-01-31T00:00:00Z,3.4257,7.332,3.0251,-1.0988,1.3155,6.954
E0037,2026-01-31T00:00:00Z,-1.1432,5.5479,5.3118,2.4032,3.0135,7.5396
E0038,2026-01-31T00:00:00Z,2.2024,8.5527,5.6469,0.7577,3.7176,6.2966
E0039,2026-01-31T00:00:00Z,4.2439,8.0903,5.7265,0.1164,3.5222,9.5425
E0040,2026-01-31T00:00:00Z,1.9143,8.6649,6.0416,-3.8887,2.5262,8.5898
E0041,2026-01-31T00:00:00Z,3.3454,5.7548,4.0438,1.2487,2.0336,8.2765
E0042,2026-01-31T00:00:00Z,1.1862,8.1824,4.5511,-0.2512,2.8653,6.8774
E0043,2026-01-31T00:00:00Z,1.0205,7.7511,5.2925,-0.6521,1.7937,9.2501
E0044,2026-01-31T00:00:00Z,0.7306,5.3781,4.4009,-0.4093,2.6271,6.5054
E0045,2026-01-31T00:00:00Z,3.1785,6.2638,3.3879,1.6858,4.1672,5.1467
E0046,2026-01-31T00:00:00Z,5.3021,9.1543,5.1594,1.1187,2.2125,7.8607
E0047,2026-01-31T00:00:00Z,3.4878,5.8398,4.8694,-3.2907,3.5909,7.7063
E0048,2026-01-31T00:00:00Z,3.3803,3.372,4.3748,1.0428,3.5314,8.6686
E0049,2026-01-31T00:00:00Z,4.6997,4.839,4.2495,2.5508,3.339,6.639
E0050,2026-01-31T00:00:00Z,3.8902,5.0757,4.6041,0.9996,2.9736,6.1201
E0051,2026-01-31T00:00:00Z,0.6007,3.2811,4.7551,1.0558,4.1166,5.2288
E0052,2026-01-31T00:00:00Z,0.6629,6.2484,4.4536,0.6485,3.2235,8.5012
E0053,2026-01-31T00:00:00Z,0.8437,7.5056,5.0789,2.3584,2.8556,8.4921
E0054,2026-01-31T00:00:00Z,3.4024,8.8856,4.0608,-1.3604,3.4654,7.7037
E0055,2026-01-31T00:00:00Z,3.0549,9.1273,4.1815,2.0582,2.2401,6.8464
E0056,2026-01-31T00:00:00Z,3.7455,9.0019,4.4579,1.516,2.8136,9.8494
E0057,2026-01-31T00:00:00Z,0.6434,8.2072,4.5506,1.363,2.5618,8.3015
E0058,2026-01-31T00:00:00Z,3.3457,3.7404,5.528,-1.8082,3.023,8.4883
E0059,2026-01-31T00:00:00Z,2.9635,10.0814,5.5758,0.1405,3.5754,8.0244
E0060,2026-01-31T00:00:00Z,2.4718,5.3775,3.8892,-0.5553,3.111,6.7098
E0061,2026-01-31T00:00:00Z,3.7384,7.3689,4.9349,-1.4102,3.2509,9.8814
E0062,2026-01-31T00:00:00Z,3.0991,5.6932,5.5698,-0.4863,3.5021,6.4076
E0063,2026-01-31T00:00:00Z,3.5988,5.478,4.3043,-1.9637,2.9424,5.5255
E0064,2026-01-31T00:00:00Z,4.0151,7.334,4.633,-2.4019,3.0615,8.3981
E0065,2026-01-31T00:00:00Z,2.2918,4.4813,3.9626,0.2231,4.4027,7.82
E0066,2026-01-31T00:00:00Z,4.9882,5.687,4.1938,-0.7495,3.2531,9.5335
E0067,2026-01-31T00:00:00Z,3.9723,5.3083,5.7204,-1.0001,1.5407,7.8777
E0068,2026-01-31T00:00:00Z,1.552,8.4878,3.7338,1.3933,1.9003,5.4003
E0069,2026-01-31T00:00:00Z,2.4749,7.3601,5.4992,-0.1493,4.1174,6.6983
E0070,2026-01-31T00:00:00Z,3.7037,8.9434,4.9535,0.8136,4.4401,8.2795
E0071,2026-01-31T00:00:00Z,2.6442,5.3773,4.7786,-0.3871,4.2568,8.0024
E0072,2026-01-31T00:00:00Z,0.2179,7.3319,4.5476,0.4325,3.2304,6.2584
E0073,2026-01-31T00:00:00Z,1.6323,5.8373,4.2741,1.4682,2.6159,7.0036
E0074,2026-01-31T00:00:00Z,3.0664,5.9894,4.1474,0.0166,2.9544,7.6761
E0075,2026-01-31T00:00:00Z,1.3451,5.6824,4.6946,-0.0681,2.7186,5.576
E0076,2026-01-31T00:00:00Z,3.3195,6.5287,5.1039,1.2852,3.7569,8.1962
E0077,2026-01-31T00:00:00Z,3.7124,3.4905,4.663,2.1468,3.5827,5.6024
E0078,2026-01-31T00:00:00Z,3.6263,6.5787,4.4882,-1.2315,3.5691,8.7561
E0079,2026-01-31T00:00:00Z,1.9489,3.5072,6.0686,0.5761,3.5669,5.6935
E0080,2026-01-31T00:00:00Z,3.6654,6.5499,5.2569,3.0292,4.0715,6.6147
E0081,2026-01-31T00:00:00Z,2.6562,9.7174,3.6597,3.0314,3.6808,5.8225
E0082,2026-01-31T00:00:00Z,2.7445,9.2275,3.9101,-0.4959,2.9311,5.9235
E0083,2026-01-31T00:00:00Z,2.6651,6.0595,5.4134,0.5272,3.6046,8.5991
E0084,2026-01-31T00:00:00Z,0.3568,4.9286,4.0418,-1.914,3.1039,7.3403
E0085,2026-01-31T00:00:00Z,3.2722,3.843,4.7344,0.3914,3.1016,7.7429
E0086,2026-01-31T00:00:00Z,1.0108,2.0243,5.7309,-0.2432,3.4747,7.2071
E0087,2026-01-31T00:00:00Z,2.9069,6.5093,4.0508,0.1445,3.1063,3.5875
E0088,2026-01-31T00:00:00Z,3.4286,3.294,3.8403,1.8393,1.8129,7.9735
E0089,2026-01-31T00:00:00Z,5.7522,6.9112,5.109,3.373,1.6833,7.2195
E0090,2026-01-31T00:00:00Z,2.1945,5.7286,3.307,1.6936,3.2203,6.6606
E0091,2026-01-31T00:00:00Z,5.9329,4.5979,3.6994,0.2602,3.0466,6.5984
E0092,2026-01-31T00:00:00Z,5.6614,6.5563,5.0908,0.2122,2.4849,4.6671
E0093,2026-01-31T00:00:00Z,1.4127,6.6589,5.0457,1.7228,3.4087,6.3978
E0094,2026-01-31T00:00:00Z,2.8001,6.8708,4.0365,1.6026,4.424,5.1224
E0095,2026-01-31T00:00:00Z,1.5922,4.386,6.0289,-2.6751,3.2147,6.1023
E0096,2026-01-31T00:00:00Z,6.0498,6.8828,5.8126,2.8551,3.2033,4.2245
E0097,2026-01-31T00:00:00Z,0.1989,5.7562,4.3794,-1.2835,2.7838,9.3766
E0098,2026-01-31T00:00:00Z,0.4609,5.9521,4.9152,-0.0921,3.1355,6.8177
E0099,2026-01-31T00:00:00Z,3.7964,6.6762,5.0622,1.7413,2.7739,9.5362
E0100,2026-01-31T00:00:00Z,4.5167,6.6539,4.4941,-0.3274,3.376,6.3492
E0101,2026-01-31T00:00:00Z,2.66,8.8561,3.8259,0.1697,2.5252,7.1864
E0102,2026-01-31T00:00:00Z,2.7905,3.023,4.5015,-1.4556,3.9772,5.6283
E0103,2026-01-31T00:00:00Z,3.9907,5.7964,3.9573,-0.2604,3.2498,5.6459
E0104,2026-01-31T00:00:00Z,3.147,6.7013,5.614,2.2745,3.3864,5.4956
E0105,2026-01-31T00:00:00Z,2.3114,6.5064,4.9208,3.8917,2.245,6.2148
E0106,2026-01-31T00:00:00Z,0.5803,6.8843,5.4759,0.5134,1.6158,8.5528
