row_id,f1,f2,f3,f4,f5,label
T00000,-1.298963,1.105239,1.766866,0.02291,-0.740869,1
T00001,0.225943,-1.983724,0.118333,-0.790263,-1.117013,0
T00002,0.26484,1.35351,0.061406,0.907809,-0.559273,1
T00003,0.293715,0.537439,0.108792,-0.578929,-1.729974,1
T00004,0.072939,-1.843964,0.512551,1.405052,0.920607,0
T00005,0.452945,0.321688,0.858664,0.279259,0.962705,1
T00006,-0.698528,-0.827082,2.1585,0.653697,0.596385,0
T00007,0.977506,-0.554705,0.186344,-0.006055,-0.968145,0
T00008,0.302313,1.946626,-2.429291,-0.846659,0.663317,1
T00009,-1.607645,-1.302016,-0.545005,-0.211158,-0.010693,0
T00010,1.684118,2.119956,1.312971,-1.060979,-0.063411,1
T00011,-2.211218,0.303167,0.83217,-1.945544,0.794922,0
T00012,0.15651,1.041547,-0.845509,-1.171315,0.291377,1
T00013,-0.943959,-0.070553,0.41492,0.755958,-0.987576,1
T00014,-0.372572,1.195429,0.943731,0.58811,-0.98987,1
T00015,3.051764,1.958218,-0.761742,0.503998,0.655716,1
T00016,-1.363002,1.133609,-0.943979,0.748839,0.737089,0
T00017,0.065205,1.521714,-0.912726,0.428364,-0.454065,1
T00018,1.042604,0.177734,0.916798,-1.348967,-1.396654,1
T00019,-0.994372,0.217978,-0.465307,1.157948,1.480158,0
T00020,-2.363064,0.513105,-0.13751,0.926657,-0.88439,0
T00021,1.980284,0.089294,-1.762762,0.092916,-0.157652,0
T00022,-1.13686,-1.074869,0.520464,0.488941,-0.886655,0
T00023,-1.687264,2.041717,-2.417599,2.286651,0.658872,1
T00024,-0.610588,-0.088234,-0.854923,-0.092139,-0.981502,0
T00025,-0.340625,-1.264443,0.044346,1.966981,-1.315658,0
T00026,-0.274603,0.016688,2.128809,0.536927,0.150481,1
T00027,0.019729,1.127487,1.116088,1.174167,-0.551056,1
T00028,1.402938,-0.39935,0.618301,-0.574464,0.306266,1
T00029,-0.517017,0.783888,1.480968,1.064666,-0.300236,1
T00030,0.117762,-0.926451,0.949136,-0.093397,0.817827,0
T00031,0.698648,0.309553,-0.211634,-0.503395,2.675551,0
T00032,1.110373,1.531315,-1.511756,-0.124172,-0.300987,1
T00033,-0.880396,1.201295,-0.955476,0.112499,0.16182,1
T00034,0.569286,0.190011,-0.245532,-0.661348,-0.108969,1
T00035,-0.865867,-1.547695,-0.149203,1.084316,-0.336701,0
T00036,0.314522,-1.607049,-1.440208,0.10161,-0.086963,0
T00037,-0.321231,-1.799974,0.421134,-0.836972,-0.026571,0
T00038,-1.752104,-1.180968,0.588152,0.353798,-0.640691,0
T00039,0.606198,0.66167,-0.662542,0.362154,0.256024,0
T00040,0.010232,-0.456968,0.192015,1.086953,0.638679,0
T00041,-0.744258,1.467976,2.374404,-1.413411,1.262652,1
T00042,0.921246,1.849176,-1.393704,-0.492924,2.310664,0
T00043,-0.47094,1.472441,-0.588981,-2.456189,-0.976521,1
T00044,-0.228988,-1.092124,-1.651263,0.044569,-0.305432,0
T00045,-0.754065,-0.955353,-1.242949,1.055592,0.47037,0
T00046,1.263614,0.671724,0.275374,-0.890574,1.299345,0
T00047,-0.987342,-0.701332,0.679281,0.878528,-0.562989,0
T00048,0.300089,-1.366182,1.329008,0.10212,0.879218,1
T00049,0.286753,2.582324,0.927922,1.295297,1.875998,1
T00050,-0.703172,0.000207,0.347916,0.615404,-0.884785,0
T00051,-0.813037,-0.076562,-2.006805,-1.131309,1.368111,0
T00052,0.311314,0.234284,-1.3157,0.408833,-0.054673,0
T00053,0.836476,0.828704,-0.909664,-0.93716,-0.20984,1
