entity_id,f1,f2,f3,f4,f5
E0062,7.629179,2.915223,20.199804,1.877236,12.852507
E0088,18.665355,28.222116,2.517607,12.920778,9.348403
E0213,4.302748,3.21601,19.960258,10.306428,3.374924
E0241,84.291746,5.45995,8.664802,10.962632,6.040214
E0239,3.941456,8.252152,5.119704,5.956237,42.089693
E0089,7.583557,8.159661,10.911136,29.185362,50.106916
E0255,3.543782,6.073753,3.366246,21.056961,4.934885
E0152,3.497214,2.093751,2.342628,10.024091,6.744557
E0191,11.197487,63.177646,1.612356,5.463416,7.564182
E0064,7.277786,4.302841,11.507509,5.063012,14.261374
E0269,1.887069,3.78661,2.139047,4.861543,4.342666
E0127,1.116673,7.430816,2.682505,7.888633,3.488434
E0053,5.712049,7.042375,9.430985,2.590088,13.986212
E0159,11.669018,5.042924,3.072723,8.708855,14.22027
E0059,2.05184,4.409924,7.577066,6.044187,15.941104
E0043,30.427106,4.338476,3.268024,27.939445,4.138409
E0227,8.277561,1.53722,1.560476,39.033824,25.687299
E0052,2.177788,12.929665,17.844716,4.973524,19.674602
E0246,25.599428,13.945355,2.122957,6.213552,8.440907
E0011,3.333055,5.922762,9.616881,7.002366,22.785533
E0028,13.891096,15.924442,7.779615,9.262635,8.462396
E0080,1.522421,8.057239,5.707035,5.94514,16.726397
E0290,7.009764,2.983062,4.810744,23.28638,5.229752
E0042,22.287752,8.931589,18.718162,5.896322,7.587048
E0205,6.037009,4.303762,6.912641,30.705882,7.097978
E0250,2.337635,17.920664,13.551534,6.150357,8.573952
E0112,10.305949,14.904346,3.108385,20.617678,10.538168
E0074,7.524115,10.408023,6.47823,5.258856,3.718289
E0182,12.983726,5.509417,6.156373,2.633613,11.577603
E0007,24.208796,5.310875,7.174803,15.7561,5.63869
E0121,18.264659,7.84303,2.830841,5.209399,5.266522
E0110,2.204829,4.409569,6.183416,11.039164,6.243417
E0245,4.020517,17.017026,13.577289,10.257959,4.358776
E0119,6.550961,14.417132,6.583352,3.186894,5.528598
E0024,6.516503,9.425808,2.091359,23.215891,6.832291
E0120,8.707724,11.401578,4.034758,11.666344,12.813057
E0178,35.566036,17.058031,30.275242,4.403482,9.376302
E0111,2.133402,3.295011,5.020585,3.246001,5.2598
E0087,19.797044,6.550897,9.774412,10.0126,4.832293
E0297,6.860591,2.811529,50.925149,14.954425,10.539591
E0067,11.237293,6.404573,11.783453,3.368318,7.563501
E0167,97.549152,2.54966,1.321827,6.420105,21.426944
E0077,12.676976,2.514335,2.526051,14.085356,6.272375
E0168,5.762996,3.338908,3.722565,4.733205,2.272535
E0289,4.827149,5.349739,8.802402,3.682731,40.458144
E0276,24.634301,2.085674,3.511553,2.072088,8.022397
E0091,3.467876,10.079542,1.69394,7.361659,18.875265
E0140,11.415221,8.267149,12.694531,6.726227,35.096623
E0279,12.059716,10.329858,2.454285,1.26119,4.40159
E0176,1.580289,24.741234,14.076512,7.392375,7.014326
E0047,4.783648,1.784109,5.737438,18.781953,12.576868
E0196,6.789105,2.758971,6.517868,8.799613,3.563393
E0157,10.654927,2.964978,3.850513,7.836759,2.735175
E0048,38.352144,3.655353,32.412341,15.941766,18.466693
E0198,2.622519,46.494842,15.423464,3.613834,12.657289
E0114,4.391573,26.501628,3.976547,6.397963,4.808748
E0228,6.799223,6.078335,5.550634,48.068779,18.755513
E0130,8.27454,4.880882,2.103119,12.516848,3.07545
E0242,4.920801,4.788617,4.520656,4.409563,11.07197
E0172,16.291642,12.381373,24.681799,12.107105,8.765371
E0265,3.29547,9.713028,22.873229,3.496702,22.211338
E0100,16.748623,8.461894,14.212297,4.78809,15.017916
E0098,1.019593,2.18432,8.921385,4.838902,10.082412
E0204,10.905248,19.268562,4.360058,2.372636,23.304865
E0233,10.349567,10.610876,16.241261,3.182022,3.665228
E0243,11.572635,6.188291,10.949386,5.049066,22.928073
E0001,1.196711,5.869053,6.818687,5.909451,3.778587
E0267,24.708954,0.557942,5.820347,3.159686,9.80314
E0006,18.633496,3.583487,6.643111,23.646362,3.634635
E0044,5.979798,23.617176,11.888444,22.335869,5.351471
E0216,1.823355,20.076104,11.578863,11.461089,17.425984
E0219,5.489764,23.515832,6.568947,13.402523,1.885929
E0275,5.319235,12.804696,12.458834,6.075946,4.218767
E0072,9.06538,11.99803,1.344649,1.8927,30.154122
E0049,15.439877,50.275114,3.855671,11.838656,5.232772
E0282,6.895205,13.240195,14.084561,9.13299,13.102612
E0141,1.309671,10.857978,3.303253,9.716428,1.833436
E0005,8.045994,2.63904,25.04581,4.954028,6.914422
E0222,10.606891,8.084353,6.488908,8.699064,2.500151
