row_id,b_val
R00000,-1.669
R00001,-7.0354
R00004,-1.5692
R00005,-0.4219
R00006,0.5402
R00007,-2.8721
R00008,-8.2377
R00010,-5.626
R00011,3.4957
R00012,-10.4441
R00013,-4.5633
R00014,2.9016
R00015,11.7345
R00016,-6.2832
R00017,-7.6302
R00018,-7.7247
R00019,-4.6811
R00021,-4.1319
R00022,-6.9303
R00023,-1.6204
R00024,-3.175
R00027,-3.3706
R00028,-2.6729
R00029,-7.2719
R00030,2.584
R00031,-8.4652
R00032,-12.813
R00033,2.3821
R00035,-3.4241
R00036,1.5721
R00038,-4.0496
R00039,-6.6153
R00040,-9.9916
R00041,3.9425
R00042,-3.4361
R00043,-6.0959
R00044,-1.7796
R00045,6.284
R00047,-12.5046
R00048,0.9989
R00049,-0.6627
R00050,-6.5552
R00051,-2.152
R00052,-7.5575
R00055,-11.1466
R00056,-11.7246
R00058,-3.1554
R00059,2.4266
R00060,-5.0617
R00061,-13.913
R00063,8.5857
R00064,-7.9885
R00065,3.1516
R00066,-6.0966
R00068,-3.9521
R00069,-3.8658
R00070,-3.6916
R00071,1.3797
R00073,5.0536
R00074,-3.2583
R00075,8.106
R00076,-12.9243
R00078,-8.6226
R00079,-8.4268
R00080,4.2897
R00081,-5.5213
R00082,1.3891
R00083,-5.136
R00085,1.2359
R00086,-6.7082
R00087,3.2339
R00088,-13.7876
R00089,1.9315
R00091,-9.9917
R00092,-6.2503
R00093,-3.9332
R00094,-9.6458
R00095,-0.744
R00098,-9.9091
R00099,-5.6514
R00100,-12.9469
R00101,-3.3479
R00104,2.5248
R00106,-6.821
R00107,-6.2812
R00108,2.271
R00111,-4.3187
R00112,-14.4005
R00113,2.5268
R00115,-6.5513
R00116,-3.9588
R00117,-3.9446
R00121,3.2223
R00122,3.0449
R00123,-0.977
R00124,-5.1164
R00128,-4.9103
R00130,-8.3951
R00131,-2.9689
R00132,1.7729
R00133,6.8492
R00135,-3.6723
R00136,-7.8193
R00139,0.8907
R00140,-1.3938
R00143,-6.5585
R00144,1.5587
R00145,-5.3243
R00146,-2.7667
R00147,-11.2814
R00148,-2.9634
R00151,-0.7245
R00152,1.1112
R00154,4.6805
R00155,-7.5618
R00156,-13.0089
R00157,2.3833
R00158,-2.7791
R00160,-4.4609
R00161,-9.6472
R00162,-3.3832
R00166,-5.1585
R00168,7.9382
R00169,-4.0679
R00170,-6.6065
R00171,-3.0917
R00172,-4.7176
R00173,-2.9488
R00174,2.1723
R00175,-5.4039
R00176,-0.0104
R00177,-7.504
R00178,-4.9324
R00180,-6.5723
R00181,2.9614
R00182,-7.0424
R00183,0.2865
R00184,2.5901
R00185,-1.1849
R00187,5.5637
R00188,-6.3885
R00189,-2.559
R00190,4.1345
R00191,2.9866
R00192,-1.5907
R00193,-0.0999
R00194,-5.3425
R00195,0.5764
R00196,-4.7251
R00199,-1.0389
R00200,-14.1811
R00201,1.7732
R00202,-2.5055
R00203,1.8303
R00206,-2.9383
R00207,2.8676
R00210,4.0875
R00211,-6.3531
R00212,4.9189
R00213,-10.1712
R00214,-1.7094
R00215,-2.7715
R00216,-2.1111
R00217,-3.268
R00218,-3.3273
R00224,2.1781
R00225,-9.0746
R00226,-6.8905
R00228,-9.4988
R00229,1.6229
R00230,0.8224
R00231,-1.0468
R00233,-11.1511
R00234,-1.3626
R00235,-0.1927
R00236,6.183
R00237,0.0569
R00238,-4.4326
R00239,-10.386
R00240,-7.2518
R00241,-6.7243
R00242,-14.0921
R00244,-2.578
R00245,-1.7917
R00246,9.7298
R00247,-1.4312
R00248,4.3918
R00250,-0.8745
R00251,-7.721
R00252,-13.9364
R00253,2.869
R00254,-12.9693
R00255,-9.0325
R00256,-4.3855
R00257,0.1921
R00260,-3.1611
R00263,-6.0982
R00264,5.3365
R00265,-9.1066
R00266,-14.8532
R00267,-7.3136
R00268,2.4427
R00269,-13.0835
R00270,-7.1239
R00271,-5.6188
R00274,-3.1162
R00276,3.0409
R00278,-1.796
R00279,-6.8352
R00280,2.8066
R00281,-10.5066
R00282,4.0467
R00283,-0.0261
R00284,5.6341
R00285,-2.1965
R00286,-9.6838
R00287,-8.9048
R00289,-3.1854
R00292,-8.3472
R00293,-4.7163
R00294,-16.1262
R00295,-5.9196
R00296,-0.9792
R00297,1.4001
R00298,0.0289
R00300,-6.4175
R00301,-4.1691
R00303,-3.2235
R00304,-9.6612
R00305,-2.3519
R00306,-0.8451
R00308,-7.3254
R00309,-9.4071
R00310,-0.6069
R00313,0.5384
R00315,4.8317
R00316,-0.6698
R00317,-7.5478
R00318,-0.1391
R00319,4.4683
