row_id,account_id,event_time,amount,currency
R00000,A0045,1772326740000,18.14,EUR
R00001,A0003,1772330460000,17.05,EUR
R00002,A0029,1772330940000,6.08,EUR
R00003,A0021,1772347200000,2.53,SEK
R00004,A0026,1772348820000,24.67,USD
R00005,A0035,1772354520000,46.68,GBP
R00006,A0014,1772355060000,30.88,EUR
R00007,A0024,1772365980000,5.68,EUR
R00008,A0008,1772366220000,24.56,SEK
R00009,A0039,1772366340000,23.14,SEK
R00010,A0032,1772372280000,6.74,SEK
R00011,A0042,1772375760000,6.26,USD
R00012,A0001,1772386440000,35.88,SEK
R00013,A0005,1772388300000,41.72,GBP
R00014,A0030,1772392620000,16.22,EUR
R00015,A0047,1772400840000,6.96,USD
R00016,A0000,1772411520000,32.6,GBP
R00017,A0032,1772416740000,14.61,SEK
R00018,A0021,1772419140000,17.67,SEK
R00019,A0044,1772421240000,16.29,USD
R00020,A0040,1772436300000,28.08,GBP
R00021,A0008,1772438940000,33.6,USD
R00022,A0023,1772458800000,90.86,SEK
R00023,A0047,1772476860000,10.05,USD
R00024,A0006,1772492340000,49.55,USD
R00025,A0008,1772494500000,32.08,EUR
R00026,A0028,1772497440000,20.03,USD
R00027,A0005,1772497680000,14.0,SEK
R00028,A0013,1772497860000,64.36,EUR
R00029,A0029,1772500320000,5.93,USD
R00030,A0052,1772504340000,13.21,SEK
R00031,A0041,1772506320000,90.73,GBP
R00032,A0059,1772511120000,29.22,SEK
R00033,A0017,1772512080000,17.28,EUR
R00034,A0000,1772518260000,5.5,SEK
R00035,A0021,1772524260000,21.09,GBP
R00036,A0058,1772538720000,17.82,SEK
R00037,A0008,1772540220000,18.35,EUR
R00038,A0056,1772550360000,25.27,EUR
R00039,A0056,1772552160000,7.97,EUR
R00040,A0034,1772553420000,19.49,EUR
R00041,A0003,1772556240000,17.37,GBP
R00042,A0018,1772559180000,4.38,SEK
R00043,A0038,1772569500000,2.32,EUR
R00044,A0046,1772572920000,46.0,USD
R00045,A0033,1772577240000,5.94,SEK
R00046,A0043,1772580240000,12.96,USD
R00047,A0048,1772583360000,22.88,EUR
R00048,A0028,1772589540000,55.74,EUR
R00049,A0044,1772589660000,3.65,USD
R00050,A0050,1772590080000,44.21,GBP
R00051,A0015,1772608440000,18.59,USD
R00052,A0058,1772612640000,81.53,GBP
R00053,A0003,1772614680000,6.83,GBP
R00054,A0036,1772615880000,11.62,USD
R00055,A0026,1772638680000,7.93,EUR
R00056,A0025,1772647500000,11.78,GBP
R00057,A0015,1772655000000,13.49,USD
R00058,A0019,1772659500000,1.88,USD
R00059,A0029,1772667780000,10.0,GBP
R00060,A0049,1772675820000,26.79,USD
R00061,A0015,1772677500000,15.2,EUR
R00062,A0052,1772686980000,37.89,USD
R00063,A0042,1772689740000,7.93,EUR
R00064,A0026,1772695560000,9.93,EUR
R00065,A0007,1772701860000,56.03,SEK
R00066,A0048,1772705400000,40.09,GBP
R00067,A0032,1772707560000,9.15,SEK
R00068,A0042,1772723160000,8.23,GBP
R00069,A0034,1772725740000,130.76,SEK
R00070,A0010,1772728140000,32.53,EUR
R00071,A0043,1772733600000,13.32,GBP
R00072,A0057,1772733600000,36.03,GBP
R00073,A0034,1772741220000,8.06,EUR
R00074,A0038,1772743800000,1.36,SEK
R00075,A0010,1772745300000,24.79,GBP
R00076,A0012,1772748060000,11.81,SEK
R00077,A0006,1772765520000,15.58,USD
R00078,A0005,1772765880000,26.85,USD
R00079,A0000,1772773800000,2.35,EUR
R00080,A0022,1772780340000,4.78,GBP
R00081,A0002,1772783640000,46.1,SEK
R00082,A0031,1772804460000,85.61,SEK
R00083,A0046,1772805780000,8.15,USD
R00084,A0026,1772810820000,6.21,SEK
R00085,A0005,1772826540000,4.46,EUR
R00086,A0024,1772826840000,13.73,EUR
R00087,A0035,1772827800000,9.21,USD
R00088,A0019,1772837460000,12.86,USD
R00089,A0040,1772839080000,34.12,GBP
R00090,A0026,1772842320000,11.16,SEK
R00091,A0031,1772843040000,56.36,GBP
R00092,A0018,1772844780000,4.52,GBP
R00093,A0015,1772845800000,2.47,SEK
R00094,A0009,1772848860000,52.32,GBP
R00095,A0040,1772857440000,13.05,SEK
R00096,A0006,1772858280000,27.73,SEK
R00097,A0023,1772867400000,22.24,EUR
R00098,A0056,1772871960000,50.14,EUR
R00099,A0013,1772880300000,40.07,USD
R00100,A0041,1772894580000,22.44,USD
R00101,A0025,1772903160000,13.28,EUR
R00102,A0056,1772903760000,5.87,EUR
R00103,A0017,1772909880000,23.32,SEK
R00104,A0011,1772912760000,6.99,USD
R00105,A0027,1772916660000,46.96,GBP
R00106,A0021,1772922720000,7.29,EUR
R00107,A0036,1772926260000,4.57,EUR
R00108,A0033,1772927160000,48.85,SEK
R00109,A0054,1772934780000,27.88,GBP
R00110,A0037,1772937780000,12.02,GBP
R00111,A0030,1772953740000,19.63,USD
R00112,A0005,1772961120000,15.5,GBP
R00113,A0038,1772966700000,17.69,USD
R00114,A0043,1772969820000,29.09,EUR
R00115,A0040,1772973420000,176.57,USD
R00116,A0019,1772974680000,17.6,EUR
R00117,A0016,1772978400000,8.52,SEK
R00118,A0009,1772980980000,8.69,GBP
R00119,A0046,1772983380000,35.45,SEK
R00120,A0046,1772989860000,23.38,GBP
R00121,A0023,1772992740000,38.76,GBP
R00122,A0008,1772998740000,51.52,EUR
R00123,A0020,1773000420000,112.98,SEK
R00124,A0050,1773005280000,49.49,EUR
R00125,A0047,1773009900000,12.2,USD
R00126,A0031,1773018300000,26.88,EUR
R00127,A0014,1773020760000,11.5,GBP
R00128,A0011,1773021720000,13.01,SEK
R00129,A0042,1773022860000,8.24,GBP
R00130,A0013,1773029460000,24.72,SEK
R00131,A0012,1773037140000,10.6,EUR
R00132,A0059,1773039600000,34.61,GBP
R00133,A0016,1773039960000,88.38,GBP
R00134,A0014,1773042600000,17.63,USD
R00135,A0000,1773055560000,51.33,EUR
R00136,A0054,1773055980000,16.9,GBP
R00137,A0014,1773056760000,12.14,EUR
R00138,A0046,1773060120000,5.46,SEK
R00139,A0004,1773061620000,6.69,GBP
R00140,A0049,1773064380000,26.43,GBP
R00141,A0005,1773075540000,28.6,GBP
R00142,A0057,1773076020000,7.69,SEK
R00143,A0020,1773076800000,13.66,EUR
R00144,A0004,1773079620000,37.22,GBP
R00145,A0026,1773087780000,13.93,EUR
R00146,A0017,1773091980000,17.58,GBP
R00147,A0004,1773097380000,18.6,SEK
R00148,A0019,1773104460000,18.8,EUR
R00149,A0005,1773107340000,20.44,GBP
R00150,A0000,1773114360000,31.84,GBP
