row_id,status,balance,updated_at
R00211,dormant,4603.3,1770493380000
R00302,active,8545.88,1770001860000
R00182,closed,2430.3,1770175860000
R00157,closed,4891.08,1770536880000
R00130,closed,2313.3,1770754920000
R00290,closed,3155.11,1770198180000
R00107,dormant,6315.45,1770316620000
R00002,closed,5785.68,1770397020000
R00301,closed,5376.93,1770351780000
R00007,dormant,5873.83,1769968620000
R00361,closed,5892.17,1770458100000
R00096,dormant,7096.03,1770161160000
R00291,active,2442.21,1770297540000
R00046,dormant,2868.98,1770502740000
R00376,dormant,5167.13,1770214860000
R00169,active,5657.61,1770320940000
R00071,dormant,2018.93,1770589020000
R00064,active,5236.76,1770120840000
R00087,active,3212.69,1770143340000
R00206,active,6451.86,1770734640000
R00288,dormant,2920.24,1770324120000
R00315,active,4073.3,1770250800000
R00025,active,5973.67,1770085920000
R00359,active,4177.84,1770154920000
R00363,active,3421.68,1770075780000
R00228,closed,6305.56,1770071280000
R00336,dormant,5232.5,1770030660000
R00168,closed,4414.23,1770578880000
R00276,dormant,4527.92,1770143520000
R00090,closed,4273.96,1770128280000
R00224,closed,5864.3,1770078840000
R00312,active,5172.45,1770252420000
R00018,closed,4700.61,1770635340000
R00159,closed,6213.07,1770201420000
R00081,dormant,6769.93,1770483960000
R00248,dormant,7400.05,1770430080000
R00380,active,7275.58,1770384720000
R00354,closed,7952.68,1770107880000
R00205,closed,8088.57,1770672900000
R00334,dormant,2618.67,1770078600000
R00207,dormant,6676.73,1770402720000
R00195,closed,1686.95,1770073740000
R00307,active,7557.18,1770298320000
R00088,closed,3975.61,1770422520000
R00165,closed,5481.99,1770188700000
R00287,dormant,7641.58,1769951460000
R00010,dormant,4363.08,1770267000000
R00239,active,6494.09,1770253920000
R00094,active,6064.96,1770326520000
R00086,closed,5983.3,1770203400000
R00328,closed,5369.75,1770100860000
R00355,closed,5062.91,1770090420000
R00254,dormant,3794.99,1770642720000
R00033,closed,4704.53,1770438540000
R00052,active,4806.8,1770095160000
R00204,dormant,4157.29,1770472140000
R00323,closed,5049.0,1770420120000
R00210,closed,5845.34,1770542100000
R00144,closed,121.22,1770034800000
R00177,active,6207.71,1770193140000
R00043,dormant,8492.42,1770366900000
R00262,active,-215.98,1770278940000
R00198,active,3165.75,1770225840000
R00250,dormant,6021.13,1770004680000
R00154,active,4832.4,1770448620000
R00236,dormant,5129.91,1770320220000
R00293,closed,9346.01,1770298080000
R00274,active,8100.23,1770620880000
R00261,active,5269.69,1770363720000
R00281,active,6407.29,1770199800000
R00360,closed,2394.04,1770602640000
R00194,active,7260.09,1770579540000
R00027,closed,6648.68,1770523140000
R00153,dormant,516.43,1770361320000
R00181,active,3584.4,1770115920000
R00173,dormant,4441.03,1770389160000
R00003,active,1037.48,1770774240000
R00038,closed,3399.76,1770001500000
R00308,dormant,7650.08,1770064920000
R00251,active,6588.04,1770338040000
R00056,closed,5841.02,1770242040000
R00104,dormant,6475.49,1770132540000
R00013,dormant,7709.28,1770050880000
R00225,closed,5295.17,1770321900000
