rec_id,user_id,rank,item_id
U0000#1,U0000,1,I0045
U0000#2,U0000,2,I0033
U0000#3,U0000,3,I0036
U0000#4,U0000,4,I0026
U0000#5,U0000,5,I0056
U0001#1,U0001,1,I0030
U0001#2,U0001,2,I0056
U0001#3,U0001,3,I0001
U0001#4,U0001,4,I0036
U0001#5,U0001,5,I0059
U0002#1,U0002,1,I0009
U0002#2,U0002,2,I0050
U0002#3,U0002,3,I0039
U0002#4,U0002,4,I0040
U0002#5,U0002,5,I0011
U0003#1,U0003,1,I0045
U0003#2,U0003,2,I0016
U0003#3,U0003,3,I0034
U0003#4,U0003,4,I0020
U0003#5,U0003,5,I0013
U0004#1,U0004,1,I0031
U0004#2,U0004,2,I0023
U0004#3,U0004,3,I0037
U0004#4,U0004,4,I0046
U0004#5,U0004,5,I0020
U0005#1,U0005,1,I0045
U0005#2,U0005,2,I0034
U0005#3,U0005,3,I0055
U0005#4,U0005,4,I0030
U0005#5,U0005,5,I0056
U0006#1,U0006,1,I0018
U0006#2,U0006,2,I0027
U0006#3,U0006,3,I0008
U0006#4,U0006,4,I0013
U0006#5,U0006,5,I0015
U0007#1,U0007,1,I0037
U0007#2,U0007,2,I0057
U0007#3,U0007,3,I0048
U0007#4,U0007,4,I0014
U0007#5,U0007,5,I0028
U0008#1,U0008,1,I0009
U0008#2,U0008,2,I0050
U0008#3,U0008,3,I0000
U0008#4,U0008,4,I0048
U0008#5,U0008,5,I0021
U0009#1,U0009,1,I0036
U0009#2,U0009,2,I0024
U0009#3,U0009,3,I0031
U0009#4,U0009,4,I0028
U0009#5,U0009,5,I0034
U0010#1,U0010,1,I0001
U0010#2,U0010,2,I0020
U0010#3,U0010,3,I0008
U0010#4,U0010,4,I0017
U0010#5,U0010,5,I0004
U0011#1,U0011,1,I0032
U0011#2,U0011,2,I0026
U0011#3,U0011,3,I0014
U0011#4,U0011,4,I0033
U0011#5,U0011,5,I0001
U0012#1,U0012,1,I0036
U0012#2,U0012,2,I0045
U0012#3,U0012,3,I0030
U0012#4,U0012,4,I0056
U0012#5,U0012,5,I0052
U0013#1,U0013,1,I0019
U0013#2,U0013,2,I0025
U0013#3,U0013,3,I0005
U0013#4,U0013,4,I0052
U0013#5,U0013,5,I0022
U0014#1,U0014,1,I0022
U0014#2,U0014,2,I0020
U0014#3,U0014,3,I0035
U0014#4,U0014,4,I0004
U0014#5,U0014,5,I0006
