row_id,account_id,event_time,amount,category
R00315,A0072,1772670360000,0.97,grocery
R00316,A0092,1772671200000,107.57,other
R00317,A0090,1772671920000,338.64,grocery
R00318,A0035,1772675580000,31.62,travel
R00319,A0142,1772676300000,11.59,salary
R00320,A0059,1772678100000,37.97,grocery
R00321,A0032,1772678160000,12.55,grocery
R00322,A0058,1772678520000,50.54,other
R00323,A0027,1772679360000,11.03,other
R00324,A0144,1772679900000,11.09,other
R00325,A0006,1772682540000,10.08,travel
R00326,A0050,1772683500000,20.95,travel
R00327,A0026,1772683620000,28.12,rent
R00328,A0064,1772685360000,12.92,grocery
R00329,A0119,1772686320000,23.15,salary
R00330,A0139,1772688600000,46.16,rent
R00331,A0086,1772688780000,20.78,grocery
R00332,A0135,1772689140000,16.79,travel
R00333,A0146,1772689380000,49.97,other
R00334,A0022,1772691300000,10.13,other
R00335,A0061,1772691420000,44.41,travel
R00336,A0112,1772692680000,8.36,grocery
R00337,A0135,1772692680000,81.72,travel
R00338,A0115,1772692740000,10.94,rent
R00339,A0022,1772692740000,5.38,salary
R00340,A0124,1772692860000,5.62,salary
R00341,A0043,1772692920000,51.68,salary
R00342,A0132,1772692920000,176.16,salary
R00343,A0015,1772693100000,30.29,grocery
R00344,A0133,1772693280000,7.18,grocery
R00345,A0034,1772693340000,9.53,salary
R00346,A0044,1772693760000,24.43,grocery
R00347,A0062,1772693940000,12.82,grocery
R00348,A0104,1772694300000,9.12,salary
R00349,A0045,1772694780000,29.78,travel
R00350,A0057,1772695260000,21.14,rent
R00351,A0140,1772695440000,4.92,travel
R00352,A0093,1772696700000,20.56,rent
R00353,A0102,1772697480000,9.68,grocery
R00354,A0097,1772698200000,29.8,salary
R00355,A0139,1772698560000,9.24,rent
R00356,A0099,1772699280000,8.95,salary
R00357,A0040,1772701140000,17.06,other
R00358,A0125,1772701260000,13.91,travel
R00359,A0109,1772701920000,14.76,travel
R00360,A0043,1772702100000,21.07,other
R00361,A0079,1772702880000,26.0,salary
R00362,A0062,1772703000000,11.4,rent
R00363,A0127,1772703720000,44.44,other
R00364,A0118,1772704380000,14.3,grocery
R00365,A0131,1772705040000,16.03,rent
R00366,A0143,1772705400000,21.43,travel
R00367,A0009,1772706180000,13.41,grocery
R00368,A0148,1772706780000,15.51,grocery
R00369,A0014,1772707620000,15.62,salary
R00370,A0066,1772708400000,21.04,travel
R00371,A0070,1772709780000,10.74,other
R00372,A0108,1772711100000,16.11,travel
R00373,A0106,1772712000000,7.61,rent
R00374,A0074,1772712540000,4.03,salary
R00375,A0014,1772712660000,23.71,other
R00376,A0017,1772713260000,6.29,grocery
R00377,A0058,1772713920000,10.67,rent
R00378,A0119,1772714280000,38.32,salary
R00379,A0106,1772714580000,10.38,travel
R00380,A0007,1772715900000,39.23,other
R00381,A0018,1772719260000,11.23,travel
R00382,A0070,1772720700000,30.3,travel
R00383,A0083,1772720880000,7.76,grocery
R00384,A0024,1772721360000,25.26,travel
R00385,A0047,1772723220000,34.94,grocery
R00386,A0007,1772723400000,25.15,grocery
R00387,A0063,1772725620000,11.73,travel
R00388,A0117,1772725980000,8.83,travel
R00389,A0006,1772726340000,4.98,grocery
R00390,A0056,1772727120000,8.03,grocery
R00391,A0107,1772727240000,10.51,salary
R00392,A0015,1772727660000,65.87,other
R00393,A0106,1772728920000,15.44,travel
R00394,A0028,1772729820000,28.02,grocery
R00395,A0085,1772733000000,28.64,grocery
R00396,A0012,1772733360000,77.3,other
R00397,A0128,1772734140000,8.29,grocery
R00398,A0003,1772734140000,37.23,grocery
R00399,A0084,1772735280000,63.7,other
R00400,A0016,1772736300000,9.87,salary
R00401,A0051,1772736720000,9.0,rent
R00402,A0125,1772737380000,25.0,salary
R00403,A0053,1772738820000,38.13,salary
R00404,A0147,1772740620000,6.81,other
R00405,A0041,1772741700000,18.04,rent
R00406,A0115,1772743500000,39.09,grocery
R00407,A0043,1772743620000,22.15,rent
R00408,A0103,1772744280000,12.32,travel
R00409,A0098,1772747400000,7.63,rent
R00410,A0037,1772748240000,20.33,salary
R00411,A0134,1772748360000,29.83,rent
R00412,A0100,1772749380000,57.47,grocery
R00413,A0015,1772751120000,24.31,salary
R00414,A0149,1772752200000,27.03,salary
R00415,A0090,1772752200000,11.2,salary
R00416,A0100,1772752680000,131.7,other
R00417,A0039,1772752980000,20.12,rent
R00418,A0081,1772753820000,54.43,salary
R00419,A0122,1772754240000,16.4,salary
R00420,A0111,1772754420000,6.03,other
