row_id,account_id,event_time,amount,category
R00557,A0056,1772841720000,26.17,grocery
R00558,A0044,1772842860000,9.08,travel
R00559,A0125,1772843580000,15.96,salary
R00560,A0064,1772846940000,5.33,grocery
R00561,A0032,1772848200000,15.07,other
R00562,A0131,1772848680000,24.87,grocery
R00563,A0148,1772849400000,145.51,other
R00564,A0109,1772850360000,79.31,salary
R00565,A0096,1772850960000,30.08,grocery
R00566,A0032,1772852460000,18.1,salary
R00567,A0095,1772853180000,16.66,salary
R00568,A0052,1772853240000,10.37,rent
R00569,A0023,1772854320000,76.46,grocery
R00570,A0048,1772854620000,9.33,salary
R00571,A0103,1772854920000,141.8,travel
R00572,A0084,1772855880000,4.9,salary
R00573,A0067,1772856060000,60.89,other
R00574,A0050,1772857260000,2.64,grocery
R00575,A0106,1772858100000,26.66,other
R00576,A0083,1772858160000,3.21,other
R00577,A0140,1772858760000,48.08,salary
R00578,A0020,1772858880000,11.34,salary
R00579,A0145,1772860260000,24.73,grocery
R00580,A0067,1772860560000,4.53,grocery
R00581,A0064,1772861820000,6.74,salary
R00582,A0067,1772862960000,34.31,rent
R00583,A0013,1772863440000,38.78,grocery
R00584,A0047,1772864040000,8.85,rent
R00585,A0129,1772864580000,16.83,other
R00586,A0123,1772865240000,191.35,rent
R00587,A0026,1772865240000,42.93,travel
R00588,A0054,1772865480000,7.18,rent
R00589,A0055,1772866380000,18.06,salary
R00590,A0020,1772867520000,100.26,rent
R00591,A0131,1772867580000,76.35,salary
R00592,A0125,1772868120000,32.52,grocery
R00593,A0078,1772869020000,5.15,other
R00594,A0125,1772869680000,52.29,grocery
R00595,A0008,1772870160000,93.34,travel
R00596,A0113,1772872080000,17.08,salary
R00597,A0100,1772872320000,36.34,other
R00598,A0046,1772873160000,25.52,grocery
R00599,A0092,1772873700000,11.6,other
R00600,A0077,1772874540000,18.46,rent
R00601,A0091,1772875020000,97.36,salary
R00602,A0029,1772875080000,4.27,rent
R00603,A0027,1772875560000,49.54,grocery
R00604,A0143,1772876460000,29.11,other
R00605,A0050,1772876580000,28.25,travel
R00606,A0074,1772877000000,24.0,travel
R00607,A0114,1772878500000,27.72,travel
R00608,A0138,1772879220000,33.23,rent
R00609,A0027,1772879640000,10.08,salary
R00610,A0099,1772880420000,28.1,travel
R00611,A0111,1772880540000,12.49,salary
R00612,A0056,1772880840000,31.14,other
R00613,A0106,1772881980000,35.91,other
R00614,A0099,1772882220000,22.88,salary
R00615,A0133,1772882220000,20.36,grocery
R00616,A0037,1772884020000,43.68,rent
R00617,A0068,1772884200000,12.97,grocery
R00618,A0020,1772884800000,256.62,other
R00619,A0084,1772886120000,28.92,travel
R00620,A0130,1772887140000,42.61,grocery
R00621,A0023,1772887920000,5.66,travel
R00622,A0084,1772888640000,66.54,rent
R00623,A0006,1772890440000,71.33,rent
R00624,A0002,1772891580000,23.61,salary
R00625,A0111,1772892120000,54.04,travel
R00626,A0065,1772892720000,25.05,salary
R00627,A0101,1772894820000,28.48,salary
R00628,A0008,1772895420000,21.66,rent
R00629,A0002,1772895780000,18.62,rent
R00630,A0146,1772896200000,60.51,grocery
R00631,A0042,1772896920000,37.23,salary
R00632,A0003,1772898120000,68.03,salary
R00633,A0130,1772898600000,24.12,grocery
R00634,A0014,1772899920000,25.59,salary
R00635,A0070,1772901720000,66.16,travel
R00636,A0064,1772902560000,41.63,rent
R00637,A0059,1772902740000,6.25,travel
R00638,A0139,1772902800000,86.51,salary
R00639,A0102,1772902860000,19.32,salary
R00640,A0040,1772904000000,16.74,salary
R00641,A0032,1772904180000,19.47,other
R00642,A0055,1772904840000,69.34,other
R00643,A0148,1772905380000,12.06,salary
R00644,A0094,1772907780000,25.77,travel
R00645,A0064,1772908080000,25.91,other
R00646,A0134,1772908260000,30.57,salary
R00647,A0096,1772908380000,25.09,other
R00648,A0065,1772909400000,72.07,salary
R00649,A0122,1772910960000,22.37,travel
R00650,A0068,1772911440000,93.28,salary
R00651,A0037,1772912940000,25.95,grocery
R00652,A0030,1772913240000,106.26,other
R00653,A0063,1772913840000,8.58,grocery
R00654,A0070,1772917920000,37.14,rent
R00655,A0035,1772918280000,63.89,other
R00656,A0014,1772918460000,16.43,other
R00657,A0125,1772918520000,19.13,grocery
R00658,A0105,1772919420000,22.33,grocery
R00659,A0149,1772919420000,61.58,rent
R00660,A0005,1772920740000,12.09,rent
R00661,A0112,1772922480000,17.37,other
R00662,A0022,1772924100000,32.16,salary
R00663,A0143,1772924220000,17.32,travel
R00664,A0059,1772925660000,15.53,rent
R00665,A0091,1772926380000,25.19,rent
R00666,A0068,1772926560000,17.19,rent
R00667,A0025,1772927280000,24.43,salary
