account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1772953648000,38.95,4522.3,506,silver,0,47.45,0
A0001,1772092799000,36.18,6507.62,682,bronze,37,60.98,0
A0002,1772225962000,15.49,2893.42,300,silver,24,42.74,0
A0003,1773403618000,8.98,1411.81,721,silver,15,42.52,1
A0004,1773217845000,19.98,7320.4,579,gold,11,50.59,1
A0005,1772645393000,3.94,4811.03,398,silver,20,52.49,1
A0006,1772512470000,584.0,4560.23,707,silver,36,57.75,0
A0007,1772094944000,28.91,3330.66,802,bronze,28,43.68,0
A0008,1773660511000,122.11,5591.21,471,bronze,2,55.99,0
A0009,1772198556000,33.03,5117.39,687,gold,22,53.27,0
A0010,1772618202000,34.88,4820.04,746,gold,20,49.08,0
A0011,1773505677000,42.37,6245.77,465,gold,22,50.84,1
A0012,1772907049000,14.19,11777.2,542,bronze,2,46.21,0
A0013,1773661095000,23.11,-660.46,693,silver,9,50.21,1
A0014,1773613675000,64.35,4743.21,739,silver,27,41.96,0
A0015,1772533308000,44.32,6380.99,706,bronze,22,46.97,1
A0016,1773113208000,105.5,5957.84,653,bronze,1,46.26,1
A0017,1773526566000,24.71,5624.03,750,silver,27,62.24,1
A0018,1772097574000,44.13,5265.74,716,gold,19,50.09,0
A0019,1773296633000,9.54,3691.31,448,gold,33,50.2,1
A0020,1773152647000,246.64,3464.36,435,silver,18,49.84,1
A0021,1772384442000,37.71,3927.32,667,silver,15,48.35,1
A0022,1773071172000,225.06,10350.32,681,gold,22,39.43,0
A0023,1773554125000,33.45,5283.82,850,gold,6,39.51,0
A0024,1772638516000,369.49,7844.78,625,gold,21,48.68,0
A0025,1772939281000,12.38,7402.52,384,gold,17,55.01,1
A0026,1773285491000,154.39,4832.15,522,silver,4,46.04,0
A0027,1772839934000,85.84,2809.74,825,bronze,2,53.8,1
A0028,1772283182000,18.96,3886.5,487,gold,16,43.01,1
A0029,1773463602000,50.65,3564.83,443,bronze,25,53.26,0
A0030,1772216110000,7.21,2894.14,312,bronze,39,59.42,1
A0031,1773297491000,38.99,6964.19,598,silver,22,46.93,0
A0032,1772496908000,78.46,3732.5,712,bronze,37,50.22,0
A0033,1772631415000,15.12,5325.17,619,bronze,19,49.7,1
A0034,1773135221000,82.12,8101.9,518,gold,32,47.05,1
A0035,1772298460000,18.66,3941.62,440,silver,4,39.62,0
A0036,1773226809000,23.41,5958.83,757,bronze,27,52.09,1
A0037,1772534763000,49.17,3834.02,300,silver,33,43.22,1
A0038,1773524922000,57.13,4736.63,310,silver,10,51.85,0
A0039,1772909749000,55.4,6378.27,528,silver,4,51.31,0
A0040,1772256900000,162.94,1941.81,680,bronze,36,51.12,1
A0041,1773084870000,51.9,5976.26,497,bronze,0,49.74,1
A0042,1772490270000,49.4,4685.71,691,silver,34,53.36,0
A0043,1772646410000,23.98,4185.93,462,bronze,11,41.13,0
A0044,1772836992000,97.18,4038.11,845,silver,21,46.35,0
A0045,1773018490000,123.19,7239.46,389,silver,1,55.66,1
A0046,1772162572000,19.11,6145.33,496,bronze,8,46.54,1
A0047,1773412269000,23.03,1606.07,566,gold,25,44.3,1
A0048,1772451838000,14.43,2253.1,481,gold,20,43.34,0
A0049,1773094871000,35.09,5602.84,764,silver,3,52.98,0
A0050,1772777649000,76.88,3954.05,458,gold,1,51.84,0
A0051,1773173454000,5.69,9244.29,820,silver,13,52.08,0
A0052,1772802008000,6.74,4624.58,541,gold,2,47.2,0
A0053,1773689832000,8.07,5050.95,848,gold,13,40.16,0
A0054,1772557086000,170.17,6331.57,448,gold,27,52.46,1
A0055,1773354752000,3.69,5786.56,553,bronze,22,55.08,0
A0056,1773446309000,44.93,4675.77,845,bronze,29,48.75,1
A0057,1773442984000,6.18,8743.87,567,bronze,28,43.61,0
A0058,1773455333000,19.7,5401.54,448,gold,3,47.1,0
A0059,1772380129000,1815.05,3391.91,485,silver,24,67.09,1
