row_id,account_id,event_time,amount,category
R00518,A0031,1772842200000,70.87,travel
R00519,A0110,1772842320000,21.96,grocery
R00520,A0034,1772843160000,26.77,salary
R00521,A0047,1772844120000,15.8,other
R00522,A0068,1772845200000,47.25,travel
R00523,A0039,1772846640000,166.05,travel
R00524,A0083,1772847000000,24.91,travel
R00525,A0029,1772847120000,29.73,grocery
R00526,A0109,1772847300000,106.89,rent
R00527,A0085,1772848500000,186.86,other
R00528,A0029,1772848620000,47.03,other
R00529,A0107,1772849640000,5.66,grocery
R00530,A0063,1772849820000,70.09,travel
R00531,A0045,1772850360000,21.8,salary
R00532,A0039,1772851200000,3.15,other
R00533,A0142,1772851860000,7.96,other
R00534,A0022,1772852700000,4.64,other
R00535,A0040,1772852760000,7.8,grocery
R00536,A0028,1772853240000,45.19,salary
R00537,A0040,1772853840000,6.73,rent
R00538,A0012,1772854260000,5.73,grocery
R00539,A0042,1772854740000,17.29,salary
R00540,A0130,1772855040000,4.3,grocery
R00541,A0128,1772856180000,204.62,other
R00542,A0013,1772856360000,40.39,salary
R00543,A0141,1772856480000,58.21,salary
R00544,A0058,1772856720000,297.77,other
R00545,A0121,1772858700000,4.23,rent
R00546,A0143,1772860080000,34.29,travel
R00547,A0008,1772860080000,35.08,other
R00548,A0124,1772861820000,330.95,grocery
R00549,A0080,1772862300000,14.75,other
R00550,A0001,1772862600000,37.05,grocery
R00551,A0029,1772863140000,13.38,travel
R00552,A0049,1772864100000,5.46,travel
R00553,A0084,1772865180000,192.79,travel
R00554,A0016,1772865180000,16.79,travel
R00555,A0022,1772865480000,10.97,rent
R00556,A0045,1772865900000,48.26,grocery
R00557,A0118,1772867100000,42.81,other
R00558,A0048,1772867520000,64.84,other
R00559,A0047,1772868840000,8.75,rent
R00560,A0083,1772870340000,47.44,travel
R00561,A0108,1772870820000,47.61,rent
R00562,A0071,1772871840000,29.51,other
R00563,A0076,1772872320000,5.14,grocery
R00564,A0123,1772872620000,27.36,other
R00565,A0018,1772872800000,17.81,salary
R00566,A0059,1772874060000,8.29,grocery
R00567,A0073,1772874840000,15.69,rent
R00568,A0125,1772875200000,20.44,rent
R00569,A0110,1772875440000,44.83,grocery
R00570,A0108,1772876580000,11.09,rent
R00571,A0047,1772876640000,5.43,other
R00572,A0073,1772876640000,48.08,travel
R00573,A0044,1772877660000,12.56,salary
R00574,A0105,1772878380000,13.82,grocery
R00575,A0066,1772879700000,5.24,travel
R00576,A0115,1772880060000,10.46,rent
R00577,A0070,1772880120000,5.06,other
R00578,A0025,1772883600000,44.08,rent
R00579,A0143,1772884680000,33.34,other
R00580,A0077,1772886900000,143.9,travel
R00581,A0008,1772887080000,74.37,rent
R00582,A0122,1772887140000,5.31,other
R00583,A0006,1772887860000,22.59,other
R00584,A0129,1772888160000,162.12,travel
R00585,A0025,1772889660000,2.38,grocery
R00586,A0098,1772889840000,7.16,travel
R00587,A0072,1772890740000,66.88,rent
R00588,A0017,1772890920000,9.21,grocery
R00589,A0091,1772892540000,21.57,rent
R00590,A0092,1772893200000,5.09,rent
R00591,A0104,1772893320000,34.08,rent
R00592,A0048,1772893440000,19.72,grocery
R00593,A0002,1772895060000,26.02,grocery
R00594,A0062,1772896080000,80.42,travel
R00595,A0093,1772897280000,21.93,other
R00596,A0034,1772897580000,25.41,travel
R00597,A0149,1772897700000,37.02,other
R00598,A0026,1772897880000,64.02,salary
R00599,A0141,1772898000000,211.67,rent
R00600,A0135,1772899380000,5.37,other
R00601,A0106,1772900160000,9.89,rent
R00602,A0005,1772900280000,11.57,salary
R00603,A0055,1772904420000,34.45,travel
R00604,A0036,1772906400000,7.17,grocery
R00605,A0140,1772907720000,113.36,rent
R00606,A0097,1772908020000,102.36,rent
R00607,A0079,1772908440000,150.41,salary
R00608,A0038,1772909160000,27.37,grocery
R00609,A0118,1772909700000,8.39,salary
R00610,A0027,1772909880000,6.24,grocery
R00611,A0027,1772909880000,1.49,grocery
R00612,A0067,1772910000000,42.88,rent
R00613,A0117,1772912820000,28.94,grocery
R00614,A0114,1772913240000,12.84,salary
R00615,A0146,1772913300000,17.21,grocery
R00616,A0088,1772913420000,7.61,salary
R00617,A0095,1772914380000,45.41,rent
R00618,A0051,1772916180000,24.57,salary
R00619,A0099,1772918100000,6.25,travel
R00620,A0059,1772918700000,15.89,grocery
R00621,A0012,1772919420000,11.16,salary
R00622,A0013,1772919960000,89.59,grocery
R00623,A0019,1772923860000,5.33,other
R00624,A0145,1772923980000,5.84,other
R00625,A0058,1772925120000,160.35,travel
R00626,A0104,1772926020000,4.75,travel
R00627,A0038,1772926980000,34.53,other
R00628,A0038,1772927040000,12.58,other
R00629,A0060,1772927160000,16.78,grocery
R00630,A0069,1772927700000,18.38,salary
